"Reservoir","DateTime","Site","Duration_days","Depth_m","TrapXSA_m2","Filter1ID","Filter2ID","CombinedCollectionVol_L","CombinedFilterVol_L","CombinedSedMass_g","ICPTFe_mgL","ICPTMn_mgL","AcidVol_L","DilutionFactor","TFe_g","TMn_g","TOC_g","TN_g","TOCFlux_gm2d","TNFlux_gm2d"
"FCR",2022-07-25,50,14,4,0.0040715,"F_sed_4m_R2_F1_25Jul22","F_sed_4m_R2_F2_25Jul22",3594,277,0.015,13.5127250309883,0.23930664247554,0.01,20,0.0350647897194021,0.000620987778380571,NA,NA,NA,NA
"FCR",2022-07-25,50,14,8,0.0040715,"F_sed_8m_R1_F1_25Jul22","F_sed_8m_R1_F2_25Jul22",3648,164,0.042,58.2814185162795,0.569217334867327,0.01,20,0.259281237496814,0.00253232297267806,NA,NA,NA,NA
"FCR",2022-07-25,50,14,8,0.0040715,"F_sed_8m_R2_F1_25Jul22","F_sed_8m_R2_F2_25Jul22",3586,157,0.037,57.9919815807566,0.690021837757757,0.01,20,0.264916236877189,0.0031521252359227,NA,NA,NA,NA
"BVR",2022-07-25,50,14,4,0.0040715,"B_sed_4m_R1_F1_25Jul22","B_sed_4m_R1_F2_25Jul22",3622,275,0.12,10.5612010271011,0.765594961077592,0.01,20,0.0278201237237528,0.00201671632656221,NA,NA,NA,NA
"BVR",2022-07-25,50,14,4,0.0040715,"B_sed_4m_R2_F1_25Jul22","B_sed_4m_R2_F2_25Jul22",3586,279,0.026,10.6183558273367,0.940414982869206,0.01,20,0.0272956444421717,0.00241743951868744,NA,NA,NA,NA
"BVR",2022-07-25,50,14,8,0.0040715,"B_sed_8m_R1_F1_25Jul22","B_sed_8m_R1_F2_25Jul22",3550,158,0.027,29.1242326520486,0.307201765924207,0.01,20,0.130874716347813,0.00138046363168473,NA,NA,NA,NA
"BVR",2022-07-25,50,14,8,0.0040715,"B_sed_8m_R2_F1_25Jul22","B_sed_8m_R2_F2_25Jul22",3552,157,0.03,30.0387890697725,0.311821987728221,0.01,20,0.135920737294053,0.00141094484128744,NA,NA,NA,NA
"FCR",2022-08-08,50,14,8,NA,"F_sed_8m_R1_F3_08Aug22","F_sed_8m_R2_F3_08Aug22",3537,242,0.081,NA,NA,NA,NA,NA,NA,0.161927367768595,0.0535519338842975,1.42039058760895,0.469745564852349
"BVR",2022-08-08,50,14,8,NA,"B_sed_8m_R1_F3_08Aug22","B_sed_8m_R2_F3_08Aug22",3470,180,0.036,NA,NA,NA,NA,NA,NA,0.0994424888888889,0.0483332444444445,0.872287230828309,0.423968390418102
"FCR",2022-08-08,50,14,4,NA,"F_sed_4m_R1_F3_08Aug22","F_sed_4m_R2_F3_08Aug22",3238,280,0.023,NA,NA,NA,NA,NA,NA,0.0495275228571429,0.0179523971428571,0.434444333056814,0.157474405210936
"BVR",2022-08-08,50,14,4,NA,"B_sed_4m_R1_F3_08Aug22","B_sed_4m_R2_F3_08Aug22",3477,238,0.028,NA,NA,NA,NA,NA,NA,0.063304774789916,0.0237487865546218,0.555295299994,0.208319034355729
"FCR",2022-08-08,50,14,4,0.0040715,"F_sed_4m_R1_F1_08Aug22","F_sed_4m_R1_F2_08Aug22",2954,284,0.024,17.827163801514,0.453648481619629,0.01,20,0.0370855224434312,0.000943716630073511,NA,NA,NA,NA
"FCR",2022-08-08,50,14,4,0.0040715,"F_sed_4m_R2_F1_08Aug22","F_sed_4m_R2_F2_08Aug22",3522,284,0.019,16.3714290709214,0.449898736394299,0.01,20,0.0406057557660458,0.00111587559829628,NA,NA,NA,NA
"FCR",2022-08-08,50,14,8,0.0040715,"F_sed_8m_R1_F1_08Aug22","F_sed_8m_R1_F2_08Aug22",3578,262,0.083,125.528334536188,1.146803898211,0.01,20,0.342855252649223,0.00313226286091523,NA,NA,NA,NA
"FCR",2022-08-08,50,14,8,0.0040715,"F_sed_8m_R2_F1_08Aug22","F_sed_8m_R2_F2_08Aug22",3496,238,0.08,139.613036518581,1.13290197633863,0.01,20,0.410157290478116,0.00332825656242003,NA,NA,NA,NA
"BVR",2022-08-08,50,14,4,0.0040715,"B_sed_4m_R1_F1_08Aug22","B_sed_4m_R1_F2_08Aug22",3522,240,0.025,8.6216982972328,0.721529084181817,0.01,20,0.0253046845023783,0.00211768786207363,NA,NA,NA,NA
"BVR",2022-08-08,50,14,4,0.0040715,"B_sed_4m_R2_F1_08Aug22","B_sed_4m_R2_F2_08Aug22",3432,238,0.025,8.89867575272617,0.534771603326824,0.01,20,0.0256640799860136,0.00154229927951064,NA,NA,NA,NA
"BVR",2022-08-08,50,14,8,0.0040715,"B_sed_8m_R1_F1_08Aug22","B_sed_8m_R1_F2_08Aug22",3494,200,0.035,27.0083988494499,0.332351635353726,0.01,20,0.0943673455799778,0.00116123661392592,NA,NA,NA,NA
"BVR",2022-08-08,50,14,8,0.0040715,"B_sed_8m_R2_F1_08Aug22","B_sed_8m_R2_F2_08Aug22",3446,160,0.029,20.6192298119625,0.24435181052914,0.01,20,0.0888173324150287,0.00105254542385427,NA,NA,NA,NA
"BVR",2022-08-22,50,14,8,NA,"B_sed_8m_R1_F3_22Aug22","B_sed_8m_R2_F3_22Aug22",2127,160,0.022,NA,NA,NA,NA,NA,NA,0.05040724125,0.0325431,0.44216102568376,0.2854607813898
"FCR",2022-08-22,50,14,4,NA,"F_sed_4m_R1_F3_22Aug22","F_sed_4m_R2_F3_22Aug22",3598,276,0.02,NA,NA,NA,NA,NA,NA,0.0490240536231884,0.0198124652173913,0.430028013747026,0.173790505582282
"BVR",2022-08-22,50,14,4,NA,"B_sed_4m_R1_F3_22Aug22","B_sed_4m_R2_F3_22Aug22",3597,317,0.029,NA,NA,NA,NA,NA,NA,0.0535805488958991,0.026724461829653,0.46999656932246,0.234420991119919
"FCR",2022-08-22,50,14,8,NA,"F_sed_8m_R1_F3_22Aug22","F_sed_8m_R2_F3_22Aug22",3659,162,0.051,NA,NA,NA,NA,NA,NA,0.16114507037037,0.0400095839506173,1.41352845011816,0.350955105617597
"FCR",2022-08-22,50,14,4,0.0040715,"F_sed_4m_R1_F1_22Aug22","F_sed_4m_R1_F2_22Aug22",3604,276,0.021,16.2510831325017,0.221802537527557,0.01,20,0.0424412344996638,0.000579258221195157,NA,NA,NA,NA
"FCR",2022-08-22,50,14,4,0.0040715,"F_sed_4m_R2_F1_22Aug22","F_sed_4m_R2_F2_22Aug22",3592,282,0.019,20.4780739239681,0.298797724035188,0.01,20,0.0521682564077259,0.000761192499811628,NA,NA,NA,NA
"FCR",2022-08-22,50,14,8,0.0040715,"F_sed_8m_R1_F1_22Aug22","F_sed_8m_R1_F2_22Aug22",3636,156,0.043,63.8843282701245,0.350519907709863,0.01,20,0.297799253320734,0.00163396203132444,NA,NA,NA,NA
