DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR_umolm2s,DescRate_ms,Flag,Reservoir,Site,SN,CDOM_ugL,Phycoerythrin_ugL,Phycocyanin_ugL
2025-02-10T12:23:34Z,0.024,6.2233,5.4188,3.0614,24.136139,38.663,11.345,90.287,7.226,256.2043,227.19,0.013,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.029,6.2133,5.5504,3.0819,24.011767,38.467,11.3078,89.984,7.229,256.8334,248.7,0.013,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.032,6.2106,5.7566,3.0388,23.967396,38.399,11.2622,89.761,7.233,257.4021,271.79,0.011,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.032,6.2129,5.856,3.0183,23.980142,38.423,11.2194,89.643,7.235,257.7458,279.07,0.006,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.032,6.2125,5.8531,3.1077,24.039044,38.519,11.1757,89.615,7.237,257.8924,267.92,0.002,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.032,6.2091,5.7056,3.1635,24.172258,38.733,11.1368,89.604,7.241,257.8836,257.88,0.001,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.032,6.2066,5.4288,3.1118,24.322493,38.973,11.109,89.532,7.246,257.7261,257.3,0.002,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.032,6.2043,5.2783,3.0295,24.396944,39.084,11.0951,89.397,7.25,257.6216,257.74,0.003,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.032,6.202,5.2592,3.0226,24.438284,39.133,11.0957,89.227,7.252,257.6535,261.22,0.004,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.034,6.2015,5.2563,3.0627,24.505253,39.216,11.1001,89.041,7.255,257.6815,264.61,0.005,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.037,6.2015,5.2933,3.0362,24.572506,39.296,11.0893,88.846,7.259,257.7873,260.48,0.005,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.2063,5.3645,2.9761,24.617272,39.336,11.0698,88.614,7.263,258.0727,264.22,0.005,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.2219,5.4015,2.9501,24.666034,39.381,11.0447,88.348,7.266,258.3789,272.15,0.004,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.2417,5.3997,2.9953,24.71817,39.433,11.0139,88.075,7.269,258.6502,263.15,0.002,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.2639,5.4097,3.0778,24.740328,39.438,10.9867,87.78,7.274,258.8572,244.27,0.001,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.2898,5.4301,3.0948,24.743702,39.415,10.9508,87.457,7.277,259.0747,232.03,0,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.3158,5.4301,3.064,24.758977,39.413,10.9076,87.105,7.281,259.3878,235.69,2.0643e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.3412,5.4269,3.0808,24.798197,39.449,10.8697,86.71,7.285,259.6319,250.74,2.2707e-7,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.3647,5.4655,3.0937,24.837412,39.486,10.8262,86.261,7.289,259.8746,265.71,2.2707e-7,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.3868,5.5227,3.0826,24.85264,39.486,10.7803,85.768,7.292,260.6877,272.33,2.0643e-8,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.4083,5.5447,3.0833,24.855499,39.466,10.7323,85.283,7.296,261.8921,268.17,1.8767e-9,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.4289,5.5312,3.0333,24.871984,39.467,10.6776,84.818,7.3,262.5628,251.72,1.706e-10,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.449,5.5011,3.0252,24.92514,39.527,10.6185,84.351,7.304,262.7744,232.79,1.551e-11,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.04,6.4687,5.4633,3.0881,24.990866,39.607,10.5483,83.891,7.306,262.6435,232.24,1.4105e-12,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.4889,5.4233,3.0754,25.032499,39.65,10.4823,83.437,7.31,262.2713,248.05,1.3477e-13,0,FCR,50,7809,NA,NA,NA
2025-02-10T12:23:34Z,0.039,6.5089,5.4003,3.0769,25.048032,39.651,10.4238,82.988,7.314,262.4037,264.09,8.4211e-14,0,FCR,50,7809,NA,NA,NA
