Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag,CDOM_ugL,Phycoerythrin,Phycocyanin
2022-07-14T10:01:20Z,12.067,11.2013,2.5201,3.9337,73.064886,100.948,6.2896,57.406,1.3842,7.938901974841853,0.064,0,3.8748,0.0468,0.0834
2022-07-14T10:01:20Z,12.081,11.1904,2.5227,3.9595,73.099555,101.002,6.2901,57.396,1.3938,7.945817000789047,0.07,0,3.8711,0.04,0.0862
2022-07-14T10:01:20Z,12.084,11.1861,2.5217,3.9596,73.077173,100.981,6.2995,57.366,1.4081,7.944959455513481,0.072,0,3.8626,0.0441,0.0822
2022-07-14T10:01:20Z,12.092,11.1869,2.5153,3.9372,73.064843,100.974,6.3022,57.318,1.3893,7.944193813383648,0.073,0,3.8853,0.0417,0.0884
2022-07-14T10:01:20Z,12.114,11.1872,2.5063,3.8955,73.085752,101.01,6.301,57.281,1.3357,7.947179490133928,0.074,0,4.0338,0.0432,0.1233
2022-07-14T10:01:20Z,12.146,11.185,2.5023,3.8728,73.059386,100.975,6.3011,57.252,1.2905,7.9446791890724064,0.075,0,4.0599,0.0422,0.1286
2022-07-14T10:01:20Z,12.176,11.181,2.5011,3.8724,73.016637,100.911,6.2993,57.223,1.2715,7.940106099972209,0.074,0,4.0439,0.0428,0.1267
2022-07-14T10:01:20Z,12.195,11.1768,2.5009,3.8906,72.974765,100.845,6.2918,57.222,1.2613,7.935407412103515,0.068,0,4.0537,0.0424,0.1256
2022-07-14T10:01:20Z,12.205,11.1746,2.5056,3.9362,72.958988,100.821,6.2887,57.219,1.2562,7.93384244313606,0.058,0,4.0477,0.0428,0.085
2022-07-14T10:01:20Z,12.211,11.1732,2.5128,3.9801,72.961164,100.83,6.2877,57.191,1.2599,7.934905585580307,0.052,0,4.0514,0.0424,0.0874
2022-07-14T10:01:20Z,12.219,11.1751,2.5154,3.9967,72.933426,100.801,6.2801,57.167,1.2496,7.932037821537915,0.052,0,4.0491,0.0429,0.0777
2022-07-14T10:01:20Z,12.232,11.1801,2.5149,4.0013,72.894182,100.757,6.2825,57.145,1.2238,7.927233567909626,0.061,0,4.0506,0.0423,0.0972
2022-07-14T10:01:20Z,12.249,11.1812,2.521,4.0362,72.824878,100.672,6.2834,57.102,1.2046,7.919788764341017,0.075,0,4.0497,0.0431,0.1979
2022-07-14T10:01:20Z,12.269,11.1782,2.5329,4.1,72.77192,100.608,6.2779,57.034,1.1821,7.915001786912943,0.087,0,4.0503,0.0418,0.2215
2022-07-14T10:01:20Z,12.295,11.1743,2.5393,4.1346,72.79503,100.647,6.2763,56.958,1.1465,7.919140082111737,0.094,0,4.0498,0.0439,0.2024
2022-07-14T10:01:20Z,12.327,11.1703,2.5396,4.1331,72.833703,100.705,6.2763,56.891,1.108,7.9249114423478,0.094,0,4.0501,0.0404,0.2218
2022-07-14T10:01:20Z,12.358,11.1664,2.5441,4.0821,72.833642,100.708,6.2718,56.829,1.0747,7.925997059117821,0.087,0,4.0498,0.0461,0.1975
2022-07-14T10:01:20Z,12.382,11.1629,2.5536,3.989,72.794295,100.656,6.2644,56.772,1.0562,7.922332684124278,0.077,0,4.0504,0.0821,0.098
2022-07-14T10:01:20Z,12.397,11.1605,2.5583,3.9383,72.763821,100.613,6.2547,56.706,1.0488,7.919197278492219,0.065,0,4.0495,0.0862,0.0763
2022-07-14T10:01:20Z,12.406,11.1588,2.5574,3.9325,72.735767,100.571,6.2493,56.623,1.0375,7.915997256429999,0.052,0,4.0508,0.0862,0.0899
2022-07-14T10:01:20Z,12.414,11.1579,2.5486,3.9206,72.725672,100.553,6.2415,56.552,1.023,7.914661859760994,0.042,0,4.0488,0.082,0.0811
2022-07-14T10:01:20Z,12.424,11.1572,2.5329,3.9,72.777061,100.617,6.2358,56.479,1.0118,7.920240038426033,0.036,0,4.052,0.0462,0.0873
2022-07-14T10:01:20Z,12.434,11.1568,2.5245,3.8887,72.815946,100.661,6.231,56.41,1.0036,7.9240574671105914,0.034,0,4.0467,0.0405,0.0821
2022-07-14T10:01:20Z,12.444,11.1587,2.5252,3.8864,72.789973,100.618,6.2172,56.381,0.99916,7.920001499521794,0.036,0,4.0553,0.044,0.0874
2022-07-14T10:01:20Z,12.452,11.1601,2.5431,3.8736,72.733608,100.544,6.2122,56.371,0.99695,7.913423471313647,0.04,0,4.0413,0.0418,0.0806
2022-07-14T10:01:20Z,12.457,11.1617,2.5766,3.8505,72.675593,100.474,6.2038,56.367,0.98142,7.907143484212109,0.046,0,3.9687,0.0431,0.0457
2022-07-14T10:01:20Z,12.467,11.1666,2.5949,3.8376,72.629655,100.42,6.1918,56.391,0.95416,7.9015161685659585,0.054,0,3.9546,0.0423,0.0412
2022-07-14T10:01:20Z,12.484,11.1706,2.5952,3.8335,72.584038,100.367,6.1909,56.426,0.93478000000000006,7.896166171852705,0.065,0,3.9632,0.0428,0.0415
2022-07-14T10:01:20Z,12.504,11.1687,2.5877,3.8054,72.529888,100.304,6.1907,56.45,0.91965,7.89122727844279,0.076,0,3.958,0.0425,0.0454
2022-07-14T10:01:20Z,12.524,11.1628,2.5751,3.755,72.516079,100.294,6.1885,56.46,0.90134,7.891635255278326,0.082,0,3.9613,0.0426,0.0811
2022-07-14T10:01:20Z,12.549,11.1605,2.5682,3.7282,72.552359,100.348,6.1934,56.444,0.88537,7.89670269639176,0.082,0,3.9592,0.0426,0.0867
2022-07-14T10:01:20Z,12.577,11.1572,2.5676,3.7274,72.562677,100.36,6.199,56.405,0.87121,7.898421231899373,0.078,0,3.9604,0.0427,0.0833
2022-07-14T10:01:20Z,12.599,11.1519,2.5731,3.746,72.505551,100.279,6.2011,56.368,0.85552,7.892678698203827,0.075,0,3.9597,0.0426,0.0853
2022-07-14T10:01:20Z,12.612,11.1485,2.5828,3.781,72.470442,100.235,6.2041,56.316,0.83477,7.889670426047818,0.074,0,3.9602,0.0426,0.0842
2022-07-14T10:01:20Z,12.622,11.1465,2.5868,3.7998,72.476389,100.253,6.2029,56.26,0.82246,7.891623292346192,0.074,0,3.9599,0.0426,0.0848
2022-07-14T10:01:20Z,12.637,11.1487,2.5861,3.7995,72.442168,100.215,6.1956,56.235,0.81771,7.8879290184148285,0.077,0,3.9601,0.0426,0.0846
2022-07-14T10:01:20Z,12.66,11.1509,2.5825,3.7747,72.394882,100.157,6.1934,56.212,0.78259,7.882537531539474,0.084,0,3.9599,0.0426,0.0843
2022-07-14T10:01:20Z,12.687,11.148,2.5758,3.7281,72.378154,100.14,6.1884,56.17,0.72797,7.88171019105281,0.089,0,3.96,0.0426,0.0852
2022-07-14T10:01:20Z,12.715,11.1436,2.5728,3.7023,72.375202,100.14,6.1784,56.132,0.69619,7.882644663603858,0.089,0,3.96,0.0426,0.0837
2022-07-14T10:01:20Z,12.742,11.1407,2.5742,3.6951,72.359186,100.119,6.18,56.086,0.68129,7.881477674756724,0.083,0,3.96,0.0426,0.0861
2022-07-14T10:01:20Z,12.764,11.1379,2.5775,3.6405,72.319787,100.065,6.1787,56.02,0.66123,7.877490008511573,0.075,0,3.9599,0.0426,0.0821
2022-07-14T10:01:20Z,12.779,11.1354,2.5832,3.5414,72.304682,100.047,6.1718,55.932,0.64586,7.8764936083037655,0.069,0,3.9601,0.0426,0.0887
2022-07-14T10:01:20Z,12.788,11.134,2.5875,3.4876,72.311838,100.062,6.1694,55.824,0.64158,7.8780637774154565,0.066,0,3.9598,0.0427,0.1227
2022-07-14T10:01:20Z,12.8,11.1335,2.5892,3.481,72.271019,100.012,6.1651,55.739,0.63581,7.873926815716862,0.065,0,3.9603,0.0425,0.1295
2022-07-14T10:01:20Z,12.817,11.134,2.5973,3.4606,72.216994,99.942,6.1568,55.689,0.62307,7.867879329758241,0.067,0,3.9595,0.0428,0.1252
