
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20220627,,Exported,"Aqua4Plus 1.9.6"
# Records,  2019 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,14.50,13.819,
,Maximum,35.56,14.027,
,Mean,24.88,13.926,
,Variance,24.873,0.0019,
,Std Deviation,4.987,0.0431,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
156,29-Jun-22 01:23:46,18.00,14.009
157,29-Jun-22 01:38:46,17.88,14.012
158,29-Jun-22 01:53:46,17.81,14.013
159,29-Jun-22 02:08:46,17.63,14.013
160,29-Jun-22 02:23:46,17.44,14.013
161,29-Jun-22 02:38:46,17.25,14.011
162,29-Jun-22 02:53:46,17.19,14.009
163,29-Jun-22 03:08:46,17.00,14.011
164,29-Jun-22 03:23:46,16.81,14.012
165,29-Jun-22 03:38:46,16.69,14.010
166,29-Jun-22 03:53:46,16.69,14.007
167,29-Jun-22 04:08:46,16.50,14.007
168,29-Jun-22 04:23:46,16.31,14.008
169,29-Jun-22 04:38:46,16.19,14.008
170,29-Jun-22 04:53:46,16.06,14.007
171,29-Jun-22 05:08:46,15.88,14.008
172,29-Jun-22 05:23:46,15.75,14.009
173,29-Jun-22 05:38:46,15.69,14.010
174,29-Jun-22 05:53:46,15.63,14.011
175,29-Jun-22 06:08:46,15.50,14.013
176,29-Jun-22 06:23:46,15.56,14.014
177,29-Jun-22 06:38:46,15.63,14.014
178,29-Jun-22 06:53:46,15.81,14.015
179,29-Jun-22 07:08:46,16.13,14.014
180,29-Jun-22 07:23:46,16.50,14.014
181,29-Jun-22 07:38:46,16.69,14.017
182,29-Jun-22 07:53:46,17.00,14.018
183,29-Jun-22 08:08:46,17.88,14.021
184,29-Jun-22 08:23:46,18.75,14.022
185,29-Jun-22 08:38:46,20.88,14.024
186,29-Jun-22 08:53:46,22.50,14.025
187,29-Jun-22 09:08:46,23.19,14.025
188,29-Jun-22 09:23:46,24.25,14.026
189,29-Jun-22 09:38:46,24.69,14.026
190,29-Jun-22 09:53:46,25.94,14.024
191,29-Jun-22 10:08:46,26.69,14.024
192,29-Jun-22 10:23:46,27.25,14.024
193,29-Jun-22 10:38:46,27.06,14.027
194,29-Jun-22 10:53:46,27.38,14.027
195,29-Jun-22 11:08:46,28.44,14.026
196,29-Jun-22 11:23:46,28.88,14.026
197,29-Jun-22 11:38:46,29.00,14.026
198,29-Jun-22 11:53:46,29.25,14.027
199,29-Jun-22 12:08:46,29.63,14.024
200,29-Jun-22 12:23:46,29.81,14.024
201,29-Jun-22 12:38:46,29.94,14.020
202,29-Jun-22 12:53:46,29.88,14.020
203,29-Jun-22 13:08:46,30.25,14.020
204,29-Jun-22 13:23:46,30.44,14.017
205,29-Jun-22 13:38:46,30.69,14.012
206,29-Jun-22 13:53:46,30.81,14.009
207,29-Jun-22 14:08:46,31.00,14.008
208,29-Jun-22 14:23:46,30.88,14.006
209,29-Jun-22 14:38:46,30.94,14.003
210,29-Jun-22 14:53:46,31.44,14.001
211,29-Jun-22 15:08:46,31.50,14.000
212,29-Jun-22 15:23:46,31.63,13.997
213,29-Jun-22 15:38:46,31.56,13.995
214,29-Jun-22 15:53:46,31.94,13.994
215,29-Jun-22 16:08:46,32.00,13.993
216,29-Jun-22 16:23:46,31.00,13.994
217,29-Jun-22 16:38:46,31.13,13.992
218,29-Jun-22 16:53:46,31.38,13.990
219,29-Jun-22 17:08:46,31.25,13.989
220,29-Jun-22 17:23:46,30.94,13.987
221,29-Jun-22 17:38:46,31.00,13.985
222,29-Jun-22 17:53:46,31.31,13.984
223,29-Jun-22 18:08:46,31.31,13.985
224,29-Jun-22 18:23:46,31.50,13.985
225,29-Jun-22 18:38:46,31.25,13.985
226,29-Jun-22 18:53:46,31.38,13.986
227,29-Jun-22 19:08:46,31.19,13.988
228,29-Jun-22 19:23:46,30.00,13.988
229,29-Jun-22 19:38:46,29.13,13.990
230,29-Jun-22 19:53:46,27.94,13.991
231,29-Jun-22 20:08:46,26.94,13.995
232,29-Jun-22 20:23:46,26.19,13.996
233,29-Jun-22 20:38:46,25.63,13.996
234,29-Jun-22 20:53:46,25.31,13.996
235,29-Jun-22 21:08:46,25.00,13.999
236,29-Jun-22 21:23:46,24.63,13.999
237,29-Jun-22 21:38:46,24.13,14.003
238,29-Jun-22 21:53:46,23.69,14.006
239,29-Jun-22 22:08:46,23.31,14.009
240,29-Jun-22 22:23:46,22.94,14.010
241,29-Jun-22 22:38:46,22.75,14.012
242,29-Jun-22 22:53:46,22.56,14.010
243,29-Jun-22 23:08:46,22.31,14.012
244,29-Jun-22 23:23:46,22.13,14.013
245,29-Jun-22 23:38:46,21.94,14.016
246,29-Jun-22 23:53:46,21.81,14.016
247,30-Jun-22 00:08:46,21.75,14.016
248,30-Jun-22 00:23:46,21.63,14.017
249,30-Jun-22 00:38:46,21.56,14.018
250,30-Jun-22 00:53:46,21.50,14.017
251,30-Jun-22 01:08:46,21.44,14.019
252,30-Jun-22 01:23:46,21.31,14.017
253,30-Jun-22 01:38:46,21.25,14.018
254,30-Jun-22 01:53:46,21.13,14.017
255,30-Jun-22 02:08:46,21.00,14.016
256,30-Jun-22 02:23:46,20.88,14.014
257,30-Jun-22 02:38:46,20.75,14.013
258,30-Jun-22 02:53:46,20.63,14.012
259,30-Jun-22 03:08:46,20.38,14.010
260,30-Jun-22 03:23:46,20.25,14.009
261,30-Jun-22 03:38:46,20.06,14.008
262,30-Jun-22 03:53:46,20.00,14.007
263,30-Jun-22 04:08:46,19.81,14.007
264,30-Jun-22 04:23:46,19.69,14.008
265,30-Jun-22 04:38:46,19.56,14.009
266,30-Jun-22 04:53:46,19.44,14.008
267,30-Jun-22 05:08:46,19.31,14.008
268,30-Jun-22 05:23:46,19.19,14.010
269,30-Jun-22 05:38:46,19.13,14.012
270,30-Jun-22 05:53:46,19.06,14.013
271,30-Jun-22 06:08:46,18.94,14.013
272,30-Jun-22 06:23:46,18.94,14.013
273,30-Jun-22 06:38:46,19.00,14.014
274,30-Jun-22 06:53:46,19.13,14.012
275,30-Jun-22 07:08:46,19.19,14.012
276,30-Jun-22 07:23:46,19.44,14.011
277,30-Jun-22 07:38:46,19.75,14.012
278,30-Jun-22 07:53:46,20.13,14.015
279,30-Jun-22 08:08:46,20.88,14.015
280,30-Jun-22 08:23:46,22.56,14.017
281,30-Jun-22 08:38:46,24.31,14.017
282,30-Jun-22 08:53:46,25.56,14.017
283,30-Jun-22 09:08:46,27.13,14.018
284,30-Jun-22 09:23:46,28.25,14.017
285,30-Jun-22 09:38:46,28.81,14.017
286,30-Jun-22 09:53:46,29.50,14.017
287,30-Jun-22 10:08:46,30.31,14.014
288,30-Jun-22 10:23:46,30.94,14.013
289,30-Jun-22 10:38:46,31.69,14.011
290,30-Jun-22 10:53:46,31.75,14.011
291,30-Jun-22 11:08:46,32.00,14.012
