sep=,
No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time,
49,49,20.00,f27sep19_8m_f2,very low,6565,13704,10.490,20.697,0.9185,0.9801,0,0,1.9730,,,2022/02/11,12:16:57 AM,
50,50,20.00,b28oct19_10m_f2,very low,2698,10335,4.493,15.656,0.9185,0.9801,0,0,3.4844,,,2022/02/11,12:27:46 AM,
51,51,20.00,f8jul19_8m_f2,very low,5321,18049,8.560,27.203,0.9185,0.9801,0,0,3.1781,,,2022/02/11,12:38:30 AM,
52,52,20.00,b13jun19_5m_f2,very low,5566,19524,8.939,29.411,0.9185,0.9801,0,0,3.2901,,,2022/02/11,12:49:23 AM,
53,53,20.00,b11Jul19_10m_f2,very low,6373,28698,10.192,43.150,0.9185,0.9801,0,0,4.2337,,,2022/02/11,01:00:11 AM,
54,54,20.00,b4sep19_5m_f2,very low,2522,7296,4.220,11.108,0.9185,0.9801,0,0,2.6320,,,2022/02/11,01:11:04 AM,
55,55,20.00,b29apr19_5m_f2,very low,2694,8380,4.487,12.730,0.9185,0.9801,0,0,2.8371,,,2022/02/11,01:21:48 AM,
56,56,20.00,f13may19_8m_f1,very low,4052,9523,6.591,14.440,0.9185,0.9801,0,0,2.1908,,,2022/02/11,01:32:27 AM,
57,57,20.00,b18oct19_10m_f2,very low,5649,10551,9.069,15.978,0.9185,0.9801,0,0,1.7620,,,2022/02/11,01:43:03 AM,
58,58,9.14,aa as unknown,very low,3012,10957,10.895,36.294,0.9185,0.9801,0,0,3.3312,,,2022/02/11,01:53:43 AM,
59,59,20.00,b18oct19_5m_f2,very low,7561,8225,12.035,12.499,0.9185,0.9801,0,0,1.0385,,,2022/02/11,02:04:25 AM,
60,60,20.00,b4oct19_10m_f2,very low,6317,11069,10.104,16.755,0.9185,0.9801,0,0,1.6582,,,2022/02/11,02:15:07 AM,
61,61,20.00,b20sep19_5m_f1,very low,4332,7632,7.026,11.611,0.9185,0.9801,0,0,1.6526,,,2022/02/11,02:25:44 AM,
62,62,20.00,b11jul19_5m_f2,very low,4799,16194,7.751,24.424,0.9185,0.9801,0,0,3.1512,,,2022/02/11,02:36:28 AM,
63,70,9.64,aa as unknown,very low,2988,11329,10.254,35.566,0.9185,0.9801,0,0,3.4685,,,2022/02/11,02:47:18 AM,
64,83,0.00,,,0,0,0.000,0.000,0.9185,0.9801,0,0,0.0000,,,,,
