"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_DateTime","Flag_Chla_ugL","Flag_Pheo_ugL"
"143","GWR",50,2014-09-30 12:00:00,12,54.1,NA,1,0,2
"144","SHR",50,2014-10-03 12:00:00,0.1,2.9,NA,1,0,2
"145","SHR",50,2014-10-03 12:00:00,8,5.2,NA,1,0,2
"146","SHR",50,2014-10-03 12:00:00,28,0.6,NA,1,0,2
"147","CCR",50,2014-10-03 12:00:00,0.1,6.3,NA,1,0,2
"148","CCR",50,2014-10-03 12:00:00,6,10.9,NA,1,0,2
"149","CCR",50,2014-10-03 12:00:00,19,9.8,NA,1,0,2
"150","SHR",50,2014-10-24 12:00:00,0.1,2.3,NA,1,0,2
"151","SHR",50,2014-10-24 12:00:00,7,2.9,NA,1,0,2
"152","SHR",50,2014-10-24 12:00:00,28,0,NA,1,0,2
"153","CCR",50,2014-10-24 12:00:00,0.1,11.5,NA,1,0,2
"154","CCR",50,2014-10-24 12:00:00,6,14.4,NA,1,0,2
"155","CCR",50,2014-10-24 12:00:00,20,23,NA,1,0,2
"156","SHR",50,2015-05-08 12:00:00,8,1.2,0,1,0,4
"157","SHR",50,2015-05-08 12:00:00,28,1.2,0,1,0,4
"158","SHR",50,2015-05-08 12:00:00,0.1,0.6,0,1,4,4
"159","CCR",50,2015-05-08 12:00:00,0.1,3.5,0,1,0,4
"160","CCR",50,2015-05-08 12:00:00,21,1.7,0,1,0,4
"161","CCR",50,2015-05-08 12:00:00,6,1.7,2,1,0,0
"162","GWR",50,2015-05-09 12:00:00,14,0.6,1.5,1,4,0
"163","GWR",50,2015-05-09 12:00:00,5,5.2,1.9,1,0,0
"164","GWR",50,2015-05-09 12:00:00,0.1,1.2,2.2,1,0,0
"165","GWR",50,2015-05-20 12:00:00,13,0.6,0.3,1,4,4
"166","GWR",50,2015-05-20 12:00:00,5,10.4,6.6,1,0,0
"167","SHR",50,2015-05-22 12:00:00,28,1.2,0,1,0,4
"168","SHR",50,2015-05-22 12:00:00,0.1,1.2,0.1,1,0,4
"169","SHR",50,2015-05-22 12:00:00,8,1.2,0.5,1,0,4
"170","CCR",50,2015-05-22 12:00:00,0.1,1.2,1.3,1,0,0
"171","CCR",50,2015-05-22 12:00:00,6,2.3,1.4,1,0,0
"172","CCR",50,2015-05-22 12:00:00,21,4,5.5,1,0,0
"173","CCR",50,2015-05-29 12:00:00,0.1,1.2,0,1,0,4
"174","SHR",50,2015-05-29 12:00:00,8,2.3,0,1,0,4
"175","SHR",50,2015-05-29 12:00:00,0.1,1.2,0.1,1,0,4
"176","SHR",50,2015-05-29 12:00:00,31,0.6,0.3,1,4,4
"177","CCR",50,2015-05-29 12:00:00,6,1.7,0.3,1,0,4
"178","CCR",50,2015-05-29 12:00:00,21,1.7,2.4,1,0,0
"179","GWR",50,2015-05-30 12:00:00,9,1.7,0.8,1,0,0
"180","GWR",50,2015-05-30 12:00:00,13,0.6,1.5,1,4,0
"181","GWR",50,2015-05-30 12:00:00,0.1,4.6,2,1,0,0
"182","GWR",50,2015-05-30 12:00:00,5,8.1,5.6,1,0,0
"183","GWR",50,2015-06-10 12:00:00,14,1.7,0,1,0,4
"184","GWR",50,2015-06-10 12:00:00,0.1,2.3,0.6,1,0,4
"185","GWR",50,2015-06-10 12:00:00,9,1.2,1.3,1,0,0
"186","GWR",50,2015-06-10 12:00:00,5,2.3,4.7,1,0,0
"187","SHR",50,2015-06-12 12:00:00,0.1,1.2,0.1,1,0,4
"188","SHR",50,2015-06-12 12:00:00,8,3.5,0.3,1,0,4
"189","CCR",50,2015-06-12 12:00:00,0.1,0,0.4,1,4,4
"190","SHR",50,2015-06-12 12:00:00,31,1.2,0.5,1,0,4
"191","CCR",50,2015-06-12 12:00:00,6,1.7,1.6,1,0,0
"192","GWR",50,2015-06-22 12:00:00,0.1,1.2,0.1,1,0,4
"193","GWR",50,2015-06-22 12:00:00,14,1.9,0.2,1,0,4
"194","GWR",50,2015-06-22 12:00:00,9,1.7,1.2,1,0,0
"195","GWR",50,2015-06-22 12:00:00,5,8.1,4,1,0,0
"196","SHR",50,2015-06-26 12:00:00,0.1,0.6,0.7,1,4,4
"197","CCR",50,2015-06-26 12:00:00,0.1,0.6,1.1,1,4,0
"198","SHR",50,2015-06-26 12:00:00,31,1.2,1.3,1,0,0
"199","SHR",50,2015-06-26 12:00:00,8,2.3,1.4,1,0,0
"200","CCR",50,2015-06-26 12:00:00,6,2.9,2.1,1,0,0
"201","CCR",50,2015-06-26 12:00:00,21,3.8,6.5,1,0,0
"202","GWR",50,2015-07-05 12:00:00,5,12.1,9.1,1,0,0
"203","GWR",50,2015-07-06 12:00:00,0.1,3.5,1.9,1,0,0
"204","GWR",50,2015-07-06 12:00:00,14,2.9,2,1,0,0
"205","GWR",50,2015-07-06 12:00:00,9,1.2,2.6,1,0,0
"206","CCR",50,2015-07-10 12:00:00,0.1,1.2,0,1,0,4
"207","SHR",50,2015-07-10 12:00:00,8,1.2,0.1,1,0,4
"208","SHR",50,2015-07-10 12:00:00,0.1,0.6,0.3,1,4,4
"209","SHR",50,2015-07-10 12:00:00,31,0,0.4,1,4,4
"210","CCR",50,2015-07-10 12:00:00,6,4,0.9,1,0,0
"211","CCR",50,2015-07-10 12:00:00,20,1.7,4.5,1,0,0
"212","GWR",50,2015-07-20 12:00:00,0.1,2.3,0.6,1,0,4
"213","GWR",50,2015-07-20 12:00:00,14,0.6,1.5,1,4,0
"214","GWR",50,2015-07-20 12:00:00,9,2.3,1.8,1,0,0
"215","GWR",50,2015-07-20 12:00:00,5,5.8,3.4,1,0,0
"216","SHR",50,2015-07-24 12:00:00,31,0.6,0,1,4,4
"217","SHR",50,2015-07-24 12:00:00,0.1,0,0,1,4,4
"218","CCR",50,2015-07-24 12:00:00,0.1,1.7,0.3,1,0,4
"219","SHR",50,2015-07-24 12:00:00,8,0.6,0.7,1,4,4
"220","CCR",50,2015-07-24 12:00:00,20,1.9,0.8,1,0,4
"221","CCR",50,2015-07-24 12:00:00,6,1.7,1.2,1,0,0
"222","GWR",50,2015-07-26 12:00:00,0.1,1.7,2,1,0,0
"223","GWR",50,2015-08-03 12:00:00,9,2.9,0.7,1,0,4
"224","FCR",50,2015-08-03 12:00:00,9,9.6,1.5,1,0,4
