"Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla_ugL","Flag_Pheo_ugL"
"SHR",50,2015-05-08 12:00:00,0.1,0.6,0,4,4
"CCR",50,2015-05-08 12:00:00,0.1,3.5,0,0,4
"CCR",50,2015-05-08 12:00:00,21,1.7,0,0,4
"CCR",50,2015-05-08 12:00:00,6,1.7,2,0,0
"GWR",50,2015-05-09 12:00:00,14,0.6,1.5,4,0
"GWR",50,2015-05-09 12:00:00,5,5.2,1.9,0,0
"GWR",50,2015-05-09 12:00:00,0.1,1.2,2.2,0,0
"GWR",50,2015-05-20 12:00:00,13,0.6,0.3,4,4
"GWR",50,2015-05-20 12:00:00,5,10.4,6.6,0,0
"SHR",50,2015-05-22 12:00:00,28,1.2,0,0,4
"SHR",50,2015-05-22 12:00:00,0.1,1.2,0.1,0,4
"SHR",50,2015-05-22 12:00:00,8,1.2,0.5,0,4
"CCR",50,2015-05-22 12:00:00,0.1,1.2,1.3,0,0
"CCR",50,2015-05-22 12:00:00,6,2.3,1.4,0,0
"CCR",50,2015-05-22 12:00:00,21,4,5.5,0,0
"CCR",50,2015-05-29 12:00:00,0.1,1.2,0,0,4
"SHR",50,2015-05-29 12:00:00,8,2.3,0,0,4
"SHR",50,2015-05-29 12:00:00,0.1,1.2,0.1,0,4
"SHR",50,2015-05-29 12:00:00,31,0.6,0.3,4,4
"CCR",50,2015-05-29 12:00:00,6,1.7,0.3,0,4
"CCR",50,2015-05-29 12:00:00,21,1.7,2.4,0,0
"GWR",50,2015-05-30 12:00:00,9,1.7,0.8,0,0
"GWR",50,2015-05-30 12:00:00,13,0.6,1.5,4,0
"GWR",50,2015-05-30 12:00:00,0.1,4.6,2,0,0
"GWR",50,2015-05-30 12:00:00,5,8.1,5.6,0,0
"GWR",50,2015-06-10 12:00:00,14,1.7,0,0,4
"GWR",50,2015-06-10 12:00:00,0.1,2.3,0.6,0,4
"GWR",50,2015-06-10 12:00:00,9,1.2,1.3,0,0
"GWR",50,2015-06-10 12:00:00,5,2.3,4.7,0,0
