"Reservoir","Site","DateTime","Secchi_m","Flag_DateTime","Flag_Secchi"
"BVR",50,2022-09-05 09:58:00,2.2,0,0
"BVR",50,2022-09-19 10:31:00,1.2,0,0
"BVR",50,2022-10-11 11:35:00,1.3,0,0
"BVR",50,2022-10-24 12:04:00,1.35,0,0
"BVR",50,2022-11-08 10:25:00,1.35,0,0
"BVR",50,2022-11-16 10:33:00,1,0,0
"BVR",50,2022-11-28 10:26:00,1.4,0,0
"CCR",50,2022-02-28 10:35:00,2.3,0,0
"CCR",50,2022-04-20 10:29:00,1.95,0,0
"CCR",50,2022-06-09 11:30:00,3.7,0,0
"CCR",50,2022-06-09 11:30:00,3.7,0,0
"CCR",50,2022-06-30 11:00:00,4.5,0,0
"CCR",50,2022-06-30 11:00:00,4.5,0,0
"CCR",50,2022-07-14 11:15:00,5,0,0
"CCR",50,2022-07-14 11:15:00,5,0,0
"CCR",50,2022-07-28 10:15:00,4,0,0
"CCR",50,2022-07-28 10:15:00,4,0,0
"CCR",50,2022-08-19 10:40:00,3.5,0,0
"CCR",50,2022-08-19 10:40:00,3.5,0,0
"CCR",50,2022-11-17 13:50:00,1.5,0,0
"FCR",50,2022-01-31 11:53:00,2.1,0,0
"FCR",50,2022-02-24 13:38:00,1.5,0,0
"FCR",50,2022-03-17 12:02:00,1.8,0,0
"FCR",50,2022-03-29 12:00:00,1.5,0,0
"FCR",50,2022-04-12 10:43:00,1.5,0,0
"FCR",50,2022-04-19 09:48:00,1.5,0,0
"FCR",50,2022-05-02 14:49:00,1.5,0,0
"FCR",50,2022-05-09 12:49:00,1.75,0,0
"FCR",50,2022-05-17 14:45:00,1.75,0,0
"FCR",50,2022-05-17 14:45:00,1.75,0,0
"FCR",50,2022-05-23 14:12:00,1.2,0,0
"FCR",50,2022-05-23 14:12:00,1.2,0,0
"FCR",50,2022-05-31 14:15:00,1,0,0
"FCR",50,2022-05-31 14:15:00,1,0,0
"FCR",50,2022-06-07 15:04:00,0.75,0,0
"FCR",50,2022-06-07 15:04:00,0.75,0,0
"FCR",50,2022-06-13 14:20:00,0.6,0,0
"FCR",50,2022-06-13 14:20:00,0.6,0,0
"FCR",50,2022-06-20 14:00:00,0.45,0,0
"FCR",50,2022-06-20 15:00:00,0.4,0,0
"FCR",50,2022-06-27 11:00:00,0.4,0,0
"FCR",50,2022-07-05 14:20:00,0.4,0,0
"FCR",50,2022-07-11 13:58:00,0.55,0,0
"FCR",50,2022-07-11 13:58:00,0.55,0,0
"FCR",50,2022-07-18 13:02:00,0.95,0,0
"FCR",50,2022-07-18 13:02:00,0.95,0,0
"FCR",50,2022-07-25 12:20:00,1.3,0,0
"FCR",50,2022-07-25 12:20:00,1.35,0,0
"FCR",50,2022-08-01 12:20:00,1.3,0,0
"FCR",50,2022-08-01 12:20:00,1.3,0,0
"FCR",50,2022-08-08 13:23:00,1.3,0,0
"FCR",50,2022-08-08 13:23:00,1.3,0,0
"FCR",50,2022-08-18 14:00:00,1.5,0,0
"FCR",50,2022-08-18 14:00:00,1.5,0,0
"FCR",50,2022-08-22 14:00:00,1.6,0,0
"FCR",50,2022-08-22 14:00:00,1.6,0,0
"FCR",50,2022-08-29 10:30:00,2,0,0
"FCR",50,2022-08-29 10:30:00,2,0,0
"FCR",50,2022-09-05 12:49:00,1.75,0,0
"FCR",50,2022-09-13 12:00:00,1.6,0,0
"FCR",50,2022-09-19 13:30:00,1.5,0,0
"FCR",50,2022-09-26 12:00:00,1.3,0,0
"FCR",50,2022-10-03 11:40:00,0.85,0,0
"FCR",50,2022-10-11 02:42:00,1.9,0,0
"FCR",50,2022-10-17 11:55:00,1.9,0,0
"FCR",50,2022-10-24 15:09:00,1.65,0,0
"FCR",50,2022-11-08 12:30:00,1.5,0,0
"FCR",50,2022-11-16 12:29:00,1.65,0,0
"FCR",50,2022-11-28 12:11:00,2.3,0,0
