Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,CO2Slope_ppmS,CO2_R2,CO2Flux_umolCm2s,CH4Slope_ppmS,CH4_R2,CH4Flux_umolCm2s,Flag_CO2Flux_umolCm2s,Flag_CH4Flux_umolCm2s,Flag_Start_time,Flag_End_time
FCR,50,2025-09-01,1,09:40:00,09:43:00,24.68,-0.021,0.97,-0.124,0,0.99,0,0,0,0,0
FCR,50,2025-09-01,2,09:47:00,09:51:00,25.59,-0.016,0.95,-0.094,0,0.98,0,0,0,0,0
FCR,199.9,2025-09-01,1,11:20:00,11:23:00,26.41,1.38,0.88,8.073,0.094,0.9,0.55,1,0,0,0
FCR,199.8,2025-09-01,1,12:40:00,12:43:00,30.34,0.356,0.97,2.056,0.022,0.98,0.127,0,0,0,0
FCR,50,2025-09-08,1,12:21:00,12:25:00,24.89,-0.03,0.98,-0.176,0,0.98,0,0,0,0,0
FCR,50,2025-09-08,2,12:28:00,12:32:00,26.25,-0.054,0.99,-0.316,0.001,0.98,0.006,0,0,0,0
FCR,50,2025-09-08,3,12:40:00,12:43:00,27.53,-0.05,0.98,-0.291,0.001,0.99,0.006,0,0,0,0
FCR,50,2025-09-08,4,12:46:00,12:50:00,28.3,-0.049,0.99,-0.285,0.001,0.99,0.006,0,0,0,0
FCR,50,2025-09-15,1,10:58:00,11:01:00,26.85,-0.031,0.97,-0.181,0,0.97,0,0,0,0,0
FCR,50,2025-09-15,2,11:05:00,11:09:00,28.16,-0.043,0.97,-0.25,0.001,0.93,0.006,0,0,0,0
FCR,50,2025-09-22,1,13:39:00,13:42:00,28.76,-0.048,0.97,-0.279,0.001,0.85,0.006,0,1,0,0
FCR,50,2025-09-22,2,13:45:00,13:49:00,29.5,-0.061,0.98,-0.353,0.001,0.88,0.006,0,1,0,0
FCR,50,2025-09-29,1,11:27:00,11:30:00,25.4,-0.048,0.97,-0.282,0.001,0.94,0.006,0,0,0,0
FCR,50,2025-09-29,2,11:32:00,11:36:00,26.42,-0.048,0.98,-0.281,0.001,0.95,0.006,0,0,0,0
FCR,50,2025-10-06,1,13:05:00,13:08:00,27.94,0.024,0.96,0.14,0,0.98,0,0,0,0,0
FCR,50,2025-10-06,2,13:11:00,13:15:00,28.77,0.006,0.35,0.035,0,0.52,0,1,1,0,0
FCR,50,2025-10-13,1,11:55:00,11:58:00,22.67,0.262,0.98,1.552,0.001,0.99,0.006,0,0,0,0
FCR,50,2025-10-13,2,12:01:00,12:05:00,23.96,0.165,0.99,0.973,0,0.99,0,0,0,0,0
FCR,50,2025-10-20,1,10:02:00,10:05:00,20.54,0.466,0.99,2.781,0,0.99,0,0,0,0,0
FCR,50,2025-10-20,2,10:10:00,10:14:00,20.79,0.594,0.99,3.541,0,0.99,0,0,0,0,0
FCR,50,2025-10-27,1,11:01:00,11:04:00,18.13,0.216,0.98,1.3,0,0.95,0,0,0,0,0
FCR,50,2025-11-03,1,12:20:00,12:23:00,23.75,0.346,0.98,2.042,0,0.93,0,0,0,0,0
FCR,50,2025-11-03,2,12:25:00,12:29:00,24.24,0.468,0.93,2.758,0,0.92,0,0,0,0,0
FCR,50,2025-11-10,1,09:54:00,09:57:00,13.62,0.215,0.96,1.314,0,0.92,0,0,0,0,0
FCR,50,2025-12-01,1,11:50:00,11:53:00,15.38,0.024,0.96,0.146,0,0.94,0,0,0,0,0
FCR,50,2025-12-01,2,11:57:00,12:01:00,14.4,0.027,0.98,0.165,0,0.96,0,0,0,0,0
