"Reservoir","Site","DateTime","Depth_m","Rep","TN_ugL","TP_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DateTime","Flag_TN_ugL","Flag_TP_ugL","Flag_NH4_ugL","Flag_NO3NO2_ugL","Flag_SRP_ugL","Flag_DOC_mgL","Flag_DIC_mgL","Flag_DC_mgL","Flag_DN_mgL"
"BVR",50,2014-08-13 12:00:00,0.1,"1",166.7,8.5,4,5,5,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-08-13 12:00:00,4,"1",162.7,8.7,3,3,4,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-08-13 12:00:00,8,"1",NA,NA,46,2,4,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,1
"BVR",50,2014-08-13 12:00:00,12,"1",1009.2,21,745,2,10,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2014-09-04 12:00:00,0.1,"1",181,9.8,8,4,6,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-09-04 12:00:00,4,"1",165,11,24,0,3,2.7,NA,NA,NA,1,0,0,0,3,0,0,1,1,1
"BVR",50,2014-09-04 12:00:00,8,"1",521,32.6,36,2,4,4.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-09-04 12:00:00,12,"1",1570,28.1,1050,4,12,6.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-09-25 12:00:00,0.1,"1",163,8.2,9,1,4,2.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-09-25 12:00:00,4,"1",166,7.9,6,2,5,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2014-09-25 12:00:00,8,"1",337,19.1,55,NA,4,3.8,NA,NA,NA,1,0,0,0,1,0,0,1,1,1
"BVR",50,2014-09-25 12:00:00,12,"1",1900,32.3,1590,6,14,5.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-14 12:00:00,0.1,"1",296,18.6,8,2,36,NA,NA,NA,NA,1,0,0,7,7,7,1,1,1,1
"BVR",50,2015-05-14 12:00:00,3,"1",260,26.4,8,0,5,NA,NA,NA,NA,1,0,0,7,4,7,1,1,1,1
"BVR",50,2015-05-14 12:00:00,6,"1",324,25.2,9,1,4,NA,NA,NA,NA,1,0,0,7,0,7,1,1,1,1
"BVR",50,2015-05-14 12:00:00,9,"1",675,78.3,21,4,4,2.3,NA,NA,NA,1,7,7,0,0,0,0,1,1,1
"BVR",50,2015-05-14 12:00:00,12,"1",1330,64.8,270,5,4,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-21 12:00:00,0.1,"1",346,26.6,NA,NA,NA,2.2,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-05-21 12:00:00,3,"1",260,19.9,NA,NA,NA,2.2,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-05-21 12:00:00,6,"1",262,27.2,12,3,8,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-21 12:00:00,9,"1",765,86.8,42,4,4,NA,NA,NA,NA,1,7,7,0,0,0,1,1,1,1
"BVR",50,2015-05-21 12:00:00,12,"1",928,76.6,192,5,4,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-28 12:00:00,0.1,"1",394,20.8,12,3,6,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-28 12:00:00,3,"1",162,10.2,12,3,5,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-28 12:00:00,6,"1",308,22,15,5,4,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-28 12:00:00,9,"1",938,93,14,7,4,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-05-28 12:00:00,12,"1",1914,70.6,318,6,6,3.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-04 12:00:00,0.1,"1",183,7.8,15,4,5,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-04 12:00:00,3,"1",346,21,13,3,3,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-04 12:00:00,6,"1",294,17.6,13,2,3,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-04 12:00:00,9,"1",419,34.7,35,5,3,2.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-04 12:00:00,12,"1",1192,69,337,4,5,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-11 12:00:00,0.1,"1",766,15.9,14,5,9,3.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-11 12:00:00,3,"1",140,5.3,5,2,4,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-11 12:00:00,6,"1",274,24.2,3,1,5,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-11 12:00:00,9,"1",784,77.5,20,3,4,2.2,NA,NA,NA,1,7,7,0,0,0,0,1,1,1
"BVR",50,2015-06-11 12:00:00,12,"1",1272,62.8,316,3,7,2.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 12:00:00,0.1,"1",296,15,7,4,4,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 12:00:00,3,"1",276,9.7,4,9,4,3.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 12:00:00,6,"1",308,16.5,5,2,3,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 12:00:00,9,"1",968,62.8,116,4,6,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 12:00:00,12,"1",300,22.8,8,4,3,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 15:00:00,0.1,"1",316,10.8,8,6,3,2.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 15:00:00,3,"1",324,19.2,4,3,3,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 15:00:00,6,"1",224,13.5,5,2,5,2.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 15:00:00,9,"1",1058,52.8,88,3,3,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 15:00:00,12,"1",1416,34,429,5,8,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 18:00:00,0.1,"1",286,11.6,6,4,5,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 18:00:00,3,"1",320,16.5,8,4,4,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 18:00:00,6,"1",324,24.8,5,2,3,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 18:00:00,9,"1",838,52.8,18,4,4,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 18:00:00,12,"1",1564,37.6,405,3,6,3.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 21:00:00,0.1,"1",336,14.9,9,4,8,3.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 21:00:00,3,"1",328,16.6,5,3,5,3.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 21:00:00,6,"1",298,16.5,5,2,4,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 21:00:00,9,"1",948,52.4,50,7,4,2.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-18 21:00:00,12,"1",1744,51,459,6,6,3.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19,0.1,"1",288,10.3,13,9,5,3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19,3,"1",304,18.5,4,2,5,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19,6,"1",304,18.8,3,2,5,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19,9,"1",672,59.2,4,2,6,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19,12,"1",1412,48.6,312,2,5,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 03:00:00,0.1,"1",328,14.8,7,3,4,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 03:00:00,3,"1",378,19.4,4,2,7,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 03:00:00,6,"1",370,21.6,4,3,5,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 03:00:00,9,"1",1076,51.4,505,4,6,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 03:00:00,12,"1",1824,44,88,1,3,2.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 06:00:00,0.1,"1",296,12.4,8,4,6,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 06:00:00,3,"1",308,16.1,3,2,6,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 06:00:00,6,"1",340,20.8,3,2,4,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 06:00:00,9,"1",1032,76.4,7,2,4,4.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 06:00:00,12,"1",1206,51.4,174,2,4,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 09:00:00,0.1,"1",286,10.3,2,4,7,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 09:00:00,3,"1",276,10.6,5,3,6,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 09:00:00,6,"1",298,15.1,2,2,5,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2015-06-19 09:00:00,9,"1",822,53.4,35,2,4,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 09:00:00,12,"1",1928,59.2,499,5,8,2.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-06-19 12:00:00,0.1,"1",NA,NA,4,2,6,2.6,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2015-06-19 12:00:00,3,"1",NA,NA,7,7,6,3.1,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2015-06-19 12:00:00,6,"1",NA,NA,8,1,5,2.2,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2015-06-19 12:00:00,9,"1",NA,NA,153,3,6,2.5,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2015-06-19 12:00:00,12,"1",NA,NA,258,3,5,2.4,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2015-06-25 12:00:00,0.1,"1",368,30.8,NA,NA,NA,2.6,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-06-25 12:00:00,3,"1",354,24.6,NA,NA,NA,2.4,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-06-25 12:00:00,6,"1",309,24.1,NA,NA,NA,2,NA,NA,NA,1,7,7,1,1,1,0,1,1,1
"BVR",50,2015-06-25 12:00:00,9,"1",764,60.4,NA,NA,NA,2.2,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-06-25 12:00:00,12,"1",938,49.6,NA,NA,NA,2.3,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-07-02 12:00:00,0.1,"1",386,19.7,6,1,4,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-02 12:00:00,3,"1",330,21,5,2,8,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-02 12:00:00,6,"1",316,22.4,10,2,5,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-02 12:00:00,9,"1",878,59.8,48,5,3,4.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-02 12:00:00,12,"1",256.9,58,731,4,18,2.5,NA,NA,NA,1,7,7,0,0,0,0,1,1,1
"BVR",50,2015-07-09 12:00:00,0.1,"1",344,9.9,NA,NA,NA,2.5,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-07-09 12:00:00,3,"1",NA,NA,4,2,8,2.6,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2015-07-09 12:00:00,6,"1",350,20.6,7,2,3,1.7,NA,NA,NA,1,7,7,0,0,0,0,1,1,1
"BVR",50,2015-07-09 12:00:00,9,"1",834,57.8,22,0,7,2.3,NA,NA,NA,1,0,0,0,4,0,0,1,1,1
"BVR",50,2015-07-09 12:00:00,12,"1",2940,64.4,1030,5,19,2.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-16 12:00:00,0.1,"1",190,6.5,3,2,4,2.5,NA,NA,NA,1,0,0,7,0,7,0,1,1,1
"BVR",50,2015-07-16 12:00:00,3,"1",162,11.2,20,4,6,2.5,NA,NA,NA,1,7,7,0,0,0,0,1,1,1
"BVR",50,2015-07-16 12:00:00,6,"1",162,14.7,1,1,6,NA,NA,NA,NA,1,0,0,7,0,7,1,1,1,1
"BVR",50,2015-07-16 12:00:00,9,"1",384,32.5,64,4,7,2.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-16 12:00:00,12,"1",823,32.7,544,3,10,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-23 12:00:00,0.1,"1",267.3,14.8,5,2,5,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-23 12:00:00,3,"1",184,11.5,5,2,8,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-23 12:00:00,6,"1",294,21.5,5,1,5,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-23 12:00:00,9,"1",596,28.8,349,3,10,2.3,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-23 12:00:00,12,"1",1036,27.8,805,3,10,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-30 12:00:00,0.1,"1",241.1,8.4,NA,NA,NA,2.6,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-07-30 12:00:00,3,"1",185.7,8.8,2,2,8,2.7,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-30 12:00:00,6,"1",660,55.5,NA,NA,NA,2.6,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-07-30 12:00:00,9,"1",688.9,25.1,263,3,8,2.4,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-07-30 12:00:00,12,"1",1749,31.2,1290,4,14,3.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-08-13 12:00:00,0.1,"1",225.5,9.9,1,2,6,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-08-13 12:00:00,3,"1",155,6.3,1,2,4,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-08-13 12:00:00,6,"1",296.2,20.8,7,2,7,2.2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-08-13 12:00:00,9,"1",1404.4,28,187,2,11,2.3,NA,NA,NA,1,7,7,0,0,0,0,1,1,1
"BVR",50,2015-08-13 12:00:00,12,"1",NA,NA,1180,3,16,2.8,NA,NA,NA,1,1,1,0,0,0,0,1,1,1
"BVR",50,2015-08-20 12:00:00,0.1,"1",NA,NA,6,1,8,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,1
"BVR",50,2015-08-20 12:00:00,3,"1",240,15,2,0,11,2.7,NA,NA,NA,1,0,0,0,4,0,0,1,1,1
"BVR",50,2015-08-20 12:00:00,6,"1",511.5,34.1,9,2,6,2.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-08-20 12:00:00,9,"1",692.7,22.5,440,2,10,2.5,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-08-20 12:00:00,12,"1",1594.6,30.9,1250,3,12,3.1,NA,NA,NA,1,0,0,7,7,7,0,1,1,1
"BVR",50,2015-09-04 12:00:00,0.1,"1",338.6,18.8,5,0,6,NA,NA,NA,NA,1,0,0,0,3,0,1,1,1,1
"BVR",50,2015-09-04 12:00:00,3,"1",226.3,12.3,7,1,7,2.9,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-09-04 12:00:00,6,"1",176.9,16.2,4,1,12,2,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-09-04 12:00:00,9,"1",849.8,15.8,628,2,9,NA,NA,NA,NA,1,0,0,7,0,7,1,1,1,1
"BVR",50,2015-09-04 12:00:00,12,"1",1461.3,23.3,NA,NA,NA,3.2,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-09-18 12:00:00,0.1,"1",195,8.1,14,1,8,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-09-18 12:00:00,3,"1",185,9.5,3,2,7,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-09-18 12:00:00,6,"1",213,16,NA,NA,NA,2.5,NA,NA,NA,1,0,0,1,1,1,0,1,1,1
"BVR",50,2015-09-18 12:00:00,9,"1",692,17.2,665,2,7,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2015-09-18 12:00:00,12,"1",1250,23.9,1420,3,18,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,1
"BVR",50,2015-10-02 12:00:00,0.1,"1",271,18.6,3,2,6,2.8,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-10-02 12:00:00,3,"1",195,9.1,8,4,6,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-10-02 12:00:00,6,"1",213,15.2,4,6,8,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-10-02 12:00:00,9,"1",361,18.9,228,4,10,2.1,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-10-02 12:00:00,12,"1",1150,20.3,683,1,4,2.6,NA,NA,NA,1,0,0,7,7,7,0,1,1,1
"BVR",50,2015-10-23 12:00:00,0.1,"1",148,9.4,2,2,11,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-10-23 12:00:00,3,"1",159,7.4,2,2,6,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
"BVR",50,2015-10-23 12:00:00,6,"1",158,6.9,3,3,6,2.6,NA,NA,NA,1,0,0,0,0,0,0,1,1,1
