ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
07/31/2023 - 21,0.2,"2,321.9",838.6,18.4,"5,001.2",4.9,0.3,0.5,"1,243.0","1,643.3",0.7,0.1,0.1,347.7,14.1,0.1,0.3,0.7,3.6,0.3,0.4,11.5,0.0,0.1,0.0,17.2,0.1,0.0
07/31/2023 - 24,0.2,"2,635.8",952.7,12.1,"4,630.0",2.8,0.5,0.7,"1,552.6","2,226.6",0.3,0.0,0.1,49.7,608.9,0.3,0.4,0.6,3.0,0.2,0.1,15.4,0.0,0.0,-0.1,47.5,0.1,0.0
07/31/2023 - 26,0.2,"2,488.2",934.0,12.4,"7,658.3",1.3,-0.5,0.7,"1,734.4","2,513.3",0.6,0.1,0.2,"19,518.8","1,902.3",3.7,0.5,0.3,18.9,0.4,0.0,17.2,0.0,0.0,0.0,43.1,0.1,0.0
08/07/2023 - 1,0.4,"3,393.7","1,205.0",34.1,"8,774.3",23.1,-0.1,0.7,"1,100.0","2,616.2",0.9,0.3,0.1,813.9,22.9,0.2,0.2,1.3,2.7,0.1,-0.1,17.0,0.0,0.0,0.0,19.2,0.1,0.0
08/07/2023 - 2,0.4,"3,827.3","1,186.6",9.0,"8,848.1",3.0,0.1,0.8,"1,110.9","2,571.7",0.7,0.2,0.1,371.3,3.1,0.1,0.2,1.1,6.8,0.1,0.0,16.2,0.0,0.0,0.0,12.4,0.1,0.0
08/07/2023 - 4,0.4,"3,840.0","1,204.2",7.7,"8,689.7",2.2,-0.1,0.8,"1,044.2","2,631.6",0.6,0.2,0.1,320.7,3.2,0.1,0.2,1.0,6.2,0.1,-0.1,16.7,0.0,0.0,-0.1,14.4,0.1,0.0
08/07/2023 - 6,0.4,"3,794.3","1,318.7",2.6,"9,195.0",0.5,0.2,1.3,"1,507.4","3,386.6",0.6,0.0,0.0,351.3,"1,051.6",1.6,0.2,0.7,6.2,0.1,-0.1,22.6,0.0,0.0,-0.1,56.9,0.1,0.0
08/07/2023 - 7,0.3,"3,339.5","1,286.2",23.7,"9,185.9",25.5,0.3,0.9,"1,220.9","3,124.2",1.0,0.1,0.1,"1,644.1",562.2,0.9,0.2,1.0,3.7,0.1,0.4,20.6,0.0,0.0,0.0,44.3,0.2,0.0
08/07/2023 - 8,0.4,"3,914.5","1,289.5",4.1,"9,082.1",0.7,0.3,1.0,"1,274.7","3,194.1",0.7,0.1,0.0,234.9,559.5,0.9,0.3,0.8,31.9,0.1,0.0,20.8,0.0,0.0,0.0,43.2,0.1,0.0
08/07/2023 - 9,0.3,"3,298.8","1,317.3",22.1,"9,418.5",13.1,0.6,0.9,"1,174.9","3,308.3",0.7,0.0,0.1,"2,351.0",818.1,1.3,0.5,1.7,8.6,0.1,-0.1,21.2,0.0,0.1,0.1,47.9,0.2,0.0
08/07/2023 - 10,0.3,"3,571.0","1,315.5",1.7,"9,132.0",-1.9,0.5,0.9,"1,250.9","3,322.7",0.5,0.0,0.0,64.1,801.5,1.1,0.4,1.1,3.8,0.0,-0.1,21.3,0.0,0.0,0.0,44.2,0.1,0.0
08/07/2023 - 11,0.3,"3,190.6","1,286.2",15.2,"9,354.0",12.1,0.6,0.8,"1,129.6","3,238.9",0.6,0.0,0.1,"2,345.2",823.5,1.4,0.3,1.3,6.9,0.1,-0.4,20.7,0.0,0.0,0.0,46.8,0.1,0.0
08/07/2023 - 12,0.3,"3,707.3","1,306.8",2.6,"9,177.9",-0.2,0.7,0.9,"1,192.8","3,264.4",0.5,0.0,0.0,79.4,784.0,1.1,0.4,1.1,10.4,0.0,-0.2,21.1,0.0,0.0,0.0,44.9,0.1,0.0
08/07/2023 - 13,0.3,"3,206.9","1,295.6",18.6,"9,332.0",11.3,0.6,0.8,"1,132.5","3,251.0",0.9,0.0,0.1,"2,346.1",830.4,1.4,0.3,1.2,5.7,0.0,-0.3,20.9,0.0,0.0,-0.1,47.6,0.1,0.0
08/07/2023 - 14,0.3,"3,509.5","1,305.3",2.8,"9,212.7",-0.1,0.6,0.9,"1,204.8","3,313.8",0.4,0.0,0.1,99.3,816.2,1.2,0.3,0.9,6.3,0.0,-0.3,21.1,0.0,0.0,-0.1,45.7,0.1,0.0
08/07/2023 - 16,0.6,"4,171.0","1,119.3",13.9,"11,832.9",18.4,-0.2,0.7,"1,306.8","3,032.9",0.9,0.2,0.1,53.2,8.1,0.1,0.3,1.1,6.4,0.0,-0.1,19.0,0.0,0.1,0.0,17.2,0.1,0.0
08/07/2023 - 19,0.2,"2,362.2",862.6,19.3,"5,105.3",7.3,0.2,0.5,"1,283.8","1,669.5",0.1,0.0,0.1,425.8,14.0,0.1,0.1,0.5,3.5,0.1,-0.1,12.0,0.0,0.0,-0.1,20.6,0.1,0.0
08/07/2023 - 20,0.2,"2,376.2",841.5,3.9,"5,116.7",-1.5,0.1,0.5,"1,276.3","1,626.3",0.3,0.1,0.0,158.7,0.9,0.0,0.1,0.5,12.7,0.2,0.2,12.0,0.0,0.0,0.0,25.7,0.1,0.0
08/07/2023 - 22,0.2,"2,391.5",846.8,3.2,"5,110.6",-0.3,0.2,0.5,"1,303.8","1,657.6",0.3,0.0,0.1,155.1,4.5,0.0,0.2,0.8,7.2,0.1,0.0,11.8,0.0,0.0,0.0,20.3,0.1,0.0
08/07/2023 - 24,0.1,"2,296.6",939.3,2.8,"4,947.4",-0.5,0.4,0.7,"1,533.6","2,238.5",0.1,0.0,0.0,"1,238.2","1,442.3",1.2,0.3,0.4,21.0,0.1,-0.3,15.5,0.0,0.1,0.0,55.5,0.1,0.0
08/07/2023 - 26,0.1,"2,697.0",966.2,3.8,"7,263.4",-0.1,-0.3,0.9,"1,766.6","2,520.5",0.3,0.0,0.1,"16,589.6","1,949.5",3.5,0.6,0.4,12.0,0.2,-0.1,17.5,0.0,0.0,0.0,51.9,0.1,0.0
08/14/2023 - 1,0.4,"3,505.4","1,229.5",14.0,"8,717.4",17.0,-0.2,0.7,"1,123.4","2,651.9",0.8,0.2,0.1,684.9,14.4,0.1,0.2,1.2,3.0,0.1,-0.2,17.5,0.0,0.0,-0.1,19.8,0.1,0.0
08/14/2023 - 2,0.4,"4,075.1","1,220.9",6.9,"8,630.2",1.7,-0.1,0.8,"1,090.5","2,673.2",0.5,0.2,0.1,376.8,5.8,0.1,0.1,1.0,3.4,0.0,-0.1,16.8,0.0,0.0,-0.1,13.1,0.1,0.0
08/14/2023 - 3,0.4,"3,497.6","1,237.3",16.0,"8,726.9",26.5,0.0,0.7,"1,132.6","2,695.5",0.7,0.2,0.1,712.8,17.0,0.1,0.2,1.2,2.8,0.0,-0.4,17.7,0.0,0.0,-0.1,20.9,0.2,0.0
08/14/2023 - 4,0.4,"4,008.5","1,239.2",9.4,"8,708.4",3.2,0.0,0.8,"1,078.4","2,685.3",0.4,0.2,0.1,383.8,4.8,0.1,0.1,0.8,4.4,0.0,-0.3,17.1,0.0,0.0,-0.1,15.1,0.1,0.0
08/14/2023 - 5,0.4,"3,513.1","1,287.7",10.6,"8,984.0",51.2,0.1,1.0,"1,322.7","3,126.6",0.6,0.1,0.0,"1,286.7",614.4,1.1,0.1,0.8,2.9,0.0,-0.4,20.9,0.0,0.0,-0.1,48.9,0.1,0.0
08/14/2023 - 6,0.4,"3,740.8","1,282.8",4.5,"8,952.8",1.9,0.0,1.2,"1,319.5","3,130.5",0.4,0.1,0.1,309.7,628.6,1.1,0.1,0.5,39.1,0.0,-0.4,21.1,0.0,0.0,-0.1,49.3,0.2,0.0
08/14/2023 - 7,0.3,"3,250.2","1,289.8",4.8,"9,100.7",21.3,0.2,0.9,"1,183.5","3,236.4",0.8,0.1,0.0,"2,070.0",849.9,1.4,0.2,0.9,3.8,0.1,-0.1,21.3,0.0,0.0,0.0,51.9,0.1,0.0
08/14/2023 - 8,0.3,"3,918.9","1,306.1",2.3,"9,226.8",-1.3,0.4,1.0,"1,182.5","3,292.4",0.5,0.0,0.0,142.1,834.5,1.4,0.2,0.5,3.1,0.0,-0.2,21.4,0.0,0.0,0.0,47.9,0.0,0.0
08/14/2023 - 9,0.3,"3,290.3","1,314.4",5.1,"9,350.5",14.8,0.5,0.8,"1,160.0","3,235.7",0.6,0.1,0.0,"2,125.3",804.4,1.4,0.2,1.0,3.1,0.0,-0.3,21.2,0.0,0.0,-0.1,48.5,0.1,0.0
08/14/2023 - 10,0.3,"3,911.9","1,315.7",2.5,"9,258.7",-1.5,0.4,1.0,"1,175.0","3,280.2",0.4,0.0,0.0,112.4,782.7,1.2,0.2,0.7,2.7,0.0,-0.3,21.2,0.0,0.0,-0.1,43.8,0.1,0.0
08/14/2023 - 11,0.3,"3,210.8","1,298.1",3.9,"9,341.8",12.0,0.4,0.8,"1,129.7","3,218.9",0.4,0.0,0.0,"2,205.0",863.9,1.5,0.3,1.0,2.5,0.0,-0.5,21.3,0.0,0.0,-0.1,50.3,0.1,0.0
08/14/2023 - 12,0.3,"3,695.7","1,315.8",2.1,"9,204.2",-2.3,0.4,0.9,"1,160.6","3,291.0",0.3,0.0,0.0,101.0,837.3,1.3,0.2,0.5,2.5,0.0,-0.3,21.3,0.0,0.0,-0.1,45.8,0.0,0.0
08/14/2023 - 13,0.3,"3,217.2","1,305.7",3.9,"9,336.1",10.8,0.3,0.8,"1,130.9","3,216.2",0.4,0.0,0.0,"2,296.9",878.2,1.5,0.2,1.0,2.8,0.0,-0.2,21.4,0.0,0.0,-0.1,50.6,0.0,0.0
08/14/2023 - 14,0.3,"3,734.2","1,320.5",1.7,"9,155.4",-2.6,0.3,0.9,"1,149.2","3,296.7",0.3,0.0,0.0,99.7,857.1,1.3,0.2,0.6,3.4,0.0,-0.4,21.5,0.0,0.0,-0.1,45.0,0.0,0.0
08/14/2023 - 15,0.6,"4,092.7","1,172.8",34.2,"12,622.5",21.3,-0.4,0.6,"1,341.6","3,114.8",1.1,0.3,0.1,68.0,15.8,0.0,0.1,0.3,3.7,0.0,-0.4,20.3,0.0,0.0,-0.1,21.6,0.1,0.0
08/14/2023 - 16,0.6,"4,380.7","1,190.7",9.3,"12,705.7",19.4,-0.4,0.7,"1,406.1","3,168.9",0.7,0.2,0.1,22.8,13.3,0.0,0.2,0.5,5.6,0.0,-0.3,20.3,0.0,0.0,-0.1,20.4,0.1,0.0
08/14/2023 - 18,0.4,"5,325.0","1,869.4",7.9,"11,589.1",19.7,-0.2,1.1,"1,457.7","4,466.8",1.0,0.2,0.1,"2,188.3",205.5,1.3,0.3,3.3,4.5,0.2,0.3,27.9,0.0,0.0,0.0,31.2,0.1,0.0
08/14/2023 - 19,0.2,"2,436.8",888.0,8.2,"5,102.2",14.7,0.1,0.5,"1,331.9","1,738.3",0.2,0.0,0.0,435.5,11.1,0.1,0.1,0.4,4.6,0.1,-0.1,12.5,0.0,0.0,0.0,21.2,0.1,0.0
08/14/2023 - 20,0.2,"2,828.9",892.9,3.6,"5,156.0",-2.5,0.0,0.6,"1,248.0","1,738.5",0.1,0.0,0.0,170.7,0.3,0.0,0.1,0.3,2.6,0.1,0.0,12.1,0.0,0.0,-0.1,11.5,0.1,0.0
08/14/2023 - 21,0.2,"2,460.2",892.1,7.1,"5,171.3",9.3,0.0,0.6,"1,338.2","1,749.2",0.1,0.0,0.0,403.0,15.1,0.1,0.1,0.4,3.1,0.1,-0.2,12.5,0.0,0.0,-0.1,22.1,0.1,0.0
08/14/2023 - 21,0.2,"2,472.1",890.9,7.1,"5,206.0",9.0,0.0,0.6,"1,347.5","1,767.1",0.1,0.0,0.0,407.8,15.0,0.1,0.1,0.4,3.1,0.1,-0.1,12.6,0.0,0.0,-0.1,21.9,0.1,0.0
08/14/2023 - 22,0.2,"2,932.1",898.1,3.2,"5,204.1",-1.8,0.0,0.7,"1,321.3","1,768.6",0.0,0.0,0.0,159.7,3.7,0.1,0.2,0.7,3.3,0.1,-0.3,12.0,0.0,0.0,-0.1,11.1,0.1,0.0
08/14/2023 - 23,0.1,"2,341.8",979.6,2.9,"4,979.5",23.6,0.2,0.7,"1,595.4","2,311.1",0.1,0.0,0.0,"2,187.4","1,272.1",1.2,0.2,0.2,2.7,0.1,-0.2,16.4,0.0,0.0,-0.1,83.3,0.0,0.0
08/14/2023 - 24,0.1,"2,727.9",993.2,2.1,"4,911.4",-2.3,0.1,0.8,"1,804.4","2,360.2",0.0,0.0,0.0,"1,392.9","1,311.3",1.2,0.2,0.1,4.7,0.1,-0.3,16.6,0.0,0.0,-0.1,67.0,0.0,0.0
08/14/2023 - 25,0.1,"2,347.9",963.2,6.0,"8,084.6",20.1,-0.5,0.7,"1,753.4","2,555.7",0.4,0.1,0.1,"24,371.4","2,089.0",4.0,0.3,0.3,3.4,0.3,-0.4,17.9,0.0,0.0,-0.1,54.0,0.1,0.0
08/14/2023 - 26,0.1,"2,675.9",960.1,2.6,"8,010.3",-0.9,-0.5,0.7,"1,772.3","2,585.3",0.4,0.0,0.4,"23,121.0","2,084.3",3.8,0.5,0.2,24.9,0.3,-0.3,17.9,0.0,0.0,-0.1,54.3,0.1,0.0
08/22/2023 - 1,0.4,"3,588.4","1,245.8",9.9,"8,619.1",18.4,-0.3,0.7,"1,157.1","2,636.5",0.4,0.2,0.1,759.6,17.9,0.1,0.1,1.2,3.0,0.0,-0.3,17.5,0.0,0.0,-0.1,19.7,0.1,0.0
08/22/2023 - 2,0.4,"3,906.1","1,220.0",5.9,"8,621.9",1.8,-0.2,0.8,"1,023.1","2,571.9",0.6,0.2,0.0,328.0,2.4,0.1,0.1,1.0,5.5,0.1,0.3,16.5,0.0,0.0,0.0,12.3,0.1,0.0
08/22/2023 - 3,0.4,"3,578.6","1,245.3",10.5,"8,518.9",20.5,-0.1,0.7,"1,159.8","2,703.9",0.6,0.2,0.1,623.6,14.6,0.1,0.1,1.3,3.5,0.1,0.0,17.9,0.0,0.0,0.0,20.1,0.1,0.0
08/22/2023 - 4,0.4,"3,899.8","1,222.9",4.7,"8,476.8",1.7,-0.2,0.7,"1,014.6","2,591.4",0.4,0.2,0.1,334.8,1.8,0.1,0.1,0.9,3.2,0.1,-0.3,16.7,0.0,0.0,-0.1,11.0,0.1,0.0
08/22/2023 - 6,0.3,"3,898.0","1,313.2",2.2,"9,009.6",0.9,-0.1,1.1,"1,392.7","3,311.8",0.4,0.0,0.0,114.7,865.0,1.4,0.1,0.4,2.9,0.0,-0.4,21.9,0.0,0.0,-0.1,48.6,0.1,0.0
08/22/2023 - 7,0.3,"3,435.7","1,338.0",5.2,"9,267.7",28.9,0.2,1.0,"1,259.6","3,314.9",0.5,0.0,0.0,"1,606.4",781.6,1.3,0.2,1.0,3.9,0.0,-0.1,22.0,0.0,0.0,-0.1,51.4,0.1,0.0
08/22/2023 - 8,0.3,"3,729.6","1,328.2",2.0,"9,079.2",-1.0,0.2,0.9,"1,237.6","3,328.8",0.4,0.0,0.0,97.1,831.9,1.3,0.2,0.6,3.3,0.0,-0.3,22.1,0.0,0.0,-0.1,47.0,0.1,0.0
08/22/2023 - 9,0.3,"3,364.9","1,307.5",4.9,"9,095.3",20.7,0.2,0.9,"1,209.3","3,200.5",0.4,0.0,0.0,"1,494.3",711.9,1.3,0.2,1.0,4.0,0.0,-0.5,21.3,0.0,0.0,-0.1,48.2,0.1,0.0
08/22/2023 - 10,0.3,"3,697.6","1,312.5",1.8,"9,052.2",-1.0,0.0,0.9,"1,235.8","3,207.5",0.3,0.0,0.0,130.5,719.1,1.1,0.2,0.5,3.8,0.0,-0.3,21.0,0.0,0.0,-0.1,45.0,0.0,0.0
08/22/2023 - 11,0.2,"3,204.0","1,310.4",2.7,"9,314.9",9.1,0.3,0.8,"1,152.9","3,311.5",0.4,0.0,0.0,"2,138.1",990.6,1.8,0.2,0.9,3.8,0.0,-0.4,22.0,0.0,0.0,-0.1,55.6,0.1,0.0
08/22/2023 - 12,0.2,"3,550.2","1,336.8",0.9,"9,252.0",-3.1,0.2,0.8,"1,190.9","3,403.5",0.3,0.0,0.0,77.6,"1,032.5",1.7,0.2,0.6,3.0,0.0,-0.1,22.2,0.0,0.0,-0.1,52.3,0.0,0.0
08/22/2023 - 13,0.3,"3,267.2","1,342.5",3.4,"9,471.0",9.0,0.3,0.8,"1,169.9","3,376.4",0.6,0.0,0.0,"2,147.5",999.2,1.8,0.2,0.9,4.2,0.1,0.2,22.2,0.0,0.0,0.0,55.5,0.1,0.0
08/22/2023 - 14,0.3,"3,554.3","1,343.3",1.3,"9,271.4",-2.8,0.2,0.8,"1,198.9","3,399.5",0.4,0.0,0.0,71.8,"1,018.4",1.7,0.2,0.6,2.8,0.0,-0.3,22.2,0.0,0.0,0.0,52.3,0.0,0.0
08/22/2023 - 19,0.1,"2,509.9",904.0,6.8,"5,215.5",12.2,-0.1,0.6,"1,401.1","1,781.8",0.2,0.0,0.0,356.0,17.2,0.1,0.1,0.5,6.0,0.1,-0.1,12.9,0.0,0.0,-0.1,23.3,0.3,0.0
08/22/2023 - 20,0.2,"3,001.9",909.4,2.5,"5,178.2",-2.5,0.0,0.6,"1,209.3","1,795.9",0.0,0.0,0.0,146.7,0.3,0.0,0.1,0.2,3.4,0.1,-0.1,12.3,0.0,0.0,-0.1,12.2,0.1,0.0
08/22/2023 - 21,0.1,"2,483.3",909.0,5.0,"5,212.4",13.0,-0.1,0.6,"1,344.8","1,767.4",0.1,0.0,0.0,352.2,16.2,0.1,0.1,0.3,3.0,0.1,-0.2,12.8,0.0,0.0,-0.1,23.0,0.1,0.0
08/22/2023 - 22,0.2,"3,012.7",918.5,3.3,"5,232.0",-0.6,0.0,0.6,"1,270.9","1,804.9",0.0,0.0,0.0,153.9,0.8,0.0,0.2,0.4,3.7,0.1,-0.3,12.2,0.0,0.0,-0.1,11.1,0.1,0.0
08/22/2023 - 23,0.1,"2,307.1",980.3,2.6,"5,022.4",18.4,0.1,0.7,"1,610.5","2,375.5",0.0,0.0,0.0,"3,130.0","1,416.4",1.5,0.2,0.2,4.3,0.1,-0.2,17.0,0.0,0.0,-0.1,91.6,0.1,0.0
08/22/2023 - 24,0.1,"2,822.8",990.7,1.7,"4,968.8",-2.0,0.1,0.8,"1,608.1","2,427.8",0.0,0.0,0.0,"2,396.0","1,473.1",1.5,0.2,0.1,6.3,0.1,-0.3,17.1,0.0,0.0,-0.1,76.7,0.1,0.0
08/22/2023 - 26,0.1,"2,608.1",951.2,1.6,"8,418.5",-0.3,-0.6,0.7,"1,767.0","2,574.5",0.3,0.0,0.0,"28,042.9","2,029.3",3.5,0.3,0.1,6.4,0.4,-0.5,18.1,0.0,0.0,-0.1,56.0,0.1,0.0
