ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
11/14/2023 - 14,0.3,"3,627.7","1,243.3",-1.9,"5,518.0",0.4,0.3,0.9,"1,281.4","2,947.4",0.1,0.0,0.0,19.5,11.3,0.0,0.0,0.4,0.6,-0.1,-0.9,18.5,0.0,-0.1,-0.1,21.0,0.0,0.0
11/14/2023 - 15,0.4,"3,853.7","1,003.4",96.7,"11,574.5",24.3,0.1,0.7,"1,326.7","2,476.3",2.1,0.2,0.1,148.0,32.8,0.1,0.3,1.4,6.6,-0.1,-0.9,15.0,0.0,2.8,2.8,19.0,0.2,0.0
11/14/2023 - 16,0.4,"4,259.7",992.6,4.1,"11,482.2",16.0,0.0,0.7,"1,171.6","2,514.6",0.5,0.1,0.0,16.3,9.6,0.0,-0.1,-0.2,1.1,-0.1,-0.7,14.9,0.0,-0.1,-0.1,14.2,0.0,0.0
11/14/2023 - 20,0.1,"3,733.5",932.0,1.1,"5,276.3",5.6,-0.1,1.0,"1,515.4","2,174.3",0.2,0.0,0.0,946.8,107.1,0.2,0.2,0.7,3.7,0.1,-0.1,14.0,0.0,0.0,0.0,19.5,0.1,0.0
11/14/2023 - 29,0.5,"3,901.3","1,000.3",28.1,"11,804.6",23.0,0.0,10.3,"1,458.0","2,399.6",1.1,0.3,0.2,72.9,19.1,0.0,0.2,0.6,5.1,0.0,-0.2,14.6,0.0,1.0,1.0,16.7,0.0,0.0
11/14/2023 - 30,0.5,"3,923.3","1,007.6",29.9,"11,910.8",23.8,-0.1,10.5,"1,467.8","2,418.4",1.2,0.3,0.1,52.4,17.7,0.0,0.0,0.2,1.9,-0.1,-0.3,14.8,0.0,0.6,0.5,16.5,0.0,0.0
12/04/2023 - 1,0.3,"3,376.3","1,229.9",1.8,"5,028.4",28.5,0.0,0.9,"1,355.1","2,831.0",0.1,0.0,0.0,171.0,63.4,0.1,0.0,1.0,0.7,0.0,-0.2,18.0,0.0,-0.1,-0.1,21.2,0.0,0.0
12/04/2023 - 2,0.2,"3,736.4","1,230.4",-1.5,"4,961.8",0.0,0.2,0.9,"1,306.8","2,881.6",0.0,0.0,0.0,2.2,1.6,0.0,-0.1,0.6,0.7,-0.1,-0.5,17.9,0.0,-0.1,-0.1,16.3,0.0,0.1
12/04/2023 - 3,0.2,"3,369.2","1,224.9",2.0,"5,120.2",29.5,0.2,0.8,"1,354.0","2,831.0",0.0,0.0,0.0,159.2,64.5,0.1,-0.1,0.9,0.8,-0.1,-0.5,18.0,0.0,-0.1,-0.1,21.4,0.0,0.0
12/04/2023 - 4,0.2,"4,124.9","1,235.5",-1.5,"5,001.6",-0.2,0.2,0.9,"1,196.9","2,917.9",-0.2,0.0,0.0,10.3,1.3,0.0,-0.1,0.5,1.5,-0.2,-0.6,17.9,0.0,-0.1,-0.1,14.8,0.0,0.0
12/04/2023 - 5,0.2,"3,318.8","1,219.0",1.2,"5,050.8",28.6,0.2,0.8,"1,340.8","2,818.5",-0.1,0.0,0.1,187.4,64.1,0.1,-0.1,1.0,3.8,-0.2,-1.0,17.8,0.0,-0.1,-0.1,21.5,0.0,0.0
12/04/2023 - 6,0.2,"4,159.1","1,220.3",-1.8,"5,007.9",-0.5,0.1,1.0,"1,167.9","2,873.4",-0.2,0.0,0.0,9.5,0.8,0.0,-0.1,0.5,0.4,-0.2,-0.9,17.6,0.0,-0.1,-0.1,14.4,0.0,0.0
12/04/2023 - 7,0.2,"3,358.7","1,237.7",1.6,"4,969.9",32.6,0.0,0.9,"1,358.5","2,843.7",-0.1,0.0,0.0,174.6,67.3,0.1,-0.1,1.0,0.6,-0.2,-1.0,18.1,0.0,-0.1,-0.1,21.9,0.0,0.0
12/04/2023 - 8,0.2,"4,056.2","1,229.9",-1.6,"5,005.3",-0.5,0.1,0.9,"1,208.1","2,880.2",-0.3,0.0,0.0,7.2,0.7,0.0,-0.1,0.5,0.4,-0.2,-0.8,17.8,0.0,-0.1,-0.1,14.7,0.0,0.0
12/04/2023 - 9,0.2,"3,358.9","1,232.6",1.3,"4,981.3",31.4,0.1,0.8,"1,349.6","2,819.4",-0.2,0.0,0.0,172.7,69.0,0.1,-0.1,1.0,0.4,-0.2,-0.8,18.1,0.0,-0.1,-0.1,21.5,0.0,0.0
12/04/2023 - 10,0.3,"4,321.9","1,243.5",-1.9,"4,992.7",-0.3,0.1,0.9,"1,115.6","2,924.2",-0.3,0.0,0.0,10.1,0.4,0.0,-0.1,0.5,0.4,-0.2,-0.7,17.9,0.0,-0.1,-0.1,14.5,0.0,0.0
12/04/2023 - 11,0.2,"3,306.5","1,215.8",2.3,"4,995.4",32.1,0.0,0.8,"1,337.9","2,809.7",-0.2,0.0,0.0,195.2,72.8,0.1,-0.1,1.0,1.7,-0.2,-0.9,18.0,0.0,-0.1,-0.1,21.7,0.0,0.0
12/04/2023 - 12,0.2,"4,133.5","1,228.5",-1.9,"4,914.6",-0.3,0.1,0.9,"1,154.0","2,924.3",0.1,0.0,0.0,3.6,0.5,0.0,-0.1,0.5,0.4,-0.1,-0.4,17.7,0.0,-0.1,-0.1,14.8,0.0,0.0
12/04/2023 - 13,0.2,"3,338.6","1,229.3",2.3,"4,965.9",34.5,0.1,0.8,"1,339.3","2,809.4",0.0,0.0,0.0,200.1,75.4,0.1,-0.1,1.0,0.5,-0.1,-0.4,18.0,0.0,-0.1,-0.1,21.9,0.0,0.0
12/04/2023 - 14,0.2,"3,606.5","1,220.7",-1.7,"4,874.1",0.2,0.2,0.9,"1,375.9","2,858.4",-0.1,0.0,0.0,17.6,8.1,0.0,-0.1,0.6,1.0,-0.2,-0.7,17.8,0.0,-0.1,-0.1,17.7,0.0,0.0
12/04/2023 - 16,0.4,"6,814.4",894.4,6.6,"11,048.6",16.0,0.0,1.3,927.5,"2,265.5",0.4,0.1,0.0,12.3,5.1,0.0,-0.1,-0.1,1.3,-0.2,-0.7,13.0,0.0,-0.1,-0.1,10.7,0.0,0.0
12/04/2023 - 18,0.2,"4,476.3","1,294.4",7.0,"10,708.9",16.5,0.3,0.9,"1,528.2","2,770.9",0.4,0.1,0.1,"1,242.1",50.0,0.2,0.0,-0.1,1.1,-0.1,-0.9,16.6,0.0,-0.1,-0.1,19.2,0.1,0.0
12/04/2023 - 19,0.1,"2,379.3",874.8,22.8,"5,273.6",16.3,0.0,0.7,"1,564.2","1,927.7",0.2,0.1,0.1,"1,577.9",71.7,0.2,0.0,0.2,1.7,0.0,-0.9,13.5,0.0,-0.1,-0.1,26.6,0.1,0.0
12/04/2023 - 20,0.1,"2,863.7",921.5,4.9,"5,276.1",1.5,0.0,0.7,"1,363.0","2,061.2",-0.2,0.0,0.0,900.2,55.7,0.1,-0.1,-0.2,1.0,-0.1,-0.9,13.6,0.0,-0.1,-0.1,19.9,0.0,0.0
12/04/2023 - 21,0.1,"2,378.3",888.0,23.1,"5,337.7",18.3,0.1,0.6,"1,538.2","1,956.0",0.2,0.1,0.0,"1,659.1",72.2,0.2,-0.1,-0.1,1.4,-0.1,-0.6,13.6,0.0,-0.1,-0.1,26.8,0.1,0.0
12/04/2023 - 22,0.1,"2,905.4",897.8,4.8,"5,230.2",2.4,-0.1,0.7,"1,450.9","2,019.9",-0.2,0.0,0.0,925.1,57.7,0.3,0.5,-0.1,0.9,-0.1,-0.6,13.3,0.0,-0.1,-0.1,17.4,0.0,0.0
12/04/2023 - 23,0.1,"2,399.1",887.9,21.4,"5,332.2",14.5,0.1,0.6,"1,537.4","1,945.6",0.1,0.1,0.0,"1,636.6",72.5,0.2,-0.1,-0.1,1.7,-0.1,-0.9,13.6,0.0,-0.1,-0.1,26.7,0.1,0.0
12/04/2023 - 24,0.1,"2,744.7",893.5,4.0,"5,202.0",1.6,-0.1,0.7,"1,473.4","2,002.5",0.1,0.1,0.0,837.9,66.2,0.2,0.6,-0.2,1.1,0.0,-0.3,13.5,0.0,-0.1,-0.1,21.1,0.0,0.0
12/04/2023 - 25,0.1,"2,383.5",897.2,26.1,"5,353.0",14.6,0.1,0.7,"1,534.4","1,970.6",0.4,0.1,0.0,"1,638.5",72.7,0.2,-0.1,-0.1,1.1,0.0,-0.5,13.6,0.0,-0.1,-0.1,26.8,0.8,0.0
12/04/2023 - 26,0.1,"2,854.4",903.0,5.5,"5,217.3",1.9,-0.1,0.7,"1,425.8","2,007.4",-0.1,0.1,0.0,906.5,61.8,0.2,0.2,-0.2,1.7,-0.1,-1.1,13.6,0.0,-0.1,-0.1,20.1,0.0,0.0
02/03/2023 - 15,0.1,"1,426.0",351.5,48.2,"4,395.0",13.1,-0.1,0.2,357.3,875.2,0.5,0.0,0.1,154.8,5.3,0.0,0.1,0.1,0.8,-0.2,-1.3,5.3,0.0,-0.1,0.2,6.5,0.6,0.0
04/04/2023 - 15,0.2,"1,506.6",354.2,48.4,"4,674.2",14.8,-0.2,0.2,427.1,968.7,0.5,0.1,0.1,107.5,7.2,0.0,-0.1,0.3,0.9,-0.2,-1.3,6.2,0.0,-0.1,0.1,8.0,0.1,0.0
04/04/2023 - 17,0.2,"1,551.7",496.9,191.3,"5,156.9",31.1,0.0,0.3,437.8,"1,071.4",4.1,0.6,0.4,984.7,18.9,0.2,0.1,0.3,1.1,-0.2,-1.6,7.0,0.0,-0.1,0.0,10.8,0.3,0.0
04/18/2023 - 15,0.2,"1,519.2",377.8,47.4,"4,822.4",15.4,-0.4,0.2,447.9,"1,022.4",0.6,0.1,0.1,108.9,11.2,0.0,-0.1,0.2,1.7,-0.2,-1.0,6.5,0.0,-0.1,0.0,8.5,0.1,0.0
05/01/2023 - 15,0.2,"1,333.9",356.0,77.7,"4,405.4",15.9,-0.2,0.2,378.2,927.5,1.6,0.1,0.1,136.3,12.4,0.0,-0.1,0.0,0.3,-0.2,-1.2,6.0,0.0,-0.1,0.0,8.3,0.2,0.0
05/08/2023 - 15,0.2,"1,525.9",454.2,98.3,"4,936.7",17.2,-0.3,0.3,463.2,"1,230.3",1.2,0.1,0.1,132.1,13.2,0.2,0.4,0.2,247.0,-0.2,-1.3,7.1,0.0,-0.1,0.0,9.7,0.2,0.0
05/16/2023 - 15,0.3,"1,561.2",435.2,133.1,"5,110.7",20.7,-0.5,0.3,479.8,"1,286.9",2.0,0.2,0.2,198.3,22.2,0.1,0.0,0.1,1.4,-0.2,-1.4,7.5,0.0,-0.1,0.0,11.2,0.2,0.0
05/22/2023 - 17,0.2,"1,569.9",417.0,133.0,"5,174.7",20.8,-0.5,0.2,482.1,"1,137.0",2.3,0.2,0.2,183.9,19.8,0.0,0.2,0.0,1.8,-0.1,-0.9,7.3,0.0,-0.1,0.4,10.2,0.2,0.2
05/29/2023 - 17,0.4,"1,276.8",418.8,421.0,"4,274.5",33.8,-0.5,0.2,545.3,"1,146.3",6.6,0.5,0.4,474.8,39.7,0.2,0.1,0.2,45.5,-0.1,-1.2,7.3,0.0,-0.1,0.1,14.7,0.4,0.0
06/05/2023 - 15,0.3,"1,551.5",420.8,119.3,"5,102.8",18.7,-0.5,0.2,475.6,"1,146.4",1.7,0.2,0.1,166.5,18.0,0.0,-0.1,0.0,1.0,-0.2,-1.3,7.4,0.0,-0.1,0.1,10.2,0.2,0.0
06/14/2023 - 15,0.3,"1,684.0",461.5,236.7,"5,475.7",25.8,-0.5,0.3,564.3,"1,248.5",3.7,0.3,0.3,275.2,25.7,0.1,0.1,0.7,4.3,-0.2,-1.2,8.0,0.0,-0.1,0.1,12.2,0.5,0.0
06/19/2023 - 15,0.3,"1,683.0",445.9,132.5,"5,522.1",22.1,-0.6,0.2,518.5,"1,213.0",1.7,0.2,0.1,167.9,15.4,0.0,0.9,0.7,2.0,-0.2,-1.3,7.9,0.0,-0.1,0.0,10.7,1.2,0.0
06/26/2023 - 15,0.3,"1,568.0",428.6,138.2,"5,266.7",22.9,-0.5,0.3,528.8,"1,201.6",2.0,0.2,0.2,189.4,18.6,0.0,0.2,2.2,3.4,-0.2,-1.1,7.9,0.0,-0.1,0.0,11.1,0.9,0.0
07/03/2023 - 15,0.2,"1,680.7",463.8,87.5,"5,375.6",22.6,-0.3,0.2,646.6,"1,306.2",1.7,0.3,12.5,206.0,21.2,0.2,4.1,6.5,314.3,0.0,-1.5,8.4,0.0,-0.1,0.1,11.6,0.4,0.0
07/10/2023 - 3,0.1,"1,511.7",511.0,15.6,"4,175.4",21.9,-0.4,0.3,465.2,"1,144.7",0.0,0.2,0.1,393.2,18.2,0.1,0.1,0.3,1.5,-0.2,-1.2,7.2,0.0,-0.1,-0.1,6.9,0.1,0.0
07/10/2023 - 15,0.2,"1,691.5",465.7,125.6,"5,508.5",22.6,-0.7,0.3,581.0,"1,329.9",1.7,0.2,0.2,760.9,20.3,0.1,0.2,0.1,4.7,-0.1,-1.5,8.6,0.0,-0.1,-0.1,11.7,0.2,0.0
07/17/2023 - 15,0.2,"1,705.5",468.3,61.8,"5,344.7",21.5,-0.6,0.3,579.4,"1,303.6",1.1,0.2,0.2,139.8,12.6,0.0,0.3,0.4,20.7,-0.2,-1.3,8.4,0.0,-0.1,0.0,10.3,0.2,0.0
07/24/2023 - 15,0.3,"1,527.2",448.8,113.3,"5,074.7",21.2,-0.5,0.2,528.6,"1,266.7",2.1,0.2,0.1,166.5,17.1,0.0,0.0,0.0,1.6,-0.1,-0.8,8.1,0.0,-0.1,0.3,10.7,0.2,0.2
07/24/2023 - 17,0.1,"1,635.6",691.0,95.1,"5,387.3",36.1,-0.4,0.2,483.3,"1,637.4",1.8,0.3,0.2,"1,271.9",40.9,0.3,0.3,-0.1,1.8,-0.1,-1.3,10.4,0.0,-0.1,0.1,13.1,0.2,0.0
Water blank,-0.1,1.8,-6.8,-2.9,104.8,9.3,-0.9,-0.1,-31.8,-2.1,-0.4,0.0,0.0,27.5,0.0,0.0,-0.2,-0.4,-0.1,-0.2,-1.1,0.0,0.0,-0.1,0.0,-0.1,0.0,0.0
05/31/2022 - 13,0.0,"1,480.8",531.7,81.5,"3,312.8",28.5,-0.3,0.3,540.7,"1,332.3",0.1,0.0,0.1,"1,294.0",354.0,0.6,0.1,0.9,7.4,-0.2,-1.4,8.4,0.0,-0.1,0.0,17.1,0.3,0.0
06/20/2022 - 21,0.0,"1,028.1",322.9,123.6,"2,762.1",19.8,-0.6,0.2,562.2,694.6,0.8,0.3,0.1,410.1,30.3,0.1,-0.1,0.1,1.6,-0.1,-1.1,4.6,0.0,-0.1,0.0,9.2,0.2,0.0
06/20/2022 - 69,0.0,"1,008.7",355.9,21.7,"3,080.2",36.9,-0.7,0.3,577.3,913.0,-0.1,0.1,0.1,"6,304.6",430.9,0.7,-0.1,-0.1,1.9,0.2,-1.3,5.9,0.0,-0.1,0.0,18.8,0.1,0.0
06/30/2022 - 57,1.1,696.7,"1,417.3",889.8,"3,126.5",70.2,1.1,0.6,602.3,"5,325.5",0.9,1.6,0.9,"1,615.6","1,065.7",0.9,1.3,1.2,6.4,0.4,-1.8,22.0,0.0,-0.1,0.0,68.5,1.2,0.0
08/29/2022 - 13,0.0,"1,562.5",647.3,11.2,"4,158.9",52.8,-0.4,0.4,650.4,"1,750.9",0.0,0.1,0.1,"6,520.7",625.6,1.1,0.1,0.1,3.1,-0.1,-1.2,11.7,0.0,-0.1,0.0,34.2,0.0,0.0
09/13/2022 - 15,0.2,"1,680.6",471.0,119.6,"5,430.7",22.0,-0.6,0.2,573.1,"1,353.3",1.5,0.2,0.1,197.8,21.5,0.1,0.1,0.0,4.9,-0.2,-1.2,8.1,0.0,-0.1,0.0,11.5,0.3,0.0
09/26/2022 - 15,0.2,"1,857.3",501.3,309.6,"5,937.0",30.5,-0.8,0.2,612.2,"1,395.0",4.2,0.3,0.3,337.1,38.2,0.1,0.7,1.0,9.1,-0.2,-1.6,8.3,0.0,-0.1,-0.1,13.5,1.2,0.0
09/26/2022 - 17,0.2,"2,132.8",870.8,225.5,"7,012.6",51.9,-0.6,0.4,850.5,"2,019.8",3.6,0.6,0.4,"2,849.3",57.9,0.4,0.2,0.1,6.1,-0.2,-1.3,12.6,0.0,4.7,4.6,17.9,0.2,0.0
10/17/2022 - 17,0.1,"1,665.7",793.8,96.5,"5,217.3",32.9,-0.5,0.3,996.4,"1,722.7",2.2,0.3,0.2,"1,194.0",49.6,0.3,0.2,0.2,4.8,-0.1,-0.9,11.0,0.0,-0.1,0.4,15.2,0.2,0.2
11/28/2022 - 17,0.1,"1,494.8",533.6,54.3,"4,997.7",20.1,-0.4,0.3,474.2,"1,160.2",1.0,0.1,0.1,568.9,20.5,0.1,-0.1,-0.1,2.5,-0.2,-1.3,7.2,0.0,-0.1,0.1,9.7,0.1,0.0
12/12/2022 - 15,0.1,"1,398.2",345.7,19.0,"4,391.4",15.0,-0.4,0.2,372.2,843.5,0.1,0.0,0.0,55.8,3.4,0.0,-0.1,-0.1,0.1,-0.2,-1.4,5.3,0.0,-0.1,0.0,6.2,0.0,0.0
12/12/2022 - 17,0.1,"1,419.4",513.4,122.9,"4,883.6",20.2,-0.2,0.3,409.8,"1,086.1",2.1,0.2,0.2,547.6,15.5,0.1,0.0,-0.2,0.1,-0.2,-1.4,6.8,0.0,-0.1,0.0,9.2,0.1,0.0
02/26/2021 - 15,0.1,"1,070.1",322.0,209.0,"3,074.0",20.3,-0.6,0.2,521.1,738.1,1.6,0.2,0.2,326.3,14.3,0.0,0.0,0.2,4.5,-0.2,-1.3,4.9,0.0,-0.1,0.0,9.8,0.3,0.0
02/26/2021 - 16,0.0,965.8,291.6,18.7,"2,866.1",13.5,-0.6,0.3,455.3,667.5,-0.2,0.0,0.1,129.4,2.3,0.0,0.1,-0.3,2.7,-0.2,-1.2,4.4,0.0,-0.1,0.0,7.3,0.2,0.0
03/22/2021 - 15,0.1,"1,018.0",292.6,185.1,"3,177.3",18.4,-0.6,0.2,483.0,696.7,1.5,0.2,0.2,288.0,17.2,0.1,0.0,-0.1,2.7,-0.2,-1.2,4.7,0.0,-0.1,-0.1,9.2,0.2,0.0
03/22/2021 - 16,0.1,"1,011.9",280.5,21.2,"2,944.0",17.2,-0.6,0.2,448.1,674.0,-0.3,0.0,0.1,76.3,1.1,0.0,-0.1,-0.1,95.7,-0.2,-1.5,4.5,0.0,-0.1,-0.1,6.8,0.1,0.0
03/22/2021 - 17,0.2,"1,398.0",457.6,415.9,"5,058.5",28.5,-0.1,0.3,403.5,"1,000.7",4.5,0.5,0.4,587.1,10.5,0.1,0.1,-0.1,3.1,-0.2,-1.5,6.5,0.0,-0.1,-0.1,10.1,0.3,0.0
03/22/2021 - 18,0.1,"1,399.0",435.4,24.6,"4,453.4",15.7,-0.2,0.3,340.0,972.9,-0.1,0.1,0.1,179.6,8.2,0.0,0.0,-0.2,6.3,-0.2,-1.2,6.1,0.0,-0.1,-0.1,6.9,0.2,0.0
04/16/2021 - 15,0.2,"1,097.2",323.8,307.8,"3,644.7",26.1,-0.7,0.2,539.2,787.6,2.3,0.2,0.2,356.1,26.3,0.1,-0.1,-0.1,3.7,-0.2,-1.8,5.4,0.0,-0.1,-0.1,11.6,0.6,0.0
04/16/2021 - 16,0.1,"1,136.9",315.5,5.9,"3,349.6",15.1,-0.7,0.3,489.9,771.2,0.7,0.0,0.0,87.7,2.2,0.0,-0.1,-0.3,3.8,-0.1,-0.9,5.0,0.0,-0.1,0.3,7.4,0.2,0.2
04/26/2021 - 17,0.5,"1,623.8",564.2,885.2,"6,451.9",48.5,-0.3,0.3,552.9,"1,216.6",11.4,1.1,0.8,"1,728.7",20.2,0.3,0.7,0.0,4.3,-0.1,-1.5,8.3,0.0,-0.1,0.2,16.6,0.6,0.1
05/06/2021 - 15,0.2,"1,173.5",339.9,357.9,"3,827.6",24.4,-0.7,0.2,560.6,831.3,3.9,0.3,0.4,357.9,23.0,0.1,1.0,0.2,5.6,-0.2,-1.4,5.6,0.0,1.0,1.2,11.5,0.4,0.0
05/24/2021 - 15,0.3,"1,421.9",371.2,393.7,"4,950.9",27.4,-0.7,0.2,622.2,934.6,4.7,0.3,0.3,304.5,21.0,0.1,0.1,-0.1,4.6,-0.2,-1.8,6.4,0.0,-0.1,0.0,13.4,0.7,0.0
05/24/2021 - 17,0.4,"1,951.7",710.6,557.7,"6,550.6",41.7,-0.4,0.4,607.5,"1,553.3",7.3,0.7,1.0,"1,165.2",31.3,0.4,1.4,0.1,8.6,-0.2,-1.6,10.1,0.0,20.8,19.9,18.6,0.9,0.0
06/21/2021 - 15,0.3,"1,396.1",373.2,300.6,"4,744.2",26.1,-0.8,0.2,598.1,941.7,3.2,0.2,0.2,253.6,18.0,0.1,0.4,-0.1,2.3,-0.2,-1.6,6.6,0.0,-0.1,0.0,11.6,0.5,0.0
06/21/2021 - 16,0.1,"1,444.4",366.3,13.7,"4,471.4",20.3,-0.8,0.3,549.4,932.4,0.0,0.1,0.1,44.5,1.1,0.0,0.1,0.0,7.5,-0.2,-1.5,6.3,0.0,-0.1,0.0,10.0,0.5,0.0
06/21/2021 - 17,0.2,"1,848.5",714.3,98.2,"6,125.8",32.6,-0.5,0.3,573.5,"1,573.3",0.9,0.3,0.2,670.2,20.7,0.2,0.2,-0.1,3.7,-0.2,-1.6,10.2,0.0,0.1,0.1,10.6,0.5,0.0
06/21/2021 - 18,0.1,"1,950.7",741.7,10.1,"6,348.8",20.7,-0.4,0.4,572.8,"1,633.9",0.0,0.1,0.2,225.5,21.9,0.2,0.4,-0.2,5.7,-0.2,-1.5,10.7,0.0,-0.1,0.0,11.4,0.5,0.0
07/12/2021 - 17,0.1,"1,515.8",487.6,64.6,"4,121.3",29.3,-0.8,0.4,607.4,"1,189.9",0.5,0.2,0.2,629.1,14.9,0.1,0.6,1.2,7.3,-0.2,-1.4,7.5,0.0,0.7,0.7,9.9,0.4,0.0
07/21/2021 - 15,0.5,"1,596.6",407.4,873.9,"5,885.2",43.6,-0.8,0.2,620.6,"1,058.2",8.1,0.7,0.6,755.6,71.4,0.3,0.1,0.2,4.4,-0.2,-1.8,7.5,0.0,-0.1,-0.1,20.3,2.5,0.0
