sep=,
No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time,
37,37,105.22,F31Mar21_r2_init,very low,1813,19188,0.596,5.578,0.9226,0.9950,0,0,9.3605,,,2022/03/24,04:11:14 PM,
38,38,74.89,B31Mar21_r4_ext,very low,1842,18379,0.849,7.509,0.9226,0.9950,0,0,8.8408,,,2022/03/24,04:22:03 PM,
39,39,107.60,F2Aug21_sedtrap_con,very low,5111,42657,1.537,12.090,0.9226,0.9950,0,0,7.8640,,,2022/03/24,04:32:51 PM,
40,40,115.19,F31Mar21_r1_init,very low,2236,24608,0.659,6.526,0.9226,0.9950,0,0,9.9084,,,2022/03/24,04:43:48 PM,
41,41,57.89,F2aug21_sedtrap_ext,very low,4094,33041,2.310,17.416,0.9226,0.9950,0,0,7.5397,,,2022/03/24,04:54:34 PM,
42,42,105.40,B28Jun21_sedtrap_con,very low,5864,45612,1.792,13.196,0.9226,0.9950,0,0,7.3643,,,2022/03/24,05:05:25 PM,
43,43,109.22,F6Dec21_sedtrap_init,very low,5258,41426,1.557,11.568,0.9226,0.9950,0,0,7.4318,,,2022/03/24,05:16:08 PM,
44,44,108.42,F31Mar21_r4_con,very low,1892,19288,0.601,5.442,0.9226,0.9950,0,0,9.0515,,,2022/03/24,05:26:58 PM,
45,45,108.99,F31Mar21_r1_con,very low,1727,19566,0.551,5.491,0.9226,0.9950,0,0,9.9684,,,2022/03/24,05:37:41 PM,
46,46,10.01,aa as unknown,very low,3180,11805,10.517,36.220,0.9226,0.9950,0,0,3.4438,,,2022/03/24,05:48:29 PM,
47,47,113.13,F31Mar21_r4_init,very low,2096,24438,0.632,6.599,0.9226,0.9950,0,0,10.4379,,,2022/03/24,05:59:13 PM,
48,48,74.16,F31Mar21_r1_ext,very low,1284,13266,0.618,5.487,0.9226,0.9950,0,0,8.8730,,,2022/03/24,06:10:00 PM,
49,49,105.84,B31Mar21_r4_init,very low,2995,30206,0.940,8.711,0.9226,0.9950,0,0,9.2647,,,2022/03/24,06:20:45 PM,
50,50,113.20,F2Aug21_sedtrap_init,very low,6770,57606,1.918,15.514,0.9226,0.9950,0,0,8.0885,,,2022/03/24,06:31:39 PM,
51,51,120.52,F25Oct21_sedtrap_init,very low,4095,39432,1.110,9.979,0.9226,0.9950,0,0,8.9904,,,2022/03/24,06:42:23 PM,
52,52,110.84,F25Oct21_sedtrap_con,very low,3415,29336,1.016,8.080,0.9226,0.9950,0,0,7.9555,,,2022/03/24,06:53:20 PM,
53,53,65.02,F31Mar21_r4_ext,very low,1013,12013,0.557,5.673,0.9226,0.9950,0,0,10.1888,,,2022/03/24,07:04:08 PM,
54,54,126.69,F31Aug21_sedtrap_init,very low,5954,51379,1.513,12.365,0.9226,0.9950,0,0,8.1717,,,2022/03/24,07:15:05 PM,
55,55,114.07,B9Nov21_sedtrap_con,very low,3274,29545,0.948,7.907,0.9226,0.9950,0,0,8.3369,,,2022/03/24,07:25:53 PM,
56,56,121.43,B28Jun21_sedtrap_init,very low,7882,60586,2.073,15.210,0.9226,0.9950,0,0,7.3357,,,2022/03/24,07:36:45 PM,
57,57,101.37,F6Dec21_sedtrap_con,very low,3798,31627,1.228,9.522,0.9226,0.9950,0,0,7.7527,,,2022/03/24,07:47:25 PM,
58,58,11.16,aa as unknown,very low,3468,13239,10.237,36.391,0.9226,0.9950,0,0,3.5547,,,2022/03/24,07:58:08 PM,
59,59,76.71,F6Dec21_sedtrap_ext,very low,3264,24878,1.406,9.907,0.9226,0.9950,0,0,7.0446,,,2022/03/24,08:08:50 PM,
60,60,106.29,B31Mar21_r4_con,very low,2708,26457,0.852,7.602,0.9226,0.9950,0,0,8.9216,,,2022/03/24,08:19:35 PM,
61,61,107.84,B6Dec21_sedtrap_init,very low,4823,38951,1.451,11.017,0.9226,0.9950,0,0,7.5942,,,2022/03/24,08:30:18 PM,
62,62,93.50,F31Aug21_sedtrap_ext,very low,4114,35969,1.437,11.736,0.9226,0.9950,0,0,8.1675,,,2022/03/24,08:41:08 PM,
63,70,10.57,aa as unknown,very low,3136,12399,9.829,36.007,0.9226,0.9950,0,0,3.6635,,,2022/03/24,08:51:58 PM,
64,83,0.00,,,0,0,0.000,0.000,0.9226,0.9950,0,0,0.0000,,,,,
