"x","cast","Reservoir","Site","DateTime","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","YellowSubstances_ugL","TotalConc_ugL","Transmission","Depth_m","Temp_degC","RFU_525nm","RFU_570nm","RFU_610nm","RFU_370nm","RFU_590nm","RFU_470nm"
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:54,20.56,0.87,2.54,0,0.24,23.96,100,4.09,5.23,20.02,6.08,25.79,36.72,25.75,79.06
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:56,21.38,0.96,2.47,0,0.27,24.81,100,4.21,5.23,20.49,6.44,27.08,38.14,26.48,81.64
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:13:58,20.71,0.9,2.63,0,0.25,24.24,100,4.36,5.22,20.38,6.14,26.16,37.22,26.14,80.04
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:01,20.86,0.98,2.58,0,0.29,24.42,100,4.5,5.16,20.5,6.42,26.74,37.75,26.43,80.59
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:03,21.41,0.93,2.51,0,0.25,24.85,100,4.63,5.17,20.5,6.35,26.8,37.97,26.64,81.69
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:06,21.51,0.99,2.45,0,0.27,24.94,100,4.7,5.22,20.55,6.37,27.26,38.32,26.76,81.97
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:08,25.22,1.26,2.46,0,0.31,28.94,100,4.71,5.21,23.17,7.34,32.56,44.21,30.06,94.32
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:10,21.95,1.04,2.53,0,0.26,25.52,100,4.85,5.19,21.05,6.51,28.25,38.99,27.09,83.67
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:13,22.27,0.93,2.43,0,0.24,25.64,100,5,5.19,20.83,6.35,27.57,38.95,27.17,84.05
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:15,23.18,1.03,2.44,0,0.27,26.65,100,5.14,5.18,21.55,6.72,29.07,40.65,28.06,87.27
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:17,23.17,1,2.37,0,0.27,26.54,100,5.3,5.12,21.35,6.63,28.72,40.49,28.02,86.93
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:20,23.22,1.07,2.51,0,0.28,26.8,100,5.4,5.13,21.83,6.74,29.45,40.96,28.25,87.81
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:22,24.67,1.16,2.35,0,0.31,28.18,100,5.51,5.18,22.5,7.03,31.37,43.19,29.26,92.07
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:25,23.36,1.05,2.31,0,0.29,26.71,100,5.68,5.16,21.45,6.6,29.25,40.97,28.13,87.47
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:27,25.76,1.11,2.42,0,0.25,29.29,100,5.78,5.09,23.09,7.2,31.85,44.22,30.29,95.37
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:29,25.84,1.1,2.24,0,0.24,29.17,100,5.87,5.08,22.68,7.08,31.86,43.9,29.88,94.73
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:32,24.68,1.04,2.57,0,0.27,28.29,100,6,5.08,22.75,7.11,30.25,43.07,29.8,92.71
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:34,25.51,1.08,2.52,0,0.27,29.11,100,6.13,5.08,23.18,7.12,31.24,44.21,30.43,95.18
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:36,26.77,1.13,2.48,0,0.27,30.38,100,6.28,5.06,23.88,7.5,32.7,45.98,31.47,99.06
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:39,25.63,1.13,2.63,0,0.27,29.39,100,6.43,5,23.58,7.25,31.78,44.61,30.8,96.08
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:41,28.42,1.28,2.47,0,0.32,32.18,100,6.48,5.02,25.13,8.11,35.24,48.98,32.98,104.82
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:44,28.22,1.36,2.35,0,0.33,31.92,100,6.54,5.05,24.84,7.91,35.59,48.62,32.74,103.68
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:46,27.42,1.09,2.47,0,0.27,30.99,100,6.63,5.05,24.23,7.48,33.12,46.83,31.74,101.1
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:48,26.84,1.1,2.51,0,0.24,30.45,100,6.83,5.02,23.88,7.43,32.66,45.74,31.4,99.12
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:51,27.57,1.08,2.53,0,0.22,31.18,100,6.96,5.02,24.32,7.48,33.15,46.66,31.95,101.46
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:53,28.58,1.07,2.5,0,0.24,32.15,100,7.11,5.05,24.88,7.72,33.97,48.2,32.7,104.68
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:55,26.44,1.1,2.49,0,0.25,30.03,100,7.24,5.04,23.65,7.18,32.23,45.29,31.16,97.87
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:14:58,30.15,1.37,2.39,0,0.3,33.91,100,7.31,5.02,26.02,8.15,37.31,51.12,34.44,109.83
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:00,28.36,1.31,2.46,0,0.29,32.14,100,7.4,5.03,25.05,7.84,35.5,48.56,32.85,104.32
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:03,25.57,1.09,2.68,0,0.3,29.34,100,7.6,5.03,23.68,7.31,31.52,44.86,30.72,96.3
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:05,26.43,1.2,2.53,0,0.29,30.16,100,7.76,5,23.91,7.53,32.72,45.84,31.56,98.4
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:07,29,1.28,2.43,0,0.36,32.72,100,7.82,4.99,25.46,8.27,35.65,50.09,33.5,106.78
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:10,31.07,1.36,2.37,0,0.37,34.8,100,7.85,5.04,26.68,8.41,37.97,53.09,35.29,113.24
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:12,28.33,1.22,2.56,0,0.33,32.1,100,8.05,5.03,25.24,7.8,34.62,49.02,33.13,104.94
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:15,26.79,1.1,2.55,0,0.28,30.44,100,8.25,4.96,24.05,7.42,32.54,46.14,31.55,99.45
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:17,27.73,1.1,2.56,0,0.28,31.39,100,8.46,4.96,24.62,7.58,33.28,47.53,32.42,102.55
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:19,28.71,1.23,2.66,0,0.27,32.6,100,8.55,4.95,25.53,8.01,35.07,49.06,33.57,106.06
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:22,28.55,1.12,2.48,0,0.29,32.15,100,8.65,4.97,25,7.74,34.23,48.69,32.88,104.93
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:24,26.86,1.12,2.52,0,0.31,30.5,100,8.88,4.95,24.12,7.47,32.7,46.53,31.65,99.82
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:26,26.66,1.11,2.52,0,0.33,30.29,100,9.1,4.91,24.03,7.41,32.45,46.42,31.49,99.3
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:29,28.3,1.21,2.34,0,0.31,31.85,100,9.22,4.9,24.62,7.8,34.47,48.34,32.68,103.65
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:31,30.9,1.27,2.44,0,0.4,34.62,100,9.3,4.92,26.73,8.34,37.23,53.24,35.16,113.25
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:34,30.35,1.53,2.12,0,0.41,34,100,9.32,4.93,25.93,8.39,38.28,52.19,34.69,110.22
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:36,31.29,1.3,2.22,0,0.31,34.81,100,9.41,4.97,26.29,8.18,37.98,52.54,34.72,112.83
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:38,31.37,1.42,2.64,0,0.44,35.43,100,9.57,4.99,27.71,8.58,38.58,54.71,36.3,115.96
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:41,30.66,1.24,2.55,0,0.39,34.45,100,9.7,4.96,26.77,8.21,36.64,52.89,35.27,112.84
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:43,28.52,1.22,2.55,0,0.36,32.29,100,9.88,4.93,25.42,7.83,34.82,49.56,33.33,105.74
"20220224_BVR_50.txt","1","BVR",50,2022-02-24 11:15:45,28.63,1.21,2.68,0,0.37,32.52,100,9.99,4.92,25.77,8,34.74,50.04,33.77,106.73
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:01,15.94,1.21,5.51,0,1.05,22.66,100,0.2,6.47,26.82,6.96,26.6,43.85,27.36,83.98
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:04,16.55,1.11,5.37,0,1.02,23.03,100,0.23,6.57,26.59,7.59,26.54,44.03,27.05,84.99
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:06,16.48,1.16,5.62,0,1.1,23.26,100,0.25,6.53,27.51,7.01,27.31,45.25,27.34,86.54
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:09,16.12,1.13,5.84,0,1.01,23.09,100,0.33,6.58,27.5,7.51,26.67,44.2,27.43,85.66
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:11,15.8,1.19,5.76,0,0.97,22.74,100,0.43,6.7,27.05,7.25,26.43,43.19,27.44,83.93
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:13,15.8,1.28,5.36,0,1.04,22.44,100,0.52,6.64,26.42,6.75,26.61,43.35,27.39,82.82
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:16,15.43,1.1,5.95,0,0.9,22.47,100,0.65,6.7,27.01,7.3,26.03,42.17,26.74,82.95
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:18,15.64,0.67,4.49,0.94,0.98,21.73,100,0.78,6.76,26.42,7.87,24.9,42.13,27.41,81.84
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:20,14.96,1.2,5.91,0,1.04,22.07,100,0.89,6.75,27.13,7.09,25.85,43.04,27.14,82.53
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:23,16.05,1.03,5.36,0.27,0.92,22.7,100,1.01,6.76,26.82,7.22,25.96,42.72,27.79,83.72
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:25,15.56,1.29,5.61,0,1.01,22.47,100,1.09,6.77,26.78,6.81,26.33,43.11,27.91,82.9
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:28,15.34,1.05,5.91,0.42,0.99,22.72,100,1.19,6.78,28.37,7.86,26.51,43.6,28.39,85.05
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:30,15.18,1.08,6.01,0.35,0.97,22.62,100,1.27,6.74,28.28,7.94,26.48,43.32,28.11,84.6
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:32,15.06,1.27,6.58,0.49,1.08,23.4,100,1.37,6.7,30.43,8.69,28.21,45.65,29.96,88.28
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:35,15.9,1.09,5.81,0.79,1.07,23.58,100,1.47,6.66,29.83,8.77,28.04,45.72,30.23,88.68
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:37,15.58,1.21,6.12,0.54,1.01,23.45,100,1.57,6.51,29.61,8.25,27.88,44.92,30.01,87.57
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:40,15.54,1.06,6.09,0.9,0.98,23.59,100,1.71,6.25,30.42,8.77,28.04,45,30.59,88.58
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:42,14.98,1.28,5.65,0.82,1.06,22.73,100,1.99,6.05,29.19,8.51,27.95,44.32,30.4,85.24
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:44,15.16,1.3,5.59,0.82,1.02,22.87,100,2.08,6.01,29.02,8.72,28.18,43.99,30.39,85.17
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:47,15.27,1.37,6.21,0.52,1.05,23.37,100,2.18,6.06,29.81,8.35,28.4,45.14,30.48,87.27
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:49,15.86,1.27,6.25,0.65,1.02,24.03,100,2.28,6.12,30.49,8.36,28.71,45.8,31.19,89.56
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:51,16.05,1.18,6.13,0.7,1.02,24.06,100,2.4,6.13,30.41,8.36,28.49,45.91,31.04,89.85
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:54,15.49,1.29,6.43,0.59,1.03,23.8,100,2.44,6.07,30.52,8.94,28.78,45.63,30.56,89.01
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:56,15.8,1.17,6.04,0.68,1.02,23.69,100,2.58,6.03,29.94,8.61,28.24,45.4,30.38,88.57
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:16:59,15.71,1.13,6.23,0.7,1.04,23.76,100,2.69,6,30.4,8.62,28.18,45.74,30.42,89.31
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:01,15.71,1.12,6,0.74,0.96,23.58,100,2.85,5.97,29.81,8.49,27.98,44.64,30.33,87.88
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:03,14.88,1.13,5.47,0.81,0.99,22.29,100,3.01,5.91,28.35,8.39,27.01,43.03,29.31,83.47
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:06,14.87,1.2,5.32,0.8,1.04,22.19,100,3.11,5.87,28.13,8.3,27.12,43.23,29.47,83.11
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:08,15.21,1.32,5.42,0.67,1.02,22.62,100,3.24,5.89,28.18,8.48,27.82,43.53,29.75,83.91
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:10,15.08,1.31,5.11,0.76,1.06,22.26,100,3.38,5.89,27.75,8.25,27.47,43.36,29.73,82.84
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:13,15.26,1.19,4.94,0.78,0.99,22.16,100,3.51,5.85,27.23,8.38,27.04,42.63,29.07,82.19
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:15,14.21,1.19,4.83,0.8,1.04,21.03,100,3.69,5.79,26.55,7.95,26.01,41.48,28.33,78.84
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:18,14.38,1.35,4.72,0.71,1.03,21.15,100,3.86,5.74,26.18,8.2,26.65,41.38,28.51,78.44
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:20,13.83,1.23,4.72,0.7,1.03,20.48,100,4.03,5.69,25.77,7.6,25.48,40.48,27.75,76.62
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:22,14.04,1.49,4.91,0.3,1.02,20.73,100,4.18,5.67,25.24,7.81,26.23,40.53,27.37,76.37
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:25,13.99,1.3,4.51,0.45,1.03,20.24,100,4.36,5.63,24.62,7.41,25.19,40,26.86,75.14
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:27,13.55,1.24,4.15,0.47,1.02,19.41,100,4.51,5.6,23.46,7.27,24.28,38.58,25.84,72.08
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:29,13.15,1.26,4.22,0.4,1.01,19.02,100,4.71,5.58,23.16,6.99,23.86,37.93,25.46,70.72
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:32,13.53,1.25,4.06,0.47,0.99,19.31,100,4.89,5.56,23.19,7.16,24.17,38.14,25.79,71.44
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:34,13.58,1.22,3.98,0.46,0.98,19.24,100,5.1,5.54,22.93,7.15,24.01,37.92,25.56,71.07
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:37,13.1,1.26,3.95,0.46,1.01,18.77,100,5.33,5.49,22.69,6.96,23.7,37.49,25.38,69.64
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:39,12.73,1.17,3.72,0.49,1,18.11,100,5.59,5.41,21.9,6.66,22.78,36.42,24.59,67.43
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:41,13.24,1.14,3.75,0.56,0.98,18.68,100,5.76,5.33,22.42,6.91,23.29,37.12,25.15,69.34
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:44,13.55,1.31,3.99,0.33,0.97,19.19,100,5.89,5.32,22.61,7.04,24.11,37.65,25.43,70.45
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:46,13.86,1.35,3.99,0.41,0.99,19.6,100,6.07,5.3,23.09,7.36,24.74,38.45,26.06,71.93
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:49,13.96,1.46,4.17,0.4,1.04,19.99,100,6.23,5.27,23.78,7.68,25.56,39.53,26.74,73.5
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:51,13.38,1.24,3.75,0.65,1,19.02,100,6.43,5.21,22.93,7.3,24.16,37.81,26,70.44
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:53,12.98,1.21,3.61,0.54,1.01,18.35,100,6.61,5.13,22.05,6.91,23.26,36.92,25.02,68.19
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:56,14.5,1.47,3.9,0.24,1.07,20.11,100,6.67,5.1,23,7.61,25.49,39.79,26.23,73.49
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:17:58,13.1,1.28,3.58,0.22,1,18.19,100,6.84,5.07,21.05,6.71,22.96,36.41,24,66.95
"20220224_FCR_50.txt","2","FCR",50,2022-02-24 13:18:00,12.67,1.29,3.39,0.18,1,17.53,100,7.06,5.06,20.2,6.24,22.24,35.33,23.45,64.47
