Reservoir,Site,Date,Depth_m,Rep,NH4_ugL,PO4_ugL,NO3NO2_ugL,DIC_mgL,DC_mgL,DOC_mgL,DN_mgL,TP_ugL,TN_ugL
FCR,50,4/1/2024,9,1,20.9,8.65,1.94,5.634780421,9.171565409,3.536784987,0.401284916,31.4,316.0800961
FCR,50,4/1/2024,0.1,1,99.8,8.8,14.5,3.954102172,9.413499571,5.459397399,0.906624659,26.4,296.2582346
FCR,50,4/1/2024,1.6,1,6.4,5.1,2,4.172466154,7.671944112,3.499477958,0.240125904,23.4,348
FCR,50,4/1/2024,5,1,27.9,4.7,2.1,3.984891864,7.889238188,3.904346324,0.347034024,43.5,367.3014267
FCR,50,4/1/2024,6.2,1,10.1,5.8,1.5,4.256966252,7.857498184,3.600531932,0.262758682,27.7,318.1301153
FCR,50,4/1/2024,8,1,18,5.71,0.381,4.207281873,7.847332592,3.64005072,0.243266867,27,321.546598
FCR,100,4/8/2024,0.1,1,4.5,14.2,2.3,3.821426593,5.911803024,2.090376431,0.102093408,19.6,172
FCR,50,4/8/2024,0.1,1,5.9,6.3,3.2,4.150348679,7.749668827,3.599320148,0.271654453,25.3,273.0072482
FCR,50,4/8/2024,1.6,1,9.5,-1.5,-0.4,3.885088458,7.612233253,3.727144795,0.273136614,22.4,277.7952363
FCR,50,4/8/2024,3.8,1,18.7,5.71,2.26,3.884608488,7.607784481,3.723175993,0.262698771,29,304
FCR,50,4/8/2024,5,1,6.85,7.18,1.2,4.142589752,7.030359934,2.887770182,0.238263834,23.5,314
FCR,50,4/8/2024,6.2,1,9.69,5.51,2.08,4.012122128,7.390981956,3.378859828,0.234301411,31.6,331.1113138
FCR,50,4/8/2024,8,1,31.6,4.09,2.51,4.508391429,8.001141537,3.492750108,0.263539285,32.5,350.2343973
FCR,50,4/8/2024,9,1,24,3.7,4.7,4.139006384,7.590935255,3.451928872,0.272441154,28.5,346
BVR,50,4/15/2024,3,1,12.4,11.3,6.09,4.14,8.43,4.29,0.46,26.2,335.20983
BVR,50,4/15/2024,6,1,15.2,7.79,2.07,3.8,8.11,4.32,0.39,24.4,342.0398265
BVR,50,4/15/2024,0.1,1,9.3,8.1,5.7,3.019095283,7.239216441,4.220121158,0.275081626,38.8,372.0789857
BVR,50,4/15/2024,9,1,6.9,5.6,1.4,3.173163635,7.388361904,4.215198269,0.286321256,25.9,339.3079575
FCR,100,4/15/2024,0.1,1,3.6,12,1.7,3.789663697,6.171638186,2.381974489,0.10348202,22.8,107.8410337
FCR,50,4/15/2024,0.1,1,11.6,6.12,4.69,4.300497714,7.929384839,3.628887125,0.218607615,26.9,292.8397546
FCR,50,4/15/2024,5,1,8.76,5.73,1.39,3.98,7.41,3.42,0.27,25.9,313.3465861
FCR,50,4/15/2024,1.6,1,8.1,7.4,1.3,3.761531351,7.75108146,3.989550109,0.24402221,26.7,298.3091931
FCR,50,4/15/2024,3.8,1,5.6,8.6,0.8,3.697223992,7.18589097,3.488666978,0.239581265,25.6,312.6631816
FCR,50,4/15/2024,6.2,1,18.8,4.18,2.52,4.008224641,7.132823899,3.124599257,0.251768147,25.2,285.3181486
FCR,50,4/15/2024,8,1,14.4,5.2,1.7,3.80351259,8.350177493,4.546664902,0.232863837,29,317.4467864
FCR,50,4/15/2024,9,1,26.5,4.12,2.18,4.213485366,7.256821977,3.043336611,0.23177987,29,320.8633231
FCR,100,4/22/2024,0.1,1,7.07,13,5.41,4.827846991,6.037522118,1.209675127,0.043259758,23.3,85.86309305
FCR,50,4/22/2024,0.1,1,24.6,7.92,5.19,4.7,8.15,3.45,0.3,9.25,339
FCR,50,4/22/2024,1.6,1,6.5,6.1,2,3.819482915,7.538952254,3.71946934,0.239645932,22,262.7454926
FCR,50,4/22/2024,3.8,1,20.5,5.96,1.17,3.886270591,7.114788787,3.228518196,0.231532704,25.9,408.2347673
FCR,50,4/22/2024,5,1,9.8,4,-0.4,4.09069644,7.426080162,3.335383722,0.224331545,30.7,326.3292204
FCR,50,4/22/2024,6.2,1,28,4.58,1.57,4.087448718,7.357710281,3.270261563,0.238624054,31.2,322.9131156
FCR,50,4/22/2024,8,1,23.8,4.5,2.2,4.394208022,7.570135684,3.175927662,0.287933109,18.8,244
FCR,50,4/22/2024,9,1,25.3,5.1,1.3,4.198740266,7.261894802,3.063154536,0.221371362,26.1,301.0436532
BVR,50,4/29/2024,0.1,1,21,7.49,6.73,3.279020049,8.259487941,4.980467892,0.344384214,27.4,370.7140228
BVR,50,4/29/2024,3,1,20.9,7.31,3.1,3.261886009,8.278583942,5.016697933,0.420895741,28.6,393.2303885
BVR,50,4/29/2024,6,1,13.2,6.3,0.7,3.128938441,7.352307686,4.223369245,0.321321064,20.7,299.6764447
BVR,50,4/29/2024,9,1,59.2,2.89,2.13,3.536038384,6.753990378,3.217951994,0.269182735,30,331.1113138
FCR,100,4/29/2024,0.1,1,4.9,16,5.5,4.676631169,6.886486613,2.209855445,0.129806241,29.6,91.35861462
FCR,50,4/29/2024,0.1,1,28.6,6.94,1.98,4.281919327,7.727991821,3.446072494,0.290135544,23.9,283.2665748
FCR,50,4/29/2024,1.6,1,6.3,5.8,-1.2,3.996071169,7.682759327,3.686688157,0.222323166,23,273.6912789
FCR,50,4/29/2024,3.8,1,9,8,-2.1,4.128798318,7.71080647,3.582008151,0.261790435,25.6,353
FCR,50,4/29/2024,5,1,11.8,4,3.3,4.125642118,7.837035113,3.711392995,0.291431887,29.5,288.7372224
FCR,50,4/29/2024,6.2,1,21.7,4.12,2.81,4.26911873,7.409227713,3.140108982,0.219892603,31.3,316.0800961
FCR,50,4/29/2024,8,1,23.1,5.3,-1.21,4.397268142,7.749730811,3.352462669,0.256677338,32.3,329.7450554
FCR,50,4/29/2024,9,1,38.3,4.04,3.17,4.393740545,7.760870145,3.3671296,0.317922481,55.2,439.5906745
BVR,50,5/6/2024,0.1,1,11.3,9.32,1.51,3.11,8.49,5.38,0.29,24.1,404.1431822
BVR,50,5/6/2024,3,1,16.2,8.05,1.88,3.34,7.01,3.67,0.26,32.8,388.4551721
BVR,50,5/6/2024,6,1,19.2,12.5,3.98,4.04042566,7.578515959,3.538090299,0.269649802,22.6,296.2582346
BVR,50,5/6/2024,9,1,125,5.73,4.98,4.679726033,7.556101567,2.876375534,0.072388905,25.6,396.6409334
FCR,100,5/6/2024,0.1,1,5.81,15.5,6.79,5.709671049,7.336472308,1.626801259,0.045059705,25.9,103.0343038
FCR,50,5/6/2024,0.1,1,18.8,9.95,2.3,4.2,8.09,3.88,0.28,25,272.3232068
FCR,50,5/6/2024,3.8,1,8.43,7.42,NA,5.350252092,8.369252752,3.01900066,0.057581338,26,311.2963402
FCR,50,5/6/2024,5,1,17.7,6.62,3.74,5.566859085,8.175246906,2.608387821,0.058097323,27,291.4722871
FCR,50,5/6/2024,8,1,28.6,7.19,4.7,5.35290659,7.885545455,2.532638866,0.064289142,33,301.0436532
FCR,50,5/6/2024,9,1,25.2,5.68,2.63,5.20584743,7.44419523,2.2383478,0.060695247,34.7,302.4108184
FCR,50,5/6/2024,1.6,1,9.8,6.6,-2.1,4.3461555,7.846783223,3.500627723,0.228382025,20.1,291.4722871
FCR,50,5/6/2024,6.2,1,21.9,5.2,7.3,4.43339748,7.325178646,2.891781166,0.226829409,31.4,332.4775291
BVR,50,5/13/2024,0.1,1,8.66,10.1,1.16,5.007821919,9.904042931,4.896221012,0.067529047,25.6,472.2855262
BVR,50,5/13/2024,3,1,40.8,7.2,3.51,3.42,8.24,4.81,0.45,27.8,364.5711554
BVR,50,5/13/2024,9,1,261,5.37,-2.19,4.03,7.16,3.13,0.44,22.6,542.3592737
BVR,50,5/13/2024,6,1,26.1,6.3,2.5,3.408902833,7.839278603,4.43037577,0.354244885,21.7,293.5234722
FCR,100,5/13/2024,0.1,1,8.77,17,14.2,5.046906484,6.797393791,1.750487308,0.120728607,33.9,136.6703037
FCR,200,5/13/2024,0.1,1,28.5,6.2,13,5.511393484,7.696131484,2.184738,0.138668546,48.8,164.109046
FCR,50,5/13/2024,1.6,1,11,8.26,-1.72,4.18,7.77,3.58,0.3,26.2,302.4108184
FCR,50,5/13/2024,3.8,1,18.8,7.94,7.99,4.133627926,8.390106268,4.256478342,0.293998519,28.6,396.6409334
FCR,50,5/13/2024,5,1,29.4,6.68,8.21,4.834527528,8.629668784,3.795141256,0.252786492,27,279.8470692
FCR,50,5/13/2024,6.2,1,23.4,6.33,5.17,4.819026466,8.176040424,3.357013958,0.328167275,37,315.3967348
FCR,50,5/13/2024,8,1,20.4,9.42,2.41,4.59,7.83,3.24,0.3,NA,NA
FCR,50,5/13/2024,9,1,29.7,5.56,5.77,4.54,7.97,3.43,0.36,10.6,211
FCR,50,5/13/2024,0.1,1,17.7,10.5,5.3,4.181356492,8.265747076,4.084390584,0.400332166,27.1,318.1301153
BVR,50,5/20/2024,0.1,1,18.5,18.2,-0.701,3.225313324,10.65675714,7.431443814,0.615043998,21,474
BVR,50,5/20/2024,3,1,22.5,5.85,2.01,3.3,8.16,4.86,0.38,26.7,484
BVR,50,5/20/2024,6,1,43.9,6.3,3.5,3.494284577,7.62734935,4.133064773,0.461781875,13.6,216
BVR,50,5/20/2024,9,1,612,18.7,5.5,4.776787956,8.645223446,3.86843549,0.845478674,6.32,642
FCR,100,5/20/2024,0.1,1,9.1,15.2,7.6,4.177460406,6.962383187,2.784922782,0.154943673,36.8,248
FCR,50,5/20/2024,0.1,1,8,8.2,0.2,4.021990462,7.711170647,3.689180185,0.285696232,16.1,308
FCR,50,5/20/2024,1.6,1,13.8,6.14,0.81,4.11,7.9,3.8,0.25,19.7,400
FCR,50,5/20/2024,3.8,1,15,12,0.8,4.262681113,7.815425408,3.552744295,0.344775526,26.1,401
FCR,50,5/20/2024,5,1,38.2,7.68,3.64,4.749106447,8.442516909,3.693410463,0.469054691,20,312
FCR,50,5/20/2024,6.2,1,38.6,-1.61,3.08,4.948052877,8.443619344,3.495566467,0.340702848,34.6,259
FCR,50,5/20/2024,8,1,40,4.73,4.65,4.24,7.39,3.15,0.26,34.8,301
FCR,50,5/20/2024,9,1,40.3,5.9,3.8,4.536661666,8.155883298,3.619221632,0.318028653,38.1,277
CCR,100,5/22/2024,0.1,1,1.551379289,8.118342505,52.8967143,2.986622381,5.326022347,2.339399965,0.145668761,NA,NA
CCR,101,5/22/2024,0.1,1,6.6,11.6,30.4,2.508913121,4.981085413,2.472172291,0.204008822,4.38,140
CCR,50,5/22/2024,0.1,1,9.45,4.92,2.23,9.96,13.31,3.35,0.27,13.8,231
CCR,50,5/22/2024,1.5,1,8.04,6.67,1.41,11.78316125,15.14795295,3.364791707,0.053621454,13,239
CCR,50,5/22/2024,20,1,10.7,4.82,157,12.86,15.3,2.44,0.3,6.72,344
CCR,50,5/22/2024,6,1,6.08,6.05,2.34,11.06219973,14.29715104,3.234951303,0.051845506,6.59,223
CCR,50,5/22/2024,9,1,11.9,9.61,68.8,13.46345814,15.92449926,2.461041121,0.059489282,8.77,294
CCR,90,5/22/2024,0.1,1,2.230576106,7.762156777,1.220309729,11.53814243,15.46390426,3.925761833,0.24516683,NA,NA
CCR,90,5/22/2024,1.5,1,3.4,6.5,-0.1,11.05055326,14.57056571,3.52001245,0.240876227,NA,NA
CCR,90,5/22/2024,6,1,4.638067599,5.862663331,8.908116761,12.39428479,15.53659597,3.142311173,0.206740793,NA,NA
CCR,92,5/22/2024,0.1,1,-0.054276177,-0.31471814,7.852096519,11.3924308,14.67481209,3.282381285,0.204283994,NA,NA
CCR,92,5/22/2024,2,1,8.9,7.6,-1.3,11.04208769,13.90539424,2.863306545,0.221239279,NA,NA
CCR,92,5/22/2024,2,2,7.3,2.78,3.94,11.62128371,14.68649103,3.065207326,0.21907482,NA,NA
CCR,96,5/22/2024,0.1,1,6.7,5.3,1.9,9.801510281,12.95743001,3.155919729,0.21238151,NA,NA
CCR,96,5/22/2024,1.5,1,4.5,6,1.1,10.21795853,13.65068079,3.432722267,0.234806242,NA,NA
CCR,98,5/22/2024,0.1,1,12.68743936,5.536215672,0.127329181,11.73736409,14.86450653,3.127142437,0.212348706,NA,NA
CCR,98,5/22/2024,0.5,1,7.8,6.1,29,7.051733387,10.18627841,3.134545023,0.242836132,NA,NA
CCR,88,5/22/2024,0.1,1,5.2,5.4,-0.2,11.68694692,14.83493051,3.147983589,0.210693036,NA,NA
CCR,88,5/22/2024,1.5,1,2.9,7.8,-0.8,10.54088857,14.05792896,3.517040392,0.213334561,NA,NA
CCR,88,5/22/2024,13,1,14,6.8,117.5,12.1029348,14.59864502,2.495710217,0.272704039,NA,NA
CCR,88,5/22/2024,6,1,3.6,1.4,4.1,10.01874029,13.2157103,3.196970014,0.19296843,NA,NA
CCR,88,5/22/2024,9,1,19.92644096,7.109174794,55.54757565,11.87364019,14.7303946,2.856754405,0.232697416,NA,NA
BVR,50,5/27/2024,0.1,1,20.6,15,10.6,3.348939507,11.56989528,8.220955776,0.698217308,12.6,627
BVR,50,5/27/2024,3,1,40.4,9,4.1,3.514729886,8.95061072,5.435880834,0.553336582,48.9,505
BVR,50,5/27/2024,6,1,27,5.9,1.07,3.569568666,7.379769794,3.810201127,0.384650984,20.2,318
BVR,50,5/27/2024,9,1,597,25.2,4.47,4.42,9.14,4.71,0.82,11.6,762
FCR,100,5/27/2024,0.1,1,13.5,17.6,3.5,4.642710212,8.453303522,3.81059331,0.182934283,28.1,228
FCR,50,5/27/2024,0.1,1,16,8.1,0.5,4.172316072,8.061647721,3.889331649,0.298281758,16.5,338
FCR,50,5/27/2024,1.6,1,12.1,6.1,1.3,4.159489665,8.174034148,4.014544483,0.321049774,14.8,230
FCR,50,5/27/2024,3.8,1,7.63,5.63,0.017,4.18737535,7.933192047,3.745816697,0.281038159,12.4,256
FCR,50,5/27/2024,5,1,60.5,5.14,5.21,4.794942144,8.319595433,3.524653289,0.470277089,77.3,306
FCR,50,5/27/2024,6.2,1,43.8,5.04,3.55,4.1,7.89,3.8,0.33,24.6,324
FCR,50,5/27/2024,8,1,33.2,6.1,0.2,4.842311638,8.318990386,3.476678748,0.274979925,9.04,272
FCR,50,5/27/2024,9,1,47.3,5.9,3.9,4.602645882,7.590358799,2.987712916,0.302543407,34.4,353
BVR,50,6/3/2024,0.1,1,41,21,1,3.264810042,13.50599979,10.24118975,1.16995471,10.2,827
BVR,50,6/3/2024,3,1,49.6,11.5,2.1,3.230103417,9.344185099,6.114081683,0.631091313,41.9,691
BVR,50,6/3/2024,6,1,32.2,4.8,2.2,3.82442026,7.533065826,3.708645566,0.325989202,-5.15,324
BVR,50,6/3/2024,9,1,743,26.5,4.7,NA,NA,NA,NA,6.75,935
FCR,100,6/3/2024,0.1,1,14.3,20.6,41.2,5.040136335,7.247108737,2.206972402,0.178761608,41.6,188
FCR,20,6/3/2024,0.1,1,13.6,5.7,4.08,4.02,8.55,4.53,0.29,7.4,248
FCR,50,6/3/2024,0.1,1,10.2,7.7,0.2,4.191860729,8.344264685,4.152403956,0.276349932,20,227
FCR,50,6/3/2024,1.6,1,16.8,6.7,0.5,4.350390861,8.2053786,3.854987738,0.310562409,20.4,261
FCR,50,6/3/2024,3.8,1,15.1,6.7,0.1,4.379832052,8.098280002,3.71844795,0.300804377,25,317
FCR,50,6/3/2024,5,1,19.5,6.7,0.5,4.580619433,8.056596557,3.475977124,0.291082133,8.47,219
FCR,50,6/3/2024,6.2,1,69.9,4.94,2.08,4.681328128,8.535672647,3.854344518,0.367712034,27.8,348
FCR,50,6/3/2024,8,1,114,6.1,1.9,5.155900655,8.204421054,3.048520399,0.372395758,13.2,270
FCR,50,6/3/2024,9,1,118,6.1,2.3,4.930706855,8.007882418,3.077175563,0.345530903,37.2,374
BVR,50,6/10/2024,0.1,1,168,21.8,5.3,3.229507142,16.63912153,13.40961438,2.138147026,27.4,1000
BVR,50,6/10/2024,3,1,65.3,7.8,2.6,3.414095966,9.143748289,5.729652323,0.821352216,55.1,534
BVR,50,6/10/2024,9,1,531,21.8,3.3,4.530119949,9.175376395,4.645256447,0.831347643,29.9,760
FCR,100,6/10/2024,0.1,1,9.6,22.6,46.9,5.293622674,7.664827133,2.371204458,0.197508243,51.6,458
FCR,20,6/10/2024,0.1,1,5.8,8.4,-0.7,4.388929648,8.571235624,4.182305975,0.275884483,16,411
FCR,50,6/10/2024,0.1,1,81.6,11.5,3.2,4.325967414,10.92305873,6.513714124,0.989583256,11.4,336
FCR,50,6/10/2024,1.6,1,12.6,6.56,-0.127,3.92,8.41,4.49,0.28,24.4,380
FCR,50,6/10/2024,3.8,1,24,5.29,-1.81,2.92,7.05,4.12,0.33,20.7,307
FCR,50,6/10/2024,5,1,70.5,4.9,-0.8,4.658701159,7.815539316,3.156838157,0.310130477,18.4,362
FCR,50,6/10/2024,6.2,1,130,5.26,-9.04,4.38,7.99,3.61,0.35,30.3,374
FCR,50,6/10/2024,8,1,232,6.9,3.4,5.09393666,7.955683095,2.861746435,0.487988368,33.3,484
FCR,50,6/10/2024,9,1,221,4.85,4.9,4.65,7.91,3.26,0.38,38.6,502
BVR,50,6/17/2024,0.1,1,13.1,8.3,-3,2.92494982,12.15990013,9.234950308,0.720033436,29.8,1190
BVR,50,6/17/2024,3,1,63.2,8.4,2.8,3.64532869,10.22346023,6.578131542,0.739161829,26.8,398
BVR,50,6/17/2024,6,1,116,4.9,3,4.035461667,8.317715729,4.282254061,0.420346003,23.8,345
BVR,50,6/17/2024,9,1,815,25.7,4,4.586387531,8.206350074,3.619962544,1.069408951,22.1,802
FCR,100,6/17/2024,0.1,1,15.8,23.2,58.6,5.531392535,7.984392723,2.453000187,0.203977111,59,363
FCR,20,6/17/2024,0.1,1,4.23,17.5,1.53,4.399974966,11.93062051,7.530645545,0.547171776,26.3,641
FCR,50,6/17/2024,0.1,1,17.2,11.4,3.2,2.49,8.49,6,0.35,20.7,531
FCR,50,6/17/2024,1.6,1,33.6,13.3,0.6,4.261220495,9.736136317,5.474915822,0.551868836,18.4,575
FCR,50,6/17/2024,3.8,1,24.7,10.3,2.37,4.13,8.99,4.86,0.35,23.2,340
FCR,50,6/17/2024,5,1,72,5.4,-0.1,4.568564899,7.864988123,3.296423224,0.317320061,23.1,294
FCR,50,6/17/2024,6.2,1,211,8,2.7,4.948787695,8.766860582,3.818072887,0.48631012,22.6,458
FCR,50,6/17/2024,8,1,365,6.4,9.1,5.443020847,8.469959818,3.026938971,0.633210102,41,481
FCR,50,6/17/2024,9,1,310,5.5,7.2,5.384096993,8.153703408,2.769606415,0.547347194,35.4,466
CCR,100,6/19/2024,0.1,1,4.699786459,6.040729124,273.1111519,4.975828535,6.962186046,1.986357511,0.345208942,NA,NA
CCR,101,6/19/2024,0.1,1,7.3,9.7,208.8,5.119035855,7.620685653,2.501649798,0.361966582,15.1,332
CCR,101,6/19/2024,0.1,2,13,8.17,188,4.33,6.74,2.41,0.33,NA,NA
CCR,50,6/19/2024,0.1,1,35.9,4.12,4.18,12.06,16.31,4.25,0.49,11.3,721
CCR,50,6/19/2024,1.5,1,9.7,5.9,0.1,10.86218883,14.48973484,3.627546011,0.248715847,8.6,248
CCR,50,6/19/2024,1.5,2,14.5,8.8,2.34,12.03334031,15.42416609,3.390825781,0.217853444,NA,NA
CCR,50,6/19/2024,20,1,18,4.96,133,14.89183785,16.92472027,2.032882423,0.289681232,20.5,393
CCR,50,6/19/2024,6,1,6.62,4.59,1.1,10.25926483,13.60096925,3.341704427,0.196176017,9.1,217
CCR,50,6/19/2024,9,1,10.3,5.1,47.9,13.49994084,15.68725287,2.18731203,0.240332665,20.4,370
CCR,88,6/19/2024,0.1,1,7,4.1,6,11.65531382,14.63335645,2.978042627,0.211036026,NA,NA
CCR,88,6/19/2024,1.5,1,4.5,5.9,3.8,10.36895146,13.38912285,3.020171388,0.215072478,NA,NA
