sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
44	12	F50 8nov22 3.8m S	TIC/TC/TNb			0.500	0.500	4723	7680		2855	4.039	6.785	2.746		0.183	1.00	0	0		0			2023-03-27	18:54:50	
45	13	F100 28nov22 0.1m S	TIC/TC/TNb			0.500	0.500	4075	5475		803	3.541	4.917	1.376		0.000	1.00	0	0		0			2023-03-27	19:13:22	
46	13	F100 28nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3923	5373		800	3.425	4.830	1.406		0.000	1.00	0	0		0			2023-03-27	19:23:41	
47	13	F100 28nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3883	5429		761	3.394	4.878	1.484		0.000	1.00	0	0		0			2023-03-27	19:34:29	
48	14	F50 28nov22 8m	TIC/TC/TNb			0.500	0.500	4301	8016		2398	3.715	7.069	3.355		0.135	1.00	0	0		0			2023-03-27	19:53:13	
49	14	F50 28nov22 8m	TIC/TC/TNb			0.500	0.500	4402	8004		2371	3.792	7.059	3.267		0.132	1.00	0	0		0			2023-03-27	20:03:37	
50	14	F50 28nov22 8m	TIC/TC/TNb			0.500	0.500	4484	7982		2496	3.855	7.041	3.186		0.145	1.00	0	0		0			2023-03-27	20:14:36	
51	15	F50 12dec22 8m	TIC/TC/TNb			0.500	0.500	4438	8015		2331	3.820	7.069	3.249		0.128	1.00	0	0		0			2023-03-27	20:33:25	
52	15	F50 12dec22 8m	TIC/TC/TNb			0.500	0.500	4473	8111		2335	3.847	7.150	3.303		0.128	1.00	0	0		0			2023-03-27	20:43:53	
53	15	F50 12dec22 8m	TIC/TC/TNb			0.500	0.500	4534	8056		2261	3.893	7.104	3.210		0.120	1.00	0	0		0			2023-03-27	20:54:53	
54	16	F50 12dec22 5m	TIC/TC/TNb			0.500	0.500	4347	8340		2322	3.750	7.344	3.594		0.127	1.00	0	0		0			2023-03-27	21:16:57	
55	16	F50 12dec22 5m	TIC/TC/TNb			0.500	0.500	4393	7771		2340	3.785	6.862	3.076		0.129	1.00	0	0		0			2023-03-27	21:27:19	
56	16	F50 12dec22 5m	TIC/TC/TNb			0.500	0.500	4353	7885		2324	3.754	6.959	3.204		0.127	1.00	0	0		0			2023-03-27	21:38:25	
57	17	F50 28nov22 3.8m	TIC/TC/TNb			0.500	0.500	4451	7752		2100	3.829	6.846	3.016		0.104	1.00	0	0		0			2023-03-27	21:57:17	
58	17	F50 28nov22 3.8m	TIC/TC/TNb			0.500	0.500	4536	7819		2175	3.895	6.902	3.008		0.111	1.00	0	0		0			2023-03-27	22:07:41	
59	17	F50 28nov22 3.8m	TIC/TC/TNb			0.500	0.500	4504	7832		2050	3.870	6.913	3.043		0.098	1.00	0	0		0			2023-03-27	22:18:41	
60	18	F50 28nov22 5m	TIC/TC/TNb			0.500	0.500	4457	7890		2122	3.834	6.963	3.129		0.106	1.00	0	0		0			2023-03-27	22:37:45	
61	18	F50 28nov22 5m	TIC/TC/TNb			0.500	0.500	4506	7891		2210	3.872	6.963	3.091		0.115	1.00	0	0		0			2023-03-27	22:48:20	
62	18	F50 28nov22 5m	TIC/TC/TNb			0.500	0.500	4550	8132		2255	3.906	7.168	3.262		0.120	1.00	0	0		0			2023-03-27	23:00:11	
63	19	SPIKE S10	TIC/TC/TNb			0.500	0.500	7087	13846		4330	5.852	12.009	6.157		0.337	1.00	0	0		0			2023-03-27	23:19:29	
64	19	SPIKE S10	TIC/TC/TNb			0.500	0.500	8068	14024		4513	6.605	12.159	5.555		0.356	1.00	0	0		0			2023-03-27	23:30:28	
65	19	SPIKE S10	TIC/TC/TNb			0.500	0.500	7882	13964		4387	6.462	12.109	5.647		0.343	1.00	0	0		0			2023-03-27	23:41:36	
66	20	DUP S5	TIC/TC/TNb			0.500	0.500	4867	5834		861	4.149	5.221	1.072		0.000	1.00	0	0		0			2023-03-28	00:00:31	
67	20	DUP S5	TIC/TC/TNb			0.500	0.500	4077	5649		812	3.543	5.064	1.521		0.000	1.00	0	0		0			2023-03-28	00:10:29	
68	20	DUP S5	TIC/TC/TNb			0.500	0.500	4088	5666		798	3.551	5.079	1.528		0.000	1.00	0	0		0			2023-03-28	00:21:19	
69	3	Water Blank	TIC/TC/TNb			0.500	0.500	1106	598		385	1.264	0.785	0.000		0.000	1.00	0	0		0			2023-03-28	00:38:52	
70	3	Water Blank	TIC/TC/TNb			0.500	0.500	219	522		364	0.583	0.721	0.137		0.000	1.00	0	0		0			2023-03-28	00:47:31	
71	3	Water Blank	TIC/TC/TNb			0.500	0.500	279	485		379	0.629	0.689	0.060		0.000	1.00	0	0		0			2023-03-28	00:57:09	
72	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	3205	10369		5432	4.789	15.105	10.316		0.753	1.00	0	0		0			2023-03-28	01:14:59	
73	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4767	10434		5474	6.786	15.197	8.411		0.761	1.00	0	0		0			2023-03-28	01:25:08	
74	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4949	10393		5478	7.020	15.139	8.120		0.761	1.00	0	0		0			2023-03-28	01:35:48	
75	3		Flush																					2023-03-28	01:41:59	
76	21	B50 28nov22 8m	TIC/TC/TNb			0.500	0.500	3324	6975		5876	2.965	6.188	3.223		0.499	1.00	0	0		0			2023-03-28	02:00:45	
77	21	B50 28nov22 8m	TIC/TC/TNb			0.500	0.500	4022	7039		5962	3.500	6.242	2.742		0.508	1.00	0	0		0			2023-03-28	02:11:18	
78	21	B50 28nov22 8m	TIC/TC/TNb			0.500	0.500	4020	7058		5991	3.499	6.258	2.759		0.511	1.00	0	0		0			2023-03-28	02:22:18	
79	22	F50 16nov22 3.8m	TIC/TC/TNb			0.500	0.500	4454	7894		2985	3.832	6.966	3.135		0.196	1.00	0	0		0			2023-03-28	02:40:51	
80	22	F50 16nov22 3.8m	TIC/TC/TNb			0.500	0.500	4686	7961		2998	4.010	7.023	3.013		0.198	1.00	0	0		0			2023-03-28	02:51:29	
81	22	F50 16nov22 3.8m	TIC/TC/TNb			0.500	0.500	4631	7956		2930	3.968	7.019	3.051		0.190	1.00	0	0		0			2023-03-28	03:02:35	
82	23	C50 17nov22 9m	TIC/TC/TNb			0.500	0.500	9306	13000		2063	7.554	11.292	3.737		0.100	1.00	0	0		0			2023-03-28	03:21:30	
83	23	C50 17nov22 9m	TIC/TC/TNb			0.500	0.500	10760	13058		2081	8.669	11.341	2.672		0.102	1.00	0	0		0			2023-03-28	03:32:13	
84	23	C50 17nov22 9m	TIC/TC/TNb			0.500	0.500	10743	13029		2044	8.657	11.317	2.660		0.098	1.00	0	0		0			2023-03-28	03:43:47	
85	24	F50 8nov22 6.2m	TIC/TC/TNb			0.500	0.500	6458	8049		4768	5.369	7.098	1.729		0.383	1.00	0	0		0			2023-03-28	04:02:42	
86	24	F50 8nov22 6.2m	TIC/TC/TNb			0.500	0.500	5282	8136		4764	4.467	7.171	2.703		0.382	1.00	0	0		0			2023-03-28	04:13:06	
87	24	F50 8nov22 6.2m	TIC/TC/TNb			0.500	0.500	5340	8155		4761	4.512	7.188	2.676		0.382	1.00	0	0		0			2023-03-28	04:24:10	
88	25	B50 28nov22 6m	TIC/TC/TNb			0.500	0.500	3968	6801		6147	3.459	6.040	2.581		0.527	1.00	0	0		0			2023-03-28	04:42:40	
89	25	B50 28nov22 6m	TIC/TC/TNb			0.500	0.500	3756	6789		6063	3.297	6.030	2.734		0.518	1.00	0	0		0			2023-03-28	04:53:05	
90	25	B50 28nov22 6m	TIC/TC/TNb			0.500	0.500	3696	6685		6032	3.250	5.942	2.692		0.515	1.00	0	0		0			2023-03-28	05:03:48	
91	26	F50 8nov22 8m	TIC/TC/TNb			0.500	0.500	4689	7738		5140	4.012	6.834	2.821		0.422	1.00	0	0		0			2023-03-28	05:22:32	
92	26	F50 8nov22 8m	TIC/TC/TNb			0.500	0.500	5001	7752		5082	4.252	6.846	2.594		0.416	1.00	0	0		0			2023-03-28	05:32:46	
93	26	F50 8nov22 8m	TIC/TC/TNb			0.500	0.500	5034	7698		4990	4.277	6.800	2.523		0.406	1.00	0	0		0			2023-03-28	05:43:50	
94	27	F50 28nov22 9m	TIC/TC/TNb			0.500	0.500	4598	7981		2629	3.942	7.040	3.098		0.159	1.00	0	0		0			2023-03-28	06:02:34	
95	27	F50 28nov22 9m	TIC/TC/TNb			0.500	0.500	4540	8043		2516	3.898	7.093	3.195		0.147	1.00	0	0		0			2023-03-28	06:12:58	
96	27	F50 28nov22 9m	TIC/TC/TNb			0.500	0.500	4524	8027		2428	3.886	7.079	3.193		0.138	1.00	0	0		0			2023-03-28	06:23:57	
97	28	CCR 17nov22 CCS	TIC/TC/TNb			0.500	0.500	3638	5942		1345	3.206	5.313	2.107		0.025	1.00	0	0		0			2023-03-28	06:42:30	
98	28	CCR 17nov22 CCS	TIC/TC/TNb			0.500	0.500	3000	5932		1347	2.716	5.304	2.588		0.025	1.00	0	0		0			2023-03-28	06:52:32	
99	28	CCR 17nov22 CCS	TIC/TC/TNb			0.500	0.500	3384	5898		1304	3.011	5.275	2.264		0.020	1.00	0	0		0			2023-03-28	07:03:25	
100	29	B50 16dec22 3m	TIC/TC/TNb			0.500	0.500	3480	6242		5633	3.084	5.566	2.482		0.473	1.00	0	0		0			2023-03-28	07:22:10	
101	29	B50 16dec22 3m	TIC/TC/TNb			0.500	0.500	3457	6255		5732	3.067	5.578	2.511		0.484	1.00	0	0		0			2023-03-28	07:32:22	
102	29	B50 16dec22 3m	TIC/TC/TNb			0.500	0.500	3439	6300		5679	3.054	5.616	2.562		0.478	1.00	0	0		0			2023-03-28	07:43:07	
103	30	B50 8aug22 8m	TIC/TC/TNb			0.500	0.500	4655	7841		16080	3.986	6.922	2.935		1.566	1.00	0	0		0			2023-03-28	08:01:50	
104	30	B50 8aug22 8m	TIC/TC/TNb			0.500	0.500	5117	7775		16508	4.340	6.866	2.525		1.611	1.00	0	0		0			2023-03-28	08:12:18	
105	30	B50 8aug22 8m	TIC/TC/TNb			0.500	0.500	5008	7849		16308	4.257	6.928	2.671		1.590	1.00	0	0		0			2023-03-28	08:23:17	
106	31	SPK s20	TIC/TC/TNb			0.500	0.500	8256	14825		18867	6.749	12.838	6.089		1.857	1.00	0	0		0			2023-03-28	08:42:50	
107	31	SPK s20	TIC/TC/TNb			0.500	0.500	9297	15013		19173	7.547	12.997	5.450		1.889	1.00	0	0		0			2023-03-28	08:53:44	
108	31	SPK s20	TIC/TC/TNb			0.500	0.500	9561	15081		19154	7.750	13.055	5.305		1.887	1.00	0	0		0			2023-03-28	09:05:36	
109	32	DUP s15	TIC/TC/TNb			0.500	0.500	5148	7270		6611	4.364	6.438	2.073		0.575	1.00	0	0		0			2023-03-28	09:24:37	
110	32	DUP s15	TIC/TC/TNb			0.500	0.500	4073	7228		6524	3.539	6.402	2.863		0.566	1.00	0	0		0			2023-03-28	09:34:53	
111	32	DUP s15	TIC/TC/TNb			0.500	0.500	3998	7206		6594	3.482	6.384	2.901		0.574	1.00	0	0		0			2023-03-28	09:45:48	
112	2	F50 3feb23 5m	TIC/TC/TNb			0.500	0.500	4103	6629		1988	3.563	5.894	2.332		0.092	1.00	0	0		0			2023-03-28	10:04:34	
113	2	F50 3feb23 5m	TIC/TC/TNb			0.500	0.500	4105	6552		1947	3.564	5.829	2.265		0.088	1.00	0	0		0			2023-03-28	10:14:53	
114	2	F50 3feb23 5m	TIC/TC/TNb			0.500	0.500	4116	6680		2056	3.572	5.937	2.365		0.099	1.00	0	0		0			2023-03-28	10:25:46	
115	4	F50 16nov22 1.6m	TIC/TC/TNb			0.500	0.500	4459	7811		2779	3.835	6.896	3.060		0.175	1.00	0	0		0			2023-03-28	10:44:34	
116	4	F50 16nov22 1.6m	TIC/TC/TNb			0.500	0.500	4593	7755		2794	3.938	6.848	2.910		0.176	1.00	0	0		0			2023-03-28	10:54:48	
117	4	F50 16nov22 1.6m	TIC/TC/TNb			0.500	0.500	4611	7790		2853	3.953	6.878	2.925		0.182	1.00	0	0		0			2023-03-28	11:05:45	
118	5	F50 16nov22 5m	TIC/TC/TNb			0.500	0.500	4675	8039		2895	4.002	7.089	3.087		0.187	1.00	0	0		0			2023-03-28	11:24:50	
119	5	F50 16nov22 5m	TIC/TC/TNb			0.500	0.500	4801	8124		2984	4.098	7.161	3.063		0.196	1.00	0	0		0			2023-03-28	11:35:23	
120	5	F50 16nov22 5m	TIC/TC/TNb			0.500	0.500	4733	8088		2926	4.046	7.131	3.085		0.190	1.00	0	0		0			2023-03-28	11:46:29	
121	6	B50 8nov22 6m	TIC/TC/TNb			0.500	0.500	4673	7869		8806	4.000	6.945	2.945		0.805	1.00	0	0		0			2023-03-28	12:05:07	
122	6	B50 8nov22 6m	TIC/TC/TNb			0.500	0.500	4658	7884		8873	3.989	6.958	2.969		0.812	1.00	0	0		0			2023-03-28	12:15:30	
123	6	B50 8nov22 6m	TIC/TC/TNb			0.500	0.500	4638	7884		8783	3.973	6.957	2.984		0.803	1.00	0	0		0			2023-03-28	12:26:27	
124	7	C50 17nov22 6m	TIC/TC/TNb			0.500	0.500	9056	12753		2442	7.362	11.083	3.721		0.139	1.00	0	0		0			2023-03-28	12:45:43	
125	7	C50 17nov22 6m	TIC/TC/TNb			0.500	0.500	10344	12926		2378	8.351	11.230	2.879		0.133	1.00	0	0		0			2023-03-28	12:56:29	
126	7	C50 17nov22 6m	TIC/TC/TNb			0.500	0.500	10444	12822		2427	8.427	11.141	2.714		0.138	1.00	0	0		0			2023-03-28	13:07:47	
127	8	F50 28nov22 6.2m	TIC/TC/TNb			0.500	0.500	5943	8139		2290	4.974	7.174	2.199		0.124	1.00	0	0		0			2023-03-28	13:27:20	
128	8	F50 28nov22 6.2m	TIC/TC/TNb			0.500	0.500	4836	8142		2283	4.125	7.177	3.052		0.123	1.00	0	0		0			2023-03-28	13:37:39	
129	8	F50 28nov22 6.2m	TIC/TC/TNb			0.500	0.500	4760	8182		2250	4.067	7.210	3.144		0.119	1.00	0	0		0			2023-03-28	13:48:38	
130	3	Water Blank	TIC/TC/TNb			0.500	0.500	1314	699		447	1.423	0.871	0.000		0.000	1.00	0	0		0			2023-03-28	14:06:26	
131	3	Water Blank	TIC/TC/TNb			0.500	0.500	327	612		424	0.666	0.797	0.131		0.000	1.00	0	0		0			2023-03-28	14:15:18	
132	3	Water Blank	TIC/TC/TNb			0.500	0.500	296	571		534	0.642	0.762	0.120		0.000	1.00	0	0		0			2023-03-28	14:24:43	
133	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	3276	10446		5440	4.880	15.213	10.334		0.755	1.00	0	0		0			2023-03-28	14:42:38	
134	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4786	10601		5535	6.812	15.433	8.621		0.772	1.00	0	0		0			2023-03-28	14:52:49	
135	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4951	10563		5582	7.022	15.378	8.357		0.780	1.00	0	0		0			2023-03-28	15:03:44	
136	6																1.00									
