sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
55	16	B50 21mar23 9m S	TIC/TC/TNb			0.500	0.500	2650	5203		2701	2.448	4.687	2.239		0.166	1.00	0	0		0			2023-03-24	23:53:58	
56	16	B50 21mar23 9m S	TIC/TC/TNb			0.500	0.500	2648	5202		2591	2.446	4.685	2.239		0.155	1.00	0	0		0			2023-03-25	00:04:36	
57	17	F3feb23 0.1m S	TIC/TC/TNb			0.500	0.500	3593	6474		1875	3.172	5.763	2.591		0.080	1.00	0	0		0			2023-03-25	00:23:29	
58	17	F3feb23 0.1m S	TIC/TC/TNb			0.500	0.500	3886	6517		1884	3.396	5.800	2.403		0.081	1.00	0	0		0			2023-03-25	00:33:37	
59	17	F3feb23 0.1m S	TIC/TC/TNb			0.500	0.500	3920	6541		1838	3.422	5.820	2.398		0.076	1.00	0	0		0			2023-03-25	00:44:33	
60	18	F3feb23 6.2m S	TIC/TC/TNb			0.500	0.500	3887	6735		1999	3.397	5.984	2.587		0.093	1.00	0	0		0			2023-03-25	01:03:09	
61	18	F3feb23 6.2m S	TIC/TC/TNb			0.500	0.500	3977	6737		2030	3.466	5.986	2.520		0.096	1.00	0	0		0			2023-03-25	01:13:23	
62	18	F3feb23 6.2m S	TIC/TC/TNb			0.500	0.500	3938	6779		1958	3.436	6.022	2.586		0.089	1.00	0	0		0			2023-03-25	01:24:16	
63	19	SPIKE f3feb23 6.2m S	TIC/TC/TNb			0.500	0.500	6608	13837		4616	5.484	12.001	6.517		0.367	1.00	0	0		0			2023-03-25	01:44:05	
64	19	SPIKE f3feb23 6.2m S	TIC/TC/TNb			0.500	0.500	7445	14080		4627	6.127	12.207	6.081		0.368	1.00	0	0		0			2023-03-25	01:54:59	
65	19	SPIKE f3feb23 6.2m S	TIC/TC/TNb			0.500	0.500	7469	14018		4557	6.145	12.155	6.009		0.361	1.00	0	0		0			2023-03-25	02:06:32	
66	20	DUP B50 16nov22 3m S	TIC/TC/TNb			0.500	0.500	4575	7218		5911	3.925	6.394	2.469		0.502	1.00	0	0		0			2023-03-25	02:25:31	
67	20	DUP B50 16nov22 3m S	TIC/TC/TNb			0.500	0.500	3851	7158		5793	3.369	6.343	2.974		0.490	1.00	0	0		0			2023-03-25	02:35:42	
68	20	DUP B50 16nov22 3m S	TIC/TC/TNb			0.500	0.500	3861	7155		5854	3.377	6.341	2.964		0.496	1.00	0	0		0			2023-03-25	02:46:35	
69	3	Water Blank	TIC/TC/TNb			0.500	0.500	1000	695		502	1.182	0.867	0.000		0.000	1.00	0	0		0			2023-03-25	03:03:55	
70	3	Water Blank	TIC/TC/TNb			0.500	0.500	224	584		468	0.587	0.773	0.186		0.000	1.00	0	0		0			2023-03-25	03:12:41	
71	3	Water Blank	TIC/TC/TNb			0.500	0.500	243	554		391	0.602	0.748	0.146		0.000	1.00	0	0		0			2023-03-25	03:22:01	
72	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	3049	10173		5633	4.590	14.828	10.238		0.789	1.00	0	0		0			2023-03-25	03:39:59	
73	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4569	10217		5734	6.534	14.891	8.357		0.806	1.00	0	0		0			2023-03-25	03:50:03	
74	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4730	10309		5669	6.740	15.020	8.280		0.795	1.00	0	0		0			2023-03-25	04:00:55	
75	3		Flush																					2023-03-25	04:07:09	
76	21	B50 16nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3511	6887		5813	3.109	6.113	3.004		0.492	1.00	0	0		0			2023-03-25	04:25:49	
77	21	B50 16nov22 0.1m S	TIC/TC/TNb			0.500	0.500	4226	7062		5904	3.657	6.262	2.604		0.501	1.00	0	0		0			2023-03-25	04:36:05	
78	21	B50 16nov22 0.1m S	TIC/TC/TNb			0.500	0.500	4209	7024		5919	3.644	6.229	2.585		0.503	1.00	0	0		0			2023-03-25	04:47:06	
79	22	F50 28nov22 0.1m S	TIC/TC/TNb			0.500	0.500	4357	7805		2364	3.757	6.891	3.133		0.131	1.00	0	0		0			2023-03-25	05:05:37	
80	22	F50 28nov22 0.1m S	TIC/TC/TNb			0.500	0.500	4510	7869		2320	3.875	6.945	3.070		0.127	1.00	0	0		0			2023-03-25	05:15:56	
81	22	F50 28nov22 0.1m S	TIC/TC/TNb			0.500	0.500	4499	7857		2383	3.866	6.935	3.069		0.133	1.00	0	0		0			2023-03-25	05:26:53	
82	23	B50 8nov22 7m S	TIC/TC/TNb			0.500	0.500	4494	7841		9319	3.863	6.921	3.059		0.859	1.00	0	0		0			2023-03-25	05:45:38	
83	23	B50 8nov22 7m S	TIC/TC/TNb			0.500	0.500	4521	7860		9401	3.883	6.938	3.055		0.867	1.00	0	0		0			2023-03-25	05:55:54	
84	23	B50 8nov22 7m S	TIC/TC/TNb			0.500	0.500	4518	7903		9477	3.881	6.974	3.093		0.875	1.00	0	0		0			2023-03-25	06:06:57	
85	24	B50 8nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3990	7603		4819	3.476	6.720	3.244		0.388	1.00	0	0		0			2023-03-25	06:25:29	
86	24	B50 8nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3897	7606		4805	3.404	6.722	3.318		0.386	1.00	0	0		0			2023-03-25	06:35:46	
87	24	B50 8nov22 0.1m S	TIC/TC/TNb			0.500	0.500	3887	7522		4668	3.397	6.651	3.255		0.372	1.00	0	0		0			2023-03-25	06:46:45	
88	25	C50 17nov22 21m S	TIC/TC/TNb			0.500	0.500	11522	16532		3037	9.254	14.284	5.030		0.202	1.00	0	0		0			2023-03-25	07:06:06	
89	25	C50 17nov22 21m S	TIC/TC/TNb			0.500	0.500	13845	16649		3049	11.037	14.383	3.347		0.203	1.00	0	0		0			2023-03-25	07:17:06	
90	25	C50 17nov22 21m S	TIC/TC/TNb			0.500	0.500	13991	16607		3089	11.149	14.348	3.199		0.207	1.00	0	0		0			2023-03-25	07:28:35	
91	26	B50 16dec22 8m S	TIC/TC/TNb			0.500	0.500	6220	6882		5704	5.187	6.109	0.922		0.481	1.00	0	0		0			2023-03-25	07:47:38	
92	26	B50 16dec22 8m S	TIC/TC/TNb			0.500	0.500	4136	6831		5601	3.588	6.066	2.478		0.470	1.00	0	0		0			2023-03-25	07:57:49	
93	26	B50 16dec22 8m S	TIC/TC/TNb			0.500	0.500	3971	6830		5661	3.461	6.065	2.604		0.476	1.00	0	0		0			2023-03-25	08:08:23	
94	27	F50 12dec22 9m S	TIC/TC/TNb			0.500	0.500	4298	7850		2345	3.712	6.929	3.216		0.129	1.00	0	0		0			2023-03-25	08:28:03	
95	27	F50 12dec22 9m S	TIC/TC/TNb			0.500	0.500	4412	7846		2390	3.800	6.925	3.125		0.134	1.00	0	0		0			2023-03-25	08:38:14	
96	27	F50 12dec22 9m S	TIC/TC/TNb			0.500	0.500	4440	7863		2303	3.821	6.940	3.119		0.125	1.00	0	0		0			2023-03-25	08:49:11	
97	28	F50 28nov22 1.6m S	TIC/TC/TNb			0.500	0.500	4421	7726		2113	3.806	6.824	3.018		0.105	1.00	0	0		0			2023-03-25	09:07:58	
98	28	F50 28nov22 1.6m S	TIC/TC/TNb			0.500	0.500	4498	7724		2176	3.865	6.822	2.957		0.112	1.00	0	0		0			2023-03-25	09:18:21	
99	28	F50 28nov22 1.6m S	TIC/TC/TNb			0.500	0.500	4542	7731		2121	3.899	6.828	2.929		0.106	1.00	0	0		0			2023-03-25	09:29:20	
100	29	B50 16dec22 0.1m S	TIC/TC/TNb			0.500	0.500	3700	6621		5536	3.253	5.888	2.635		0.463	1.00	0	0		0			2023-03-25	09:47:59	
101	29	B50 16dec22 0.1m S	TIC/TC/TNb			0.500	0.500	3562	6694		5636	3.147	5.949	2.802		0.473	1.00	0	0		0			2023-03-25	09:58:09	
102	29	B50 16dec22 0.1m S	TIC/TC/TNb			0.500	0.500	3493	6643		5628	3.094	5.906	2.812		0.473	1.00	0	0		0			2023-03-25	10:09:00	
103	30	F3feb23 8m S	TIC/TC/TNb			0.500	0.500	3818	6594		1913	3.344	5.865	2.521		0.084	1.00	0	0		0			2023-03-25	10:27:32	
104	30	F3feb23 8m S	TIC/TC/TNb			0.500	0.500	3915	6559		1960	3.418	5.835	2.417		0.089	1.00	0	0		0			2023-03-25	10:37:46	
105	30	F3feb23 8m S	TIC/TC/TNb			0.500	0.500	3900	6605		1949	3.407	5.874	2.467		0.088	1.00	0	0		0			2023-03-25	10:48:46	
106	31	SPIKE F3feb23 8m S	TIC/TC/TNb			0.500	0.500	6650	13586		4282	5.516	11.788	6.272		0.332	1.00	0	0		0			2023-03-25	11:08:14	
107	31	SPIKE F3feb23 8m S	TIC/TC/TNb			0.500	0.500	7499	13704		4291	6.168	11.888	5.720		0.333	1.00	0	0		0			2023-03-25	11:19:04	
108	31	SPIKE F3feb23 8m S	TIC/TC/TNb			0.500	0.500	7498	13707		4383	6.167	11.891	5.724		0.342	1.00	0	0		0			2023-03-25	11:30:36	
109	32	DUP C50 17nov22 21m S	TIC/TC/TNb			0.500	0.500	12232	16726		3125	9.799	14.448	4.649		0.211	1.00	0	0		0			2023-03-25	11:50:15	
110	32	DUP C50 17nov22 21m S	TIC/TC/TNb			0.500	0.500	13732	16634		3206	10.950	14.370	3.420		0.219	1.00	0	0		0			2023-03-25	12:01:16	
111	32	DUP C50 17nov22 21m S	TIC/TC/TNb			0.500	0.500	13825	16691		3147	11.021	14.419	3.398		0.213	1.00	0	0		0			2023-03-25	12:12:57	
112	3	Water Blank	TIC/TC/TNb			0.500	0.500	3553	1040		525	3.141	1.160	0.000		0.000	1.00	0	0		0			2023-03-25	12:31:12	
113	3	Water Blank	TIC/TC/TNb			0.500	0.500	727	1018		518	0.973	1.141	0.168		0.000	1.00	0	0		0			2023-03-25	12:40:15	
114	3	Water Blank	TIC/TC/TNb			0.500	0.500	723	978		515	0.970	1.107	0.138		0.000	1.00	0	0		0			2023-03-25	12:49:56	
115	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	3167	10208		5666	4.741	14.878	10.137		0.794	1.00	0	0		0			2023-03-25	13:07:47	
116	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4707	10260		5786	6.710	14.951	8.240		0.815	1.00	0	0		0			2023-03-25	13:18:07	
117	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4779	10243		5746	6.802	14.928	8.126		0.808	1.00	0	0		0			2023-03-25	13:28:49	
118	6																1.00									
