"Reservoir","Site","Date","Rep","Start_time","End_time","Temp_C","CO2Slope_ppmS","CO2_R2","CO2Flux_umolCm2s","CH4Slope_ppmS","CH4_R2","CH4Flux_umolCm2s","Flag_CO2Flux_umolCm2s","Flag_CH4Flux_umolCm2s","Flag_Start_time","Flag_End_time"
"FCR",50,2023-06-05,1,"10:30:00","10:33:00",26.01,-0.042,0.96,-0.246,0.001,0.96,0.006,0,0,0,0
"FCR",50,2023-06-05,2,"10:35:00","10:39:00",27.3,-0.065,0.95,-0.379,0.003,0.96,0.017,0,0,0,0
"BVR",50,2023-06-05,1,"12:05:00","12:08:00",27.63,0.024,0.94,0.14,0.002,0.99,0.012,0,0,0,0
"BVR",50,2023-06-05,2,"12:12:00","12:16:00",28.77,0.013,0.89,0.075,0.002,1,0.012,1,0,0,0
"BVR",50,2023-06-14,1,"12:00:00","12:03:00",25.96,0.028,0.96,0.164,0.004,0.98,0.023,0,0,1,1
"BVR",50,2023-06-14,2,"12:00:00","12:04:00",28.1,0.017,0.95,0.099,0.003,1,0.017,0,0,1,1
"FCR",50,2023-06-14,1,"12:00:00","12:03:00",25.48,-0.072,0.99,-0.423,0.001,0.98,0.006,0,0,1,1
"FCR",50,2023-06-14,2,"12:00:00","12:04:00",27.08,-0.074,0.97,-0.432,0.001,0.98,0.006,0,0,1,1
"FCR",50,2023-06-19,1,"12:00:00","12:03:00",26.93,-0.103,1,-0.602,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-06-19,2,"12:00:00","12:04:00",27.79,-0.093,0.99,-0.542,0.002,0.99,0.012,0,0,1,1
"BVR",50,2023-06-26,1,"12:00:00","12:03:00",26.66,0.007,0.82,0.041,0.002,1,0.012,1,0,1,1
"BVR",50,2023-06-26,2,"12:00:00","12:04:00",28.4,0.006,0.8,0.035,0.001,0.99,0.006,1,0,1,1
"FCR",50,2023-06-26,1,"12:00:00","12:03:00",35.9,-0.093,1,-0.527,0.004,1,0.023,0,0,1,1
"FCR",50,2023-06-26,2,"12:00:00","12:04:00",36.31,-0.08,0.99,-0.453,0.004,0.99,0.023,0,0,1,1
"BVR",50,2023-07-03,1,"12:00:00","12:03:00",29.21,-0.018,0.95,-0.104,0.002,0.97,0.012,0,0,1,1
"BVR",50,2023-07-03,2,"12:00:00","12:04:00",30.8,-0.012,0.92,-0.069,0.002,0.98,0.012,0,0,1,1
"FCR",50,2023-07-03,1,"12:00:00","12:03:00",34.21,-0.118,1,-0.673,0.008,0.98,0.046,0,0,1,1
"FCR",50,2023-07-03,2,"12:00:00","12:04:00",35.22,-0.112,1,-0.636,0.006,0.99,0.034,0,0,1,1
"BVR",50,2023-07-10,1,"12:00:00","12:03:00",27.43,0.001,0.05,0.006,0.001,0.99,0.006,1,0,1,1
"BVR",50,2023-07-10,2,"12:00:00","12:04:00",29.78,-0.001,0.14,-0.006,0.001,1,0.006,1,0,1,1
"FCR",50,2023-07-10,1,"12:00:00","12:03:00",32.33,-0.049,0.99,-0.281,0.004,0.99,0.023,0,0,1,1
"FCR",50,2023-07-10,2,"12:00:00","12:04:00",33.84,-0.052,0.99,-0.297,0.003,1,0.017,0,0,1,1
"FCR",50,2023-07-24,1,"12:00:00","12:03:00",31.68,0.12,0.95,0.69,0.004,0.95,0.023,0,0,1,1
"FCR",50,2023-07-24,2,"12:00:00","12:04:00",32.47,0.068,0.94,0.39,0.002,0.94,0.011,0,0,1,1
"FCR",50,2023-07-24,3,"12:00:00","12:04:00",32.84,0.055,0.89,0.315,0.002,0.88,0.011,1,1,1,1
"BVR",50,2023-07-24,1,"12:00:00","12:03:00",32.95,-0.004,0.55,-0.023,0.001,0.99,0.006,1,0,1,1
"BVR",50,2023-07-24,2,"12:00:00","12:04:00",33.66,-0.007,0.75,-0.04,0.001,1,0.006,1,0,1,1
"FCR",50,2023-07-31,1,"12:00:00","12:03:00",35.45,-0.044,0.99,-0.25,0.006,1,0.034,0,0,1,1
"FCR",50,2023-07-31,2,"12:00:00","12:04:00",36.95,-0.05,0.99,-0.283,0.007,0.99,0.04,0,0,1,1
"FCR",50,2023-08-07,1,"12:00:00","12:03:00",26.22,-0.034,0.96,-0.199,0.002,0.96,0.012,0,0,1,1
"FCR",50,2023-08-07,2,"12:00:00","12:04:00",27.74,-0.037,0.97,-0.215,0.003,0.97,0.017,0,0,1,1
"BVR",50,2023-08-07,1,"12:00:00","12:03:00",31.29,-0.009,0.62,-0.052,0,0.92,0,1,0,1,1
"BVR",50,2023-08-07,2,"12:00:00","12:04:00",32.76,-0.015,0.79,-0.086,0.001,0.97,0.006,1,0,1,1
"BVR",50,2023-08-14,1,"12:00:00","12:03:00",30.04,-0.021,0.95,-0.121,0,0.99,0,0,0,1,1
"BVR",50,2023-08-14,2,"12:00:00","12:04:00",31.78,-0.022,0.97,-0.126,0,0.99,0,0,0,1,1
"BVR",50,2023-08-22,1,"12:00:00","12:03:00",29.84,-0.04,0.99,-0.231,0.002,1,0.012,0,0,1,1
"BVR",50,2023-08-22,2,"12:00:00","12:04:00",31.52,-0.041,0.99,-0.236,0.002,1,0.012,0,0,1,1
"FCR",50,2023-08-22,1,"13:39:00","13:42:00",35.73,-0.037,0.99,-0.21,0.001,0.95,0.006,0,0,0,0
"FCR",50,2023-08-22,2,"13:47:00","13:51:00",36.39,-0.038,0.98,-0.215,0.001,0.95,0.006,0,0,0,0
"FCR",50,2023-08-22,3,"13:56:00","14:00:00",36.7,-0.035,0.98,-0.198,0.001,0.96,0.006,0,0,0,0
"BVR",50,2023-09-05,1,"11:06:00","11:09:00",32.3,-0.014,0.91,-0.08,0.001,0.98,0.006,0,0,0,0
"BVR",50,2023-09-05,2,"11:15:00","11:19:00",34.07,-0.013,0.91,-0.074,0.001,0.98,0.006,0,0,0,0
"FCR",50,2023-09-05,1,"13:37:00","13:40:00",39.06,-0.021,0.91,-0.118,0.001,0.94,0.006,0,0,0,0
"FCR",50,2023-09-05,2,"13:43:00","13:47:00",39.57,-0.021,0.92,-0.118,0.001,0.98,0.006,0,0,0,0
"BVR",50,2023-09-12,1,"11:00:00","11:03:00",28.8,0.018,0.89,0.104,0.001,0.95,0.006,1,0,0,0
"BVR",50,2023-09-12,2,"11:06:00","11:10:00",30,0.01,0.88,0.058,0.001,0.99,0.006,1,0,0,0
"BVR",50,2023-09-12,3,"11:15:00","11:19:00",31.11,0.016,0.89,0.092,0.001,0.97,0.006,1,0,0,0
"FCR",50,2023-09-12,1,"13:24:00","13:27:00",35.55,0.014,0.88,0.079,0.005,0.96,0.028,1,0,0,0
"FCR",50,2023-09-12,2,"13:32:00","13:36:00",36.5,0.006,0.62,0.034,0.006,0.98,0.034,1,0,0,0
"FCR",50,2023-09-12,3,"13:41:00","13:45:00",36.64,-0.001,0.05,-0.006,0.003,0.99,0.017,1,0,0,0
"FCR",10,2023-09-15,1,"11:23:00","11:26:00",26.66,0.162,0.98,0.947,0.015,0.66,0.088,0,1,0,0
"BVR",50,2023-09-18,1,"12:00:00","12:03:00",23.99,0.244,0.99,1.439,0.009,0.99,0.053,0,0,1,1
"BVR",50,2023-09-18,2,"12:00:00","12:04:00",25.08,0.248,1,1.457,0.009,1,0.053,0,0,1,1
"FCR",50,2023-09-18,1,"12:00:00","12:03:00",26.37,0.17,0.96,0.995,0.003,0.97,0.018,0,0,1,1
"FCR",50,2023-09-18,2,"12:00:00","12:04:00",26.97,0.16,0.96,0.934,0.003,0.97,0.018,0,0,1,1
"FCR",50,2023-09-25,1,"11:41:00","11:44:00",24.3,0.073,0.99,0.43,0.002,0.99,0.012,0,0,0,0
"FCR",50,2023-09-25,2,"11:52:00","11:56:00",25.89,0.06,0.98,0.352,0.002,0.98,0.012,0,0,0,0
"BVR",50,2023-09-26,1,"10:55:00","10:58:00",21.14,0.21,0.99,1.251,0.001,0.99,0.006,0,0,0,0
"BVR",50,2023-09-26,2,"11:12:00","11:16:00",22.84,0.121,0.98,0.716,0,0.98,0,0,0,0,0
"BVR",50,2023-10-03,1,"11:07:00","11:10:00",27.56,0,0,0,0,0.85,0,1,1,0,0
"BVR",50,2023-10-03,2,"11:15:00","11:19:00",28.41,0,0,0,0,0.98,0,1,0,0,0
"FCR",50,2023-10-03,1,"13:00:00","13:03:00",31.46,0.194,0.93,1.116,0.003,0.95,0.017,0,0,0,0
"FCR",50,2023-10-03,2,"13:06:00","13:10:00",32.14,0.082,0.89,0.471,0.001,0.92,0.006,1,0,0,0
"FCR",50,2023-10-09,1,"12:25:00","12:28:00",20.12,0.619,0.99,3.699,0.003,0.99,0.018,0,0,0,0
"FCR",50,2023-10-09,2,"12:35:00","12:39:00",21.39,0.574,0.96,3.415,0.003,0.94,0.018,0,0,0,0
"FCR",50,2023-10-17,1,"13:47:00","13:50:00",20.43,0.314,0.92,1.874,0,0.91,0,0,0,0,0
"FCR",50,2023-10-17,2,"13:54:00","13:58:00",20.97,0.416,0.94,2.479,0.001,0.94,0.006,0,0,0,0
"BVR",50,2023-10-24,1,"11:12:00","11:15:00",19.9,0.165,0.98,0.987,0.006,0.98,0.036,0,0,0,0
"BVR",50,2023-10-24,2,"11:21:00","11:25:00",21.77,0.213,0.93,1.266,0.007,0.94,0.042,0,0,0,0
"FCR",50,2023-10-24,1,"14:03:00","14:06:00",25.97,0.098,0.96,0.574,0,0.94,0,0,0,0,0
"FCR",50,2023-10-24,2,"14:11:00","14:15:00",26.86,0.314,0.98,1.834,0,0.98,0,0,0,0,0
"FCR",50,2023-10-31,1,"13:15:00","13:18:00",14.7,0.005,0.64,0.03,0.001,0.98,0.006,1,0,0,0
"FCR",50,2023-10-31,2,"13:21:00","13:25:00",14.99,0.004,0.53,0.024,0,0.89,0,1,1,0,0
"BVR",50,2023-11-06,1,"11:15:00","11:18:00",18.69,0.118,0.86,0.709,0.001,0.89,0.006,1,1,0,0
"BVR",50,2023-11-06,2,"11:27:00","11:31:00",21.17,0.106,0.87,0.631,0,0.88,0,1,1,0,0
"FCR",50,2023-11-06,1,"12:35:00","12:38:00",23.05,0.174,0.98,1.029,0,0.94,0,0,0,0,0
"FCR",50,2023-11-06,2,"12:41:00","12:45:00",23.99,0.267,0.96,1.575,0.001,0.94,0.006,0,0,0,0
"FCR",50,2023-11-06,3,"12:46:00","12:50:00",24.4,0.369,0.98,2.173,0.001,0.98,0.006,0,0,0,0
"BVR",50,2023-11-14,1,"11:23:00","11:26:00",19.28,0.055,0.97,0.33,0.001,0.98,0.006,0,0,0,0
"BVR",50,2023-11-14,2,"11:30:00","11:34:00",20.69,0.081,0.99,0.483,0.002,0.99,0.012,0,0,0,0
"FCR",50,2023-11-14,1,"13:05:00","13:08:00",20.14,0.155,0.98,0.926,0,0.98,0,0,0,0,0
"FCR",50,2023-11-14,2,"13:11:00","13:15:00",20.62,0.153,0.94,0.913,0,0.95,0,0,0,0,0
"BVR",50,2023-12-04,1,"10:59:00","11:02:00",15.84,0.006,0.71,0.036,0,0.97,0,1,0,0,0
"BVR",50,2023-12-04,2,"11:05:00","11:09:00",16.71,0.004,0.46,0.024,0,0.88,0,1,1,0,0
"FCR",50,2023-12-04,1,"12:50:00","12:53:00",16.84,0.151,0.96,0.913,0.001,0.97,0.006,0,0,0,0
"FCR",50,2023-12-04,2,"12:55:00","12:59:00",18.08,0.073,0.94,0.439,0,0.95,0,0,0,0,0
