ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
08/17/2020 - 9,0.3,"2,731.2","1,138.1",19.3,"7,864.8",20.4,1.0,1.2,"1,235.2","2,894.6",1.0,0.1,0.1,2.3909,"2,390.9",1.0348,"1,034.8",2.4,0.2,0.4,0.3,0.1,0.1,19.2,0.0,0.0,0.0,0.0,37.0,0.2,0.0
08/17/2020 - 10,0.3,"2,809.4","1,148.8",14.8,"7,801.8",-1.8,1.0,1.3,"1,272.7","2,929.1",0.9,0.1,0.1,0.1466,146.6,1.0203,"1,020.3",2.3,0.2,0.6,33.3,0.1,0.1,19.4,0.0,0.0,0.0,0.0,43.1,0.2,0.0
08/17/2020 - 11,0.3,"2,837.1","1,196.4",16.8,"8,110.2",21.3,0.7,1.2,"1,230.6","3,121.9",1.0,0.1,0.1,2.8180,"2,818.0",1.2511,"1,251.1",2.9,0.2,0.2,2.0,0.1,0.1,20.7,0.1,0.0,0.0,0.1,42.2,0.2,0.0
08/17/2020 - 12,0.3,"2,849.9","1,191.7",12.1,"8,065.4",-1.6,0.8,1.3,"1,231.2","3,105.7",0.9,0.1,0.2,0.0502,50.2,1.2228,"1,222.8",2.8,0.3,0.2,53.7,0.1,0.1,20.6,0.0,0.0,0.0,0.0,37.7,0.2,0.0
08/17/2020 - 13,0.3,"2,865.5","1,209.5",18.9,"8,247.8",20.9,0.9,1.2,"1,248.9","3,143.0",1.0,0.1,0.1,2.8246,"2,824.6",1.2414,"1,241.4",2.9,0.2,0.2,0.1,0.1,0.2,20.7,0.0,0.0,0.0,0.0,44.5,0.2,0.0
08/17/2020 - 14,0.3,"2,829.4","1,186.0",16.9,"8,024.0",-1.8,0.7,1.2,"1,229.3","3,071.7",0.8,0.0,0.1,0.0507,50.7,1.2190,"1,219.0",2.8,0.2,0.3,12.8,0.1,0.0,20.6,0.0,0.0,0.0,0.0,41.1,0.2,0.0
08/20/2020 - 19,0.2,"1,987.4",771.0,21.6,"5,287.3",6.3,0.9,1.0,"1,284.8","1,527.6",0.7,0.1,0.2,0.4727,472.7,0.0205,20.5,0.0,0.1,0.6,3.3,0.2,0.1,10.2,0.0,0.0,0.0,0.0,20.3,0.3,0.0
08/20/2020 - 21,0.2,"1,982.6",769.9,26.5,"5,312.9",6.8,1.1,1.1,"1,288.5","1,509.9",0.7,0.1,0.1,0.4935,493.5,0.0261,26.1,0.0,0.1,0.2,0.4,0.2,0.0,10.2,0.0,0.0,0.0,0.0,21.0,0.2,0.0
08/20/2020 - 22,0.2,"1,996.3",761.1,17.3,"5,293.7",2.2,1.0,1.1,"1,298.5","1,507.5",0.6,0.1,0.1,0.1307,130.7,0.0036,3.6,0.0,0.1,0.3,17.4,0.1,0.1,10.1,0.0,0.0,0.0,0.0,19.5,0.2,0.0
08/20/2020 - 23,0.2,"1,903.0",760.3,28.0,"5,220.2",9.3,0.9,1.0,"1,288.1","1,755.8",0.8,0.1,0.1,1.5720,"1,572.0",0.8928,892.8,1.5,0.2,0.1,1.6,0.1,0.0,11.7,0.0,0.0,0.0,0.0,43.1,0.3,0.0
08/20/2020 - 24,0.2,"1,888.4",755.7,18.5,"5,134.9",-0.9,0.9,1.0,"1,278.3","1,749.6",0.6,0.0,0.1,0.4060,406.0,0.8176,817.6,1.3,0.1,0.1,11.5,0.1,0.1,11.6,0.0,0.0,0.0,0.0,41.3,0.2,0.0
08/20/2020 - 25,0.2,"1,985.8",798.4,28.5,"6,466.6",13.0,0.4,1.1,"1,382.0","2,146.4",0.9,0.3,0.1,17.1621,"17,162.1",1.3091,"1,309.1",2.0,0.2,0.2,1.1,0.4,0.1,14.1,0.3,0.0,0.0,0.0,72.0,0.3,0.0
08/20/2020 - 26,0.1,"2,020.7",800.8,20.2,"6,515.4",0.0,0.6,1.1,"1,389.8","2,186.0",0.9,0.3,0.1,18.0825,"18,082.5",1.3145,"1,314.5",1.9,0.2,0.0,9.0,0.4,0.1,14.3,0.3,0.0,0.0,0.0,74.5,0.2,0.0
08/20/2020 - 27,0.1,"2,034.1",821.6,61.8,"7,027.9",21.6,0.5,1.0,"1,410.6","2,309.6",1.5,0.6,0.2,24.5148,"24,514.8",1.4454,"1,445.4",2.0,0.3,0.3,2.4,0.6,0.2,15.1,0.4,0.0,0.0,0.0,94.0,0.4,0.0
08/20/2020 - 28,0.1,"2,077.0",813.2,19.8,"6,769.2",1.6,0.5,1.1,"1,410.1","2,266.0",0.9,0.4,0.1,22.0052,"22,005.2",1.3868,"1,386.8",1.9,0.2,0.3,6.5,0.5,0.1,15.1,0.3,0.0,0.0,0.0,87.0,0.2,0.0
08/24/2020 - 1,0.8,"2,553.5",928.4,15.6,"7,109.5",3.4,0.9,1.2,"1,222.6","2,023.0",0.8,0.2,0.1,0.3829,382.9,0.0235,23.5,0.1,0.1,0.7,0.9,0.1,0.2,13.1,0.0,0.0,0.1,0.0,17.9,0.7,0.0
08/24/2020 - 2,0.3,"2,569.0",919.4,11.2,"7,136.7",-0.5,1.0,1.1,"1,222.4","1,982.5",0.9,0.2,0.1,0.1746,174.6,0.0050,5.0,0.0,0.1,0.8,7.3,0.1,0.2,12.9,0.0,0.0,0.0,0.0,18.0,0.6,0.0
08/24/2020 - 3,0.4,"2,590.7",951.1,13.9,"7,298.6",5.1,1.1,1.1,"1,242.0","2,071.4",0.8,0.2,0.1,0.3830,383.0,0.0234,23.4,0.1,0.1,0.7,0.4,0.1,0.2,13.4,0.0,0.0,0.0,-0.1,18.0,0.5,0.0
08/24/2020 - 4,0.4,"2,593.9",927.3,10.9,"7,264.3",0.2,1.1,1.1,"1,233.1","1,992.5",0.8,0.2,0.1,0.1694,169.4,0.0058,5.8,0.0,0.1,1.1,6.5,0.1,0.2,13.0,0.0,0.0,0.0,-0.1,18.7,0.6,0.0
08/24/2020 - 5,0.4,"2,678.5","1,095.1",17.4,"7,343.5",38.5,1.2,1.3,"1,370.3","2,688.6",1.0,0.3,0.2,3.8069,"3,806.9",1.2887,"1,288.7",2.6,0.3,0.8,1.2,0.2,0.1,18.1,0.0,0.0,0.1,0.0,62.5,1.0,0.0
08/24/2020 - 6,0.4,"2,655.5","1,076.0",2.4,"7,132.6",1.3,1.1,1.3,"1,358.3","2,699.8",0.7,0.0,0.2,0.2611,261.1,0.7678,767.8,1.6,0.1,0.3,12.2,0.1,0.1,17.9,0.0,0.0,0.1,-0.1,47.0,1.1,0.0
08/24/2020 - 8,0.3,"2,796.2","1,189.1",11.0,"7,943.7",-0.1,0.6,1.3,"1,278.6","3,136.5",0.8,0.0,0.1,1.1100,"1,110.0",1.2812,"1,281.2",2.9,0.1,0.2,5.4,0.1,0.1,20.6,0.0,0.0,0.1,0.1,43.3,0.9,0.0
08/24/2020 - 9,0.3,"2,804.0","1,179.4",17.0,"8,086.4",13.4,0.7,1.2,"1,243.0","3,071.7",0.9,0.1,0.1,2.7172,"2,717.2",0.8286,828.6,2.0,0.2,0.3,0.7,0.1,0.1,20.0,0.0,0.0,0.1,0.0,34.9,0.9,0.0
08/24/2020 - 10,0.3,"2,798.2","1,169.6",8.3,"7,849.5",-0.5,0.8,1.2,"1,242.9","3,034.5",0.8,0.0,0.1,0.0566,56.6,1.1448,"1,144.8",2.6,0.2,0.2,17.1,0.1,0.1,20.0,0.0,0.0,0.1,0.0,41.4,0.9,0.0
08/24/2020 - 11,0.3,"2,790.1","1,172.3",14.0,"7,879.3",13.8,0.9,1.2,"1,247.1","3,060.1",0.9,0.1,0.1,2.7192,"2,719.2",0.7615,761.5,1.9,0.2,0.3,0.9,0.1,0.0,20.5,0.0,0.0,0.1,0.0,35.1,0.9,0.0
08/24/2020 - 12,0.3,"2,780.7","1,177.0",9.5,"7,801.4",-1.5,0.7,1.2,"1,238.4","3,066.9",0.8,0.0,0.1,0.0495,49.5,1.2161,"1,216.1",2.7,0.1,0.2,2.9,0.1,0.0,20.3,0.0,0.0,0.1,0.0,40.1,0.8,0.0
08/24/2020 - 13,0.3,"2,806.7","1,180.4",13.2,"7,975.2",10.5,0.7,1.2,"1,222.8","3,086.8",0.9,0.1,0.1,2.8223,"2,822.3",0.7880,788.0,2.0,0.2,0.3,0.8,0.1,0.0,20.4,0.0,0.0,0.1,0.0,31.7,0.7,0.0
08/24/2020 - 14,0.3,"2,778.6","1,172.1",1.4,"7,664.6",-0.1,0.6,1.1,"1,228.8","3,065.2",0.8,0.0,0.1,0.0521,52.1,1.2222,"1,222.2",2.8,0.2,0.2,29.5,0.1,0.0,20.2,0.0,0.0,0.1,0.0,41.2,1.0,0.0
08/24/2020 - 15,0.4,"2,949.2",791.5,33.3,"8,966.7",5.2,0.7,0.9,"1,170.7","1,880.0",1.5,0.2,0.1,0.1113,111.3,0.0179,17.9,0.0,0.1,0.2,0.5,0.1,0.0,12.1,0.0,0.0,0.1,-0.1,16.6,1.0,0.0
08/24/2020 - 16,0.4,"2,948.8",784.3,11.9,"8,996.6",5.4,0.7,0.9,"1,165.9","1,840.6",0.9,0.2,0.1,0.0016,1.6,0.0014,1.4,0.0,0.1,0.1,5.3,0.1,0.0,11.8,0.0,0.0,0.1,-0.1,16.3,1.0,0.0
08/26/2020 - 19,0.2,"2,018.5",778.3,25.3,"5,373.5",5.3,0.6,1.0,"1,317.4","1,515.1",0.7,0.1,0.1,0.4126,412.6,0.0210,21.0,0.0,0.1,0.4,1.4,0.2,0.0,10.2,0.0,0.0,0.0,-0.1,19.7,0.2,0.0
08/26/2020 - 20,0.2,"2,019.3",751.4,19.3,"5,250.8",-1.0,0.4,1.0,"1,296.2","1,457.1",0.6,0.1,0.1,0.2037,203.7,0.0020,2.0,0.0,0.1,0.4,2.7,0.1,0.0,9.9,0.0,0.0,0.0,0.1,19.8,0.2,0.0
08/26/2020 - 21,0.2,"1,994.0",772.6,19.2,"5,310.1",6.8,0.7,1.0,"1,323.7","1,519.3",0.6,0.1,0.1,0.5408,540.8,0.0351,35.1,0.1,0.1,0.1,0.1,0.2,0.0,10.3,0.0,0.0,0.0,0.0,21.4,0.2,0.0
08/26/2020 - 22,0.2,"2,016.7",768.7,16.7,"5,367.4",-0.6,0.4,1.2,"1,351.0","1,505.9",0.6,0.1,0.1,0.0359,35.9,0.0047,4.7,0.0,0.1,0.3,7.3,0.1,0.1,10.1,0.0,0.0,0.0,0.0,24.3,0.2,0.0
08/26/2020 - 23,0.2,"1,905.2",771.2,26.5,"5,138.4",7.6,0.6,1.0,"1,354.5","1,865.3",0.7,0.1,0.1,0.9913,991.3,1.1158,"1,115.8",1.8,0.2,1.9,22.6,0.1,0.0,12.3,0.0,0.0,0.0,0.0,60.6,0.3,0.0
08/26/2020 - 24,0.2,"1,911.6",769.5,14.8,"5,124.9",-1.3,0.6,1.0,"1,343.5","1,868.0",0.5,0.0,0.0,0.1402,140.2,1.1176,"1,117.6",1.8,0.2,1.2,27.8,0.1,0.0,12.3,0.0,0.0,0.0,0.0,52.9,0.3,0.0
08/26/2020 - 25,0.1,"2,007.5",815.8,28.4,"6,342.1",10.3,0.3,1.0,"1,414.6","2,142.2",0.8,0.2,0.2,14.6613,"14,661.3",1.2846,"1,284.6",2.0,0.2,0.2,2.0,0.3,0.1,14.0,0.2,0.0,0.0,0.0,69.0,0.2,0.0
08/26/2020 - 26,0.1,"1,968.2",788.7,17.7,"6,145.8",-0.5,0.1,1.0,"1,377.5","2,068.5",0.7,0.2,0.1,13.9741,"13,974.1",1.2542,"1,254.2",1.9,0.1,0.0,6.1,0.3,0.1,13.7,0.2,0.0,0.0,0.0,64.8,0.2,0.0
08/26/2020 - 27,0.1,"2,066.9",820.7,26.8,"6,868.1",8.5,0.2,1.0,"1,465.7","2,318.0",0.9,0.4,0.1,24.3685,"24,368.5",1.4376,"1,437.6",2.0,0.3,0.3,5.1,0.5,0.1,15.2,0.3,0.0,0.0,0.0,91.4,0.3,0.0
08/26/2020 - 28,0.1,"2,056.8",819.8,15.4,"6,843.7",0.2,0.3,1.1,"1,424.6","2,288.6",0.8,0.3,0.1,24.0693,"24,069.3",1.4385,"1,438.5",1.9,0.2,0.1,18.2,0.5,0.2,15.3,0.4,0.0,0.0,-0.1,91.2,0.2,0.0
