ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
27 - 07/02/2020,0.2,"2,020.2",772.4,57.7,"6,140.3",42.6,-1.0,0.8,"1,242.6","1,946.6",0.9,0.4,0.3,10.6864,"10,686.4",0.9550,955.0,1.5,0.2,0.3,8.6,0.5,-0.1,13.2,0.2,0.0,0.0,0.0,66.2,0.4,0.0
28 - 07/02/2020,0.2,"2,057.7",786.8,17.2,"6,197.9",28.3,-0.9,0.8,"1,252.4","1,957.7",0.6,0.3,0.1,10.9584,"10,958.4",0.9848,984.8,1.5,0.2,0.1,23.8,0.5,0.0,13.4,0.2,0.0,0.0,0.0,66.4,0.3,0.0
1 - 07/06/2020,0.4,"2,388.0",849.8,36.4,"6,827.8",14.3,-0.1,0.7,"1,028.1","1,834.2",0.9,0.2,0.1,0.3345,334.5,0.0263,26.3,0.1,0.1,0.6,3.7,0.1,-0.1,12.4,0.0,0.0,0.0,0.0,16.1,0.0,0.0
2 - 07/06/2020,0.4,"2,457.7",852.6,17.5,"6,808.9",6.6,0.0,0.8,"1,099.9","1,837.0",0.6,0.1,0.1,0.1233,123.3,0.0083,8.3,0.0,0.1,1.3,38.3,0.1,0.0,12.5,0.0,0.0,0.0,0.0,17.2,0.0,0.0
3 - 07/06/2020,0.5,"2,481.0",926.6,38.5,"7,219.0",15.2,0.3,0.8,993.1,"2,001.1",1.0,0.2,0.1,0.3697,369.7,0.0236,23.6,0.1,0.1,0.7,4.0,0.1,0.0,13.4,0.0,0.0,0.0,0.0,15.8,0.0,0.0
4 - 07/06/2020,0.4,"2,510.0",915.7,19.7,"7,108.5",7.2,0.1,0.8,"1,024.6","1,959.9",0.6,0.2,0.1,0.1477,147.7,0.0034,3.4,0.0,0.2,1.1,30.5,0.1,-0.1,13.1,0.0,0.0,0.0,0.0,16.0,0.0,0.0
5 - 07/06/2020,0.4,"2,412.7",971.7,55.4,"6,935.6",19.4,0.1,0.7,953.6,"2,236.0",1.3,0.2,0.2,0.4892,489.2,0.3266,326.6,0.7,0.2,1.0,2.9,0.1,-0.1,15.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0
6 - 07/06/2020,0.4,"2,480.4",975.1,22.7,"6,954.7",6.6,0.1,0.9,977.3,"2,237.5",0.6,0.2,0.1,0.0950,95.0,0.2815,281.5,0.5,0.2,0.8,65.4,0.1,0.0,15.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0
7 - 07/06/2020,0.4,"2,686.1","1,098.8",72.0,"7,988.7",31.1,-0.3,0.8,"1,049.4","2,686.4",-0.2,0.3,0.2,4.5609,"4,560.9",0.9291,929.1,2.4,0.3,1.3,6.3,0.1,-0.1,18.4,0.1,0.0,0.0,0.0,42.6,0.1,0.0
8 - 07/06/2020,0.4,"2,756.8","1,105.7",15.0,"7,917.7",5.7,-0.4,0.9,"1,086.8","2,727.4",0.6,0.0,0.1,1.3622,"1,362.2",0.9282,928.2,2.3,0.2,0.5,42.4,0.1,-0.1,18.3,0.1,0.0,0.0,0.0,36.8,-0.1,0.0
9 - 07/06/2020,0.4,"2,744.9","1,089.3",51.7,"8,066.5",21.4,-0.5,0.8,"1,061.6","2,662.7",-1.0,0.3,0.1,4.3764,"4,376.4",0.8264,826.4,2.0,0.2,1.0,4.3,0.2,-0.1,18.2,0.1,0.0,0.0,0.0,38.6,0.0,0.0
10 - 07/06/2020,0.4,"2,841.1","1,102.4",14.5,"7,972.4",6.4,-0.5,1.0,"1,161.1","2,668.6",0.6,0.0,0.1,1.0564,"1,056.4",0.8165,816.5,1.9,0.2,0.5,91.3,0.1,-0.1,18.1,0.1,0.0,0.0,0.0,40.2,0.0,0.0
11 - 07/06/2020,0.4,"2,879.1","1,144.0",37.1,"8,465.3",21.8,-0.6,0.9,"1,118.4","2,821.7",1.1,0.3,0.1,5.2405,"5,240.5",1.0043,"1,004.3",2.4,0.2,1.1,22.4,0.2,-0.1,19.4,0.2,0.0,0.0,0.1,43.7,0.1,0.0
12 - 07/06/2020,0.4,"2,938.6","1,155.0",18.8,"8,312.8",5.5,-0.7,1.0,"1,196.5","2,836.5",0.6,0.1,0.1,0.5007,500.7,0.9902,990.2,2.2,0.3,0.6,93.5,0.1,-0.1,19.4,0.1,0.0,0.0,0.0,44.9,-0.1,0.0
13 - 07/06/2020,0.5,"2,876.1","1,146.3",41.9,"8,408.7",20.0,-0.7,0.8,"1,107.7","2,819.1",1.1,0.3,0.1,5.2490,"5,249.0",0.9892,989.2,2.3,0.2,1.0,7.0,0.2,-0.1,19.3,0.2,0.0,0.0,0.0,43.8,0.0,0.0
14 - 07/06/2020,0.4,"2,915.5","1,158.1",16.3,"8,285.1",4.2,-0.6,0.9,"1,137.0","2,835.6",0.6,0.0,0.1,0.6676,667.6,1.0023,"1,002.3",2.3,0.2,0.3,56.7,0.1,0.0,19.5,0.1,0.0,0.0,0.0,41.1,-0.1,0.0
15 - 07/06/2020,0.5,"2,051.3",724.9,170.8,"5,816.9",15.9,-0.7,0.7,"1,161.2","1,540.4",3.6,0.4,0.2,0.4630,463.0,0.0375,37.5,0.2,0.1,0.4,3.8,0.1,0.0,10.8,0.0,0.0,0.0,0.0,19.7,0.2,0.0
16 - 07/06/2020,0.4,"2,056.9",712.4,23.6,"5,782.4",9.1,-0.6,0.7,"1,154.6","1,517.4",0.5,0.1,0.1,0.1244,124.4,0.0022,2.2,0.0,0.1,0.3,9.0,0.1,0.0,10.5,0.0,0.0,0.0,0.0,15.7,0.0,0.0
17 - 07/06/2020,0.7,"3,360.8","1,192.5",280.2,"11,869.7",39.5,0.4,0.9,997.6,"2,502.4",6.7,1.1,0.5,1.8310,"1,831.0",0.0356,35.6,0.4,0.4,0.5,39.9,0.1,-0.1,16.7,0.0,0.0,0.0,0.0,21.2,0.2,0.0
18 - 07/06/2020,0.6,"3,372.8","1,162.0",31.4,"11,593.8",14.0,0.3,0.9,940.4,"2,471.1",1.0,0.4,0.2,0.5986,598.6,0.0321,32.1,0.3,0.2,0.2,11.9,0.1,-0.1,16.3,0.1,0.0,0.0,0.0,17.9,0.0,0.0
29 - 07/06/2020,0.4,"2,122.8",714.6,49.5,"5,790.4",13.4,-0.7,0.8,"1,109.7","1,505.3",1.0,0.2,0.1,0.1545,154.5,0.0074,7.4,0.0,0.1,0.6,6.8,0.1,-0.1,10.3,0.0,0.0,0.0,0.0,14.4,0.0,0.0
30 - 07/06/2020,0.4,"2,141.2",707.5,32.9,"5,811.1",12.3,-0.6,0.8,"1,102.3","1,509.5",0.7,0.2,0.1,0.1268,126.8,0.0046,4.6,0.0,0.1,1.6,4.6,0.1,-0.1,10.3,0.0,0.0,0.0,0.0,14.0,0.0,0.0
19 - 07/09/2020,0.3,"1,898.9",744.4,33.8,"4,902.3",10.7,-0.8,0.7,"1,197.5","1,460.0",0.7,0.2,0.1,0.3928,392.8,0.0174,17.4,0.1,0.2,0.6,7.0,0.1,-0.1,10.0,0.0,0.0,0.0,0.1,18.3,0.1,0.0
20 - 07/09/2020,0.3,"1,880.1",725.9,25.7,"4,848.0",6.8,-0.5,0.7,"1,162.2","1,419.7",0.6,0.1,0.1,0.1927,192.7,0.0015,1.5,0.0,0.1,0.3,24.2,0.1,0.0,9.8,0.0,0.0,0.0,0.0,19.5,0.0,0.0
21 - 07/09/2020,0.3,"1,836.1",718.7,36.1,"4,836.8",11.8,-0.8,0.6,"1,133.4","1,399.8",0.7,0.2,0.1,0.3502,350.2,0.0192,19.2,0.1,0.1,0.4,4.5,0.1,-0.1,9.7,0.0,0.0,0.0,0.0,18.8,0.0,0.0
22 - 07/09/2020,0.3,"1,853.2",709.7,25.6,"4,833.7",5.7,-0.6,0.7,"1,131.0","1,381.6",0.5,0.1,0.1,0.1505,150.5,0.0036,3.6,0.0,0.1,0.4,17.4,0.1,0.0,9.6,0.0,0.0,0.0,0.0,18.7,0.0,0.0
23 - 07/09/2020,0.4,"1,849.8",727.7,70.0,"4,763.4",14.9,-0.5,0.7,"1,154.3","1,554.5",0.9,0.2,0.3,0.5211,521.1,0.2095,209.5,0.2,0.1,0.4,7.3,0.1,0.0,10.5,0.0,0.0,0.0,0.0,27.9,0.0,0.0
24 - 07/09/2020,0.3,"1,825.3",712.8,21.4,"4,677.6",7.6,-0.6,0.7,"1,129.0","1,529.5",0.5,0.1,0.1,0.0946,94.6,0.2182,218.2,0.1,0.1,0.3,13.9,0.1,-0.1,10.4,0.0,0.0,0.0,0.0,27.8,0.0,0.0
25 - 07/09/2020,0.2,"1,971.0",768.3,49.2,"5,635.2",17.3,-1.1,0.7,"1,220.2","1,814.2",0.9,0.3,0.1,5.5387,"5,538.7",0.7938,793.8,1.4,0.2,0.3,4.1,0.3,0.0,12.3,0.1,0.0,0.0,0.0,48.2,0.1,0.0
26 - 07/09/2020,0.3,"2,019.7",769.7,27.1,"5,687.4",10.3,-1.0,0.8,"1,226.1","1,864.3",0.7,0.2,0.1,6.4636,"6,463.6",0.8621,862.1,1.5,0.2,0.2,16.8,0.3,-0.1,12.6,0.1,0.0,0.0,0.0,49.5,0.0,0.0
27 - 07/09/2020,0.2,"2,069.0",792.9,55.1,"6,682.9",66.2,-1.2,0.8,"1,277.6","2,114.1",1.1,0.4,0.1,15.7266,"15,726.6",1.2025,"1,202.5",1.8,0.2,0.3,4.3,0.7,-0.2,14.4,0.3,0.0,0.0,0.0,79.2,0.1,0.0
28 - 07/09/2020,0.2,"2,078.5",791.8,25.4,"6,609.4",47.7,-1.0,0.8,"1,298.2","2,104.9",0.7,0.3,0.1,14.9669,"14,966.9",1.1853,"1,185.3",1.8,0.1,0.2,21.2,0.7,-0.1,14.3,0.3,0.0,0.0,0.0,78.3,0.0,0.0
1 - 07/13/2020,0.5,"2,460.3",884.4,33.1,"6,862.2",13.4,-0.3,0.7,"1,080.7","1,903.6",0.9,0.2,0.1,0.4087,408.7,0.0252,25.2,0.1,0.1,0.7,3.0,0.1,0.0,12.9,0.0,0.0,0.0,0.0,15.9,0.0,0.0
2 - 07/13/2020,0.4,"2,450.3",873.4,14.7,"6,856.5",4.0,-0.3,0.7,"1,072.3","1,865.7",0.6,0.1,0.1,0.1442,144.2,0.0077,7.7,0.0,0.1,1.7,8.7,0.1,0.0,12.7,0.0,0.0,0.0,0.1,15.4,0.0,0.0
3 - 07/13/2020,0.5,"2,537.8",888.6,42.3,"6,893.9",14.0,-0.3,0.8,"1,087.8","1,923.0",0.9,0.2,0.2,0.4069,406.9,0.0239,23.9,0.1,0.1,0.9,3.7,0.1,0.0,13.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0
4 - 07/13/2020,0.5,"2,581.7",885.4,32.8,"6,865.7",5.5,-0.2,0.9,"1,117.3","1,865.1",0.6,0.1,0.1,0.1407,140.7,0.0106,10.6,0.0,0.2,1.8,13.1,0.1,0.0,12.6,0.0,0.0,0.0,0.0,15.7,0.1,0.0
5 - 07/13/2020,0.4,"2,437.4",946.3,38.2,"6,833.5",17.6,-0.2,0.7,"1,002.2","2,134.8",1.0,0.2,0.1,0.4356,435.6,0.1238,123.8,0.2,0.1,0.9,3.3,0.1,0.0,14.5,0.0,0.0,0.0,0.0,19.8,0.0,0.0
6 - 07/13/2020,0.4,"2,526.8",958.1,27.0,"6,823.3",5.3,-0.1,0.9,"1,019.5","2,180.0",0.6,0.1,0.1,0.0604,60.4,0.1162,116.2,0.1,0.2,0.7,15.9,0.1,0.0,14.7,0.0,0.0,0.0,0.0,20.5,0.0,0.0
7 - 07/13/2020,0.4,"2,804.6","1,171.1",37.8,"8,237.4",49.7,-0.6,0.9,"1,161.6","2,930.3",1.1,0.2,0.1,3.5952,"3,595.2",1.2930,"1,293.0",3.6,0.3,0.9,3.8,0.1,-0.1,20.1,0.1,0.0,0.0,0.0,60.0,0.0,0.0
8 - 07/13/2020,0.4,"2,820.6","1,163.1",17.4,"8,060.8",5.9,-0.7,0.9,"1,152.6","2,891.8",0.7,0.0,0.2,0.0988,98.8,1.2731,"1,273.1",3.4,0.2,0.4,14.1,0.1,0.0,19.9,0.0,0.0,0.0,0.0,38.4,-0.1,0.0
9 - 07/13/2020,0.5,"2,792.4","1,108.4",33.7,"8,027.8",23.2,1.2,1.2,"1,140.3","2,715.1",-0.7,0.2,0.1,2.8958,"2,895.8",0.8241,824.1,2.1,0.2,0.8,3.4,0.1,-0.1,18.1,0.1,0.0,0.0,0.0,34.6,0.0,0.0
10 - 07/13/2020,0.5,"2,782.9","1,096.6",15.3,"7,923.6",2.2,1.0,1.1,"1,138.4","2,723.2",0.8,0.1,0.1,0.0440,44.0,0.8164,816.4,1.9,0.2,0.5,11.4,0.1,0.0,18.0,0.0,0.0,0.0,0.0,30.6,0.0,0.0
11 - 07/13/2020,0.5,"2,848.8","1,145.0",35.7,"8,235.9",20.9,0.9,1.1,"1,162.7","2,833.8",1.2,0.2,0.1,3.7334,"3,733.4",0.9206,920.6,2.2,0.2,0.9,3.7,0.2,-0.1,18.7,0.1,0.0,0.0,0.0,39.9,0.0,0.0
12 - 07/13/2020,0.5,"2,821.6","1,132.4",17.3,"8,087.8",1.6,0.6,1.1,"1,153.2","2,776.2",0.8,0.0,0.1,0.0408,40.8,0.8919,891.9,2.0,0.2,0.6,14.6,0.1,0.0,18.6,0.0,0.0,0.0,0.0,33.6,-0.1,0.0
13 - 07/13/2020,0.4,"2,894.5","1,169.0",33.8,"8,478.0",46.1,0.6,1.0,"1,174.5","3,030.3",1.2,0.2,0.1,4.2980,"4,298.0",1.0653,"1,065.3",2.6,0.2,0.8,3.5,0.2,0.0,19.8,0.1,0.0,0.0,0.0,44.5,0.0,0.0
14 - 07/13/2020,0.5,"2,925.5","1,161.3",21.2,"8,202.1",3.8,0.5,1.1,"1,175.0","2,912.2",0.8,0.0,0.1,0.0807,80.7,1.0398,"1,039.8",2.4,0.2,0.6,10.1,0.1,-0.1,19.1,0.0,0.0,0.0,0.0,35.2,0.0,0.0
19 - 07/17/2020,0.4,"1,982.2",770.0,34.2,"5,209.3",8.7,0.4,0.8,"1,258.1","1,525.1",0.9,0.2,0.2,0.4686,468.6,0.0141,14.1,0.1,0.2,0.9,5.9,0.1,0.1,10.6,0.0,0.0,0.0,0.0,18.5,0.1,0.0
20 - 07/17/2020,0.4,"1,955.6",768.9,21.8,"5,148.4",3.2,0.4,0.8,"1,241.2","1,519.4",0.7,0.1,0.1,0.2296,229.6,0.0023,2.3,0.0,0.1,0.4,39.7,0.1,0.0,10.6,0.0,0.0,0.0,0.0,19.4,0.0,0.0
21 - 07/17/2020,0.3,"1,776.2",715.4,31.2,"4,751.2",11.3,0.6,0.8,"1,139.3","1,416.5",0.7,0.2,0.2,0.2750,275.0,0.0141,14.1,0.1,0.1,0.4,4.9,0.1,0.0,9.8,0.0,0.0,0.0,0.0,19.0,0.0,0.0
22 - 07/17/2020,0.3,"1,811.5",719.7,21.8,"4,787.7",2.5,0.3,0.8,"1,164.0","1,400.0",0.6,0.1,0.1,0.0717,71.7,0.0033,3.3,0.0,0.1,0.8,14.7,0.1,0.0,9.8,0.0,0.0,0.0,0.0,20.0,0.0,0.0
23 - 07/17/2020,0.3,"1,863.3",744.4,44.7,"4,904.3",21.0,0.4,0.8,"1,190.7","1,659.6",1.0,0.2,0.2,0.6358,635.8,0.4489,448.9,0.3,0.2,0.3,3.8,0.1,0.0,11.2,0.0,0.0,0.0,0.1,37.7,0.0,0.0
24 - 07/17/2020,0.3,"1,858.7",738.2,16.0,"4,815.0",3.6,0.2,0.8,"1,174.8","1,636.4",0.5,0.1,0.1,0.0584,58.4,0.3811,381.1,0.2,0.1,0.3,23.8,0.1,-0.1,11.2,0.0,0.0,0.0,0.0,34.3,-0.1,0.0
25 - 07/17/2020,0.3,"1,932.6",770.7,40.4,"5,593.4",15.9,0.0,0.8,"1,242.2","1,838.8",0.9,0.3,0.1,5.3978,"5,397.8",0.7597,759.7,1.3,0.2,0.3,4.5,0.3,-0.1,12.5,0.1,0.0,0.0,0.0,46.0,0.1,0.0
26 - 07/17/2020,0.3,"1,933.8",760.0,17.5,"5,499.2",3.6,-0.1,0.8,"1,239.7","1,833.7",0.6,0.1,0.2,4.9575,"4,957.5",0.7488,748.8,1.2,0.1,0.1,16.8,0.3,0.0,12.4,0.1,0.0,0.0,0.0,45.9,0.0,0.0
27 - 07/17/2020,0.3,"2,069.2",797.3,41.5,"6,510.7",43.9,-0.1,0.9,"1,303.9","2,085.6",1.0,0.4,0.1,13.3329,"13,332.9",1.1138,"1,113.8",1.8,0.2,0.4,3.7,0.6,-0.1,14.1,0.2,0.0,0.0,0.0,70.6,0.1,0.0
28 - 07/17/2020,0.3,"2,126.5",802.6,19.3,"6,538.4",9.2,-0.4,0.9,"1,377.0","2,125.9",0.8,0.2,0.1,12.4217,"12,421.7",1.1591,"1,159.1",1.8,0.3,0.4,76.2,0.6,0.1,14.6,0.2,0.0,0.0,0.0,83.6,0.0,0.0
1 - 07/20/2020,0.4,"2,415.9",866.0,30.7,"6,507.7",12.9,0.3,0.8,"1,123.2","1,845.3",0.9,0.3,0.2,0.3810,381.0,0.0204,20.4,0.1,0.1,0.7,10.0,0.1,-0.1,12.4,0.0,0.0,0.0,0.0,15.7,0.4,0.0
2 - 07/20/2020,0.4,"2,545.3",858.4,19.4,"6,728.0",2.8,0.4,1.0,"1,203.8","1,822.7",0.7,0.2,0.1,0.1839,183.9,0.0102,10.2,0.0,0.2,7.0,16.8,0.1,0.1,12.2,0.0,0.0,0.0,0.0,15.6,0.3,0.0
3 - 07/20/2020,0.4,"2,479.9",894.7,29.2,"6,770.5",13.0,0.3,0.8,"1,140.8","1,894.6",0.8,0.3,0.1,0.4155,415.5,0.0196,19.6,0.1,0.1,0.7,8.2,0.1,0.1,12.5,0.0,0.0,0.0,0.0,14.6,0.3,0.0
4 - 07/20/2020,0.4,"2,550.0",848.3,19.7,"6,697.5",3.5,0.3,0.9,"1,201.0","1,760.4",0.7,0.2,0.2,0.2149,214.9,0.0038,3.8,0.0,0.1,3.3,16.3,0.1,0.0,11.9,0.0,0.0,0.0,0.0,13.7,0.4,0.0
5 - 07/20/2020,0.5,"2,542.2","1,055.7",35.7,"7,104.6",26.3,0.7,0.9,"1,022.0","2,565.3",1.0,0.2,0.1,0.5058,505.8,0.3760,376.0,0.3,0.2,1.3,9.7,0.1,0.0,17.2,0.0,0.0,0.0,0.0,26.3,0.3,0.0
6 - 07/20/2020,0.4,"2,573.1","1,058.1",17.7,"7,090.4",4.3,0.5,0.9,"1,040.2","2,536.6",-1.5,0.1,0.1,0.0485,48.5,0.2873,287.3,0.1,0.2,1.0,15.6,0.1,0.0,17.0,0.0,0.0,0.0,0.0,24.4,0.4,0.0
7 - 07/20/2020,0.4,"2,672.0","1,092.8",25.3,"7,529.3",18.2,0.3,0.9,"1,109.2","2,647.1",0.9,0.2,0.1,1.1035,"1,103.5",0.7523,752.3,1.5,0.2,13.8,8.8,0.1,0.0,18.0,0.0,0.0,0.0,0.0,27.2,0.3,0.0
8 - 07/20/2020,0.4,"2,725.2","1,114.5",13.3,"7,612.6",2.5,0.2,1.0,"1,125.2","2,719.6",0.6,0.1,0.1,0.0397,39.7,0.8104,810.4,1.7,0.2,0.6,41.8,0.1,-0.1,18.4,0.0,0.0,0.0,0.0,31.3,0.3,0.0
9 - 07/20/2020,0.4,"2,745.9","1,109.6",27.0,"7,805.9",17.3,0.1,0.9,"1,132.9","2,683.9",0.9,0.2,0.3,2.2028,"2,202.8",0.8328,832.8,2.0,0.5,0.9,14.2,0.1,-0.1,18.2,0.0,0.0,0.0,0.0,32.2,0.3,0.0
10 - 07/20/2020,0.4,"2,754.6","1,101.6",14.1,"7,756.7",1.5,0.1,0.9,"1,143.6","2,691.5",0.7,0.1,0.1,0.0291,29.1,0.7987,798.7,1.8,0.2,0.5,16.1,0.1,-0.1,18.0,0.0,0.0,0.0,0.0,27.1,0.3,0.0
11 - 07/20/2020,0.4,"2,834.7","1,154.6",23.9,"8,113.4",17.4,0.0,0.9,"1,149.9","2,846.3",0.9,0.2,0.1,2.3003,"2,300.3",0.9864,986.4,2.4,0.2,0.6,10.8,0.1,-0.1,19.4,0.1,0.0,0.0,0.0,37.8,0.4,0.0
12 - 07/20/2020,0.4,"2,828.1","1,143.8",13.9,"8,048.9",3.3,0.0,1.0,"1,151.5","2,875.5",0.7,0.1,0.1,0.0295,29.5,0.9544,954.4,2.1,0.2,0.5,26.5,0.1,-0.2,19.1,0.0,0.0,0.0,0.0,34.4,0.5,0.0
13 - 07/20/2020,0.4,"2,896.4","1,197.6",25.3,"8,463.2",16.3,-0.1,0.9,"1,167.1","3,012.5",0.9,0.1,0.3,2.8360,"2,836.0",1.1460,"1,146.0",2.8,0.4,1.0,9.1,0.1,-0.1,20.4,0.1,0.0,0.0,0.0,47.4,0.3,0.0
14 - 07/20/2020,0.3,"2,918.3","1,190.5",14.2,"8,319.5",1.8,-0.2,1.0,"1,167.5","2,985.8",0.7,0.1,0.1,0.0250,25.0,1.0954,"1,095.4",2.5,0.2,0.3,15.5,0.1,-0.1,20.0,0.0,0.0,0.0,0.0,34.4,0.3,0.0
15 - 07/20/2020,0.5,"2,124.0",784.0,162.6,"6,044.6",14.3,-0.2,0.8,"1,246.5","1,644.7",4.0,0.5,0.3,0.5279,527.9,0.0390,39.0,0.2,0.2,0.5,10.8,0.1,-0.2,11.5,0.0,0.0,0.0,0.0,21.2,0.6,0.0
16 - 07/20/2020,0.5,"2,177.1",771.6,20.0,"5,974.0",5.7,-0.1,0.9,"1,257.2","1,627.5",0.6,0.1,0.1,0.0874,87.4,0.0023,2.3,0.0,0.1,0.2,8.5,0.1,-0.1,11.2,0.0,0.0,0.0,0.0,17.4,0.0,0.0
17 - 07/20/2020,0.7,"3,627.5","1,275.3",154.8,"12,523.3",35.3,0.5,0.9,"1,075.5","2,687.7",4.3,0.9,0.4,1.5440,"1,544.0",0.0351,35.1,0.4,0.3,0.3,3.1,0.1,-0.1,17.8,0.1,0.0,0.0,0.0,20.2,0.1,0.0
18 - 07/20/2020,0.6,"3,697.3","1,268.3",24.5,"12,390.4",11.1,0.6,1.0,"1,083.0","2,684.1",1.2,0.4,0.1,0.4135,413.5,0.0323,32.3,0.3,0.2,0.3,8.0,0.1,0.0,17.6,0.1,0.0,0.1,0.0,19.0,0.0,0.0
29 - 07/20/2020,0.8,"2,121.0",825.2,542.2,"6,361.6",26.1,-0.3,0.9,"1,267.3","1,667.6",12.9,1.1,1.1,1.1845,"1,184.5",0.1226,122.6,0.5,1.4,1.0,8.3,0.2,-0.3,12.0,0.0,0.0,0.0,0.0,30.8,0.9,0.0
30 - 07/20/2020,0.8,"2,092.8",826.9,517.1,"6,360.8",24.8,-0.3,0.9,"1,253.6","1,684.8",14.9,1.1,0.7,1.1352,"1,135.2",0.1331,133.1,0.5,0.4,0.9,5.4,0.2,-0.3,12.1,0.0,0.0,0.0,0.0,31.1,0.8,0.0
19 - 07/23/2020,0.5,"2,015.2",773.4,33.7,"5,201.5",7.8,-0.1,0.8,"1,256.3","1,528.4",0.9,0.2,0.2,0.4281,428.1,0.0143,14.3,0.1,0.2,0.9,9.9,0.1,-0.2,10.5,0.0,0.0,0.0,0.0,18.7,0.0,0.0
20 - 07/23/2020,0.4,"1,978.5",757.9,30.8,"5,130.9",2.7,-0.1,0.8,"1,223.7","1,481.4",0.7,0.1,0.4,0.2297,229.7,0.0014,1.4,0.0,0.3,0.6,23.0,0.1,-0.1,10.4,0.0,0.0,0.0,0.0,20.9,0.0,0.0
