ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
10/01/2020 - 67,0.2,"2,039.1",856.1,36.2,"6,957.6",18.4,1.4,-1.9,"1,471.1","2,401.9",1.0,0.2,0.2,31.9539,"31,953.9",1.5957,"1,595.7",2.3,0.3,0.2,1.3,0.4,0.4,17.2,0.5,0.1,0.0,0.1,108.6,0.4,0.0
10/01/2020 - 68,0.2,"2,070.4",851.5,21.7,"6,951.8",4.7,1.2,-1.8,"1,477.9","2,382.8",0.7,0.1,0.2,31.7211,"31,721.1",1.6003,"1,600.3",2.3,0.3,0.3,8.0,0.4,0.5,17.1,0.5,0.0,0.0,0.0,109.3,0.3,0.0
10/05/2020 - 19,0.3,"2,037.9",814.1,33.8,"5,710.1",10.0,1.1,-1.9,"1,415.4","1,692.8",0.9,0.0,0.2,0.6524,652.4,0.1535,153.5,0.2,0.1,0.2,0.5,0.1,0.4,12.1,0.1,0.0,0.0,0.1,28.6,0.3,0.0
10/05/2020 - 20,0.3,"2,044.1",814.4,14.2,"5,622.2",1.7,1.2,-1.9,"1,396.1","1,657.9",0.5,-0.1,0.1,0.1093,109.3,0.0282,28.2,0.0,0.1,0.3,11.5,0.1,0.2,11.7,0.1,0.0,0.0,0.1,22.9,0.2,0.0
10/05/2020 - 21,0.3,"2,058.2",818.7,35.1,"5,732.5",10.3,1.3,-2.0,"1,415.4","1,690.5",-0.6,0.0,0.2,0.6945,694.5,0.1535,153.5,0.3,0.1,0.2,0.4,0.2,0.4,12.2,0.1,0.0,0.0,0.0,28.5,0.3,0.0
10/05/2020 - 22,0.3,"2,060.8",797.8,13.2,"5,586.0",1.6,1.2,-1.9,"1,412.8","1,635.5",0.5,-0.1,0.1,0.0242,24.2,0.0248,24.8,0.0,0.1,0.4,10.6,0.1,0.3,11.7,0.0,0.0,0.0,0.0,22.6,0.2,0.0
10/05/2020 - 23,0.3,"2,081.6",820.5,37.4,"5,716.1",10.7,1.3,-1.9,"1,420.8","1,684.8",1.0,0.1,0.1,0.6305,630.5,0.1528,152.8,0.2,0.1,0.2,0.5,0.2,0.4,12.0,0.0,0.0,0.0,0.0,28.5,0.3,0.0
10/05/2020 - 24,0.3,"2,053.0",807.2,9.7,"5,687.4",1.4,1.2,-2.0,"1,390.2","1,631.2",0.5,-0.1,0.1,0.0167,16.7,0.0258,25.8,0.0,0.1,0.1,7.5,0.1,0.3,11.6,0.0,0.0,0.0,0.0,22.8,0.2,0.0
10/05/2020 - 25,0.2,"2,011.1",849.9,18.0,"6,663.2",11.8,0.9,-2.1,"1,459.9","2,227.4",0.7,0.1,0.2,23.9155,"23,915.5",1.5322,"1,532.2",2.4,0.2,0.2,0.6,0.3,0.4,16.0,0.3,0.0,0.0,0.0,90.1,0.2,0.0
10/05/2020 - 26,0.2,"2,031.4",850.2,11.4,"6,712.9",3.0,0.9,-2.1,"1,458.0","2,289.5",0.6,0.1,0.1,25.8822,"25,882.2",1.5562,"1,556.2",2.3,0.2,0.0,6.4,0.3,0.4,16.4,0.4,0.0,0.0,0.0,94.8,0.2,0.0
10/05/2020 - 67,0.2,"2,075.9",874.6,43.7,"7,129.9",15.5,1.0,-2.1,"1,491.8","2,404.9",1.3,0.2,0.2,32.2818,"32,281.8",1.6419,"1,641.9",2.4,0.3,0.3,1.9,0.4,0.5,17.0,0.4,0.0,0.0,0.0,110.7,0.6,0.0
10/05/2020 - 68,0.2,"2,064.6",859.6,22.5,"6,820.1",2.5,1.0,-2.1,"1,483.2","2,319.6",0.7,0.1,0.2,28.2742,"28,274.2",1.4763,"1,476.3",2.1,0.2,0.2,19.0,0.3,0.5,16.5,0.4,0.0,0.0,0.0,99.4,0.5,0.0
10/06/2020 - 1,0.5,"2,843.9","1,099.3",18.8,"8,124.2",17.0,1.5,-2.1,"1,315.3","2,422.7",0.8,-0.1,0.1,0.3266,326.6,0.0880,88.0,0.2,0.2,0.7,0.5,0.1,0.4,16.6,0.1,0.0,0.0,0.1,24.1,0.2,0.0
10/06/2020 - 2,0.5,"2,821.9","1,067.3",14.2,"8,102.9",2.1,1.4,-2.0,"1,271.3","2,360.2",0.7,-0.1,0.1,0.1305,130.5,0.0285,28.5,0.1,0.3,0.8,27.0,0.1,0.4,16.4,0.0,0.0,0.0,0.0,22.8,0.3,0.0
10/06/2020 - 3,0.5,"2,876.3","1,106.1",15.4,"8,139.2",19.3,1.8,-2.1,"1,328.6","2,428.0",0.8,0.0,0.1,0.3427,342.7,0.0917,91.7,0.2,0.1,0.7,0.5,0.1,0.4,16.8,0.0,0.0,0.0,0.0,24.4,0.2,0.0
10/06/2020 - 4,0.4,"2,818.2","1,066.9",11.5,"8,028.5",1.8,1.4,-2.1,"1,251.0","2,356.5",0.7,-0.1,0.1,0.1206,120.6,0.0239,23.9,0.1,0.1,0.9,7.5,0.1,0.4,16.4,0.0,0.0,0.0,0.0,23.8,0.2,0.0
10/06/2020 - 5,0.5,"2,824.4","1,102.9",17.2,"8,117.2",17.4,1.6,-2.1,"1,305.2","2,498.1",0.7,0.0,0.1,0.5700,570.0,0.3482,348.2,0.6,0.1,0.7,0.2,0.1,0.3,17.3,0.0,0.0,0.0,0.0,30.7,0.2,0.0
10/06/2020 - 6,0.5,"2,847.6","1,091.5",16.0,"8,084.8",1.6,1.5,-2.1,"1,261.2","2,413.7",0.7,0.0,0.1,0.1352,135.2,0.1403,140.3,0.2,0.1,0.5,11.3,0.1,0.3,16.9,0.0,0.0,0.0,0.0,28.3,0.2,0.0
10/06/2020 - 7,0.4,"2,865.2","1,223.0",16.0,"8,466.8",25.8,1.3,-2.1,"1,318.8","3,041.3",0.8,0.0,0.2,3.9309,"3,930.9",1.2207,"1,220.7",2.9,0.2,0.6,0.4,0.1,0.3,21.4,0.1,0.0,0.0,0.0,55.5,0.2,0.0
10/06/2020 - 8,0.4,"2,869.0","1,242.9",15.6,"8,279.9",1.7,1.2,-2.1,"1,304.3","3,155.9",0.6,-0.1,0.1,1.8489,"1,848.9",1.3526,"1,352.6",3.2,0.2,0.3,15.0,0.1,0.2,22.5,0.0,0.0,0.0,-0.1,59.3,0.2,0.0
10/06/2020 - 9,0.4,"2,888.4","1,287.4",16.7,"8,364.2",23.6,1.3,-2.2,"1,299.6","3,339.9",0.8,0.0,0.1,3.1502,"3,150.2",1.4936,"1,493.6",3.8,0.2,0.4,0.6,0.1,0.3,23.7,0.0,0.0,0.0,-0.1,63.4,0.2,0.0
10/06/2020 - 10,0.4,"2,903.3","1,284.7",11.3,"8,241.6",0.1,1.3,-2.1,"1,304.5","3,329.4",0.6,-0.1,0.1,0.1793,179.3,1.4590,"1,459.0",3.6,0.2,0.2,7.7,0.1,0.3,23.2,0.0,0.0,0.0,-0.1,62.0,0.2,0.0
10/06/2020 - 11,0.4,"2,930.2","1,299.6",16.0,"8,439.2",24.5,1.2,-2.2,"1,321.5","3,332.6",0.7,0.0,0.1,2.9948,"2,994.8",1.4705,"1,470.5",3.7,0.2,0.4,0.7,0.1,0.3,23.5,0.1,0.0,0.0,0.2,63.4,0.2,0.0
10/06/2020 - 12,0.4,"2,976.8","1,314.5",20.0,"8,464.0",-0.1,1.3,-2.1,"1,336.5","3,378.4",0.7,-0.1,0.1,0.0322,32.2,1.4893,"1,489.3",3.7,0.2,0.3,10.2,0.1,0.3,23.8,0.0,0.0,0.0,0.0,64.1,0.2,0.0
10/06/2020 - 13,0.4,"2,897.0","1,287.1",17.1,"8,359.7",24.2,1.3,-2.2,"1,306.6","3,390.8",0.8,0.0,0.1,3.1703,"3,170.3",1.5039,"1,503.9",3.8,0.2,0.4,2.0,0.1,0.3,23.9,0.1,0.0,0.0,0.0,64.5,0.2,0.0
10/06/2020 - 14,0.4,"2,952.2","1,309.5",20.7,"8,293.5",-0.1,1.6,-2.2,"1,322.9","3,405.0",0.6,-0.1,0.1,0.0366,36.6,1.5128,"1,512.8",3.8,0.2,0.2,8.7,0.1,0.2,24.0,0.0,0.0,0.0,0.0,67.9,0.2,0.0
10/13/2020 - 1,0.4,"2,779.4","1,084.8",13.7,"7,933.5",22.6,1.6,-2.3,"1,325.2","2,380.9",0.7,0.0,0.1,0.2791,279.1,0.0300,30.0,0.1,0.1,0.8,0.3,0.1,0.2,16.3,0.0,0.0,0.0,0.0,21.3,0.2,0.0
10/13/2020 - 2,0.5,"2,834.3","1,056.8",11.8,"8,021.3",3.2,1.4,-2.3,"1,264.8","2,230.3",0.6,0.0,0.1,0.1547,154.7,0.0044,4.4,0.1,0.1,0.9,2.7,0.1,0.3,15.7,0.0,0.0,0.0,0.0,19.2,0.2,0.0
10/13/2020 - 3,0.5,"2,832.0","1,104.6",17.8,"7,988.2",28.0,1.6,-2.2,"1,356.1","2,425.1",0.7,0.0,0.1,0.3309,330.9,0.0330,33.0,0.1,0.1,0.8,0.6,0.1,0.4,16.6,0.0,0.0,0.0,0.0,22.0,0.3,0.0
10/13/2020 - 4,0.5,"2,819.6","1,062.9",13.8,"8,031.9",4.1,1.3,-2.3,"1,270.1","2,277.3",0.7,0.0,0.1,0.1494,149.4,0.0039,3.9,0.1,0.1,0.8,3.9,0.1,0.3,15.9,0.0,0.0,0.0,-0.1,19.6,0.3,0.0
10/13/2020 - 5,0.5,"2,854.5","1,103.2",14.8,"8,039.7",16.7,1.4,-2.3,"1,306.3","2,436.1",0.7,0.0,0.1,0.3654,365.4,0.1070,107.0,0.1,0.1,0.6,0.2,0.1,0.3,16.8,0.0,0.0,0.0,-0.1,24.3,0.2,0.0
10/13/2020 - 6,0.5,"2,834.0","1,091.9",12.0,"8,075.8",2.1,1.4,-2.3,"1,277.0","2,407.9",0.6,-0.1,0.1,0.1326,132.6,0.0562,56.2,0.1,0.1,0.6,18.2,0.1,0.4,16.7,0.0,0.0,0.0,-0.1,22.8,0.2,0.0
10/13/2020 - 7,0.4,"2,890.5","1,170.4",15.8,"8,365.9",15.3,1.2,-2.3,"1,328.1","2,779.7",0.8,0.0,0.1,2.6271,"2,627.1",0.9060,906.0,2.0,0.1,0.7,2.3,0.1,0.5,19.4,0.1,0.0,0.0,0.2,46.9,0.2,0.0
10/13/2020 - 8,0.4,"2,908.1","1,170.2",11.7,"8,278.4",1.4,1.2,-2.2,"1,304.9","2,799.4",0.6,0.0,0.1,2.1665,"2,166.5",0.9157,915.7,2.0,0.1,0.2,10.1,0.1,0.3,19.7,0.0,0.0,0.0,0.1,48.5,0.2,0.0
10/13/2020 - 9,0.4,"2,951.6","1,283.2",19.2,"8,412.7",22.6,1.2,-2.2,"1,354.1","3,283.8",0.8,0.0,0.1,3.3111,"3,311.1",1.3895,"1,389.5",3.4,0.2,0.7,3.8,0.1,0.2,23.4,0.1,0.0,0.0,0.0,62.0,0.3,0.0
10/13/2020 - 10,0.4,"2,924.2","1,267.8",12.8,"8,346.7",0.3,1.4,-2.3,"1,338.0","3,228.9",0.6,-0.1,0.1,0.0949,94.9,1.3163,"1,316.3",3.2,0.2,0.3,12.7,0.1,0.4,22.7,0.0,0.0,0.0,0.0,59.9,0.2,0.0
10/13/2020 - 11,0.4,"2,939.9","1,307.5",15.2,"8,524.8",22.8,1.6,-2.3,"1,331.1","3,412.4",0.7,0.0,0.1,3.9165,"3,916.5",1.5758,"1,575.8",3.9,0.2,0.4,0.5,0.1,0.3,23.9,0.1,0.0,0.0,0.0,67.3,0.2,0.0
10/13/2020 - 12,0.4,"2,926.1","1,315.0",11.1,"8,293.0",-0.1,1.2,-2.3,"1,335.5","3,417.3",0.6,-0.1,0.1,0.0307,30.7,1.5749,"1,574.9",3.8,0.2,0.2,10.3,0.1,0.4,24.2,0.0,0.0,0.0,0.0,69.6,0.2,0.0
10/13/2020 - 13,0.4,"2,931.3","1,308.9",13.9,"8,411.1",24.4,1.3,-2.3,"1,331.8","3,422.6",0.7,0.0,0.1,4.0709,"4,070.9",1.5897,"1,589.7",4.0,0.2,0.5,0.5,0.1,0.3,24.4,0.1,0.0,0.0,0.0,68.7,0.2,0.0
10/13/2020 - 14,0.4,"2,937.5","1,314.9",10.9,"8,289.7",0.5,1.3,-2.3,"1,337.4","3,403.8",0.6,-0.1,0.1,0.0488,48.8,1.5502,"1,550.2",3.8,0.2,0.2,9.4,0.1,0.3,24.3,0.0,0.0,0.0,-0.1,67.0,0.2,0.0
10/14/2020 - 19,0.3,"2,094.7",833.4,44.9,"5,738.3",10.4,1.1,-2.4,"1,454.4","1,724.3",1.1,0.0,0.1,0.7249,724.9,0.1863,186.3,0.3,0.2,0.5,2.0,0.1,0.4,12.2,0.0,0.0,0.0,-0.1,29.6,0.3,0.0
10/14/2020 - 20,0.3,"2,076.8",813.0,15.5,"5,689.0",1.1,1.0,-2.4,"1,413.2","1,648.4",0.4,-0.1,0.1,0.0526,52.6,0.0417,41.7,0.1,0.1,0.5,4.6,0.1,0.4,11.7,0.0,0.0,0.0,-0.1,24.0,0.2,0.0
10/14/2020 - 21,0.3,"2,074.0",833.3,38.6,"5,782.6",8.9,1.2,-2.4,"1,425.1","1,724.2",1.0,0.0,0.2,0.7274,727.4,0.1892,189.2,0.3,0.1,0.2,0.1,0.1,0.4,12.1,0.0,0.0,0.0,-0.1,29.4,0.2,0.0
10/14/2020 - 22,0.3,"2,034.3",801.7,11.4,"5,580.9",0.7,0.9,-2.5,"1,381.2","1,629.2",0.5,-0.1,0.1,0.0337,33.7,0.0396,39.6,0.0,0.1,0.3,3.0,0.1,0.4,11.4,0.1,0.0,0.0,0.2,21.8,0.2,0.0
10/14/2020 - 23,0.3,"2,014.8",832.2,25.9,"5,632.8",12.6,1.1,-2.5,"1,398.1","1,824.7",0.8,0.0,0.1,1.9299,"1,929.9",0.9897,989.7,1.6,0.1,0.1,1.0,0.2,0.3,12.8,0.1,0.0,0.0,0.1,54.7,0.3,0.0
10/14/2020 - 24,0.3,"2,014.0",831.2,8.8,"5,698.0",-0.1,0.8,-2.5,"1,396.7","1,814.5",0.4,-0.1,0.1,0.8289,828.9,1.0954,"1,095.4",1.7,0.1,0.1,5.9,0.1,0.4,12.9,0.0,0.0,0.0,0.0,55.2,0.2,0.0
10/14/2020 - 25,0.2,"2,072.1",882.0,13.4,"6,903.3",10.4,0.9,-2.4,"1,500.7","2,375.2",0.6,0.1,0.1,29.9974,"29,997.4",1.6461,"1,646.1",2.4,0.3,0.2,0.4,0.4,0.5,16.8,0.4,0.0,0.0,0.0,107.0,0.2,0.0
10/14/2020 - 26,0.2,"2,077.1",870.5,16.9,"6,776.3",2.1,0.9,-2.5,"1,492.4","2,324.3",0.6,0.0,0.4,27.5285,"27,528.5",1.5744,"1,574.4",2.2,0.2,0.1,7.4,0.3,0.4,16.6,0.4,0.0,0.0,0.0,104.0,0.2,0.0
10/14/2020 - 67,0.2,"2,074.3",878.6,17.2,"6,805.1",11.1,1.0,-2.5,"1,495.4","2,286.4",0.7,0.1,0.1,25.7955,"25,795.5",1.5397,"1,539.7",2.3,0.2,0.2,0.3,0.3,0.5,16.2,0.4,0.0,0.0,0.0,98.4,0.2,0.0
10/14/2020 - 68,0.2,"2,090.3",873.4,11.3,"6,729.3",1.4,0.9,-2.5,"1,501.8","2,270.5",0.6,0.0,0.1,24.7194,"24,719.4",1.5355,"1,535.5",2.2,0.2,0.1,3.8,0.3,0.5,16.1,0.4,0.0,0.0,0.0,95.9,0.2,0.0
10/19/2020 - 1,0.5,"2,986.6","1,161.0",26.2,"8,406.7",29.0,1.4,-2.2,"1,400.4","2,594.2",0.8,-0.1,0.2,0.5553,555.3,0.1924,192.4,0.4,0.1,0.8,6.6,0.1,0.5,17.6,0.1,0.0,0.0,0.0,27.0,0.4,0.0
10/19/2020 - 2,0.5,"2,934.5","1,133.4",18.0,"8,325.1",4.3,1.4,-2.3,"1,349.0","2,490.8",0.7,-0.1,0.1,0.0557,55.7,0.1005,100.5,0.1,0.1,0.5,6.9,0.1,0.5,17.2,0.0,0.0,0.0,-0.1,25.2,0.3,0.0
10/19/2020 - 3,0.4,"2,917.2","1,135.2",19.6,"8,316.5",23.2,1.5,-2.3,"1,375.9","2,537.7",0.8,-0.1,0.1,0.5441,544.1,0.1958,195.8,0.4,0.1,0.7,2.7,0.1,0.4,17.3,0.0,0.0,0.0,-0.1,26.5,0.4,0.0
10/19/2020 - 4,0.5,"2,948.8","1,136.6",38.9,"8,390.0",4.3,1.5,-2.3,"1,356.1","2,518.4",0.7,-0.1,0.2,0.0866,86.6,0.0998,99.8,0.1,0.2,0.7,30.0,0.1,0.3,17.4,0.0,0.0,0.0,-0.1,26.9,0.3,0.0
10/19/2020 - 5,0.5,"2,911.1","1,136.6",15.9,"8,318.6",18.5,1.4,-2.4,"1,367.1","2,534.9",0.8,0.0,0.1,0.5478,547.8,0.2192,219.2,0.4,0.1,0.7,2.5,0.1,0.4,17.3,0.1,0.0,0.0,0.2,27.5,0.4,0.0
10/19/2020 - 6,0.5,"2,929.6","1,131.4",15.8,"8,373.4",2.8,1.3,-2.4,"1,353.2","2,519.8",0.7,-0.1,0.2,0.0607,60.7,0.1126,112.6,0.1,0.1,0.5,10.1,0.1,0.5,17.3,0.0,0.0,0.0,0.1,25.5,0.3,0.0
10/19/2020 - 7,0.4,"2,910.0","1,191.2",18.9,"8,366.3",20.5,1.4,-2.4,"1,350.6","2,862.9",0.8,0.0,0.1,1.6694,"1,669.4",0.9525,952.5,2.2,0.1,0.7,2.6,0.1,0.4,19.7,0.0,0.0,0.0,0.0,47.6,0.3,0.0
10/19/2020 - 8,0.4,"2,909.4","1,200.7",22.1,"8,312.1",0.9,1.1,-2.3,"1,355.9","2,955.1",0.7,-0.1,0.1,0.0209,20.9,1.1063,"1,106.3",2.4,0.1,0.3,6.4,0.1,0.3,20.5,0.0,0.0,0.0,0.0,51.9,0.3,0.0
10/19/2020 - 9,0.4,"2,894.2","1,277.6",17.0,"8,348.0",22.1,1.3,-2.4,"1,336.6","3,304.1",0.8,0.0,0.1,3.4317,"3,431.7",1.5555,"1,555.5",3.8,0.2,0.6,2.8,0.1,0.3,23.3,0.1,0.0,0.0,0.0,67.5,0.3,0.0
10/19/2020 - 10,0.4,"2,919.4","1,256.1",16.0,"8,167.1",1.6,1.1,-2.4,"1,340.9","3,231.2",-1.1,-0.1,0.1,0.0221,22.1,1.3782,"1,378.2",3.2,0.2,0.3,8.7,0.0,0.3,22.5,0.0,0.0,0.0,0.0,60.9,0.3,0.0
10/19/2020 - 11,0.4,"2,927.3","1,284.2",17.6,"8,286.9",22.4,1.5,-2.3,"1,349.4","3,330.7",0.7,0.0,0.1,3.5582,"3,558.2",1.5449,"1,544.9",3.8,0.2,0.6,3.4,0.1,0.3,23.6,0.1,0.0,0.0,0.0,66.7,0.3,0.0
10/19/2020 - 12,0.4,"2,953.2","1,285.0",12.6,"8,191.6",0.6,1.1,-2.3,"1,372.4","3,319.3",0.6,-0.1,0.1,0.0130,13.0,1.4957,"1,495.7",3.6,0.2,0.6,36.4,0.0,0.3,23.7,0.0,0.0,0.0,-0.1,66.5,0.3,0.0
10/19/2020 - 13,0.4,"2,959.2","1,320.0",17.0,"8,429.7",22.0,1.4,-2.4,"1,359.1","3,514.2",0.7,0.0,0.1,4.0359,"4,035.9",1.7647,"1,764.7",4.3,0.2,0.6,3.5,0.1,0.4,24.4,0.1,0.0,0.0,-0.1,73.5,0.3,0.0
10/19/2020 - 14,0.4,"3,013.2","1,337.9",24.0,"8,242.9",1.1,1.2,-2.3,"1,384.8","3,543.8",0.6,-0.1,0.1,0.0156,15.6,1.7390,"1,739.0",4.2,0.3,0.5,38.1,0.0,0.3,24.5,0.0,0.0,0.0,-0.1,73.3,0.4,0.0
10/19/2020 - 15,0.5,"3,462.0",862.2,36.7,"10,648.1",15.4,1.3,-2.7,"1,260.3","1,927.8",1.2,0.0,0.2,0.0437,43.7,0.0046,4.6,0.0,0.1,0.2,2.7,0.0,0.3,13.0,0.0,0.0,0.0,-0.1,15.8,0.4,0.0
10/19/2020 - 16,0.6,"3,575.3",876.2,31.0,"10,856.6",13.9,1.3,-2.5,"1,297.7","1,976.7",0.9,0.0,0.1,0.0098,9.8,0.0012,1.2,0.0,0.1,0.3,23.0,0.0,0.4,13.3,0.1,0.0,0.0,0.2,17.5,0.4,0.0
10/26/2020 - 19,0.3,"2,077.8",820.1,38.6,"5,688.2",11.7,0.8,-2.5,"1,437.6","1,736.3",-0.8,0.0,0.1,0.6657,665.7,0.1367,136.7,0.2,0.2,2.0,8.4,0.1,0.5,12.0,0.1,0.0,0.0,0.1,26.9,0.6,0.0
10/26/2020 - 20,0.3,"2,091.9",809.2,13.2,"5,657.8",2.3,0.7,-2.5,"1,405.5","1,676.3",0.5,-0.1,0.1,0.1088,108.8,0.0049,4.9,0.0,0.1,0.4,5.7,0.1,0.3,11.7,0.0,0.0,0.0,0.0,23.7,0.3,0.0
10/26/2020 - 21,0.3,"2,050.3",811.8,29.5,"5,625.7",11.3,0.8,-2.5,"1,404.1","1,700.4",0.8,0.0,0.1,0.6633,663.3,0.1463,146.3,0.2,0.1,0.2,3.0,0.1,0.4,11.8,0.0,0.0,0.0,0.0,27.3,0.4,0.0
10/26/2020 - 22,0.3,"2,082.1",811.3,11.7,"5,675.8",2.3,0.7,-2.4,"1,431.0","1,669.1",0.4,-0.1,0.1,0.0333,33.3,0.0044,4.4,0.0,0.1,0.6,13.6,0.1,0.5,11.6,0.0,0.0,0.0,0.0,22.2,0.3,0.0
10/26/2020 - 23,0.3,"2,054.2",822.2,25.6,"5,660.1",15.9,0.8,-2.6,"1,421.7","1,763.8",0.7,0.0,0.1,1.1635,"1,163.5",0.3874,387.4,0.5,0.1,0.2,3.0,0.1,0.4,12.3,0.0,0.0,0.0,0.0,35.7,0.4,0.0
10/26/2020 - 24,0.2,"2,056.1",818.0,15.6,"5,637.2",2.9,0.7,-2.5,"1,414.3","1,742.3",0.5,-0.1,0.1,0.0459,45.9,0.3126,312.6,0.4,0.1,0.2,6.1,0.1,0.4,12.1,0.0,0.0,0.0,0.0,31.6,0.4,0.0
10/26/2020 - 25,0.2,"2,054.2",877.3,18.9,"6,736.0",12.1,0.7,-2.6,"1,508.2","2,368.3",0.6,0.1,0.2,29.8016,"29,801.6",1.7872,"1,787.2",2.6,0.3,0.2,3.2,0.3,0.5,16.8,0.4,0.0,0.0,0.0,112.3,0.3,0.0
10/26/2020 - 26,0.2,"2,045.8",861.7,17.2,"6,584.2",5.0,0.8,-2.5,"1,495.6","2,338.0",0.6,0.0,0.2,27.5455,"27,545.5",1.7143,"1,714.3",2.4,0.2,0.2,11.7,0.3,0.4,16.3,0.4,0.0,0.0,0.0,108.8,0.4,0.0
10/26/2020 - 67,0.2,"2,041.8",872.5,17.6,"6,756.1",12.8,0.8,-2.6,"1,515.3","2,387.1",0.7,0.1,0.2,31.1614,"31,161.4",1.7778,"1,777.8",2.6,0.3,0.2,3.9,0.3,0.5,16.9,0.4,0.0,0.0,-0.1,115.4,0.4,0.0
10/26/2020 - 68,0.2,"2,045.8",862.9,12.3,"6,757.9",3.5,0.9,-2.5,"1,504.8","2,367.0",0.6,0.0,0.2,31.6633,"31,663.3",1.8188,"1,818.8",2.5,0.2,0.1,11.3,0.3,0.5,16.9,0.5,0.0,0.0,-0.1,118.0,0.3,0.0
10/28/2020 - 1,0.4,"2,973.3","1,174.2",24.6,"8,490.2",29.6,1.4,-2.5,"1,428.1","2,552.6",0.9,-0.1,0.2,0.3333,333.3,0.0486,48.6,0.1,0.3,0.7,1.4,0.1,0.5,17.2,0.1,0.0,0.0,0.1,21.8,0.3,0.0
