ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),,54Fe (STDR),,55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
08/03/2020 - 9,0.3,"2,840.6","1,177.5",17.7,"8,161.8",17.3,1.3,1.2,"1,202.3","3,097.2",1.2,0.1,0.3,2.4854,"2,485.4",1.1692,"1,169.2",2.8,0.2,0.5,8.8,0.1,0.3,21.2,0.1,0.0,0.0,0.0,37.9,0.3,0.0
08/03/2020 - 10,0.4,"2,863.8","1,194.8",19.9,"8,181.2",1.8,1.2,1.2,"1,195.5","3,095.6",1.0,0.1,0.1,0.1319,131.9,1.1594,"1,159.4",2.8,0.2,0.3,21.2,0.1,0.3,21.3,0.0,0.0,0.0,0.0,37.6,0.4,0.0
08/06/2020 - 19,0.3,"2,014.2",768.4,30.4,"5,237.6",9.3,1.0,1.0,"1,257.4","1,561.6",1.3,0.2,0.2,0.5441,544.1,0.0235,23.5,0.1,0.1,0.5,5.7,0.1,0.4,10.8,0.1,0.0,0.0,0.2,20.9,0.2,0.0
08/06/2020 - 20,0.3,"1,959.6",747.7,18.9,"5,190.1",3.7,1.4,1.0,"1,213.0","1,517.1",1.1,0.2,0.2,0.2600,260.0,0.0010,1.0,0.0,0.1,0.3,14.6,0.1,0.3,10.6,0.0,0.0,0.0,0.1,21.9,0.1,0.0
08/06/2020 - 21,0.3,"1,942.2",761.3,27.6,"5,179.4",9.3,1.1,1.0,"1,226.3","1,551.7",1.0,0.2,0.2,0.5511,551.1,0.0302,30.2,0.1,0.1,0.3,4.3,0.1,0.4,10.6,0.0,0.0,0.0,0.1,22.1,0.1,0.0
08/06/2020 - 22,0.3,"1,934.6",757.6,22.0,"5,130.8",4.7,1.4,1.0,"1,237.8","1,544.5",0.9,0.2,0.2,0.2047,204.7,0.0045,4.5,0.0,0.1,0.4,17.3,0.1,0.4,10.8,0.0,0.0,0.0,0.1,23.3,0.1,0.0
08/06/2020 - 23,0.2,"1,883.6",753.3,27.9,"5,092.4",15.6,1.2,0.9,"1,236.2","1,826.5",0.9,0.1,0.1,0.8158,815.8,0.9687,968.7,1.4,0.2,0.3,4.4,0.1,0.3,12.1,0.0,0.0,0.0,0.0,50.7,0.1,0.0
08/06/2020 - 24,0.2,"1,862.1",745.9,20.5,"5,087.1",4.2,1.2,1.0,"1,217.6","1,818.4",0.9,0.0,0.1,0.0473,47.3,0.9827,982.7,1.4,0.1,0.2,12.9,0.1,0.3,12.2,0.0,0.0,0.0,0.0,41.3,0.1,0.0
08/06/2020 - 25,0.2,"2,050.7",798.1,46.8,"6,787.6",19.2,0.6,1.0,"1,329.1","2,241.9",1.3,0.4,0.2,18.4901,"18,490.1",1.3329,"1,332.9",2.0,0.2,0.3,5.3,0.6,0.4,15.2,0.3,0.0,0.0,0.0,82.1,0.2,0.0
08/06/2020 - 26,0.2,"2,070.7",806.4,24.9,"6,795.4",6.5,0.7,1.0,"1,334.6","2,271.9",1.3,0.4,0.2,18.2364,"18,236.4",1.3269,"1,326.9",2.0,0.2,0.2,12.1,0.6,0.4,15.3,0.3,0.0,0.0,0.0,81.2,0.1,0.0
08/06/2020 - 27,0.2,"2,076.8",810.0,37.8,"7,072.0",27.1,0.6,1.0,"1,382.4","2,345.8",1.4,0.5,0.4,23.2778,"23,277.8",1.4589,"1,458.9",2.1,0.3,0.4,4.7,0.7,0.4,16.0,0.4,0.0,0.0,0.0,98.0,0.1,0.0
08/06/2020 - 28,0.2,"2,071.6",813.1,21.7,"6,978.7",9.4,0.8,1.1,"1,379.5","2,341.8",1.2,0.4,0.3,20.4709,"20,470.9",1.4230,"1,423.0",2.0,0.2,0.2,15.4,0.6,0.6,15.9,0.3,0.0,0.0,0.0,89.6,0.1,0.0
08/07/2020 - 17,0.7,"3,636.2","1,383.5",178.2,"12,094.5",43.7,1.6,1.1,"1,115.8","3,058.2",5.3,0.9,0.5,2.1712,"2,171.2",0.0548,54.8,0.5,0.3,0.5,6.2,0.1,0.4,20.1,0.1,0.0,0.0,0.2,24.3,0.6,0.0
08/07/2020 - 18,0.6,"3,660.1","1,387.0",36.6,"12,017.8",16.0,1.7,1.2,"1,118.9","3,074.3",1.9,0.3,0.2,0.8911,891.1,0.0512,51.2,0.4,0.2,0.3,17.1,0.1,0.4,20.0,0.1,0.0,0.0,0.1,23.5,0.4,0.0
08/10/2020 - 1,0.5,"2,543.3",901.5,44.3,"7,015.9",23.6,1.3,1.1,"1,266.4","1,986.7",0.0,0.3,0.2,0.3610,361.0,0.0131,13.1,0.1,0.2,1.2,16.3,0.1,0.4,13.1,0.1,0.0,0.0,0.1,15.6,0.1,0.0
08/10/2020 - 2,0.4,"2,526.0",859.9,27.5,"7,088.0",7.1,1.2,1.1,"1,213.7","1,828.3",1.1,0.3,0.2,0.2643,264.3,0.0035,3.5,0.1,0.1,0.9,11.9,0.1,0.5,12.4,0.0,0.0,0.0,0.0,15.0,0.1,0.0
08/10/2020 - 3,0.4,"2,551.9",930.9,31.6,"7,199.2",21.6,1.2,1.1,"1,258.7","2,045.6",0.0,0.3,0.2,0.4074,407.4,0.0140,14.0,0.1,0.1,0.9,4.9,0.1,0.5,13.6,0.0,0.0,0.0,0.0,18.5,0.1,0.0
08/10/2020 - 4,0.5,"2,559.7",897.2,32.1,"7,076.5",9.4,1.2,1.1,"1,255.1","1,928.3",1.2,0.3,0.2,0.2760,276.0,0.0057,5.7,0.1,0.2,1.5,20.5,0.1,0.5,12.9,0.0,0.0,0.0,0.0,16.8,0.1,0.0
08/10/2020 - 5,0.4,"2,673.0","1,113.1",33.6,"7,251.6",35.3,1.3,1.4,"1,324.8","2,848.8",1.5,0.2,0.2,1.6109,"1,610.9",0.7958,795.8,1.4,0.2,1.0,6.9,0.1,0.3,19.6,0.0,0.0,0.0,0.0,52.7,0.1,0.0
08/10/2020 - 6,0.4,"2,683.0","1,125.7",27.2,"7,168.5",5.7,1.2,1.4,"1,305.8","2,871.7",1.1,0.1,0.2,0.2752,275.2,0.7826,782.6,1.4,0.2,0.7,23.5,0.1,0.4,19.7,0.0,0.0,0.0,0.0,51.7,0.1,0.0
08/10/2020 - 7,0.4,"2,748.4","1,176.7",32.7,"7,555.9",36.2,1.2,1.3,"1,275.2","3,010.8",1.5,0.2,0.2,2.1879,"2,187.9",0.8967,896.7,2.0,0.2,1.0,6.6,0.1,0.5,21.1,0.1,0.0,0.0,0.0,51.6,0.1,0.0
08/10/2020 - 8,0.4,"2,731.7","1,168.1",24.6,"7,381.3",3.8,1.2,1.4,"1,271.3","3,052.1",1.2,0.1,0.2,0.4218,421.8,0.8728,872.8,1.9,0.2,0.4,15.5,0.1,0.4,20.7,0.0,0.0,0.0,0.0,49.4,0.1,0.0
08/10/2020 - 9,0.4,"2,874.0","1,184.9",27.6,"8,200.1",29.1,0.9,1.2,"1,258.9","3,089.5",1.4,0.1,0.2,2.7287,"2,728.7",1.0670,"1,067.0",2.5,0.2,0.6,5.6,0.1,0.5,20.9,0.1,0.0,0.0,0.2,41.5,0.1,0.0
08/10/2020 - 10,0.4,"2,910.5","1,198.9",23.6,"8,083.1",4.0,0.7,1.2,"1,273.7","3,109.6",1.2,0.0,0.2,0.2776,277.6,1.0718,"1,071.8",2.5,0.2,0.6,14.6,0.1,0.5,20.8,0.0,0.0,0.0,0.1,35.4,0.1,0.0
08/10/2020 - 11,0.4,"2,985.4","1,243.4",25.5,"8,465.7",27.3,1.0,1.2,"1,246.6","3,310.3",1.4,0.1,0.2,3.0268,"3,026.8",1.3003,"1,300.3",3.1,0.2,0.4,6.2,0.1,0.5,22.1,0.1,0.0,0.0,0.1,44.0,0.1,0.0
08/10/2020 - 12,0.3,"2,938.7","1,212.1",21.7,"8,241.2",4.3,0.7,1.2,"1,243.8","3,247.5",1.2,0.0,0.1,0.0558,55.8,1.2507,"1,250.7",2.9,0.2,0.4,11.6,0.1,0.4,21.9,0.0,0.0,0.0,0.1,35.5,0.1,0.0
08/10/2020 - 13,0.4,"2,942.8","1,230.2",29.3,"8,403.2",27.4,0.8,1.2,"1,244.8","3,276.6",1.3,0.1,0.1,3.0296,"3,029.6",1.2853,"1,285.3",3.1,0.2,0.5,6.3,0.1,0.4,22.4,0.1,0.0,0.0,0.0,46.2,0.1,0.0
08/10/2020 - 14,0.4,"2,921.8","1,208.7",39.6,"8,165.9",5.3,0.8,1.2,"1,223.0","3,212.7",1.3,0.1,0.2,0.0581,58.1,1.2288,"1,228.8",2.9,0.2,0.3,12.6,0.1,0.4,21.9,0.0,0.0,0.0,0.0,34.5,0.1,0.0
08/10/2020 - 15,0.5,"2,476.8",807.5,146.1,"7,281.5",19.1,0.7,1.0,"1,267.0","1,873.4",3.4,0.4,0.3,0.3642,364.2,0.0329,32.9,0.1,0.1,0.5,7.0,0.1,0.4,12.6,0.0,0.0,0.0,0.0,20.6,0.3,0.0
08/10/2020 - 16,0.4,"2,506.6",800.8,26.5,"7,263.4",10.0,0.7,1.0,"1,274.9","1,838.5",1.1,0.2,0.2,0.0588,58.8,0.0018,1.8,0.0,0.1,0.4,12.2,0.1,0.4,12.4,0.0,0.0,0.0,0.0,20.2,0.1,0.0
08/12/2020 - 19,0.2,"2,045.6",779.4,18.8,"5,407.3",-1.1,0.4,1.0,"1,286.9","1,555.4",0.6,0.1,0.1,0.3988,398.8,0.0201,20.1,0.0,0.1,0.3,0.4,0.1,0.6,10.9,0.0,0.0,0.0,0.0,20.0,0.7,0.0
08/12/2020 - 20,0.1,"2,014.4",754.6,17.7,"5,414.4",-1.3,0.5,1.0,"1,284.5","1,504.7",0.6,0.1,0.1,0.2924,292.4,0.0008,0.8,0.0,0.1,0.3,3.4,0.1,0.6,10.6,0.0,0.0,0.1,0.0,19.1,0.8,0.0
08/12/2020 - 21,0.1,"1,998.5",776.8,12.0,"5,376.9",-0.7,0.3,0.9,"1,269.3","1,552.3",0.6,0.1,0.1,0.4296,429.6,0.0216,21.6,0.1,0.0,0.2,0.1,0.1,0.5,11.0,0.0,0.0,0.1,0.1,21.5,0.7,0.0
08/12/2020 - 22,0.1,"2,090.3",781.1,19.3,"5,479.4",-1.1,0.5,1.0,"1,304.8","1,544.1",0.6,0.1,0.1,0.2566,256.6,0.0037,3.7,0.0,0.1,0.7,4.2,0.1,0.5,10.9,0.0,0.0,0.1,0.1,20.7,0.8,0.0
08/12/2020 - 23,0.1,"1,919.4",783.8,14.7,"5,129.9",2.8,0.7,0.9,"1,306.7","1,830.7",0.5,0.0,0.1,0.5486,548.6,0.4515,451.5,0.6,0.1,0.2,0.8,0.1,0.5,12.6,0.0,0.0,0.1,0.0,45.1,0.9,0.0
08/12/2020 - 24,0.1,"1,966.2",789.7,8.9,"5,123.7",-0.8,0.7,1.0,"1,338.1","1,847.4",0.5,0.0,0.1,0.0059,5.9,0.8130,813.0,1.0,0.1,0.4,7.9,0.1,0.6,12.9,0.0,0.0,0.1,0.0,46.8,1.0,0.0
08/12/2020 - 25,0.1,"2,092.1",826.6,21.6,"6,531.1",4.2,0.5,1.0,"1,399.1","2,178.4",0.8,0.2,0.1,12.6836,"12,683.6",1.0229,"1,022.9",1.6,0.6,0.3,2.4,0.2,0.6,14.8,0.1,0.0,0.1,0.0,68.3,1.1,0.0
08/12/2020 - 26,0.1,"2,084.6",815.6,16.1,"6,332.7",0.2,0.4,1.0,"1,391.5","2,149.1",0.7,0.2,0.1,10.8542,"10,854.2",1.2177,"1,217.7",1.9,0.1,0.4,16.2,0.3,0.5,14.7,0.1,0.0,0.1,0.0,70.0,1.1,0.0
08/12/2020 - 28,0.0,"2,174.6",840.8,17.6,"7,365.8",1.6,0.2,1.0,"1,469.3","2,445.6",0.9,0.4,0.2,25.8065,"25,806.5",1.5552,"1,555.2",2.0,0.2,0.6,14.1,0.5,0.6,16.8,0.2,0.0,0.1,0.0,108.7,1.2,0.0
08/17/2020 - 1,0.3,"2,621.1",978.8,31.2,"7,470.1",15.6,1.3,1.0,"1,282.0","2,147.5",1.1,0.2,0.1,0.4947,494.7,0.0358,35.8,0.1,0.1,0.9,0.5,0.1,0.6,14.5,0.0,0.0,0.0,0.0,21.1,0.3,0.0
08/17/2020 - 2,0.3,"2,633.6",954.5,23.1,"7,331.5",0.8,0.9,1.1,"1,256.5","2,082.7",0.8,0.2,0.1,0.2786,278.6,0.0087,8.7,0.1,0.1,1.6,6.5,0.1,0.6,14.1,0.0,0.0,0.0,0.0,21.3,0.3,0.0
08/17/2020 - 3,0.3,"2,649.8",984.7,24.3,"7,509.9",25.0,1.0,1.1,"1,296.2","2,176.3",1.3,0.3,0.1,0.5031,503.1,0.0350,35.0,0.1,0.1,0.9,0.5,0.1,0.6,14.6,0.0,0.0,0.0,0.0,21.4,0.2,0.0
08/17/2020 - 4,0.3,"2,772.8",967.0,20.3,"7,437.3",3.1,0.8,1.2,"1,382.1","2,119.8",0.8,0.2,0.2,0.2846,284.6,0.0165,16.5,0.1,0.3,4.8,26.2,0.1,0.6,14.1,0.0,0.0,0.0,0.1,24.7,0.5,0.0
08/17/2020 - 5,0.3,"2,844.1","1,226.7",25.1,"7,778.5",25.7,0.9,1.5,"1,446.5","3,225.5",1.0,0.1,0.2,2.6109,"2,610.9",1.1804,"1,180.4",2.2,0.2,0.8,0.7,0.1,0.6,22.3,0.1,0.0,0.0,0.0,67.0,0.2,0.0
08/17/2020 - 6,0.3,"2,830.9","1,215.5",14.6,"7,676.7",-1.4,1.0,1.5,"1,423.9","3,138.6",0.8,0.1,0.1,0.7135,713.5,1.0510,"1,051.0",1.9,0.1,0.5,34.8,0.1,0.6,21.9,0.0,0.0,0.0,0.0,68.7,0.2,0.0
08/17/2020 - 7,0.3,"2,826.7","1,166.2",27.4,"8,049.6",31.3,0.9,1.2,"1,337.5","2,944.8",1.1,0.2,0.1,2.9921,"2,992.1",0.8833,883.3,2.0,0.2,0.7,0.6,0.2,0.5,19.9,0.1,0.0,0.0,0.0,42.6,0.2,0.0
08/17/2020 - 8,0.3,"2,834.4","1,152.7",18.0,"7,894.6",-0.9,0.8,1.3,"1,330.3","2,876.3",0.8,0.0,0.1,1.2623,"1,262.3",0.8683,868.3,1.9,0.1,0.7,18.5,0.1,0.5,20.0,0.0,0.0,0.0,0.0,47.2,0.2,0.0
08/17/2020 - 9,0.2,"2,932.0","1,227.3",21.6,"8,333.5",21.2,0.7,1.1,"1,286.8","3,124.9",1.0,0.1,0.1,2.6390,"2,639.0",1.1214,"1,121.4",2.6,0.2,0.4,0.6,0.2,0.6,21.5,0.1,0.0,0.0,0.0,42.0,0.2,0.0
08/17/2020 - 10,0.2,"2,974.1","1,222.8",16.0,"8,287.7",-2.1,0.7,1.2,"1,321.1","3,144.0",0.9,0.0,0.2,0.1631,163.1,1.1082,"1,108.2",2.5,0.2,0.7,36.9,0.1,0.6,21.7,0.0,0.0,0.0,0.0,48.8,0.2,0.0
08/17/2020 - 11,0.2,"3,039.5","1,281.2",18.5,"8,635.6",22.4,0.7,1.2,"1,294.6","3,388.3",1.0,0.1,0.1,3.0685,"3,068.5",1.3645,"1,364.5",3.2,0.2,0.3,2.4,0.2,0.6,23.0,0.1,0.0,0.0,0.0,47.4,0.2,0.0
08/17/2020 - 12,0.2,"3,052.0","1,278.2",13.1,"8,539.9",-1.7,0.6,1.2,"1,307.0","3,357.8",0.9,0.1,0.2,0.0572,57.2,1.3209,"1,320.9",3.0,0.3,0.3,58.6,0.1,0.6,22.7,0.0,0.0,0.0,0.0,41.8,0.2,0.0
08/17/2020 - 13,0.2,"3,017.7","1,268.4",20.0,"8,652.4",21.4,0.6,1.1,"1,288.6","3,352.6",1.1,0.1,0.1,3.0435,"3,043.5",1.3291,"1,329.1",3.1,0.2,0.3,0.4,0.2,0.7,22.9,0.1,0.0,0.0,0.0,49.1,0.2,0.0
08/17/2020 - 14,0.3,"3,005.0","1,271.7",18.7,"8,464.4",-2.0,0.7,1.1,"1,282.6","3,309.0",0.9,0.0,0.1,0.0553,55.3,1.3144,"1,314.4",3.0,0.2,0.4,14.2,0.1,0.6,22.5,0.0,0.0,0.0,0.1,45.2,0.2,0.0
