Reservoir,Transect,DateTime,Sed_turb,Surf_turb,Flag_sed_turb,Flag_surf_turb
FCR,T2,2017-09-18,2.18E-10,7.82E-06,0,0
FCR,T2,2017-09-25,3.82E-11,2.91E-05,0,0
FCR,T2,2017-10-02,2.34E-12,7.53E-06,0,0
FCR,T2,2017-10-09,1.71E-11,6.04E-07,0,0
FCR,T2,2017-10-16,2.47E-11,3.33E-07,0,0
FCR,T2,2017-10-23,3.23E-11,6.18E-08,0,0
FCR,T3,2017-05-15,3.50E-11,1.46E-06,0,0
FCR,T3,2017-05-22,2.32E-10,1.40E-06,0,0
FCR,T3,2017-05-29,9.06E-11,5.74E-06,0,0
FCR,T3,2017-06-05,4.42E-11,3.46E-06,0,0
FCR,T3,2017-06-12,3.25E-11,2.07E-06,0,0
FCR,T3,2017-06-19,1.86E-11,5.09E-06,0,0
FCR,T3,2017-06-26,3.01E-11,3.13E-06,0,0
FCR,T3,2017-07-03,1.73E-10,1.72E-06,0,0
FCR,T3,2017-07-10,4.30E-11,8.14E-07,0,0
FCR,T3,2017-07-17,2.99E-12,1.06E-06,0,0
FCR,T3,2017-07-24,8.32E-12,7.15E-08,0,0
FCR,T3,2017-07-31,2.29E-10,1.02E-05,0,0
FCR,T3,2017-08-07,3.03E-10,2.77E-08,0,0
FCR,T3,2017-08-14,6.87E-11,2.49E-07,0,0
FCR,T3,2017-08-22,1.24E-10,1.13E-06,0,0
FCR,T3,2017-09-04,1.79E-10,2.02E-06,0,0
FCR,T3,2017-09-11,9.54E-12,1.36E-05,0,0
FCR,T3,2017-09-18,7.88E-11,6.38E-06,0,0
FCR,T3,2017-09-25,4.29E-10,2.54E-05,0,0
FCR,T3,2017-10-02,2.63E-11,8.80E-06,0,0
FCR,T3,2017-10-09,2.92E-10,2.23E-06,0,0
FCR,T3,2017-10-16,1.62E-10,1.96E-06,0,0
FCR,T3,2017-10-23,3.23E-11,1.68E-06,0,0
FCR,T4,2017-05-15,3.70E-08,3.09E-06,0,0
FCR,T4,2017-05-22,1.26E-09,2.67E-06,0,0
FCR,T4,2017-05-29,6.39E-09,2.89E-06,0,0
FCR,T4,2017-06-05,8.72E-09,3.12E-07,0,0
FCR,T4,2017-06-12,1.04E-08,1.03E-06,0,0
FCR,T4,2017-06-19,1.10E-08,3.79E-06,0,0
FCR,T4,2017-06-26,1.65E-09,2.72E-06,0,0
FCR,T4,2017-07-03,1.22E-09,1.42E-06,0,0
FCR,T4,2017-07-10,9.29E-09,1.06E-07,0,0
FCR,T4,2017-07-17,2.03E-10,1.03E-07,0,0
FCR,T4,2017-07-24,2.55E-10,6.64E-07,0,0
FCR,T4,2017-07-31,5.83E-10,7.91E-06,0,0
FCR,T4,2017-08-07,4.27E-10,1.30E-06,0,0
FCR,T4,2017-08-14,4.00E-08,4.23E-07,0,0
FCR,T4,2017-08-22,2.05E-08,1.68E-06,0,0
FCR,T4,2017-09-04,1.03E-09,2.94E-06,0,0
FCR,T4,2017-09-11,1.56E-09,3.76E-06,0,0
FCR,T4,2017-09-18,9.76E-09,2.05E-06,0,0
FCR,T4,2017-09-25,4.84E-09,1.57E-05,0,0
FCR,T4,2017-10-02,5.15E-09,3.43E-06,0,0
FCR,T4,2017-10-09,4.23E-08,1.27E-06,0,0
FCR,T4,2017-10-16,3.68E-08,2.30E-06,0,0
FCR,T4,2017-10-23,3.13E-08,3.33E-06,0,0
