Initials,DateFiltered,FilterID,PanMass_g,FilterMassPre_g,FilterMassPost_g,FilterVol_L,VolDiscarded_L,SedMass_g,Duration_days,Notes,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R1_F3_22May23,1.014,0.112,0.121,0.154,1.210,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R1_F4_22May23,1.001,0.113,0.122,0.148,1.210,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R2_F1_22May23,1.005,0.113,0.124,0.146,1.210,0.011,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R2_F2_22May23,1.018,0.111,0.121,0.146,1.210,0.01,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R2_F3_22May23,1.001,0.112,0.121,0.148,1.210,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,F_sed_8m_R2_F4_22May23,1.011,0.112,0.12,0.15,1.210,0.008,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R1_F1_22May23,1.016,0.112,0.121,0.248,0.780,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R1_F2_22May23,1.009,0.112,0.118,0.246,0.780,0.006,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R1_F3_22May23,1.018,0.11,0.118,0.248,0.780,0.008,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R1_F4_22May23,1.008,0.113,0.121,0.246,0.780,0.008,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R2_F1_22May23,0.999,0.112,0.12,0.246,0.800,0.008,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R2_F2_22May23,1.005,0.112,0.12,0.25,0.800,0.008,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R2_F3_22May23,1.002,0.111,0.12,0.25,0.800,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_4m_R2_F4_22May23,0.989,0.112,0.122,0.252,0.800,0.01,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R1_F1_22May23,1.004,0.111,0.12,0.2,0.980,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R1_F2_22May23,0.988,0.112,0.121,0.198,0.980,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R1_F3_22May23,0.999,0.112,0.12,0.196,0.980,0.008,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R1_F4_22May23,0.982,0.11,0.119,0.194,0.980,0.009,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R2_F1_22May23,1.002,0.111,0.118,0.202,0.950,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R2_F2_22May23,1.008,0.112,0.119,0.196,0.950,0.007,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R2_F3_22May23,1.022,0.111,0.117,0.198,0.950,0.006,14,,,,,,,,,,,,,,,,,
CEW & AGL,23May23,B_sed_8m_R2_F4_22May23,1.017,0.111,0.118,0.194,0.950,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R1_F1_05Jun23,1.019,0.112,0.118,0.242,0.835,0.006,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R1_F2_05Jun23,1.016,0.113,0.118,0.244,0.835,0.005,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R1_F3_05Jun23,1.009,0.11,0.115,0.248,0.835,0.005,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R1_F4_05Jun23,1.016,0.112,0.117,0.246,0.835,0.005,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R2_F1_05Jun23,1.011,0.113,0.12,0.246,0.82,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R2_F2_05Jun23,0.997,0.114,0.119,0.25,0.82,0.005,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R2_F3_05Jun23,0.997,0.111,0.117,0.258,0.82,0.006,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_4m_R2_F4_05Jun23,0.994,0.11,0.117,0.25,0.82,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R1_F1_05Jun23,0.988,0.111,0.121,0.154,1.162,0.01,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R1_F2_05Jun23,1.004,0.113,0.123,0.15,1.162,0.01,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R1_F3_05Jun23,1.002,0.113,0.121,0.15,1.162,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R1_F4_05Jun23,1.002,0.112,0.119,0.148,1.162,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R2_F1_05Jun23,0.995,0.11,0.117,0.146,1.175,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R2_F2_05Jun23,1.003,0.111,0.118,0.148,1.175,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R2_F3_05Jun23,0.994,0.112,0.119,0.148,1.175,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,F_sed_8m_R2_F4_05Jun23,0.995,0.11,0.118,0.148,1.175,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R1_F1_05Jun23,1.036,0.111,0.118,0.304,0.595,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R1_F2_05Jun23,1.021,0.112,0.12,0.292,0.595,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R1_F3_05Jun23,1.025,0.112,0.12,0.334,0.595,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R1_F4_05Jun23,1.025,0.112,0.12,0.292,0.595,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R2_F1_05Jun23,1.016,0.112,0.122,0.312,0.59,0.01,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R2_F2_05Jun23,1.035,0.113,0.122,0.302,0.59,0.009,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R2_F3_05Jun23,1.014,0.112,0.126,0.322,0.59,0.014,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_4m_R2_F4_05Jun23,1.028,0.113,0.122,0.296,0.59,0.009,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R1_F1_05Jun23,1.023,0.112,0.118,0.158,1.192,0.006,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R1_F2_05Jun23,0.997,0.111,0.118,0.15,1.192,0.007,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R1_F3_05Jun23,1.021,0.111,0.119,0.152,1.192,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R1_F4_05Jun23,1.023,0.113,0.119,0.152,1.192,0.006,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R2_F1_05Jun23,1.022,0.111,0.12,0.152,1.22,0.009,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R2_F2_05Jun23,1.023,0.111,0.119,0.156,1.22,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R2_F3_05Jun23,1.021,0.111,0.119,0.15,1.22,0.008,14,,,,,,,,,,,,,,,,,
AGL,06Jun23,B_sed_8m_R2_F4_05Jun23,1.004,0.111,0.12,0.154,1.22,0.009,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R1_F1_19Jun23,1.005,0.111,0.117,0.25,0.905,0.006,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R1_F2_19Jun23,1.011,0.111,0.116,0.2,0.905,0.005,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R1_F3_19Jun23,1.006,0.11,0.116,0.2,0.905,0.006,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R1_F4_19Jun23,1.008,0.112,0.117,0.2,0.905,0.005,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R2_F1_19Jun23,1.007,0.109,0.119,0.25,0.778,0.01,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R2_F2_19Jun23,1.014,0.111,0.118,0.25,0.778,0.007,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R2_F3_19Jun23,1.004,0.111,0.119,0.25,0.778,0.008,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_4m_R2_F4_19Jun23,1.025,0.111,0.118,0.25,0.778,0.007,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R1_F1_19Jun23,1.024,0.11,0.121,0.25,0.88,0.011,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R1_F2_19Jun23,1.017,0.11,0.122,0.25,0.88,0.012,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R1_F3_19Jun23,1.002,0.11,0.119,0.2,0.88,0.009,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R1_F4_19Jun23,1.005,0.11,0.117,0.2,0.88,0.007,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R2_F1_19Jun23,1.026,0.111,0.12,0.2,0.985,0.009,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R2_F2_19Jun23,1.008,0.112,0.122,0.2,0.985,0.01,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R2_F3_19Jun23,1.013,0.11,0.121,0.2,0.985,0.011,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,F_sed_8m_R2_F4_19Jun23,1.009,0.111,0.121,0.2,0.985,0.01,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R1_F1_19Jun23,1.006,0.111,0.121,0.3,0.53,0.01,14,"accidentally poured into filter manifold without filter, recovered most of the volume but some sediment loss likely",,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R1_F2_19Jun23,1.002,0.112,0.121,0.3,0.53,0.009,14,"accidentally poured into filter manifold without filter, recovered most of the volume but some sediment loss likely",,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R1_F3_19Jun23,1.007,0.111,0.12,0.3,0.53,0.009,14,"accidentally poured into filter manifold without filter, recovered most of the volume but some sediment loss likely; 5mL spilled",,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R1_F4_19Jun23,1.006,0.112,0.12,0.3,0.53,0.008,14,"accidentally poured into filter manifold without filter, recovered most of the volume but some sediment loss likely",,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R2_F1_19Jun23,1.026,0.112,0.121,0.3,0.544,0.009,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R2_F2_19Jun23,1.005,0.112,0.122,0.3,0.544,0.01,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R2_F3_19Jun23,1,0.111,0.121,0.3,0.544,0.01,14,spilled about 5 mL,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_4m_R2_F4_19Jun23,1.014,0.111,0.124,0.3,0.544,0.013,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R1_F1_19Jun23,1.003,0.112,0.132,0.3,0.58,0.02,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R1_F2_19Jun23,1.019,0.112,0.133,0.3,0.58,0.021,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R1_F3_19Jun23,1.012,0.112,0.136,0.3,0.58,0.024,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R1_F4_19Jun23,1.016,0.11,0.135,0.3,0.58,0.025,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R2_F1_19Jun23,1.016,0.111,0.131,0.15,1.188,0.02,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R2_F2_19Jun23,1.016,0.111,0.127,0.15,1.188,0.016,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R2_F3_19Jun23,1.022,0.112,0.124,0.15,1.188,0.012,14,,,,,,,,,,,,,,,,,
CEW,21Jun23,B_sed_8m_R2_F4_19Jun23,0.979,0.111,0.127,0.15,1.188,0.016,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R1_F1_03Jul23,0.986,0.111,0.118,0.202,0.9,0.007,14,"water was slightly frozen and small ice chunks were in the bottle, tried to not get any ice in filter sample",,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R1_F2_03Jul23,1.011,0.112,0.121,0.198,0.9,0.009,14,"water was slightly frozen and small ice chunks were in the bottle, tried to not get any ice in filter sample",,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R1_F3_03Jul23,1.021,0.114,0.12,0.204,0.9,0.006,14,"water was slightly frozen and small ice chunks were in the bottle, tried to not get any ice in filter sample",,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R1_F4_03Jul23,1.011,0.112,0.119,0.2,0.9,0.007,14,"water was slightly frozen and small ice chunks were in the bottle, tried to not get any ice in filter sample",,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R2_F1_03Jul23,0.976,0.111,0.12,0.2,1.03,0.009,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R2_F2_03Jul23,1.007,0.111,0.118,0.196,1.03,0.007,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R2_F3_03Jul23,1.013,0.109,0.097,0.2,1.03,-0.012,14,large chunks of something,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_4m_R2_F4_03Jul23,0.998,0.107,0.118,0.196,1.03,0.011,14,large chunks of something,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R1_F1_03Jul23,0.983,0.109,0.119,0.94,1.39,0.01,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R1_F2_03Jul23,0.981,0.111,0.117,0.96,1.39,0.006,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R1_F3_03Jul23,0.994,0.111,0.117,0.98,1.39,0.006,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R1_F4_03Jul23,1.001,0.111,0.116,0.1,1.39,0.005,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R2_F1_03Jul23,1,0.111,0.119,0.102,1.388,0.008,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R2_F2_03Jul23,1.006,0.11,0.119,0.112,1.388,0.009,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R2_F3_03Jul23,0.992,0.11,0.14,0.1,1.388,0.03,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,F_sed_8m_R2_F4_03Jul23,0.994,0.11,0.118,0.106,1.388,0.008,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R1_F1_03Jul23,0.993,0.11,0.122,0.246,0.815,0.012,14,large chunks of something,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R1_F2_03Jul23,0.999,0.112,0.121,0.252,0.815,0.009,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R1_F3_03Jul23,1.02,0.111,0.121,0.252,0.815,0.01,14,,,,,,,,,,,,,,,,,
AGL,05Jul23,B_sed_4m_R1_F4_03Jul23,1.027,0.111,0.122,0.246,0.815,0.011,14,,,,,,,,,,,,,,,,,
