Site Name,FCR IN FLO
Isco Quantity,Sample Event
Label,Sample Event
Units,SU
Resolution, 0.1 
Significant Digits,0

9/18/2019 2:42:00 AM,0
9/18/2019 7:26:00 PM,0
9/19/2019 12:20:00 PM,0
9/20/2019 5:18:00 AM,0
9/21/2019 12:58:00 PM,0
9/22/2019 8:57:00 AM,0
9/23/2019 7:04:00 AM,0
9/24/2019 5:46:00 AM,0
9/25/2019 4:39:00 AM,0
9/26/2019 3:18:00 AM,0
9/27/2019 2:44:00 AM,0
9/28/2019 2:46:00 PM,0
9/29/2019 1:36:00 PM,0
9/30/2019 2:06:00 PM,0
10/1/2019 1:04:00 PM,0
10/2/2019 12:57:00 PM,0
10/3/2019 2:38:00 PM,0
10/5/2019 5:53:00 PM,0
10/6/2019 12:45:00 PM,0
10/7/2019 9:41:00 AM,0
10/8/2019 7:51:00 AM,0
10/9/2019 12:27:00 AM,0
10/9/2019 8:18:00 PM,0
10/10/2019 5:16:00 PM,0
10/12/2019 12:30:00 PM,0
10/13/2019 11:12:00 AM,0
10/14/2019 9:21:00 AM,0
10/15/2019 8:31:00 AM,0
10/16/2019 7:49:00 AM,0
10/17/2019 3:13:00 AM,0
10/18/2019 12:05:00 AM,0
10/18/2019 9:52:00 PM,0
10/19/2019 7:40:00 PM,0
10/20/2019 5:26:00 AM,0
10/20/2019 7:52:00 AM,0
10/20/2019 11:41:00 AM,0
10/20/2019 10:32:00 PM,0
10/21/2019 2:29:00 PM,0
10/22/2019 7:48:00 AM,0
10/22/2019 3:50:00 PM,0
10/23/2019 1:23:00 AM,0
10/24/2019 6:28:00 AM,0
10/25/2019 12:51:00 AM,0
10/25/2019 7:40:00 PM,0
10/26/2019 2:32:00 PM,0
10/27/2019 4:44:00 AM,0
10/27/2019 8:35:00 AM,0
10/27/2019 1:23:00 PM,0
10/27/2019 11:22:00 PM,0
10/28/2019 12:36:00 PM,0
10/29/2019 4:16:00 AM,0
10/29/2019 8:56:00 PM,0
10/30/2019 10:51:00 PM,0
10/31/2019 8:00:00 AM,0
10/31/2019 6:15:00 PM,0
10/31/2019 7:49:00 PM,0
10/31/2019 10:09:00 PM,0
11/1/2019 2:20:00 AM,0
11/1/2019 8:33:00 AM,0
11/1/2019 4:53:00 PM,0
11/2/2019 3:02:00 AM,0
11/2/2019 2:54:00 PM,0
11/3/2019 4:10:00 AM,0
11/3/2019 6:36:00 PM,0
11/4/2019 9:46:00 AM,0
11/5/2019 1:37:00 AM,0
11/5/2019 5:43:00 PM,0
11/6/2019 10:11:00 AM,0
11/7/2019 2:56:00 AM,0
11/7/2019 7:33:00 PM,0
11/8/2019 12:29:00 PM,0
11/9/2019 11:35:00 AM,0
