"Reservoir","Site","Date","Rep","Start_time","End_time","Temp_C","co2_slope_ppmS","co2_R2","co2_flux_umolCm2s","ch4_slope_ppmS","ch4_R2","ch4_flux_umolCm2s","Flag_co2_flux_umolCm2s","Flag_ch4_flux_umolCm2s"
"BVR",50,2001-12-31,11,NA,NA,31.89,0.102,0.91,0.586,0.001,0.99,0.006,0,0
"BVR",50,2001-12-31,12,NA,NA,33.25,0.096,0.89,0.549,0.001,0.98,0.006,1,0
"BVR",1,2001-12-31,13,NA,NA,27.54,0.099,0.78,0.577,0.004,0.98,0.023,1,0
"BVR",1,2001-12-31,14,NA,NA,29.47,0.115,0.89,0.666,0.006,0.95,0.035,1,0
"BVR",50,2001-12-31,13,NA,NA,32.93,0.152,0.92,0.87,0.004,0.95,0.023,0,0
"BVR",50,2001-12-31,14,NA,NA,34.7,0.159,0.95,0.905,0.005,0.99,0.028,0,0
"FCR",10,2018-05-07,1,"10:15:42","10:19:41",25.61,1.02,0.97,5.983,0.033,0.97,0.194,0,0
"FCR",10,2018-05-07,2,"10:22:30","10:26:29",26.3,0.892,0.98,5.22,0.027,0.98,0.158,0,0
"FCR",20,2018-05-07,1,"10:52:52","10:56:51",28.97,0.786,0.99,4.559,0.027,0.99,0.157,0,0
"FCR",30,2018-05-07,1,"11:04:09","11:08:07",29.84,1.014,0.95,5.865,0.034,0.95,0.197,0,0
"FCR",30,2018-05-07,2,"11:09:57","11:13:56",30.04,1.528,0.99,8.832,0.05,0.99,0.289,0,0
"FCR",45,2018-05-07,1,"11:30:31","11:34:30",29.91,1.044,0.95,6.037,0.03,0.95,0.173,0,0
"FCR",45,2018-05-07,2,"11:36:40","11:40:38",30.28,0.855,0.98,4.938,0.025,0.98,0.144,0,0
"FCR",50,2018-05-07,1,"11:57:24","12:01:23",30.76,0.935,0.99,5.392,0.029,0.99,0.167,0,0
"FCR",50,2018-05-07,2,"12:02:42","12:06:41",30.66,0.786,0.99,4.534,0.025,0.99,0.144,0,0
"FCR",10,2018-05-14,1,"11:41:12","11:45:11",36.83,0.033,0.96,0.187,0.004,0.94,0.023,0,0
"FCR",10,2018-05-14,2,"11:58:47","12:02:46",38.2,0.035,0.94,0.197,0.003,0.93,0.017,0,0
"FCR",20,2018-05-14,1,"12:11:23","12:15:22",39.25,0.038,0.95,0.213,0.003,0.95,0.017,0,0
"FCR",20,2018-05-14,2,"12:23:40","12:27:39",39.96,0.043,0.97,0.241,0.004,0.95,0.022,0,0
"FCR",30,2018-05-14,1,"12:40:26","12:44:24",39.16,0.07,0.97,0.393,0.005,0.98,0.028,0,0
"FCR",30,2018-05-14,2,"12:52:02","12:56:01",38.38,0.043,0.96,0.242,0.003,0.95,0.017,0,0
"FCR",45,2018-05-14,1,"13:00:20","13:04:19",38.81,0.048,0.97,0.27,0.003,0.97,0.017,0,0
"FCR",45,2018-05-14,2,"13:15:06","13:19:05",39.95,0.083,0.99,0.465,0.004,0.99,0.022,0,0
"FCR",50,2018-05-14,1,"13:24:04","13:28:03",40.31,0.035,0.97,0.196,0.002,0.97,0.011,0,0
"FCR",50,2018-05-14,2,"13:30:32","13:34:31",40.57,0.048,0.98,0.268,0.002,0.98,0.011,0,0
"FCR",10,2018-05-21,1,"12:17:22","12:21:20",35.72,0.097,0.94,0.55,0.005,0.79,0.028,0,1
"FCR",10,2018-05-21,2,"12:26:59","12:30:58",35.97,0.136,0.97,0.771,0.003,0.98,0.017,0,0
"FCR",20,2018-05-21,1,"12:48:13","12:52:12",36.8,0.13,0.99,0.735,0.003,0.98,0.017,0,0
"FCR",20,2018-05-21,2,"13:01:09","13:05:08",37.25,0.084,0.98,0.474,0.002,0.98,0.011,0,0
"FCR",30,2018-05-21,1,"13:25:43","13:29:42",37.98,0.069,0.82,0.389,0.002,0.84,0.011,1,1
"FCR",30,2018-05-21,2,"13:34:10","13:38:09",37.86,0.101,0.97,0.569,0.002,0.97,0.011,0,0
"FCR",45,2018-05-21,1,"13:54:15","13:58:14",37.92,0.172,0.99,0.969,0.004,0.99,0.023,0,0
"FCR",45,2018-05-21,2,"14:04:12","14:08:11",38.23,0.134,1,0.754,0.003,1,0.017,0,0
"FCR",50,2018-05-21,1,"14:23:07","14:27:06",38.45,0.18,0.96,1.012,0.005,0.96,0.028,0,0
"FCR",50,2018-05-21,2,"14:30:45","14:34:44",38.4,0.176,0.98,0.99,0.004,0.98,0.023,0,0
"BVR",50,2018-05-24,1,"12:00:26","12:04:25",33.49,0.006,0.93,0.034,0.001,0.99,0.006,0,0
"BVR",50,2018-05-24,2,"12:07:04","12:11:03",33.99,0.004,0.81,0.023,0.001,0.93,0.006,1,0
"FCR",10,2018-05-28,1,"11:20:03","11:24:02",31.85,0.065,0.96,0.373,0.003,0.92,0.017,0,0
"FCR",10,2018-05-28,2,"11:31:10","11:35:09",33.2,0.062,0.99,0.355,0.003,1,0.017,0,0
"FCR",20,2018-05-28,1,"11:45:36","11:49:35",33.46,0.071,0.95,0.406,0.003,0.95,0.017,0,0
"FCR",20,2018-05-28,2,"12:00:52","12:04:51",33.51,0.032,0.98,0.183,0.002,0.99,0.011,0,0
"FCR",30,2018-05-28,1,"12:11:39","12:15:38",33.75,0.024,0.97,0.137,0.001,0.98,0.006,0,0
"FCR",30,2018-05-28,2,"12:18:07","12:22:06",34.16,0.033,0.99,0.188,0.002,0.99,0.011,0,0
"FCR",45,2018-05-28,1,"12:34:12","12:38:11",34.48,0.017,0.96,0.097,0.001,0.97,0.006,0,0
"FCR",45,2018-05-28,2,"12:42:40","12:46:39",34.65,0.031,0.9,0.176,0.003,0.92,0.017,0,0
"FCR",50,2018-05-28,1,"13:01:15","13:05:14",34.02,0.027,0.99,0.154,0.002,0.99,0.011,0,0
"FCR",50,2018-05-28,2,"13:08:53","13:12:52",33.77,0.029,0.86,0.166,0.002,0.88,0.011,1,1
"FCR",10,2018-07-02,1,"14:18:52","14:22:51",38.07,-0.005,0.57,-0.028,0.032,0.18,0.18,1,1
"FCR",10,2018-07-02,2,"14:27:35","14:31:34",38.65,-0.008,0.74,-0.045,0.009,0.62,0.051,1,1
"FCR",20,2018-07-02,1,"14:35:43","14:39:42",38.94,-0.004,0.25,-0.022,0.06,0.44,0.337,1,1
"FCR",30,2018-07-05,1,"12:29:54","12:34:53",34.11,-0.012,0.71,-0.068,0.004,0.96,0.023,1,0
"FCR",30,2018-07-05,2,"12:41:01","12:46:00",36.83,-0.022,0.95,-0.124,0.005,0.95,0.028,0,0
"FCR",45,2018-07-05,1,"12:47:39","12:52:38",37.92,-0.014,0.83,-0.079,0.004,0.98,0.023,1,0
"FCR",45,2018-07-05,2,"12:57:47","13:02:45",39.41,-0.013,0.69,-0.073,0.002,0.98,0.011,1,0
"FCR",50,2018-07-05,1,"13:04:25","13:09:24",39.7,-0.02,0.49,-0.112,0.004,0.94,0.022,1,0
"FCR",50,2018-07-05,2,"13:14:02","13:19:01",40.42,-0.026,0.6,-0.145,0.004,0.98,0.022,1,0
"FCR",10,2018-07-16,1,"11:00:44","11:04:42",33.59,-0.039,0.99,-0.223,0.005,0.98,0.029,0,0
"FCR",10,2018-07-16,2,"11:10:41","11:14:40",34.63,-0.033,0.98,-0.188,0.004,0.89,0.023,0,1
"FCR",20,2018-07-16,1,"11:21:58","11:25:56",35.41,-0.038,0.98,-0.216,0.004,0.98,0.023,0,0
"FCR",20,2018-07-16,2,"11:29:45","11:33:44",35.92,-0.044,0.98,-0.249,0.004,0.97,0.023,0,0
"FCR",30,2018-07-16,1,"11:42:32","11:46:31",37.55,-0.019,0.93,-0.107,0.001,0.91,0.006,0,0
"FCR",30,2018-07-16,2,"11:49:00","11:52:59",38.55,-0.028,0.98,-0.157,0.002,0.97,0.011,0,0
"FCR",45,2018-07-16,1,"11:58:47","12:02:46",39.94,-0.038,0.99,-0.213,0.002,0.98,0.011,0,0
"FCR",45,2018-07-16,2,"12:07:35","12:11:34",40.6,-0.047,0.98,-0.263,0.003,0.99,0.017,0,0
"FCR",50,2018-07-16,1,"12:16:22","12:20:21",41.15,-0.034,0.98,-0.19,0.002,0.98,0.011,0,0
"FCR",50,2018-07-16,2,"12:23:00","12:26:59",41.55,-0.032,0.89,-0.178,0.001,0.97,0.006,1,0
"FCR",10,2018-07-23,1,"10:19:25","10:23:24",28.09,-0.044,0.85,-0.256,0.009,0.78,0.052,1,1
"FCR",10,2018-07-23,2,"10:30:12","10:34:11",29.21,-0.029,0.99,-0.168,0.01,0.78,0.058,0,1
"FCR",20,2018-07-23,1,"10:42:09","10:46:08",29.92,-0.03,0.99,-0.173,0.002,0.98,0.012,0,0
"FCR",20,2018-07-23,2,"10:50:17","10:54:16",30.28,-0.016,0.97,-0.092,0.001,0.92,0.006,0,0
"FCR",30,2018-07-23,1,"11:01:04","11:05:03",30.91,-0.022,0.9,-0.127,0.001,0.9,0.006,0,0
"FCR",30,2018-07-23,2,"11:07:12","11:11:11",31.29,-0.044,0.99,-0.253,0.002,0.99,0.012,0,0
"FCR",45,2018-07-23,1,"11:16:20","11:20:19",31.66,-0.037,0.93,-0.213,0.001,0.95,0.006,0,0
"FCR",45,2018-07-23,2,"11:22:58","11:26:57",31.9,-0.048,0.99,-0.276,0.002,0.99,0.011,0,0
"FCR",50,2018-07-23,1,"11:32:15","11:36:14",32.19,-0.046,0.99,-0.264,0.002,0.97,0.011,0,0
"FCR",50,2018-07-23,2,"11:38:04","11:42:03",32.4,-0.023,0.99,-0.132,0.001,0.99,0.006,0,0
"FCR",10,2018-07-30,1,"09:15:47","09:19:46",26.74,-0.048,0.94,-0.28,0.032,0.73,0.187,0,1
"FCR",10,2018-07-30,2,"09:27:34","09:31:33",28.02,-0.053,0.99,-0.308,0.032,0.95,0.186,0,0
"FCR",20,2018-07-30,1,"09:34:52","09:38:51",28.46,-0.057,0.99,-0.331,0.023,0.82,0.134,0,1
"FCR",20,2018-07-30,2,"09:45:49","09:49:48",28.96,-0.048,1,-0.278,0.001,0.99,0.006,0,0
"FCR",30,2018-07-30,1,"09:56:46","10:00:45",29.38,-0.045,0.99,-0.261,0.001,0.98,0.006,0,0
"FCR",30,2018-07-30,2,"10:05:53","10:09:52",29.75,-0.031,0.97,-0.179,0,0.97,0,0,0
"FCR",45,2018-07-30,1,"10:14:51","10:18:50",30.14,-0.041,0.99,-0.237,0.001,0.95,0.006,0,0
"FCR",45,2018-07-30,2,"10:22:49","10:26:48",30.25,-0.038,0.98,-0.219,0.001,0.95,0.006,0,0
"FCR",50,2018-07-30,1,"10:33:56","10:37:54",30.23,-0.056,1,-0.323,0.001,0.99,0.006,0,0
"FCR",50,2018-07-30,2,"10:44:52","10:48:51",30.19,-0.035,0.99,-0.202,0,0.97,0,0,0
"FCR",10,2018-09-03,1,"10:41:24","10:45:23",30.14,-0.005,0.11,-0.029,0.003,0.91,0.017,1,0
"FCR",10,2018-09-03,2,"10:55:30","10:59:29",33.12,-0.009,0.85,-0.051,0.005,0.86,0.029,1,1
"FCR",20,2018-09-03,1,"11:06:27","11:10:26",34.66,-0.009,0.35,-0.051,0.006,0.75,0.034,1,1
"FCR",20,2018-09-03,2,"11:28:01","11:32:00",37.73,-0.015,0.91,-0.085,0.002,0.94,0.011,0,0
"FCR",30,2018-09-03,1,"11:52:25","11:56:24",39.21,-0.022,0.97,-0.123,0.003,0.97,0.017,0,0
"FCR",30,2018-09-03,2,"12:06:51","12:10:50",40.07,-0.035,0.98,-0.196,0.003,0.98,0.017,0,0
"FCR",45,2018-09-03,1,"12:26:25","12:30:24",40.68,-0.018,0.97,-0.101,0.004,0.98,0.022,0,0
"FCR",45,2018-09-03,2,"12:44:30","12:48:29",41.48,-0.025,0.92,-0.139,0.003,0.89,0.017,0,1
"FCR",50,2018-09-03,1,"12:51:28","12:55:27",41.76,-0.013,0.09,-0.072,0.003,0.93,0.017,1,0
"FCR",50,2018-09-03,2,"12:59:26","13:03:25",42,-0.018,0.97,-0.1,0.002,0.97,0.011,0,0
"FCR",10,2018-09-17,1,"10:35:49","10:39:48",26.49,0.218,1,1.275,0.002,1,0.012,0,0
"FCR",10,2018-09-17,2,"10:53:14","10:57:13",28.96,0.117,0.98,0.679,0.001,0.97,0.006,0,0
"FCR",20,2018-09-17,1,"11:02:52","11:06:50",29.77,0.251,0.99,1.452,0.002,0.99,0.012,0,0
"FCR",20,2018-09-17,2,"11:20:47","11:24:45",30.8,0.292,0.99,1.684,0.003,0.99,0.017,0,0
"FCR",30,2018-09-17,1,"11:45:30","11:49:29",32.1,0.214,1,1.229,0.002,1,0.011,0,0
"FCR",30,2018-09-17,2,"11:59:26","12:03:25",32.99,0.246,1,1.408,0.002,1,0.011,0,0
"FCR",45,2018-09-17,1,"12:19:00","12:22:59",34.73,0.192,0.99,1.093,0.002,0.99,0.011,0,0
"FCR",45,2018-09-17,2,"12:36:15","12:40:14",35.57,0.185,0.99,1.05,0.002,0.99,0.011,0,0
"FCR",50,2018-09-17,1,"12:48:42","12:52:41",36.49,0.341,0.99,1.93,0.003,0.99,0.017,0,0
"FCR",50,2018-09-17,2,"12:55:20","12:59:19",36.86,0.262,0.98,1.481,0.002,0.98,0.011,0,0
"BVR",50,2018-09-21,1,"13:18:44","13:22:43",28.94,-0.001,0.34,-0.006,0.001,0.95,0.006,1,0
"BVR",50,2018-09-21,2,"13:26:51","13:30:50",31.14,0,0.22,0,0.001,0.95,0.006,1,0
"FCR",10,2018-10-01,1,"10:08:51","10:12:50",27.19,0.031,0.94,0.181,0,0.85,0,0,1
"FCR",10,2018-10-01,2,"10:28:31","10:32:30",29.55,0.045,0.92,0.261,0,0.94,0,0,0
"FCR",20,2018-10-01,1,"10:35:39","10:39:38",30.21,0.177,0.99,1.023,0,0.99,0,0,0
"FCR",20,2018-10-01,2,"10:48:36","10:52:35",30.49,0.133,0.99,0.768,0,0.99,0,0,0
"FCR",30,2018-10-01,1,"10:58:33","11:02:32",30.67,0.173,1,0.998,0.001,1,0.006,0,0
"FCR",30,2018-10-01,2,"11:12:59","11:16:58",30.68,0.225,0.99,1.298,0.001,1,0.006,0,0
"FCR",45,2018-10-01,1,"11:20:27","11:24:26",30.83,0.137,0.99,0.79,0,0.99,0,0,0
"FCR",45,2018-10-01,2,"11:36:42","11:40:41",31.4,0.144,0.99,0.829,0,0.99,0,0,0
"FCR",50,2018-10-01,1,"11:44:30","11:48:29",31.65,0.108,0.97,0.621,0,0.97,0,0,0
"FCR",50,2018-10-01,2,"11:51:58","11:55:57",31.75,0.084,0.87,0.483,0,0.87,0,1,1
"BVR",50,2018-10-05,1,"13:46:04","13:50:03",26.97,-0.022,0.96,-0.128,0.001,0.97,0.006,0,0
"BVR",50,2018-10-05,2,"13:55:11","13:59:10",29.24,-0.013,0.97,-0.075,0,0.97,0,0,0
"FCR",10,2018-10-08,1,"09:49:05","09:53:04",27.48,0.069,0.99,0.402,0.001,0.99,0.006,0,0
"FCR",20,2018-10-08,1,"10:25:45","10:29:44",30.21,0.066,0.98,0.381,0.009,0.34,0.052,0,1
"FCR",30,2018-10-08,1,"10:40:11","10:44:10",30.91,0.053,0.99,0.305,0.001,0.99,0.006,0,0
"FCR",30,2018-10-08,2,"10:56:06","11:00:05",32.09,0.057,0.98,0.327,0.001,0.97,0.006,0,0
"FCR",45,2018-10-08,1,"11:03:54","11:07:53",32.2,0.044,0.97,0.253,0.001,0.97,0.006,0,0
"FCR",45,2018-10-08,2,"11:20:40","11:24:39",32.45,0.024,0.99,0.138,0,0.99,0,0,0
"FCR",50,2018-10-08,1,"11:32:27","11:36:26",32.8,0.014,0.83,0.08,0,0.82,0,1,1
"FCR",50,2018-10-08,2,"11:38:55","11:42:54",33.13,0.01,0.73,0.057,0,0.03,0,1,1
"BVR",50,2018-10-19,1,"12:58:49","13:02:48",23.6,0.191,0.99,1.128,0.005,1,0.03,0,0
"BVR",50,2018-10-19,2,"13:07:07","13:11:06",24.6,0.209,0.99,1.23,0.005,0.99,0.029,0,0
"FCR",10,2018-10-22,1,"10:15:59","10:19:58",18.05,0.268,0.97,1.613,0,0.97,0,0,0
"FCR",10,2018-10-22,2,"10:37:03","10:41:02",18.48,0.278,0.97,1.671,0,0.98,0,0,0
"FCR",20,2018-10-22,1,"10:46:01","10:49:59",18.46,0.732,0.95,4.399,0.001,0.95,0.006,0,0
"FCR",20,2018-10-22,2,"10:57:07","11:01:06",18.75,0.255,0.97,1.531,0,0.98,0,0,0
"FCR",30,2018-10-22,1,"11:07:35","11:11:33",18.54,0.33,0.99,1.983,0.001,1,0.006,0,0
"FCR",30,2018-10-22,2,"11:18:32","11:22:30",18.77,0.479,0.98,2.876,0.002,0.98,0.012,0,0
"FCR",45,2018-10-22,1,"11:26:59","11:30:58",18.59,0.465,0.99,2.793,0.008,0.99,0.048,0,0
"FCR",45,2018-10-22,2,"11:38:36","11:42:35",18.99,0.409,0.99,2.453,0.007,0.99,0.042,0,0
"FCR",50,2018-10-22,1,"11:47:34","11:51:33",19.41,0.441,0.97,2.642,0.009,0.97,0.054,0,0
"FCR",50,2018-10-22,2,"11:59:00","12:02:59",20.31,0.462,0.97,2.759,0.007,0.97,0.042,0,0
"BVR",50,2018-11-02,1,"13:02:43","13:06:42",23.99,0.149,0.99,0.879,0,0.99,0,0,0
"BVR",50,2018-11-02,2,"13:09:51","13:13:50",24.09,0.078,0.96,0.46,0,0.96,0,0,0
"FCR",50,2019-05-20,1,"11:14:40","11:17:10",28.17,0.05,0.93,0.291,0.004,0.99,0.023,0,0
"FCR",50,2019-05-20,2,"11:20:00","11:22:29",29.47,0.046,0.96,0.266,0.003,0.97,0.017,0,0
"FCR",50,2019-06-06,1,"10:28:03","10:34:01",27.43,-0.034,0.99,-0.198,0.002,0.99,0.012,0,0
"FCR",50,2019-06-06,2,"10:36:20","10:42:19",28.8,-0.031,0.99,-0.18,0.002,0.99,0.012,0,0
"FCR",50,2019-06-17,1,"11:24:47","11:28:46",32.07,-0.04,1,-0.23,0.002,1,0.011,0,0
"FCR",50,2019-06-17,2,"11:31:10","11:35:09",33.12,-0.045,0.99,-0.257,0.002,0.99,0.011,0,0
"FCR",50,2019-06-24,1,"10:48:58","10:52:57",31.98,-0.043,0.98,-0.247,0.002,0.97,0.011,0,0
"FCR",50,2019-06-24,2,"10:54:17","10:58:16",32.59,-0.039,0.99,-0.224,0.002,0.99,0.011,0,0
"FCR",50,2019-07-01,1,"12:28:46","12:32:45",32.79,-0.039,0.99,-0.223,0.003,0.99,0.017,0,0
"FCR",50,2019-07-01,2,"12:34:50","12:38:49",34.2,-0.055,0.98,-0.314,0.005,0.97,0.029,0,0
"FCR",50,2019-07-08,1,"13:25:21","13:29:20",33.18,-0.031,0.99,-0.177,0.004,0.98,0.023,0,0
"FCR",50,2019-07-08,2,"13:31:44","13:35:43",34.73,-0.05,0.98,-0.285,0.007,0.97,0.04,0,0
"FCR",50,2019-07-15,1,"10:53:08","10:57:07",28.84,-0.019,0.95,-0.11,0.002,0.9,0.012,0,0
"FCR",50,2019-07-15,2,"11:01:45","11:05:44",31.18,-0.015,0.84,-0.086,0.002,0.94,0.012,1,0
"FCR",50,2019-07-29,1,"10:32:55","10:36:53",27.26,-0.051,0.98,-0.298,0.004,0.98,0.023,0,0
"FCR",50,2019-07-29,2,"10:39:38","10:43:37",29.55,-0.03,0.93,-0.174,0.001,0.95,0.006,0,0
"FCR",50,2019-08-05,1,"11:33:50","11:37:49",29.71,-0.022,0.99,-0.127,0.001,0.99,0.006,0,0
"FCR",50,2019-08-05,2,"11:43:27","11:47:26",31.14,-0.023,0.99,-0.132,0.002,0.98,0.012,0,0
"FCR",50,2019-08-28,1,"15:47:48","15:51:47",34.26,-0.055,1,-0.314,0.002,1,0.011,0,0
"FCR",50,2019-08-28,2,"16:00:04","16:04:03",35.43,-0.039,0.99,-0.221,0.001,0.98,0.006,0,0
"FCR",50,2019-09-02,1,"10:49:01","10:53:00",28.6,-0.003,0.76,-0.017,0.001,0.97,0.006,1,0
"FCR",50,2019-09-02,2,"10:55:00","10:58:59",29.95,-0.004,0.94,-0.023,0.001,0.99,0.006,0,0
"FCR",50,2019-09-20,1,"13:28:34","13:32:32",25.92,0.175,0.98,1.025,0.014,0.91,0.082,0,0
"FCR",50,2019-09-20,2,"13:38:11","13:42:10",27.04,0.133,0.99,0.776,0.007,0.99,0.041,0,0
"FCR",50,2019-10-11,1,"14:11:52","14:15:51",30.07,0.076,0.96,0.439,0,0.97,0,0,0
"FCR",50,2019-10-11,2,"14:16:56","14:20:55",30.46,0.105,0.99,0.606,0,0.99,0,0,0
"FCR",50,2019-10-16,1,"10:27:54","10:31:53",16.02,0.237,0.99,1.436,0.064,0.59,0.388,0,1
"FCR",50,2019-10-16,2,"10:34:10","10:38:09",16.66,0.185,0.99,1.119,0.001,0.01,0.006,0,1
"FCR",50,2020-07-06,1,"13:26:04","13:30:03",33.83,0.051,0.98,0.291,0.007,0.97,0.04,0,0
"FCR",50,2020-07-06,2,"13:41:15","13:45:14",37.13,0.072,0.99,0.407,0.008,0.99,0.045,0,0
"FCR",50,2020-07-13,1,"13:04:43","13:08:42",34.67,0.025,0.98,0.142,0.003,1,0.017,0,0
"FCR",50,2020-07-13,2,"13:11:33","13:15:32",36.2,0.046,0.85,0.261,0.005,0.86,0.028,1,1
"FCR",50,2020-07-20,1,"11:02:36","11:06:35",37.15,-0.04,0.98,-0.226,0.004,0.99,0.023,0,0
"FCR",50,2020-07-20,2,"11:08:08","11:12:07",37.94,-0.062,0.99,-0.349,0.007,0.98,0.039,0,0
"FCR",50,2020-07-27,1,"09:59:06","10:03:05",30.64,-0.077,0.95,-0.444,0.012,0.96,0.069,0,0
"FCR",50,2020-07-27,2,"10:07:18","10:11:16",32.53,-0.078,0.98,-0.447,0.003,0.98,0.017,0,0
"FCR",50,2020-08-10,1,"13:22:46","13:26:45",38.06,-0.029,0.59,-0.163,0.003,0.7,0.017,1,1
"FCR",50,2020-08-10,2,"13:26:36","13:30:35",38.32,-0.057,0.97,-0.321,0.004,0.95,0.023,0,0
"FCR",50,2020-08-24,1,"12:42:30","12:46:29",31.45,-0.025,0.97,-0.144,0.002,0.98,0.012,0,0
"FCR",50,2020-08-24,2,"12:54:33","12:58:32",33.04,-0.047,0.99,-0.269,0.004,1,0.023,0,0
"FCR",50,2020-09-02,1,"12:43:34","12:47:33",36.09,-0.013,0.92,-0.074,0.003,0.98,0.017,0,0
"FCR",50,2020-09-02,2,"12:55:37","12:59:36",36.93,-0.01,0.91,-0.057,0.002,0.99,0.011,0,0
"FCR",50,2020-09-11,1,"08:13:43","08:17:42",25.73,-0.05,0.99,-0.293,0.001,0.98,0.006,0,0
"FCR",50,2020-09-11,2,"08:22:30","08:26:29",27.12,-0.055,0.99,-0.321,0.001,0.96,0.006,0,0
"FCR",50,2020-10-30,1,"11:40:14","11:44:13",20.3,0.018,0.89,0.107,0.001,0.91,0.006,1,0
"FCR",50,2020-10-30,2,"11:51:45","11:55:44",20.55,0.045,0.98,0.269,-0.003,0.02,-0.018,0,1
"FCR",50,2021-04-26,1,"14:10:07","14:14:06",25.88,0.01,0.98,0.059,0.001,0.98,0.006,0,0
"FCR",50,2021-04-26,2,"14:21:59","14:25:58",27.23,0.005,0.94,0.029,0.001,0.97,0.006,0,0
"BVR",50,2022-06-13,1,NA,NA,37.31,-0.074,0.9,-0.418,0.001,0.97,0.006,0,0
"BVR",50,2022-06-13,2,NA,NA,38.03,-0.069,0.9,-0.389,0.001,0.98,0.006,0,0
"BVR",1,2022-06-13,1,NA,NA,35.51,-0.076,0.9,-0.432,0.003,0.97,0.017,0,0
"BVR",1,2022-06-13,2,NA,NA,35.83,-0.1,0.96,-0.567,0.005,0.97,0.028,0,0
"BVR",1,2022-06-13,3,NA,NA,34.01,-0.107,0.85,-0.61,0.004,0.99,0.023,1,0
"BVR",1,2022-06-13,4,NA,NA,34.31,-0.088,0.83,-0.502,0.003,0.99,0.017,1,0
"BVR",1,2022-06-20,1,NA,NA,25.5,-0.041,0.76,-0.241,0.001,0.95,0.006,1,0
"BVR",1,2022-06-20,2,NA,NA,27.29,-0.044,0.77,-0.257,0.001,0.98,0.006,1,0
