"","Reservoir","Site","DateTime","Depth_m","Rep","ch4_umolL","co2_umolL","flag_ch4","flag_co2"
"159","FCR",50,2015-06-01,6.2,1,0.197509315,79.01799653,1,1
"160","FCR",50,2015-06-01,6.2,1,0.128437777,56.51818878,2,1
"161","FCR",50,2015-06-01,6.2,2,0.117651012,81.42974935,2,1
"162","FCR",50,2015-06-01,6.2,2,0.137033703,73.28014981,1,1
"163","FCR",50,2015-06-01,8,1,0.083208787,74.10970336,1,1
"164","FCR",50,2015-06-01,8,1,0.115442039,94.92514914,2,1
"165","FCR",50,2015-06-01,8,2,0.063852344,98.97019896,2,1
"166","FCR",50,2015-06-01,8,2,0.061668723,121.4590793,2,1
"167","FCR",50,2015-06-01,9,1,0.13139621,85.34545876,2,1
"168","FCR",50,2015-06-01,9,1,0.123387848,101.7755393,2,1
"169","FCR",50,2015-06-01,9,2,0.075710131,109.2807228,2,1
"170","FCR",50,2015-06-01,9,2,0.073194004,104.9010691,2,1
"171","FCR",100,2015-06-01,0.1,1,0.01723635,11.33803376,2,1
"172","FCR",100,2015-06-01,0.1,2,0.017339655,12.5123319,1,1
"173","FCR",50,2015-06-08,0.1,1,0.399757457,12.13485534,1,1
"174","FCR",50,2015-06-08,0.1,2,0.414714016,12.15414927,1,1
"175","FCR",50,2015-06-08,1.6,1,0.500936559,12.23133922,1,1
"176","FCR",50,2015-06-08,1.6,2,0.516196415,12.58863873,1,1
"177","FCR",50,2015-06-08,3.8,1,0.097251863,26.40479704,1,1
"178","FCR",50,2015-06-08,3.8,2,0.099153995,25.43117154,1,1
"179","FCR",50,2015-06-08,5,1,0.042838926,56.44471007,1,1
"180","FCR",50,2015-06-08,5,2,0.045606384,51.15036371,1,1
"181","FCR",50,2015-06-08,6.2,1,0.083586319,54.94121304,1,2
"182","FCR",50,2015-06-08,6.2,2,0.087819948,82.4929616,1,2
"183","FCR",50,2015-06-08,8,1,0.189230132,131.022565,1,1
"184","FCR",50,2015-06-08,8,2,0.242905015,147.7661741,1,1
"185","FCR",50,2015-06-08,9,1,0.24460714,119.1723999,1,1
"186","FCR",50,2015-06-08,9,2,0.260824273,88.28788723,1,1
"187","FCR",100,2015-06-08,0.1,1,0.014658047,11.50857689,1,1
"188","FCR",100,2015-06-08,0.1,2,0.020480342,15.3375978,1,1
"189","FCR",50,2015-06-15,0.1,1,0.38359795,9.967701779,1,1
"190","FCR",50,2015-06-15,0.1,2,0.40437513,12.41530285,1,1
"191","FCR",50,2015-06-15,1.6,1,0.428958563,7.562034748,1,1
"192","FCR",50,2015-06-15,1.6,2,NA,NA,4,4
"193","FCR",50,2015-06-15,3.8,1,0.058567342,14.95951591,1,1
"194","FCR",50,2015-06-15,3.8,2,0.06094836,14.86208509,1,1
"195","FCR",50,2015-06-15,5,1,0.113928853,47.40692209,1,1
"196","FCR",50,2015-06-15,5,2,0.14663987,48.50880033,1,1
"197","FCR",50,2015-06-15,6.2,1,0.101868788,90.98818577,1,1
"198","FCR",50,2015-06-15,6.2,2,0.100949453,88.25108212,1,1
"199","FCR",50,2015-06-15,8,1,0.123008258,128.2915237,1,1
"200","FCR",50,2015-06-15,8,2,0.126207111,119.9232596,1,1
"201","FCR",50,2015-06-15,9,1,0.133425079,156.0138169,1,1
"202","FCR",50,2015-06-15,9,2,0.125201067,128.6947869,1,1
"203","FCR",100,2015-06-15,0.1,1,0.013365611,9.499805949,1,1
"204","FCR",100,2015-06-15,0.1,2,0.017227937,10.34044078,1,1
"205","FCR",50,2015-06-22,0.1,1,0.382597669,10.15592054,1,1
"206","FCR",50,2015-06-22,0.1,2,0.391231154,10.13460718,1,1
"207","FCR",50,2015-06-22,1.6,1,0.745382982,11.1059748,1,1
"208","FCR",50,2015-06-22,1.6,2,0.684253436,11.82326146,1,1
"209","FCR",50,2015-06-22,3.8,1,0.173176671,8.646622781,1,1
"210","FCR",50,2015-06-22,3.8,2,0.1743523,8.487657958,1,1
"211","FCR",50,2015-06-22,5,1,0.055989014,81.93185514,1,2
"212","FCR",50,2015-06-22,5,2,0.061638,127.4905138,1,2
"213","FCR",50,2015-06-22,6.2,1,0.21917142,64.74716293,1,1
"214","FCR",50,2015-06-22,6.2,2,0.180617487,55.76821925,1,1
"215","FCR",50,2015-06-22,8,1,0.27217078,109.7120865,1,1
"216","FCR",50,2015-06-22,8,2,0.26923804,114.4830709,1,1
"217","FCR",50,2015-06-22,9,1,0.247198731,122.5950083,1,1
"218","FCR",50,2015-06-22,9,2,0.289738393,141.4364063,1,1
"219","FCR",100,2015-06-22,0.1,1,0.025604563,12.39193132,1,2
"220","FCR",100,2015-06-22,0.1,2,0.07112976,7.229706185,1,2
"221","FCR",50,2015-06-29,0.1,1,0.33456998,9.180124985,1,1
"222","FCR",50,2015-06-29,0.1,2,0.328996651,8.948568417,1,1
"223","FCR",50,2015-06-29,1.6,1,0.359256434,10.56288722,1,1
"224","FCR",50,2015-06-29,1.6,2,0.356984983,10.16108448,1,1
"225","FCR",50,2015-06-29,3.8,1,0.168374297,13.10305588,1,2
"226","FCR",50,2015-06-29,3.8,2,0.160336848,9.148537861,1,2
"227","FCR",50,2015-06-29,5,1,0.078118653,59.40995221,1,1
"228","FCR",50,2015-06-29,5,2,0.075097646,55.35940495,1,1
"229","FCR",50,2015-06-29,6.2,1,0.051604137,99.34055811,1,1
"230","FCR",50,2015-06-29,6.2,2,0.056972792,107.2570245,1,1
"231","FCR",50,2015-06-29,8,1,0.096095846,179.7312439,1,1
"232","FCR",50,2015-06-29,8,2,0.07998167,165.9799164,1,1
"233","FCR",50,2015-06-29,9,1,0.06930729,196.4403254,1,1
"234","FCR",50,2015-06-29,9,2,0.065077888,240.3552316,1,1
"235","FCR",100,2015-06-29,0.1,1,0.025604743,14.34405285,1,1
"236","FCR",100,2015-06-29,0.1,2,0.030585694,11.08184103,1,1
"237","FCR",50,2015-07-06,0.1,1,0.449270395,NA,1,4
"238","FCR",50,2015-07-06,0.1,2,0.456399558,NA,1,4
"239","FCR",50,2015-07-06,1.6,1,0.546893718,5.714987639,1,1
"240","FCR",50,2015-07-06,1.6,2,0.527218454,5.872383886,1,1
"241","FCR",50,2015-07-06,3.8,1,0.191360287,15.45811606,1,1
"242","FCR",50,2015-07-06,3.8,2,0.222522951,19.93024096,1,1
"243","FCR",50,2015-07-06,5,1,0.139085583,95.30065356,2,1
"244","FCR",50,2015-07-06,5,2,0.209186089,106.281171,2,1
"245","FCR",50,2015-07-06,6.2,1,0.160046004,234.2743814,1,1
"246","FCR",50,2015-07-06,6.2,2,0.192847662,214.0640999,1,1
"247","FCR",50,2015-07-06,8,1,0.010593332,199.2820114,2,1
"248","FCR",50,2015-07-06,8,2,0.006250281,209.9421728,2,1
"249","FCR",50,2015-07-06,9,1,0.005378278,205.8120801,1,1
"250","FCR",50,2015-07-06,9,2,0.006342064,281.8402696,1,1
"251","FCR",100,2015-07-06,0.1,1,0.019836009,6.787045756,1,1
"252","FCR",100,2015-07-06,0.1,2,NA,NA,4,4
"253","BVR",50,2015-07-09,0.1,1,0.362349521,7.73122619,1,1
"254","BVR",50,2015-07-09,0.1,2,0.482017571,8.17735119,1,1
"255","BVR",50,2015-07-09,6,1,0.107700511,90.10046331,1,1
"256","BVR",50,2015-07-09,6,2,0.108830158,93.00077791,1,1
"257","BVR",50,2015-07-09,11,1,274.1064728,179.3797895,1,1
"258","BVR",50,2015-07-09,11,2,NA,111.193148,4,1
"259","FCR",50,2015-07-13,0.1,1,0.464282455,NA,1,1
"260","FCR",50,2015-07-13,0.1,2,0.38167183,5.799483046,1,1
"261","FCR",50,2015-07-13,1.6,1,0.599967752,NA,1,1
"262","FCR",50,2015-07-13,1.6,2,0.586296868,NA,1,1
"263","FCR",50,2015-07-13,3.8,1,0.26510297,14.24405158,1,1
"264","FCR",50,2015-07-13,3.8,2,0.26056088,11.3309059,1,1
"265","FCR",50,2015-07-13,5,1,1.63447981,141.4168848,1,1
"266","FCR",50,2015-07-13,5,2,2.117567707,147.5766254,1,1
"267","FCR",50,2015-07-13,6.2,1,1.11833853,NA,1,3
"268","FCR",50,2015-07-13,6.2,2,0.983192572,187.2428617,1,1
"269","FCR",50,2015-07-13,8,1,0.143418854,213.4807068,1,1
"270","FCR",50,2015-07-13,8,2,0.168959826,172.1691148,1,1
"271","FCR",50,2015-07-13,9,1,0.121652526,201.7176153,2,1
"272","FCR",50,2015-07-13,9,2,0.244593772,243.8615695,2,1
"273","FCR",100,2015-07-13,0.1,1,0.020361312,13.93656425,2,1
"274","FCR",100,2015-07-13,0.1,2,0.012214594,12.28811875,2,1
"275","FCR",50,2015-07-20,0.1,1,0.476534165,5.630424753,1,1
"276","FCR",50,2015-07-20,0.1,2,NA,NA,4,4
"277","FCR",50,2015-07-20,1.6,1,0.621544814,6.90698783,1,1
"278","FCR",50,2015-07-20,1.6,2,0.644198651,5.620236562,1,1
"279","FCR",50,2015-07-20,3.8,1,0.362599496,25.78327666,1,1
"280","FCR",50,2015-07-20,3.8,2,0.345845095,29.265935,1,1
"281","FCR",50,2015-07-20,5,1,9.988710937,237.8403243,1,1
"282","FCR",50,2015-07-20,5,2,8.626406738,209.0058542,1,1
"283","FCR",50,2015-07-20,6.2,1,1.925800507,158.6201809,1,1
"284","FCR",50,2015-07-20,6.2,2,1.697197566,209.6197858,1,1
"285","FCR",50,2015-07-20,8,1,0.085612405,289.9584101,1,1
"286","FCR",50,2015-07-20,8,2,0.035420644,268.9059896,1,1
"287","FCR",50,2015-07-20,9,1,0.03646865,329.7699875,1,1
"288","FCR",50,2015-07-20,9,2,0.030058253,270.1510184,1,1
"289","FCR",100,2015-07-20,0.1,1,0.019650666,9.447207089,1,1
"290","FCR",100,2015-07-20,0.1,2,0.021151322,11.53172541,1,1
"291","FCR",50,2015-07-23,0.1,1,0.450034303,8.469785827,1,2
"292","FCR",50,2015-07-23,0.1,2,0.487976048,5.818630786,1,2
"293","FCR",50,2015-07-23,6,1,0.049468954,69.58666619,2,1
"294","FCR",50,2015-07-23,6,2,0.162742304,63.18382733,2,1
"295","FCR",50,2015-07-23,11,1,121.6970493,130.7479805,2,2
"296","FCR",50,2015-07-23,11,2,192.3263508,285.770494,2,2
"297","FCR",50,2015-07-27,0.1,1,0.678028761,5.961275204,1,2
"298","FCR",50,2015-07-27,0.1,2,0.700993002,4.325427086,1,2
"299","FCR",50,2015-07-27,1.6,1,0.801132568,6.706288347,1,1
"300","FCR",50,2015-07-27,1.6,2,0.709074563,6.195783668,1,1
"301","FCR",50,2015-07-27,3.8,1,0.383396169,26.75403524,1,1
"302","FCR",50,2015-07-27,3.8,2,0.40190315,31.74282708,1,1
"303","FCR",50,2015-07-27,5,1,11.39874463,125.7250201,1,1
"304","FCR",50,2015-07-27,5,2,10.93020521,124.004953,1,1
"305","FCR",50,2015-07-27,6.2,1,4.310021138,312.7927191,1,1
"306","FCR",50,2015-07-27,6.2,2,4.225832154,250.2641348,1,1
"307","FCR",50,2015-07-27,8,1,0.44580325,318.2714397,1,1
"308","FCR",50,2015-07-27,8,2,0.473952456,302.4288104,1,1
"309","FCR",50,2015-07-27,9,1,0.052474997,370.9436208,1,1
"310","FCR",50,2015-07-27,9,2,0.062985436,327.6965645,1,1
"311","FCR",50,2015-08-03,0.1,1,0.392049439,6.243719945,1,1
"312","FCR",50,2015-08-03,0.1,2,0.37064872,8.504769162,1,1
"313","FCR",50,2015-08-03,1.6,1,0.406274065,8.4422901,1,1
"314","FCR",50,2015-08-03,1.6,2,0.394897086,8.786098899,1,1
"315","FCR",50,2015-08-03,3.8,1,0.155391871,16.73602792,1,1
"316","FCR",50,2015-08-03,3.8,2,0.146508085,14.97278484,1,1
"317","FCR",50,2015-08-03,5,1,4.292571247,95.37196049,2,1
"318","FCR",50,2015-08-03,5,2,6.875337429,104.2203436,2,1
"319","FCR",50,2015-08-03,6.2,1,2.546583815,153.9118178,1,1
"320","FCR",50,2015-08-03,6.2,2,NA,170.8450097,3,1
"321","FCR",50,2015-08-03,8,1,0.004413005,224.5002944,1,1
"322","FCR",50,2015-08-03,8,2,0.003595437,258.0539288,1,1
"323","FCR",50,2015-08-03,9,1,0.003474308,377.7783733,1,1
"324","FCR",50,2015-08-03,9,2,0.004655229,386.7020278,1,1
"325","FCR",100,2015-08-03,0.1,1,0.016135694,6.864176166,1,1
"326","FCR",100,2015-08-03,0.1,2,0.016891294,8.98424232,1,1
"327","FCR",50,2015-08-10,0.1,1,0.574316271,6.037213594,1,1
"328","FCR",50,2015-08-10,0.1,2,0.541099701,5.058441452,1,1
"329","FCR",50,2015-08-10,1.6,1,0.610079779,6.750320623,1,2
"330","FCR",50,2015-08-10,1.6,2,0.506290756,5.192170563,1,2
"331","FCR",50,2015-08-10,3.8,1,0.164263411,40.14059381,1,2
"332","FCR",50,2015-08-10,3.8,2,0.16574081,70.54825582,1,2
"333","FCR",50,2015-08-10,5,1,16.67024391,123.5808867,1,1
"334","FCR",50,2015-08-10,5,2,18.31923094,137.916989,1,1
"335","FCR",50,2015-08-10,6.2,1,2.898508075,254.994597,1,1
"336","FCR",50,2015-08-10,6.2,2,2.811592156,281.7611339,1,1
"337","FCR",50,2015-08-10,8,1,0.811917518,371.027764,1,1
"338","FCR",50,2015-08-10,8,2,0.924153327,363.35964,1,1
"339","FCR",50,2015-08-10,9,1,0.15391209,353.5707839,1,1
"340","FCR",50,2015-08-10,9,2,NA,376.2058237,3,1
"341","FCR",100,2015-08-10,0.1,1,0.015500923,9.182526705,1,1
"342","FCR",100,2015-08-10,0.1,2,0.013702081,10.65841025,1,1
"343","FCR",50,2015-08-17,0.1,1,0.348279757,4.899577014,1,1
"344","FCR",50,2015-08-17,0.1,2,0.297556669,5.884978582,1,1
"345","FCR",50,2015-08-17,1.6,1,0.326592607,NA,1,4
"346","FCR",50,2015-08-17,1.6,2,0.336722856,5.407393393,1,1
"347","FCR",50,2015-08-17,3.8,1,0.439946744,53.57704714,1,1
"348","FCR",50,2015-08-17,3.8,2,0.473960597,62.09254883,1,1
"349","FCR",50,2015-08-17,5,1,13.08659536,77.44948077,1,1
"350","FCR",50,2015-08-17,5,2,12.98889927,78.41190117,1,1
"351","FCR",50,2015-08-17,6.2,1,7.688457929,177.5118679,1,1
"352","FCR",50,2015-08-17,6.2,2,8.010683628,195.3947828,1,1
"353","FCR",50,2015-08-17,8,1,2.385445636,384.6936445,1,1
"354","FCR",50,2015-08-17,8,2,2.625400943,430.1026041,1,1
"355","FCR",50,2015-08-17,9,1,0.034624119,419.9133775,1,1
"356","FCR",50,2015-08-17,9,2,0.040684467,411.924278,1,1
"357","FCR",100,2015-08-17,0.1,1,NA,10.98162891,3,1
"358","FCR",100,2015-08-17,0.1,2,0.010814769,10.32626791,1,1
"359","FCR",50,2015-08-24,0.1,1,0.3079844,5.408449923,1,1
"360","FCR",50,2015-08-24,0.1,2,0.325321817,NA,1,1
"361","FCR",50,2015-08-24,1.6,1,0.341171341,5.254026644,1,1
"362","FCR",50,2015-08-24,1.6,2,0.355544217,NA,1,1
"363","FCR",50,2015-08-24,3.8,1,2.905031743,102.10881,1,1
"364","FCR",50,2015-08-24,3.8,2,NA,NA,4,4
"365","FCR",50,2015-08-24,5,1,34.94679992,206.0757579,1,1
"366","FCR",50,2015-08-24,5,2,NA,NA,4,4
"367","FCR",50,2015-08-24,6.2,1,10.94219929,404.9090235,1,1
"368","FCR",50,2015-08-24,6.2,2,9.374900334,415.9159924,1,1
"369","FCR",50,2015-08-24,8,1,3.415513648,222.2433599,1,1
"370","FCR",50,2015-08-24,8,2,3.738192845,196.6359895,1,1
"371","FCR",50,2015-08-24,9,1,0.035720341,499.1781802,1,1
"372","FCR",50,2015-08-24,9,2,0.027998653,495.7368147,1,1
"373","FCR",50,2015-08-31,0.1,1,0.081572457,NA,1,4
"374","FCR",50,2015-08-31,0.1,2,0.111901975,NA,1,4
"375","FCR",50,2015-08-31,1.6,1,0.18338848,NA,1,4
"376","FCR",50,2015-08-31,1.6,2,0.202478972,9.830219383,1,1
"377","FCR",50,2015-08-31,3.8,1,0.157267641,41.83350702,1,1
"378","FCR",50,2015-08-31,3.8,2,0.139139895,37.30158019,1,1
"379","FCR",50,2015-08-31,5,1,66.12070767,315.6281877,1,1
"380","FCR",50,2015-08-31,5,2,75.1716081,355.2646868,1,1
