"Reservoir","Site","Date","Rep","Start_time","End_time","Temp_C","CO2Slope_ppmS","CO2_R2","CO2Flux_umolCm2s","CH4Slope_ppmS","CH4_R2","CH4Flux_umolCm2s","Flag_CO2Flux_umolCm2s","Flag_CH4Flux_umolCm2s","Flag_Start_time","Flag_End_time"
"BVR",50,2023-07-24,2,"12:00:00",NA,33.66,-0.007,0.75,-0.04,0.001,1,0.006,1,0,1,1
"FCR",50,2023-07-31,1,"12:00:00",NA,35.45,-0.044,0.99,-0.25,0.006,1,0.034,0,0,1,1
"FCR",50,2023-07-31,2,"12:00:00",NA,36.95,-0.05,0.99,-0.283,0.007,0.99,0.04,0,0,1,1
"FCR",50,2023-08-07,1,"12:00:00",NA,26.22,-0.034,0.96,-0.199,0.002,0.96,0.012,0,0,1,1
"FCR",50,2023-08-07,2,"12:00:00",NA,27.74,-0.037,0.97,-0.215,0.003,0.97,0.017,0,0,1,1
"BVR",50,2023-08-07,1,"12:00:00",NA,31.29,-0.009,0.62,-0.052,0,0.92,0,1,0,1,1
"BVR",50,2023-08-07,2,"12:00:00",NA,32.76,-0.015,0.79,-0.086,0.001,0.97,0.006,1,0,1,1
"BVR",50,2023-08-14,1,"12:00:00",NA,30.04,-0.021,0.95,-0.121,0,0.99,0,0,0,1,1
"BVR",50,2023-08-14,2,"12:00:00",NA,31.78,-0.022,0.97,-0.126,0,0.99,0,0,0,1,1
"BVR",50,2023-08-22,1,"12:00:00",NA,29.84,-0.04,0.99,-0.231,0.002,1,0.012,0,0,1,1
"BVR",50,2023-08-22,2,"12:00:00",NA,31.52,-0.041,0.99,-0.236,0.002,1,0.012,0,0,1,1
"FCR",50,2023-08-22,1,"12:00:00",NA,35.73,-0.037,0.99,-0.21,0.001,0.95,0.006,0,0,1,1
"FCR",50,2023-08-22,2,"12:00:00",NA,36.39,-0.038,0.98,-0.215,0.001,0.95,0.006,0,0,1,1
"FCR",50,2023-08-22,3,"12:00:00",NA,36.7,-0.035,0.98,-0.198,0.001,0.96,0.006,0,0,1,1
"BVR",50,2023-09-05,1,"12:00:00",NA,32.3,-0.014,0.91,-0.08,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-09-05,2,"12:00:00",NA,34.07,-0.013,0.91,-0.074,0.001,0.98,0.006,0,0,1,1
"FCR",50,2023-09-05,1,"12:00:00",NA,39.06,-0.021,0.91,-0.118,0.001,0.94,0.006,0,0,1,1
"FCR",50,2023-09-05,2,"12:00:00",NA,39.57,-0.021,0.92,-0.118,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-09-12,1,"12:00:00",NA,28.8,0.018,0.89,0.104,0.001,0.95,0.006,1,0,1,1
"BVR",50,2023-09-12,2,"12:00:00",NA,30,0.01,0.88,0.058,0.001,0.99,0.006,1,0,1,1
"BVR",50,2023-09-12,3,"12:00:00",NA,31.11,0.016,0.89,0.092,0.001,0.97,0.006,1,0,1,1
"FCR",50,2023-09-12,1,"12:00:00",NA,35.55,0.014,0.88,0.079,0.005,0.96,0.028,1,0,1,1
"FCR",50,2023-09-12,2,"12:00:00",NA,36.5,0.006,0.62,0.034,0.006,0.98,0.034,1,0,1,1
"FCR",50,2023-09-12,3,"12:00:00",NA,36.64,-0.001,0.05,-0.006,0.003,0.99,0.017,1,0,1,1
"FCR",10,2023-09-15,1,"12:00:00",NA,26.66,0.162,0.98,0.947,0.015,0.66,0.088,0,1,1,1
"BVR",50,2023-09-18,1,"12:00:00",NA,23.99,0.244,0.99,1.439,0.009,0.99,0.053,0,0,1,1
"BVR",50,2023-09-18,2,"12:00:00",NA,25.08,0.248,1,1.457,0.009,1,0.053,0,0,1,1
"FCR",50,2023-09-18,1,"12:00:00",NA,26.37,0.17,0.96,0.995,0.003,0.97,0.018,0,0,1,1
"FCR",50,2023-09-18,2,"12:00:00",NA,26.97,0.16,0.96,0.934,0.003,0.97,0.018,0,0,1,1
"FCR",50,2023-09-25,1,"12:00:00",NA,24.3,0.073,0.99,0.43,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-09-25,2,"12:00:00",NA,25.89,0.06,0.98,0.352,0.002,0.98,0.012,0,0,1,1
"BVR",50,2023-09-26,1,"12:00:00",NA,21.14,0.21,0.99,1.251,0.001,0.99,0.006,0,0,1,1
"BVR",50,2023-09-26,2,"12:00:00",NA,22.84,0.121,0.98,0.716,0,0.98,0,0,0,1,1
"BVR",50,2023-10-03,1,"12:00:00",NA,27.56,0,0,0,0,0.85,0,1,1,1,1
"BVR",50,2023-10-03,2,"12:00:00",NA,28.41,0,0,0,0,0.98,0,1,0,1,1
"FCR",50,2023-10-03,1,"12:00:00",NA,31.46,0.194,0.93,1.116,0.003,0.95,0.017,0,0,1,1
"FCR",50,2023-10-03,2,"12:00:00",NA,32.14,0.082,0.89,0.471,0.001,0.92,0.006,1,0,1,1
"FCR",50,2023-10-09,1,"12:00:00",NA,20.12,0.619,0.99,3.699,0.003,0.99,0.018,0,0,1,1
"FCR",50,2023-10-09,2,"12:00:00",NA,21.39,0.574,0.96,3.415,0.003,0.94,0.018,0,0,1,1
"FCR",50,2023-10-17,1,"12:00:00",NA,20.43,0.314,0.92,1.874,0,0.91,0,0,0,1,1
"FCR",50,2023-10-17,2,"12:00:00",NA,20.97,0.416,0.94,2.479,0.001,0.94,0.006,0,0,1,1
"BVR",50,2023-10-24,1,"12:00:00",NA,19.9,0.165,0.98,0.987,0.006,0.98,0.036,0,0,1,1
"BVR",50,2023-10-24,2,"12:00:00",NA,21.77,0.213,0.93,1.266,0.007,0.94,0.042,0,0,1,1
"FCR",50,2023-10-24,1,"12:00:00",NA,25.97,0.098,0.96,0.574,0,0.94,0,0,0,1,1
"FCR",50,2023-10-24,2,"12:00:00",NA,26.86,0.314,0.98,1.834,0,0.98,0,0,0,1,1
"FCR",50,2023-10-31,1,"12:00:00",NA,14.7,0.005,0.64,0.03,0.001,0.98,0.006,1,0,1,1
"FCR",50,2023-10-31,2,"12:00:00",NA,14.99,0.004,0.53,0.024,0,0.89,0,1,1,1,1
"BVR",50,2023-11-06,1,"12:00:00",NA,18.69,0.118,0.86,0.709,0.001,0.89,0.006,1,1,1,1
"BVR",50,2023-11-06,2,"12:00:00",NA,21.17,0.106,0.87,0.631,0,0.88,0,1,1,1,1
"FCR",50,2023-11-06,1,"12:00:00",NA,23.05,0.174,0.98,1.029,0,0.94,0,0,0,1,1
"FCR",50,2023-11-06,2,"12:00:00",NA,23.99,0.267,0.96,1.575,0.001,0.94,0.006,0,0,1,1
"FCR",50,2023-11-06,3,"12:00:00",NA,24.4,0.369,0.98,2.173,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-11-14,1,"12:00:00",NA,19.28,0.055,0.97,0.33,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-11-14,2,"12:00:00",NA,20.69,0.081,0.99,0.483,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-11-14,1,"12:00:00",NA,20.14,0.155,0.98,0.926,0,0.98,0,0,0,1,1
"FCR",50,2023-11-14,2,"12:00:00",NA,20.62,0.153,0.94,0.913,0,0.95,0,0,0,1,1
"BVR",50,2023-12-04,1,"12:00:00",NA,15.84,0.006,0.71,0.036,0,0.97,0,1,0,1,1
"BVR",50,2023-12-04,2,"12:00:00",NA,16.71,0.004,0.46,0.024,0,0.88,0,1,1,1,1
"FCR",50,2023-12-04,1,"12:00:00",NA,16.84,0.151,0.96,0.913,0.001,0.97,0.006,0,0,1,1
"FCR",50,2023-12-04,2,"12:00:00",NA,18.08,0.073,0.94,0.439,0,0.95,0,0,0,1,1
