,Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
20,FCR,50,2014-04-16 12:00,0.8,0.3986,0.01992,0.3133,0.00895,1,0,0,0,0
21,FCR,50,2014-04-16 12:00,1.6,0.3453,0.01964,0.2756,0.008,1,0,0,0,0
22,FCR,50,2014-04-16 12:00,2.8,0.3332,0.02049,0.2762,0.00792,1,0,0,0,0
23,FCR,50,2014-04-16 12:00,3.8,0.3881,0.0311,0.3359,0.01996,1,0,0,0,0
24,FCR,50,2014-04-16 12:00,5,0.3104,0.02458,0.2694,0.02456,1,0,0,0,0
25,FCR,50,2014-04-16 12:00,6.2,0.3598,0.05334,0.2556,0.05334,1,0,0,0,0
26,FCR,50,2014-04-16 12:00,8,0.3874,0.07781,0.3091,0.07611,1,0,0,0,0
27,FCR,50,2014-04-16 12:00,9,0.373,0.08371,0.3246,0.08371,1,0,0,0,0
28,FCR,50,2014-04-21 12:00,0.1,0.1946,0.00762,0.001,2.00E-05,1,0,0,0,0
29,FCR,50,2014-04-21 12:00,0.8,0.2849,0.0158,0.2134,0.00683,1,0,0,0,0
30,FCR,50,2014-04-21 12:00,1.6,0.3091,0.0174,0.2198,0.00652,1,0,0,0,0
31,FCR,50,2014-04-21 12:00,2.8,0.3129,0.01673,0.2525,0.0068,1,0,0,0,0
32,FCR,50,2014-04-21 12:00,3.8,0.3282,0.01991,0.2557,0.01286,1,0,0,0,0
33,FCR,50,2014-04-21 12:00,5,0.3215,0.02424,0.2364,0.02314,1,0,0,0,0
34,FCR,50,2014-04-21 12:00,6.2,0.257,0.03893,0.198,0.03893,1,0,0,0,0
35,FCR,50,2014-04-21 12:00,8,0.335,0.09548,0.335,0.09548,1,0,0,0,0
36,FCR,50,2014-04-21 12:00,9,0.5012,0.126,0.4126,0.126,1,0,0,0,0
37,FCR,50,2014-04-28 12:00,0.1,0.3195,0.01056,0.2947,0.01056,1,0,0,0,0
38,FCR,50,2014-04-28 12:00,0.8,0.2544,0.00626,0.2544,0.00626,1,0,0,0,0
39,FCR,50,2014-04-28 12:00,1.6,0.2103,0.00381,0.2103,0.00381,1,0,0,0,0
40,FCR,50,2014-04-28 12:00,2.8,0.3087,0.01097,0.3087,0.00688,1,0,0,0,0
41,FCR,50,2014-04-28 12:00,3.8,0.2041,0.00594,0.2041,0.00594,1,0,0,0,0
42,FCR,50,2014-04-28 12:00,5,0.1354,0.00659,0.212,0.04263,1,0,0,0,0
43,FCR,50,2014-04-28 12:00,6.2,0.212,0.04263,0.1606,0.03869,1,0,0,0,0
44,FCR,50,2014-04-28 12:00,8,0.1606,0.03869,0.2525,0.08511,1,0,0,0,0
45,FCR,50,2014-04-28 12:00,9,0.2525,0.08511,0.2811,0.00951,1,0,0,0,0
46,BVR,50,2014-04-30 12:00,0.1,0.2142,0.015,0.1863,0.015,1,0,0,0,0
47,BVR,50,2014-04-30 12:00,8,0.4112,0.0473,0.3976,0.0473,1,0,0,0,0
48,BVR,50,2014-04-30 12:00,12,2.839,0.3925,2.839,0.3925,1,0,0,0,0
49,FCR,50,2014-05-05 12:00,0.1,0.2811,0.00951,0.3011,0.00772,1,0,0,0,0
50,FCR,50,2014-05-05 12:00,0.8,0.3011,0.0114,0.2811,0.00702,1,0,0,0,0
51,FCR,50,2014-05-05 12:00,1.6,0.2811,0.00996,0.2517,0.00622,1,0,0,0,0
52,FCR,50,2014-05-05 12:00,2.8,0.2517,0.00749,0.2388,0.01084,1,0,0,0,0
53,FCR,50,2014-05-05 12:00,3.8,0.2388,0.01084,0.1479,0.00675,1,0,0,0,0
54,FCR,50,2014-05-05 12:00,5,0.1479,0.00675,0.1483,0.02633,1,0,0,0,0
55,FCR,50,2014-05-05 12:00,6.2,0.1483,0.02633,0.1732,0.04405,1,0,0,0,0
56,FCR,50,2014-05-05 12:00,8,0.1732,0.04405,0.2587,0.069,1,0,0,0,0
57,FCR,50,2014-05-05 12:00,9,0.2587,0.069,0.376,0.00862,1,0,0,0,0
58,FCR,50,2014-05-12 12:00,0.1,0.376,0.00862,0.3037,0.00596,1,0,0,0,0
59,FCR,50,2014-05-12 12:00,0.8,0.3037,0.01238,0.2979,0.00613,1,0,0,0,0
60,FCR,50,2014-05-12 12:00,1.6,0.3093,0.01112,0.2218,0.00562,1,0,0,0,0
61,FCR,50,2014-05-12 12:00,2.8,0.2218,0.00621,0.2556,0.00996,1,0,0,0,0
62,FCR,50,2014-05-12 12:00,3.8,0.2685,0.01464,0.1909,0.01077,1,0,0,0,0
63,FCR,50,2014-05-12 12:00,5,0.1909,0.01077,0.2361,0.05759,1,0,0,0,0
64,FCR,50,2014-05-12 12:00,6.2,0.2361,0.05759,0.2615,0.1224,1,0,0,0,0
65,FCR,50,2014-05-12 12:00,8,0.277,0.1224,0.2816,0.09088,1,0,0,0,0
66,FCR,50,2014-05-12 12:00,9,0.2816,0.09088,0.1737,0.00083,1,0,0,0,0
67,BVR,50,2014-05-14 12:00,0.1,0.2112,0.0156,0.2112,0.0156,1,0,0,0,0
68,BVR,50,2014-05-14 12:00,4,0.1608,0.0086,0.1608,0.0086,1,0,0,0,0
69,BVR,50,2014-05-14 12:00,8,0.143,0.0132,0.143,0.0132,1,0,0,0,0
70,BVR,50,2014-05-14 12:00,12,1.52,0.5162,1.52,0.5162,1,0,0,0,0
71,FCR,50,2014-05-19 12:00,0.1,0.1737,0.00083,0.2061,0.00344,1,0,3,0,0
72,FCR,50,2014-05-19 12:00,0.8,0.2061,0.00344,0.1841,0.00071,1,0,0,0,0
73,FCR,50,2014-05-19 12:00,1.6,0.1841,0.00071,0.1618,0.00096,1,0,3,0,3
74,FCR,50,2014-05-19 12:00,2.8,0.1618,0.00096,0.243,0.01008,1,0,3,0,0
75,FCR,50,2014-05-19 12:00,3.8,0.243,0.01008,0.2348,0.02079,1,0,0,0,0
76,FCR,50,2014-05-19 12:00,5,0.2348,0.02079,0.3033,0.07403,1,0,0,0,0
77,FCR,50,2014-05-19 12:00,8,0.1094,0.013,0.1094,0.013,1,0,0,0,0
78,FCR,50,2014-05-19 12:00,9,0.09986,0.01125,0.09986,0.01125,1,0,0,0,0
79,FCR,50,2014-05-26 12:00,0.1,0.1936,0.00146,0.1936,0.00146,1,0,0,0,0
80,FCR,50,2014-05-26 12:00,0.8,0.2172,0.00081,0.2172,0.00081,1,0,3,0,3
81,FCR,50,2014-05-26 12:00,1.6,0.1862,0.00093,0.1862,0.00093,1,0,3,0,3
82,FCR,50,2014-05-26 12:00,2.8,0.218,0.00136,0.218,0.00136,1,0,0,0,0
83,FCR,50,2014-05-26 12:00,3.8,0.2441,0.00482,0.2441,0.00482,1,0,0,0,0
84,FCR,50,2014-05-26 12:00,5,0.1636,0.02474,0.1636,0.02474,1,0,0,0,0
85,FCR,50,2014-05-26 12:00,6.2,0.2393,0.06956,0.2393,0.06956,1,0,0,0,0
86,FCR,50,2014-05-26 12:00,8,0.1574,0.02835,0.1574,0.02835,1,0,0,0,0
87,FCR,50,2014-05-26 12:00,9,0.2535,0.08786,0.2535,0.08786,1,0,0,0,0
88,FCR,50,2014-06-02 12:00,0.1,0.349,0.01297,0.349,0.00792,1,0,0,0,0
89,FCR,50,2014-06-02 12:00,0.8,0.3913,0.0148,0.3828,0.00671,1,0,0,0,0
90,FCR,50,2014-06-02 12:00,1.6,0.3689,0.01375,0.3689,0.00516,1,0,0,0,0
91,FCR,50,2014-06-02 12:00,2.8,0.4582,0.02031,0.4397,0.00655,1,0,0,0,0
92,FCR,50,2014-06-02 12:00,3.8,0.4781,0.02593,0.4781,0.01604,1,0,0,0,0
93,FCR,50,2014-06-02 12:00,5,0.3886,0.2179,0.3886,0.21145,1,0,0,0,0
94,FCR,50,2014-06-02 12:00,6.2,0.4554,0.2063,0.4554,0.2063,1,0,0,0,0
95,FCR,50,2014-06-02 12:00,8,0.3877,0.219,0.3877,0.21866,1,0,0,0,0
96,FCR,50,2014-06-02 12:00,9,1.052,0.379,0.9773,0.35132,1,0,0,0,0
97,BVR,50,2014-06-04 12:00,0.1,0.2678,0.0224,0.2678,0.0224,1,0,0,0,0
98,BVR,50,2014-06-04 12:00,4,0.234,0.0574,0.234,0.0574,1,0,0,0,0
99,BVR,50,2014-06-04 12:00,8,0.2324,0.1451,0.2324,0.1416,1,0,0,0,0
100,BVR,50,2014-06-04 12:00,12,8.87,1.296,8.548,1.247,1,0,0,0,0
101,FCR,50,2014-06-09 12:00,0.1,0.2931,0.01036,0.2931,0.00595,1,0,0,0,0
102,FCR,50,2014-06-09 12:00,0.8,0.2858,0.0105,0.2858,0.0044,1,0,0,0,0
103,FCR,50,2014-06-09 12:00,1.6,0.2705,0.01042,0.2705,0.0042,1,0,0,0,0
104,FCR,50,2014-06-09 12:00,2.8,0.3589,0.01677,0.3589,0.00574,1,0,0,0,0
105,FCR,50,2014-06-09 12:00,3.8,0.3778,0.03085,0.3778,0.01752,1,0,0,0,0
106,FCR,50,2014-06-09 12:00,5,0.5333,0.376,0.5333,0.34527,1,0,0,0,0
107,FCR,50,2014-06-09 12:00,6.2,0.6603,0.3635,0.6212,0.32595,1,0,0,0,0
108,FCR,50,2014-06-09 12:00,8,1.188,1.12,1.188,1.10883,1,0,0,0,0
109,FCR,50,2014-06-09 12:00,9,0.6218,0.4868,0.6218,0.4868,1,0,0,0,0
110,FCR,50,2014-06-16 12:00,0.1,0.2667,0.00997,0.2667,0.00997,1,0,0,0,0
111,FCR,50,2014-06-16 12:00,0.8,0.2625,0.00999,0.2625,0.00424,1,0,0,0,0
112,FCR,50,2014-06-16 12:00,1.6,0.2485,0.01036,0.2485,0.0047,1,0,0,0,0
113,FCR,50,2014-06-16 12:00,2.8,0.3091,0.01224,0.3006,0.00409,1,0,0,0,0
114,FCR,50,2014-06-16 12:00,3.8,0.4648,0.0981,0.4505,0.05309,1,0,0,0,0
115,FCR,50,2014-06-16 12:00,5,0.6177,0.4306,0.6177,0.39687,1,0,0,0,0
116,FCR,50,2014-06-16 12:00,6.2,0.7356,0.515,0.7356,0.452,1,0,0,0,0
117,FCR,50,2014-06-16 12:00,8,1.478,1.213,1.474,1.1295,1,0,0,0,0
118,FCR,50,2014-06-16 12:00,9,1.363,1.208,1.363,1.19374,1,0,0,0,0
119,BVR,50,2014-06-18 12:00,0.1,0.3314,0.0144,0.3314,0.0144,1,0,0,0,0
120,BVR,50,2014-06-18 12:00,4,0.3114,0.0314,0.3114,0.0314,1,0,0,0,0
121,BVR,50,2014-06-18 12:00,8,0.6705,0.3521,0.6705,0.3521,1,0,0,0,0
122,BVR,50,2014-06-18 12:00,12,35.85,2.544,35.85,2.524,1,0,0,0,0
123,FCR,50,2014-06-23 12:00,0.1,0.3392,0.0122,0.3392,0.0069,1,0,0,0,0
124,FCR,50,2014-06-23 12:00,0.8,0.3421,0.01316,0.3421,0.00521,1,0,0,0,0
125,FCR,50,2014-06-23 12:00,1.6,0.3498,0.01292,0.3498,0.00496,1,0,0,0,0
126,FCR,50,2014-06-23 12:00,2.8,0.3628,0.01428,0.3126,0.00444,1,0,0,0,0
127,FCR,50,2014-06-23 12:00,3.8,0.5598,0.09482,0.5014,0.04724,1,0,0,0,0
128,FCR,50,2014-06-23 12:00,5,0.5843,0.3464,0.5843,0.32552,1,0,0,0,0
129,FCR,50,2014-06-23 12:00,6.2,1.091,0.663,1.091,0.58737,1,0,0,0,0
130,FCR,50,2014-06-23 12:00,8,2.752,1.492,2.449,1.29676,1,0,0,0,0
131,FCR,50,2014-06-23 12:00,9,3.207,1.889,3.207,1.889,1,0,0,0,0
132,BVR,50,2014-06-25 12:00,0.1,0.4142,0.0174,0.4142,0.0174,1,0,0,0,0
133,BVR,50,2014-06-25 12:00,4,0.3847,0.0355,0.3756,0.0355,1,0,0,0,0
134,BVR,50,2014-06-25 12:00,8,0.6962,0.5176,0.6962,0.5165,1,0,0,0,0
135,BVR,50,2014-06-25 12:00,12,64.7,3.474,59.77,3.258,1,0,0,0,0
136,FCR,50,2014-06-29 12:00,0.1,0.3599,0.01307,0.1386,0.00332,1,0,0,0,0
137,FCR,50,2014-06-29 12:00,0.8,0.3502,0.0127,0.1708,0.0034,1,0,0,0,0
138,FCR,50,2014-06-29 12:00,1.6,0.3401,0.01286,0.1066,0.00156,1,0,0,0,0
139,FCR,50,2014-06-29 12:00,2.8,0.4138,0.01754,0.1126,0.00239,1,0,0,0,0
140,FCR,50,2014-06-29 12:00,3.8,0.4195,0.06186,0.1058,0.03587,1,0,0,0,0
141,FCR,50,2014-06-29 12:00,5,0.8244,0.5436,0.137,0.4377,1,0,0,0,0
142,FCR,50,2014-06-29 12:00,6.2,2.231,1.087,0.4624,0.8769,1,0,0,0,0
143,FCR,50,2014-06-29 12:00,8,2.371,1.261,0.836,1.229,1,0,0,0,0
144,FCR,50,2014-06-29 12:00,9,4.96,2.249,0.9733,1.933,1,0,0,0,0
145,FCR,50,2014-06-30 12:00,0.1,0.3468,0.01191,0.3287,0.00699,1,0,0,0,0
146,FCR,50,2014-06-30 12:00,0.8,0.3474,0.01379,0.3293,0.0054,1,0,0,0,0
147,FCR,50,2014-06-30 12:00,1.6,0.3406,0.01297,0.3406,0.00542,1,0,0,0,0
148,FCR,50,2014-06-30 12:00,2.8,0.3927,0.0193,0.3927,0.00668,1,0,0,0,0
149,FCR,50,2014-06-30 12:00,3.8,0.4231,0.07276,0.4056,0.04163,1,0,0,0,0
150,FCR,50,2014-06-30 12:00,5,0.8128,0.5437,0.8128,0.50485,1,0,0,0,0
151,FCR,50,2014-06-30 12:00,6.2,1.728,0.9383,1.728,0.86761,1,0,0,0,0
152,FCR,50,2014-06-30 12:00,8,2.102,1.018,2.102,1.018,1,0,0,0,0
153,FCR,50,2014-06-30 12:00,9,2.303,1.09,2.303,1.09,1,0,0,0,0
154,FCR,50,2014-07-07 12:00,0.1,0.2835,0.00738,0.2835,0.0058,1,0,0,0,0
155,FCR,50,2014-07-07 12:00,0.8,0.2811,0.00785,0.2811,0.00319,1,0,0,0,0
156,FCR,50,2014-07-07 12:00,1.6,0.2866,0.00766,0.2762,0.0028,1,0,0,0,0
157,FCR,50,2014-07-07 12:00,2.8,0.3394,0.01354,0.3394,0.00479,1,0,0,0,0
158,FCR,50,2014-07-07 12:00,3.8,0.3688,0.1284,0.3522,0.07484,1,0,0,0,0
159,FCR,50,2014-07-07 12:00,5,0.9146,0.5145,0.9146,0.48399,1,0,0,0,0
160,FCR,50,2014-07-07 12:00,6.2,1.76,0.8937,1.76,0.82934,1,0,0,0,0
161,FCR,50,2014-07-07 12:00,8,1.987,0.9557,1.983,0.90595,1,0,0,0,0
162,FCR,50,2014-07-07 12:00,9,2.173,1.059,2.173,1.03348,1,0,0,0,0
163,BVR,50,2014-07-09 12:00,0.1,0.53,0.0273,0.53,0.0273,1,0,0,0,0
164,BVR,50,2014-07-09 12:00,4,0.3552,0.1451,0.3552,0.0628,1,0,0,0,0
165,BVR,50,2014-07-09 12:00,8,0.5615,0.6163,0.5615,0.6163,1,0,0,0,0
166,BVR,50,2014-07-09 12:00,12,47.11,3.122,44.44,3.043,1,0,0,0,0
167,FCR,50,2014-07-14 12:00,0.1,0.2747,0.00744,0.2747,0.00435,1,0,0,0,0
168,FCR,50,2014-07-14 12:00,0.8,0.2695,0.00812,0.2695,0.00344,1,0,0,0,0
169,FCR,50,2014-07-14 12:00,1.6,0.2488,0.00738,0.2488,0.00278,1,0,0,0,0
170,FCR,50,2014-07-14 12:00,2.8,0.3019,0.01622,0.3019,0.00558,1,0,0,0,0
171,FCR,50,2014-07-14 12:00,3.8,0.2519,0.1881,0.2519,0.10655,1,0,0,0,0
172,FCR,50,2014-07-14 12:00,5,1.352,0.7783,1.352,0.72701,1,0,0,0,0
173,FCR,50,2014-07-14 12:00,6.2,3.175,1.372,3.175,1.27083,1,0,0,0,0
174,FCR,50,2014-07-14 12:00,8,3.173,1.36,3.173,1.28831,1,0,0,0,0
175,FCR,50,2014-07-14 12:00,9,3.089,1.299,3.08,1.26756,1,0,0,0,0
176,BVR,50,2014-07-16 12:00,0.1,0.4279,0.02401,0.4211,0.02401,1,0,0,0,0
177,BVR,50,2014-07-16 12:00,4,0.3851,0.06729,0.3503,0.0639,1,0,0,0,0
178,BVR,50,2014-07-16 12:00,8,0.9705,1.441,0.9705,1.441,1,0,0,0,0
179,BVR,50,2014-07-16 12:00,12,26.02,2.549,24.4,2.475,1,0,0,0,0
180,FCR,50,2014-07-21 12:00,0.1,0.3381,0.0084,0.3381,0.0061,1,0,0,0,0
181,FCR,50,2014-07-21 12:00,0.8,0.3251,0.0106,0.3251,0.0106,1,0,0,0,0
182,FCR,50,2014-07-21 12:00,1.6,0.3286,0.0098,0.3073,0.0098,1,0,0,0,0
183,FCR,50,2014-07-21 12:00,2.8,0.3759,0.0138,0.3623,0.0138,1,0,0,0,0
184,FCR,50,2014-07-21 12:00,3.8,0.2962,0.0993,0.2962,0.05976,1,0,0,0,0
185,FCR,50,2014-07-21 12:00,5,1.226,0.8331,1.226,0.8331,1,0,0,0,0
186,FCR,50,2014-07-21 12:00,6.2,1.98,0.8726,1.98,0.80029,1,0,0,0,0
187,FCR,50,2014-07-21 12:00,8,2.797,1.268,2.797,1.268,1,0,0,0,0
188,FCR,50,2014-07-21 12:00,9,3.845,1.577,3.561,1.53176,1,0,0,0,0
189,BVR,50,2014-07-23 12:00,0.1,0.4478,0.0267,0.4478,0.0267,1,0,0,0,0
190,BVR,50,2014-07-23 12:00,4,0.3991,0.1513,0.3991,0.1513,1,0,0,0,0
191,BVR,50,2014-07-23 12:00,8,0.4824,1.192,0.4824,1.192,1,0,0,0,0
192,FCR,50,2014-07-28 12:00,0.1,0.3155,0.0111,0.3155,0.00696,1,0,0,0,0
193,FCR,50,2014-07-28 12:00,0.8,0.2814,0.01034,0.2664,0.00383,1,0,0,0,0
194,FCR,50,2014-07-28 12:00,1.6,0.2996,0.01061,0.2996,0.00424,1,0,0,0,0
195,FCR,50,2014-07-28 12:00,2.8,0.3055,0.0098,0.2918,0.00319,1,0,0,0,0
196,FCR,50,2014-07-28 12:00,3.8,0.3171,0.02853,0.3171,0.01728,1,0,0,0,0
197,FCR,50,2014-07-28 12:00,5,1.838,1.228,1.761,1.12046,1,0,0,0,0
198,FCR,50,2014-07-28 12:00,6.2,4.493,1.901,4.367,1.73074,1,0,0,0,0
199,FCR,50,2014-07-28 12:00,8,4.546,1.859,4.546,1.859,1,0,0,0,0
200,FCR,50,2014-07-28 12:00,9,5.074,2.06,4.739,1.87172,1,0,0,0,0
201,FCR,50,2014-08-04 12:00,0.1,0.3518,0.0119,0.3518,0.00775,1,0,0,0,0
202,FCR,50,2014-08-04 12:00,0.8,0.316,0.01318,0.3156,0.00492,1,0,0,0,0
203,FCR,50,2014-08-04 12:00,1.6,0.3184,0.01152,0.3184,0.00408,1,0,0,0,0
204,FCR,50,2014-08-04 12:00,2.8,0.3849,0.01493,0.3849,0.00516,1,0,0,0,0
205,FCR,50,2014-08-04 12:00,3.8,0.4419,0.151,0.4408,0.08565,1,0,0,0,0
206,FCR,50,2014-08-04 12:00,5,2.513,1.38,2.513,1.27367,1,0,0,0,0
207,FCR,50,2014-08-04 12:00,6.2,3.558,1.607,3.558,1.5073,1,0,0,0,0
208,FCR,50,2014-08-04 12:00,8,5.621,2.158,5.606,2.04663,1,0,0,0,0
209,FCR,50,2014-08-04 12:00,9,9.468,2.786,9.468,2.7391,1,0,0,0,0
210,FCR,50,2014-08-11 12:00,0.1,0.306,0.01154,0.3017,0.00748,1,0,0,0,0
211,FCR,50,2014-08-11 12:00,0.8,0.3082,0.013,0.3079,0.00492,1,0,0,0,0
212,FCR,50,2014-08-11 12:00,1.6,0.3027,0.01234,0.3027,0.00442,1,0,0,0,0
213,FCR,50,2014-08-11 12:00,2.8,0.4042,0.01568,0.4029,0.00549,1,0,0,0,0
214,FCR,50,2014-08-11 12:00,3.8,0.3872,0.07768,0.3872,0.04418,1,0,0,0,0
215,FCR,50,2014-08-11 12:00,5,2.248,1.779,2.248,1.63823,1,0,0,0,0
216,FCR,50,2014-08-11 12:00,6.2,2.632,1.198,2.632,1.12466,1,0,0,0,0
217,FCR,50,2014-08-11 12:00,8,5.148,2.083,5.148,1.93763,1,0,0,0,0
218,FCR,50,2014-08-11 12:00,9,13.07,2.914,12.86,2.80126,1,0,0,0,0
219,BVR,50,2014-08-13 12:00,0.1,0.4596,0.03829,0.4257,0.03829,1,0,0,0,0
220,BVR,50,2014-08-13 12:00,4,0.4401,0.03963,0.3451,0.01977,1,0,0,0,0
221,BVR,50,2014-08-13 12:00,8,3.539,2.415,3.539,2.415,1,0,0,0,0
222,BVR,50,2014-08-13 12:00,11,24.08,2.533,23.59,2.502,1,0,0,0,0
223,FCR,50,2014-08-18 12:00,0.1,0.2637,0.01526,0.2475,0.00862,1,0,0,0,0
224,FCR,50,2014-08-18 12:00,0.8,0.2398,0.01336,0.221,0.0046,1,0,0,0,0
225,FCR,50,2014-08-18 12:00,1.6,0.2614,0.012,0.2614,0.00432,1,0,0,0,0
226,FCR,50,2014-08-18 12:00,2.8,0.3553,0.01318,0.3454,0.0044,1,0,0,0,0
227,FCR,50,2014-08-18 12:00,3.8,0.3805,0.03365,0.3805,0.0194,1,0,0,0,0
228,FCR,50,2014-08-18 12:00,5,0.7379,0.7334,0.7264,0.68972,1,0,0,0,0
229,FCR,50,2014-08-18 12:00,6.2,5.168,2.087,5.168,1.93464,1,0,0,0,0
230,FCR,50,2014-08-18 12:00,8,8.845,2.784,8.845,2.60387,1,0,0,0,0
231,FCR,50,2014-08-18 12:00,9,33.51,4.146,33.51,4.0358,1,0,0,0,0
232,FCR,50,2014-08-25 12:00,0.1,0.2654,0.0104,0.2398,0.00558,1,0,0,0,0
233,FCR,50,2014-08-25 12:00,0.8,0.2279,0.01014,0.2279,0.00377,1,0,0,0,0
234,FCR,50,2014-08-25 12:00,1.6,0.2414,0.01052,0.2414,0.0039,1,0,0,0,0
235,FCR,50,2014-08-25 12:00,2.8,0.3004,0.00976,0.2807,0.00334,1,0,0,0,0
236,FCR,50,2014-08-25 12:00,3.8,0.7423,0.6261,0.4878,0.6261,1,0,0,0,0
237,FCR,50,2014-08-25 12:00,5,1.535,1.765,0.8885,1.759,1,0,0,0,0
238,FCR,50,2014-08-25 12:00,6.2,3.381,2.046,2.081,1.929,1,0,0,0,0
239,FCR,50,2014-08-25 12:00,8,4.136,2.211,3.961,2.05415,1,0,0,0,0
240,FCR,50,2014-08-25 12:00,9,4.781,2.525,4.55,2.44382,1,0,0,0,0
241,FCR,50,2014-09-03 12:00,0.1,0.1965,0.0087,0.1512,0.0048,1,0,0,0,0
242,FCR,50,2014-09-03 12:00,0.8,0.181,0.0098,0.161,0.0056,1,0,0,0,0
243,FCR,50,2014-09-03 12:00,1.6,0.2087,0.0113,0.1501,0.0055,1,0,0,0,0
244,FCR,50,2014-09-03 12:00,2.8,0.204,0.0087,0.1334,0.0047,1,0,0,0,0
245,FCR,50,2014-09-03 12:00,3.8,1.094,0.6783,0.4165,0.3934,1,0,0,0,0
246,FCR,50,2014-09-03 12:00,5,2.918,1.242,1.401,1.234,1,0,0,0,0
247,FCR,50,2014-09-03 12:00,6.2,3.537,1.923,2.097,1.923,1,0,0,0,0
248,FCR,50,2014-09-03 12:00,8,3.567,1.994,1.595,1.683,1,0,0,0,0
249,FCR,50,2014-09-03 12:00,9,3.701,2.029,2.348,2.029,1,0,0,0,0
250,BVR,50,2014-09-04 12:00,0.1,0.2981,0.0125,0.2149,0.008,1,0,0,0,0
251,BVR,50,2014-09-04 12:00,4,0.4303,0.0562,0.2636,0.0401,1,0,0,0,0
252,BVR,50,2014-09-04 12:00,8,4.329,3.338,4.155,3.338,1,0,0,0,0
253,BVR,50,2014-09-04 12:00,11,26.7,2.806,26.7,2.792,1,0,0,0,0
254,FCR,50,2014-09-08 12:00,0.1,0.1837,0.0071,0.1837,0.0064,1,0,0,0,0
255,FCR,50,2014-09-08 12:00,0.8,0.1857,0.0077,0.1475,0.0047,1,0,0,0,0
256,FCR,50,2014-09-08 12:00,1.6,0.1592,0.0056,0.1592,0.004,1,0,0,0,0
257,FCR,50,2014-09-08 12:00,2.8,0.2052,0.0083,0.1377,0.0035,1,0,0,0,0
258,FCR,50,2014-09-08 12:00,3.8,0.1597,0.0317,0.1491,0.0317,1,0,0,0,0
259,FCR,50,2014-09-08 12:00,5,0.8944,0.7854,0.512,0.7366,1,0,0,0,0
260,FCR,50,2014-09-08 12:00,6.2,1.634,1.399,1.247,1.399,1,0,0,0,0
261,FCR,50,2014-09-08 12:00,8,3.257,2.04,1.542,1.748,1,0,0,0,0
262,FCR,50,2014-09-08 12:00,9,3.471,2.155,1.335,1.96,1,0,0,0,0
263,FCR,50,2014-09-15 12:00,0.1,0.2613,0.0093,0.2012,0.0076,1,0,0,0,0
264,FCR,50,2014-09-15 12:00,0.8,0.278,0.0115,0.2406,0.009,1,0,0,0,0
265,FCR,50,2014-09-15 12:00,1.6,0.2598,0.0098,0.22,0.0077,1,0,0,0,0
266,FCR,50,2014-09-15 12:00,2.8,0.3046,0.0125,0.2199,0.0067,1,0,0,0,0
267,FCR,50,2014-09-15 12:00,3.8,0.2607,0.0096,0.2187,0.0071,1,0,0,0,0
268,FCR,50,2014-09-15 12:00,5,1.336,1.349,0.9845,1.259,1,0,0,0,0
269,FCR,50,2014-09-15 12:00,6.2,2.338,1.83,1.866,1.767,1,0,0,0,0
