Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC
FCR,50,8/3/20 0:00,6.2,,11/11/20,2.1,4.7,6.7,0.13,,F 03aug20 6.2
FCR,50,10/19/20 0:00,3.8,,11/11/20,3.9,3.9,7.8,0.3,,F 19oct20 3.8
FCR,50,8/10/20 0:00,6.2,,11/11/20,2.5,4.5,7,0.24,,F 10aug20 6.2
FCR,50,8/24/20 0:00,0.1,,11/11/20,3.3,3.2,6.5,0.22,,F 24aug20 0.1
BVR,50,10/1/20 0:00,6,,11/11/20,2.4,3,5.4,0.15,,B 01oct20 6.0
BVR,50,7/9/20 0:00,11,,11/11/20,2.8,4.2,7,1.36,,B 09jul20 11.0
BVR,50,10/5/20 0:00,9,,11/11/20,2.9,4.5,7.4,1.19,,B 05oct20 9.0
FCR,50,6/12/20 0:00,3.8,,11/11/20,2.6,2.6,5.2,0.14,,F 12jun20 3.8
FCR,50,8/17/20 0:00,3.8,,11/11/20,2.3,4.1,6.4,0.21,,F 17aug20 3.8
FCR,50,8/17/20 0:00,5,,11/11/20,2.4,3.9,6.4,0.2,,F 17aug20 5.0
FCR,50,8/17/20 0:00,9,,11/11/20,3.2,4.1,7.3,0.3,,F 17aug20 9.0
FCR,50,8/17/20 0:00,0.1,,11/11/20,4.1,2.4,6.5,0.22,,F 17aug20 0.1
BVR,50,10/14/20 0:00,0.1,,11/11/20,3.8,2.2,6,0.15,,B 14oct20 0.1
FCR,50,8/17/20 0:00,6.2,,11/12/20,-3.6,10.3,6.8,0.29,multiply by 3?,F 17aug20 6.2 dil 3x
FCR,50,6/12/20 0:00,8,,11/12/20,-1.9,8,6.1,0.24,multiply by 3?,F 12jun20 8.0 dil 3x
BVR,50,8/12/20 0:00,0.1,,11/12/20,0.9,4.3,5.2,0.21,,B 12aug20 0.1
BVR,50,8/12/20 0:00,9,,11/12/20,-0.6,6.4,5.8,0.74,,B 12aug20 9.0
FCR,100,11/2/20 0:00,0.1,,11/12/20,-0.5,5.1,4.6,0.1,,F 02nov20 weir
FCR,50,6/12/20 0:00,6.2,,11/12/20,-0.3,6.3,5.9,0.11,,F 12jun20 6.2
FCR,50,8/3/20 0:00,0.1,,11/12/20,1.8,4.5,6.3,0.33,,F 03aug20 0.1
BVR,50,7/23/20 0:00,3,,11/12/20,0.4,4.3,4.7,0.14,,B 23jul20 3.0
