Reservoir,Site,DateTime,Depth_m,Rep,RunDate,TP_ugL,TN_ugL,Notes_lachat,SampleID_lachat
BVR,50,10/5/20 0:00,0.1,,10/29/20,17.1,276,,B05Oct20 0.1m
BVR,50,5/14/20 0:00,1.5,,10/29/20,14.6,178,,B14May20 1.5m
FCR,50,10/6/20 0:00,5,,10/29/20,38.8,914,,F06Oct20 5.0m
BVR,50,5/14/20 0:00,9,,10/29/20,19,358,,B14May20 9.0m
FCR,50,9/30/20 0:00,9,,10/29/20,25.3,1020,,F30Sep20 9.0m
FCR,50,10/19/20 0:00,9,,10/29/20,31.1,1370,,F19Oct20 9.0m
FCR,50,9/30/20 0:00,8,,10/29/20,27.8,944,rerun in jun 21,F30Sep20 8.0m
FCR,50,4/20/20 0:00,4.5,,10/29/20,22.3,218,,F20Apr20 4.5m
BVR,50,5/14/20 0:00,3,,10/29/20,16.8,174,,B14May20 3.0m
FCR,50,9/21/20 0:00,5,,10/29/20,44.4,742,,F21Sep20 5.0m
BVR,50,10/1/20 0:00,9,,10/29/20,24.5,1080,,B01Oct20 9.0m
FCR,50,9/30/20 0:00,3.8,,10/29/20,43.1,763,,F30Sep20 3.8m
FCR,50,10/13/20 0:00,9,,10/29/20,34.8,1250,,F13Oct20 9.0m
FCR,50,9/2/20 0:00,3.8,,10/29/20,51.8,427,,F02Sep20 3.8m
BVR,50,8/26/20 0:00,6,,10/29/20,27.5,205,,B26Aug20 6.0m
FCR,50,5/4/20 0:00,5,,10/29/20,22.1,190,,F04May20 5.0m
FCR,50,6/3/20 0:00,9,,10/29/20,52,547,,F03Jun20 9.0m
FCR,50,9/21/20 0:00,3.8,,10/29/20,37.3,680,,F21Sep20 3.8m
FCR,50,5/25/20 0:00,9,,10/29/20,42.8,349,,F25May20 9.0m
BVR,50,8/26/20 0:00,9,,10/29/20,31.8,989,,B26Aug20 9.0m
FCR,50,4/13/20 0:00,9,,10/29/20,36.1,257,,F13Apr20 9.0m
BVR,50,9/16/20 0:00,9,,10/29/20,25.2,1830,,B16Sep20 9.0m
FCR,50,10/19/20 0:00,8,,10/29/20,33.4,1280,,F19Oct20 8.0m
FCR,50,4/27/20 0:00,0.1,,10/29/20,23.1,222,,F27Apr20 0.1m
FCR,50,4/27/20 0:00,8,,10/29/20,19.8,263,,F27Apr20 8.0m
BVR,50,9/16/20 0:00,0.1,,10/29/20,22.9,364,,B16Sep20 0.1m
FCR,50,10/13/20 0:00,6.2,,10/29/20,41.3,986,,F13Oct20 6.2m
FCR,50,9/21/20 0:00,9,,10/29/20,66.2,1770,,F21Sep20 9.0m
FCR,50,9/15/20 0:00,3.8,,10/29/20,47.2,635,,F15Sep20 3.8m
BVR,50,8/6/20 0:00,9,,10/29/20,24,1650,,B06Aug20 9.0m
FCR,50,7/20/20 0:00,9,,10/29/20,27.7,202,,F20Jul20 9.0m
BVR,50,10/14/20 0:00,3,,10/29/20,19.7,282,,B14Oct20 3.0m
FCR,50,9/2/20 0:00,9,,10/29/20,30.2,580,,F02Sep20 9.0m
FCR,50,10/13/20 0:00,1.6,,10/29/20,39.6,1110,,F13Oct20 1.6m
FCR,50,7/20/20 0:00,5,,10/29/20,34.8,292,,F20Jul20 5.0m
BVR,50,10/1/20 0:00,0.1,,10/29/20,17.2,393,,B01Oct20 0.1m
FCR,50,5/25/20 0:00,5,,10/29/20,29.6,222,,F25may20 5.0m
FCR,50,10/6/20 0:00,0.1,,10/29/20,28.4,813,,F06Oct20 0.1m
FCR,50,9/11/20 0:00,9,,10/29/20,22.7,724,,F11Sep20 9.0m
BVR,50,6/4/20 0:00,6,,10/29/20,20.2,185,,B04Jun20 6.0m
FCR,50,10/19/20 0:00,5,,10/29/20,31.3,687,,F19Oct20 5.0m
FCR,50,8/24/20 0:00,0.1,,10/29/20,26.1,459,,F24Aug20 0.1m
FCR,50,4/13/20 0:00,5,,10/29/20,43.9,322,,F13Apr20 5.0m
FCR,50,10/13/20 0:00,0.1,,10/29/20,33.3,1080,,F13Oct20 0.1m
FCR,50,6/8/20 0:00,9,,10/29/20,52.2,464,,F08Jun20 9.0m
FCR,50,8/24/20 0:00,5,,10/29/20,38,472,,F24Aug20 5.0m
FCR,50,10/19/20 0:00,1.6,,10/29/20,34.5,734,,F19Oct20 1.6m
FCR,50,8/24/20 0:00,6.2,,10/29/20,45.4,485,,F24Aug20 6.2m
BVR,50,10/14/20 0:00,10,,10/29/20,24.2,1550,,B14Oct20 10.0m
FCR,50,9/21/20 0:00,6.2,,10/29/20,33.7,748,,F21Sep20 6.2m
FCR,50,10/6/20 0:00,6.2,,10/29/20,29.5,1100,,F06Oct20 6.2m
FCR,50,10/6/20 0:00,8,,10/29/20,31,1010,,F06Oct20 8.0m
FCR,50,4/27/20 0:00,3.8,,10/29/20,21.8,210,,F27Apr20 3.8m
FCR,50,4/20/20 0:00,9,,10/29/20,26.7,382,,F20Apr20 9.0m
BVR,50,8/26/20 0:00,11,,10/29/20,28,2220,,B26Aug20 11.0m
FCR,50,4/27/20 0:00,6.2,,10/29/20,32.7,341,,F27Apr20 6.2m
FCR,50,9/21/20 0:00,0.1,,10/29/20,33.8,830,,F21Sep20 0.1m
BVR,50,10/5/20 0:00,9,,10/29/20,24.6,1300,,B05Oct20 9.0m
BVR,50,8/6/20 0:00,11,,10/29/20,32.5,2200,,B06Aug20 11.0m
FCR,50,9/30/20 0:00,0.1,,10/29/20,64.7,-147,rerun in jun 21,F30Sep20 0.1m
FCR,50,8/24/20 0:00,9,,10/29/20,34.4,484,,F24Aug20 9.0m
FCR,50,8/24/20 0:00,8,,10/29/20,32.8,458,,F24Aug20 8.0m
FCR,50,10/19/20 0:00,0.1,,10/29/20,37.1,806,,F19Oct20 0.1m
BVR,50,10/14/20 0:00,6,,10/29/20,25.7,284,,B14Oct20 6.0m
FCR,50,4/4/20 0:00,9,,10/29/20,23.9,333,,F04Apr20 9.0m
BVR,50,8/26/20 0:00,3,,10/29/20,19.6,237,,B26Aug20 3.0m
FCR,50,10/19/20 0:00,3.8,,10/29/20,29.7,722,,F19Oct20 3.8m
FCR,50,5/4/20 0:00,9,,10/29/20,27.5,400,,F04May20 9.0m
BVR,50,6/4/20 0:00,3,,10/29/20,13.2,197,,B04Jun20 3.0m
FCR,50,4/27/20 0:00,9,,10/29/20,22.6,370,,F27Apr20 9.0m
BVR,50,10/1/20 0:00,3,,10/29/20,18.3,247,,B01Oct20 3.0m
FCR,50,4/27/20 0:00,5,,10/29/20,18.4,166,,F27Apr20 5.0m
BVR,50,10/1/20 0:00,6,,10/29/20,24.6,272,,B01Oct20 6.0m
BVR,50,9/16/20 0:00,6,,10/29/20,21.9,224,,B16Sep20 6.0m
BVR,50,5/14/20 0:00,6,,10/29/20,15.1,161,,B14May20 6.0m
BVR,50,10/14/20 0:00,9,,10/29/20,25.7,1810,,B14Oct20 9.0m
FCR,50,5/18/20 0:00,9,,10/29/20,24.9,289,,F18May20 9.0m
FCR,50,9/2/20 0:00,5,,10/29/20,34,523,,F02Sep20 5.0m
FCR,50,6/3/20 0:00,5,,10/29/20,37.1,218,,F03Jun20 5.0m
FCR,50,10/13/20 0:00,8,,10/29/20,42.5,1200,,F13Oct20 8.0m
BVR,50,9/16/20 0:00,11,,10/29/20,23,2300,,B16Sep20 11.0m
FCR,50,10/6/20 0:00,3.8,,10/29/20,27.3,616,,F06Oct20 3.8m
FCR,50,9/2/20 0:00,0.1,,10/29/20,34.8,518,,F02Sep20 0.1m
FCR,50,9/21/20 0:00,8,,10/29/20,53.1,994,,F21Sep20 8.0m
BVR,50,5/14/20 0:00,0.1,,10/29/20,20.3,222,,B14May20 0.1m
FCR,50,6/8/20 0:00,5,,10/29/20,31.5,215,,F08Jun20 5.0m
FCR,50,4/10/20 0:00,4.5,,10/29/20,27.8,285,,F10Apr20 4.5m
FCR,100,10/19/20 0:00,0.1,,10/29/20,24.1,46.2,,F19Oct20 weir
FCR,50,7/13/20 0:00,6.2,,12/1/20,29.7,292,,F 13jul20 6.2
FCR,50,11/2/20 0:00,6.2,,12/1/20,39,792,,F 02nov20 6.2
FCR,50,7/27/20 0:00,8,,12/1/20,30.9,277,,F 27jul20 8.0
BVR,50,7/9/20 0:00,11,,12/1/20,78.3,1817,rerun in jun 21,B 09jul20 11.0
FCR,50,7/13/20 0:00,1.6,,12/1/20,19.5,184,,F 13jul20 1.6
FCR,50,2/29/20 0:00,5,,12/1/20,23.7,287,,F 29feb20 5.0
BVR,50,8/20/20 0:00,9,,12/1/20,30,1348,,B 20aug20 9.0
BVR,50,7/30/20 0:00,9,,12/1/20,30,1207,,B 30jul20 9.0
FCR,50,8/3/20 0:00,8,,12/1/20,22.8,279,,F 03aug20 8.0
FCR,200,7/18/19 0:00,0.1,R2,12/1/20,59.1,170,,F 18jul19 r2 200
BVR,50,7/17/20 0:00,6,,12/1/20,25.8,252,,B 17jul20 6.0
BVR,50,7/23/20 0:00,11,,12/1/20,47.2,1658,,B 23jul20 11.0
FCR,50,7/13/20 0:00,3.8,,12/1/20,26.4,271,,F 13jul20 3.8
FCR,50,10/28/20 0:00,0.1,,12/1/20,38.1,605,,F 28oct20 0.1
CCR,400,8/19/20 0:00,0.1,,12/1/20,20.4,201,,C 19aug20 TCT inf
FCR,50,7/6/20 0:00,1.6,,12/1/20,18.3,136,,F 06jul20 1.6
BVR,50,7/30/20 0:00,0.1,,12/1/20,18,571,,B 30jul20 0.1
FCR,50,6/22/20 0:00,0.1,,12/1/20,21.9,172,,F 22jun20 0.1
FCR,50,11/9/20 0:00,6.2,,12/1/20,33.6,590,,F 09nov20 6.2
FCR,50,7/27/20 0:00,9,,12/1/20,24.9,260,,F 27jul20 9.0
CCR,50,8/19/20 0:00,9,,12/1/20,11.7,225,,C 19aug20 9.0
FCR,50,7/20/20 0:00,0.1,,12/1/20,18,291,,F 20jul20 0.1
FCR,50,8/3/20 0:00,0.1,,12/1/20,31.5,964,,F 03aug20 0.1
FCR,50,10/28/20 0:00,9,,12/1/20,22.5,1568,,F 28oct20 9.0
CCR,50,7/15/20 0:00,6,,12/1/20,8,143,,C 15jul20 6.0
FCR,100.1,7/6/20 0:00,0.1,R1,12/1/20,22.8,184,,ISCO 06jul20 r1
FCR,50,8/3/20 0:00,1.6,,12/1/20,30.9,419,,F 03aug20 1.6
BVR,50,7/30/20 0:00,6,,12/1/20,15.9,173,,B 30jul20 6.0
BVR,50,8/20/20 0:00,6,,12/1/20,20.4,183,,Bf 20aug20 6.0
FCR,50,8/3/20 0:00,6.2,,12/1/20,21.9,207,,F 03aug20 6.2
FCR,50,7/13/20 0:00,5,,12/1/20,59.7,524,,F 13jul20 5.0
FCR,100.1,4/20/20 0:00,0.1,R1,12/1/20,105.1,592,,ISCO 20apr20 r1
BVR,50,11/10/20 0:00,3,,12/1/20,16.5,313,,B 10nov20 3.0
FCR,50,6/12/20 0:00,3.8,,12/1/20,19.2,80,,F 12jun20 3.8
BVR,50,7/23/20 0:00,6,,12/1/20,26.7,280,,B 23jul20 6.0
BVR,50,10/26/20 0:00,0.1,,12/1/20,15.5,304,,B 26oct20 0.1
FCR,50,11/2/20 0:00,8,,12/1/20,39.3,789,,F 02nov20 8.0
FCR,50,11/9/20 0:00,1.6,,12/1/20,9.8,-99,rerun in jun 21,F 09nov20 1.6
FCR,50,1/31/20 0:00,6.2,,12/1/20,31.8,376,,F 31jan20 6.2
FCR,50,11/9/20 0:00,9,,12/1/20,35.4,648,,F 09nov20 9.0
FCR,50,7/6/20 0:00,0.1,,12/1/20,17.5,140,,F 06jul20 0.1
BVR,50,7/17/20 0:00,9,,12/1/20,21,221,,B 17jul20 9.0
BVR,50,7/9/20 0:00,6,,12/1/20,15.5,235,,B 09jul20 6.0
BVR,50,7/23/20 0:00,3,,12/1/20,12.7,204,,B 23jul20 3.0
BVR,50,6/25/20 0:00,3,,12/1/20,9.5,167,,B 25jun20 3.0
FCR,50,7/27/20 0:00,0.1,,12/1/20,20.1,674,,F 27jul20 0.1
BVR,50,7/9/20 0:00,9,,12/1/20,21.6,587,,B 09jul20 9.0
BVR,50,11/10/20 0:00,10,,12/1/20,15.1,405,,B 10nov20 10.0
FCR,100.1,11/9/20 0:00,0.1,,12/1/20,57,295,,F 09nov20 ISCO
FCR,50,11/9/20 0:00,3.8,,12/1/20,35.7,561,,F 09nov20 3.8
BVR,50,7/30/20 0:00,3,,12/1/20,13.6,199,,B 30jul20 3.0
FCR,200,8/7/20 0:00,0.1,,12/1/20,52.1,176,,F 200 07aug20 WET
FCR,50,1/31/20 0:00,3.8,,12/1/20,23.4,344,,F 31jan20 3.8
BVR,50,7/23/20 0:00,9,,12/1/20,22.8,1186,,B 23jul20 9.0
BVR,50,7/30/20 0:00,11,,12/1/20,39.3,1558,TN diluted (4x),B 30jul20 11.0
FCR,50,6/22/20 0:00,5,,12/1/20,29.7,186,,F 22jun20 5.0
FCR,50,11/9/20 0:00,0.1,,12/1/20,34.5,487,,F 09nov20 0.1
BVR,50,7/23/20 0:00,0.1,,12/1/20,11,205,,B 23jul20 0.1
FCR,50,7/6/20 0:00,9,,12/1/20,26.4,256,,F 06jul20 9.0
FCR,20,7/18/19 0:00,0.1,R2,12/1/20,21,305,,F 18jul19 2OT r2
BVR,50,7/9/20 0:00,3,,12/1/20,14.5,186,,B 09jul20 3.0
BVR,50,7/17/20 0:00,11,,12/1/20,51.2,1370,,B 17jul20 11.0
FCR,50,7/27/20 0:00,3.8,,12/1/20,31.2,462,,F 27jul20 3.8
FCR,50,6/12/20 0:00,9,,12/1/20,56.1,514,,F 12jun20 9.0
FCR,50,7/27/20 0:00,5,,12/1/20,29.7,275,,F 27jul20 5.0
FCR,50,7/27/20 0:00,1.6,,12/1/20,24.9,615,,F 27jul20 1.6
BVR,50,9/3/20 0:00,10,,12/1/20,26.4,1872,TN diluted (4x),B 03sep20 10.0
FCR,50,7/6/20 0:00,6.2,,12/1/20,25.2,231,,F 06jul20 6.2
FCR,50,8/3/20 0:00,3.8,,12/1/20,24,243,,F 03aug20 3.8
BVR,50,11/10/20 0:00,6,,12/1/20,13.8,295,,B 10nov20 6.0
FCR,50,7/13/20 0:00,8,,12/1/20,26.1,247,,F 13jul20 8.0
FCR,50,7/27/20 0:00,6.2,,12/1/20,22.8,146,,F 27jul20 6.2
FCR,50,7/6/20 0:00,3.8,,12/1/20,28.5,248,,F 06jul20 3.8
FCR,50,10/28/20 0:00,5,,12/1/20,29.1,704,,F 28oct20 5.0
FCR,50,11/2/20 0:00,0.1,,12/1/20,36,831,,F 02nov20 0.1
FCR,50,8/10/20 0:00,3.8,,12/1/20,34.2,332,,F 10aug20 3.8
FCR,50,7/6/20 0:00,8,,12/1/20,21.6,178,,F 06jul20 8.0
CCR,50,9/23/20 0:00,20,,12/1/20,65.9,451,rerun in jun 21,C 23sep20 20.0
CCR,50,7/22/20 0:00,9,,12/1/20,4.8,57,,C 22jul20 9.0
FCR,50,7/13/20 0:00,0.1,,12/1/20,17.5,177,,F 13jul20 0.1
FCR,50,6/29/20 0:00,3.8,,12/1/20,55.4,296,,F 29jun20 3.8
FCR,50,7/13/20 0:00,9,,12/1/20,27.3,256,,F 13jul20 9.0
BVR,50,7/9/20 0:00,0.1,,12/1/20,11.2,166,,B 09jul20 0.1
FCR,50,11/9/20 0:00,8,,12/1/20,32.7,561,,F 09nov20 8.0
BVR,50,7/17/20 0:00,0.1,,12/1/20,10.5,142,,B 17jul20 0.1
FCR,50,7/6/20 0:00,5,,12/1/20,46.6,287,,F 06jul20 5.0
FCR,100,7/6/20 0:00,0.1,,12/1/20,25.8,182,,F 100 06jul20
BVR,50,11/10/20 0:00,9,,12/1/20,15.1,329,,B 10nov20 9.0
CCR,50,7/22/20 0:00,0.1,,12/1/20,3.9,128,,C 22jul20 0.1
FCR,50,10/28/20 0:00,3.8,,12/1/20,26.4,489,,F 28oct20 3.8
BVR,50,7/17/20 0:00,3,,12/1/20,14.8,189,,B 17jul20 3.0
BVR,50,8/20/20 0:00,3,,12/1/20,17.2,190,,B 20aug20 3.0
FCR,200,7/6/20 0:00,0.1,,12/1/20,55.1,206,,F 200 06jul20
CCR,100,8/19/20 0:00,0.1,,12/1/20,5,225,,C 19aug20 HPB inf
CCR,50,8/19/20 0:00,20,,12/1/20,27.3,255,,C 19aug20 20.0
FCR,50,11/2/20 0:00,5,,12/1/20,36.3,649,,F 02nov20 5.0
BVR,50,10/26/20 0:00,6,,12/1/20,17.5,244,,B 26oct20 0.16.0
FCR,100,11/9/20 0:00,0.1,,12/1/20,16.3,47,,F 09nov20 weir
BVR,50,11/10/20 0:00,0.1,,12/1/20,15.6,263,,B 10nov20 0.1
FCR,50,11/9/20 0:00,5,,12/1/20,30.3,550,,F 09nov20 5.0
FCR,50,6/29/20 0:00,6.2,,1/14/21,32.6,278,,F 29Jun20 6.2
FCR,50,8/17/20 0:00,6.2,,1/14/21,32.9,440,,F 17Aug20 6.2
FCR,50,10/28/20 0:00,1.6,,1/14/21,44.1,621,,F 28Oct20 1.6
