1/26/22 13:50,50,9,BVR,1,1/27/22 13:15,96,,19.3,30.453,22.27,851,NM,0.117343945,23.22680688,#VALUE!,1.877503121,1021.979503,3.191135524,631.6464685,631.6464685,,1.01766036,313.15,0.019073334,0.002,0.072765498,,2.27E-05,1.76E-09,0,4.74E-10,2.24E-09,0.0011,,0.000866029,6.74E-08,0,3.76E-07,4.43E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/26/22 13:50,50,9,BVR,2,1/27/22 14:47,145,,19.3,30.453,22.93,1191,NM,0.120821583,32.50661221,#VALUE!,1.933145333,1430.290937,3.285708916,884.0081598,884.0081598,,1.01766036,313.15,0.019073334,0.002,0.072765498,,2.33E-05,1.82E-09,0,4.88E-10,2.30E-09,0.0011,,0.001212033,9.43E-08,0,5.26E-07,6.20E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 10:55,50,1.6,FCR,1,2/1/22 14:14,186,,21,30.466,26.44,1185,NM,0.138574467,32.17063235,#VALUE!,2.217191474,1415.507823,3.79022994,879.9174657,879.9174657,,1.012241542,313.15,0.019073334,0.002,0.072765498,,2.68E-05,2.08E-09,0,5.60E-10,2.64E-09,0.0011,,0.001199506,9.34E-08,0,5.20E-07,6.14E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:05,50,0.1,FCR,1,2/1/22 12:43,102,,21,30.466,120.22,900,NM,0.630084056,24.43339166,#VALUE!,10.08134489,1075.069233,17.23379135,668.2917461,668.2917461,,1.012241542,313.15,0.019073334,0.002,0.072765498,,0.000121692,9.47E-09,0,2.55E-09,1.20E-08,0.0011,,0.000911017,7.09E-08,0,3.95E-07,4.66E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:05,50,0.1,FCR,2,2/1/22 16:17,42,,21,30.466,78.33,607,NM,0.41053472,16.47896526,#VALUE!,6.568555527,725.0744715,11.22877122,450.7256554,450.7256554,,1.012241542,313.15,0.019073334,0.002,0.072765498,,7.93E-05,6.17E-09,0,1.66E-09,7.83E-09,0.0011,,0.000614431,4.78E-08,0,2.66E-07,3.14E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:16,50,3.8,FCR,1,2/1/22 15:46,69,,21,30.466,27.33,589,NM,0.143239039,15.99029743,#VALUE!,2.291824621,703.5730868,3.917813323,437.3598205,437.3598205,,1.012241542,313.15,0.019073334,0.002,0.072765498,,2.77E-05,2.15E-09,0,5.79E-10,2.73E-09,0.0011,,0.00059621,4.64E-08,0,2.59E-07,3.05E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:16,50,3.8,FCR,2,2/1/22 17:49,132,,21,30.466,26.96,1383,NM,0.141299835,37.54597851,#VALUE!,2.260797357,1652.023055,3.86477304,1026.94165,1026.94165,,1.012241542,313.15,0.019073334,0.002,0.072765498,,2.73E-05,2.12E-09,0,5.71E-10,2.70E-09,0.0011,,0.00139993,1.09E-07,0,6.07E-07,7.16E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:23,50,5,FCR,1,2/1/22 16:48,192,,21,30.466,25.8,1798,NM,0.135220168,48.81248689,#VALUE!,2.163522694,2147.749423,3.698484586,1335.098399,1335.098399,,1.012241542,313.15,0.019073334,0.002,0.072765498,,2.61E-05,2.03E-09,0,5.46E-10,2.58E-09,0.0011,,0.00182001,1.42E-07,0,7.89E-07,9.31E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:23,50,5,FCR,2,2/1/22 17:18,197,,21,30.466,25.42,1644,NM,0.133228553,44.63166209,#VALUE!,2.131656855,1963.793132,3.644010782,1220.746256,1220.746256,,1.012241542,313.15,0.019073334,0.002,0.072765498,,2.57E-05,2.00E-09,0,5.38E-10,2.54E-09,0.0011,,0.001664125,1.30E-07,0,7.22E-07,8.51E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:30,50,6.2,FCR,1,2/1/22 12:12,71,,21,30.466,10.21,3670,NM,0.053511547,99.63394153,#VALUE!,0.856184756,4383.893427,1.463625102,2725.145231,2725.145231,,1.012241542,313.15,0.019073334,0.002,0.072765498,,1.03E-05,8.04E-10,0,2.16E-10,1.02E-09,0.0011,,0.003714926,2.89E-07,0,1.61E-06,1.90E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:30,50,6.2,FCR,2,2/1/22 13:44,104,,21,30.466,10.33,3972,NM,0.054140478,107.8327018,#VALUE!,0.866247652,4744.638881,1.480827355,2949.394239,2949.394239,,1.012241542,313.15,0.019073334,0.002,0.072765498,,1.05E-05,8.14E-10,0,2.19E-10,1.03E-09,0.0011,,0.004020623,3.13E-07,0,1.74E-06,2.06E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:35,50,8,FCR,1,2/1/22 11:41,168,,21,30.466,5.22,7672,NM,0.027358499,208.2810898,#VALUE!,0.437735987,9164.367949,0.748298044,5696.815862,5696.815862,,1.012241542,313.15,0.019073334,0.002,0.072765498,,5.28E-06,4.11E-10,0,1.11E-10,5.22E-10,0.0011,,0.007765917,6.04E-07,0,3.37E-06,3.97E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:35,50,8,FCR,2,2/1/22 14:45,164,,21,30.466,4.17,7185,NM,0.021855353,195.0599101,#VALUE!,0.349685645,8582.636042,0.597778323,5335.195773,5335.195773,,1.012241542,313.15,0.019073334,0.002,0.072765498,,4.22E-06,3.29E-10,0,8.83E-11,4.17E-10,0.0011,,0.007272955,5.66E-07,0,3.15E-06,3.72E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:42,50,9,FCR,1,2/1/22 13:13,191,,21,30.466,4.49,8465,NM,0.023532502,229.8096226,#VALUE!,0.376520035,10111.6234,0.643651,6285.655145,6285.655145,,1.012241542,313.15,0.019073334,0.002,0.072765498,,4.54E-06,3.54E-10,0,9.51E-11,4.49E-10,0.0011,,0.008568625,6.67E-07,0,3.72E-06,4.38E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:42,50,9,FCR,2,2/1/22 15:16,125,,21,30.466,7.52,8957,NM,0.03941301,243.1665434,#VALUE!,0.630608165,10699.32791,1.07800791,6650.987966,6650.987966,,1.012241542,313.15,0.019073334,0.002,0.072765498,,7.61E-06,5.92E-10,0,1.59E-10,7.52E-10,0.0011,,0.009066647,7.06E-07,0,3.93E-06,4.64E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
1/31/22 11:45,50,1.6,FCR,2,2/1/22 11:11,73,Went back and grabbed a new sample at the end-forgot it earlier,21,30.466,22.15,1737,NM,0.116090183,47.1564459,#VALUE!,1.857442933,2074.883619,3.175249363,1289.80307,1289.80307,,1.012241542,313.15,0.019073334,0.002,0.072765498,,2.24E-05,1.75E-09,0,4.69E-10,2.21E-09,0.0011,,0.001758264,1.37E-07,0,7.63E-07,8.99E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 10:02,50,0.1,BVR,1,2/25/22 21:03,105,,20.6,30.169,4.77,1538,NM,0.024772668,41.37425793,#VALUE!,0.396362686,1820.467349,0.68427597,1142.848668,1142.848668,,1.003036626,313.15,0.019073334,0.002,0.072765498,,4.78E-06,3.72E-10,0,1.00E-10,4.72E-10,0.001097002,,0.00154267,1.20E-07,0,6.69E-07,7.89E-07,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 10:02,50,0.1,BVR,2,2/25/22 21:34,172,,20.6,30.169,3.97,1757,NM,0.020617923,47.26565097,#VALUE!,0.329886764,2079.688643,0.569512705,1305.581996,1305.581996,,1.003036626,313.15,0.019073334,0.002,0.072765498,,3.98E-06,3.10E-10,0,8.33E-11,3.93E-10,0.0011,,0.001762335,1.37E-07,0,7.64E-07,9.02E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 10:14,50,3,BVR,1,2/25/22 23:05,99,,20.6,30.169,4.57,11171,NM,0.023733982,300.5148475,#VALUE!,0.379743706,13222.65329,0.655585154,8300.885869,8300.885869,,1.003036626,313.15,0.019073334,0.002,0.072765498,,4.58E-06,3.57E-10,0,9.59E-11,4.53E-10,0.001097002,,0.011204922,8.72E-07,0,4.86E-06,5.73E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 10:14,50,3,BVR,2,2/26/22 1:38,22,,20.6,30.169,4.41,1350,NM,0.022903033,36.31680638,#VALUE!,0.366448521,1597.939481,0.632632501,1003.150651,1003.150651,,1.003036626,313.15,0.019073334,0.002,0.072765498,,4.42E-06,3.44E-10,0,9.26E-11,4.37E-10,0.001097002,,0.001354099,1.05E-07,0,5.87E-07,6.93E-07,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 10:30,50,6,BVR,1,2/25/22 19:31,130,,20.6,30.169,5.55,1455,NM,0.028823544,39.14144687,#VALUE!,0.46117671,1722.223662,0.796170154,1081.17348,1081.17348,,1.003036626,313.15,0.019073334,0.002,0.072765498,,5.57E-06,4.33E-10,0,1.16E-10,5.50E-10,0.001097002,,0.001459418,1.14E-07,0,6.33E-07,7.47E-07,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 10:30,50,6,BVR,2,2/25/22 20:02,206,,20.6,30.169,5.81,1447,NM,0.030173837,38.92623617,#VALUE!,0.482781385,1712.754392,0.833468215,1075.228883,1075.228883,,1.003036626,313.15,0.019073334,0.002,0.072765498,,5.83E-06,4.54E-10,0,1.22E-10,5.76E-10,0.001097002,,0.001451394,1.13E-07,0,6.29E-07,7.42E-07,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 10:43,50,9,BVR,1,2/26/22 2:09,175,,20.6,30.169,6.2,1561,NM,0.032199275,41.99298871,#VALUE!,0.515188397,1847.691503,0.889415307,1159.939383,1159.939383,,1.003036626,313.15,0.019073334,0.002,0.072765498,,6.22E-06,4.84E-10,0,1.30E-10,6.14E-10,0.0011,,0.00156574,1.22E-07,0,6.79E-07,8.01E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 10:43,50,9,BVR,2,2/26/22 3:10,66,,20.6,30.169,6.01,1557,NM,0.031212523,41.88538336,#VALUE!,0.499400366,1842.956868,0.862159032,1156.967084,1156.967084,,1.003036626,313.15,0.019073334,0.002,0.072765498,,6.03E-06,4.69E-10,0,1.26E-10,5.95E-10,0.0011,,0.001561728,1.22E-07,0,6.77E-07,7.99E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 12:52,50,1.6,FCR,1,2/25/22 19:00,143,,20.6,30.169,12.27,1693,NM,0.063723404,45.54396533,#VALUE!,1.019574457,2003.934475,1.760181584,1258.025224,1258.025224,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.23E-05,9.58E-10,0,2.58E-10,1.22E-09,0.001097002,,0.001698141,1.32E-07,0,7.37E-07,8.69E-07,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 12:52,50,1.6,FCR,2,2/25/22 23:36,137,,20.6,30.169,14.37,2078,NM,0.07462961,55.90098049,#VALUE!,1.194073753,2459.643141,2.061435156,1544.108928,1544.108928,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.44E-05,1.12E-09,0,3.02E-10,1.42E-09,0.0011,,0.00208431,1.62E-07,0,9.04E-07,1.07E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 13:07,50,3.8,FCR,1,2/25/22 16:27,7,,20.6,30.169,11.95,2128,NM,0.062061506,57.24604739,#VALUE!,0.992984088,2518.826085,1.714276278,1581.262656,1581.262656,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.20E-05,9.33E-10,0,2.51E-10,1.18E-09,0.001097002,,0.002134462,1.66E-07,0,9.26E-07,1.09E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:07,50,3.8,FCR,2,2/25/22 17:29,134,,20.6,30.169,11.2,2046,NM,0.058166432,55.04013767,#VALUE!,0.930662911,2421.766057,1.606685716,1520.330542,1520.330542,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.12E-05,8.74E-10,0,2.35E-10,1.11E-09,0.001097002,,0.002052213,1.60E-07,0,8.90E-07,1.05E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:08,50,0.1,FCR,1,2/26/22 1:08,133,,20.6,30.169,15.56,1489,NM,0.080809793,40.05609237,#VALUE!,1.292956687,1762.468064,2.232145513,1106.438014,1106.438014,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.56E-05,1.21E-09,0,3.27E-10,1.54E-09,0.0011,,0.001493522,1.16E-07,0,6.48E-07,7.64E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 13:08,50,0.1,FCR,2,2/26/22 2:40,205,,20.6,30.169,13.77,2219,NM,0.071513551,59.69406915,#VALUE!,1.144216811,2626.539043,1.975362706,1648.882441,1648.882441,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.38E-05,1.08E-09,0,2.89E-10,1.36E-09,0.0011,,0.002225738,1.73E-07,0,9.65E-07,1.14E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 13:14,50,5,FCR,1,2/25/22 17:59,151,,20.6,30.169,14.14,2227,NM,0.07343512,59.90927986,#VALUE!,1.174961925,2636.008314,2.028440717,1654.827037,1654.827037,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.42E-05,1.10E-09,0,2.97E-10,1.40E-09,0.001097002,,0.002233763,1.74E-07,0,9.69E-07,1.14E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:14,50,5,FCR,2,2/25/22 20:32,114,,20.6,30.169,14.39,2516,NM,0.074733478,67.68376655,#VALUE!,1.195735651,2978.085728,2.064304237,1869.575584,1869.575584,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.44E-05,1.12E-09,0,3.02E-10,1.43E-09,0.001097002,,0.00252364,1.96E-07,0,1.09E-06,1.29E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:18,50,6.2,FCR,1,2/25/22 18:30,18,,20.6,30.169,11.75,2159,NM,0.061022819,58.07998887,#VALUE!,0.976365107,2555.51951,1.685585461,1604.297967,1604.297967,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.18E-05,9.17E-10,0,2.47E-10,1.16E-09,0.001097002,,0.002165556,1.69E-07,0,9.39E-07,1.11E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:18,50,6.2,FCR,2,2/25/22 22:35,21,,20.6,30.169,12.61,2415,NM,0.06548917,64.96673141,#VALUE!,1.047826724,2858.536182,1.808955972,1794.525054,1794.525054,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.26E-05,9.84E-10,0,2.65E-10,1.25E-09,0.0011,,0.002422333,1.89E-07,0,1.05E-06,1.24E-06,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
2/24/22 13:23,50,8,FCR,1,2/25/22 16:58,208,,20.6,30.169,9.94,2474,NM,0.051622708,66.55391036,#VALUE!,0.825963333,2928.372056,1.425933573,1838.366452,1838.366452,,1.003036626,313.15,0.019073334,0.002,0.072765498,,9.97E-06,7.76E-10,0,2.09E-10,9.85E-10,0.001097002,,0.002481513,1.93E-07,0,1.08E-06,1.27E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:23,50,8,FCR,2,2/25/22 22:04,136,,20.6,30.169,11.12,1638,NM,0.057750957,44.06439174,#VALUE!,0.924015319,1938.833237,1.59520939,1217.156123,1217.156123,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.12E-05,8.68E-10,0,2.33E-10,1.10E-09,0.001097002,,0.001642974,1.28E-07,0,7.13E-07,8.40E-07,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:28,50,9,FCR,1,2/26/22 0:07,27,,20.6,30.169,10.48,2288,NM,0.054427161,61.55026148,#VALUE!,0.870834581,2708.211505,1.503398777,1700.154585,1700.154585,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.05E-05,8.18E-10,0,2.20E-10,1.04E-09,0.001097002,,0.002294948,1.79E-07,0,9.95E-07,1.17E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
2/24/22 13:28,50,9,FCR,2,2/26/22 0:37,177,Vial number 77,20.6,30.169,10.31,2466,NM,0.053544278,66.33869965,#VALUE!,0.856708447,2918.902785,1.479011583,1832.421856,1832.421856,,1.003036626,313.15,0.019073334,0.002,0.072765498,,1.03E-05,8.05E-10,0,2.16E-10,1.02E-09,0.001097002,,0.002473488,1.93E-07,0,1.07E-06,1.27E-06,0.02273919,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.015759424,,78.81297419,15.21521999,#VALUE!
3/17/22 10:50,50,0.1,FCR,1,3/23/22 17:11,147,,20.2,29.898,22.8,1723,NM,0.117430139,45.96735181,#VALUE!,1.878882217,2022.563479,3.272889734,1281.153847,1281.153847,,0.994734353,313.15,0.019073334,0.002,0.072765498,,2.27E-05,1.77E-09,0,4.75E-10,2.24E-09,0.0011,,0.001713927,1.33E-07,0,7.43E-07,8.77E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
3/17/22 10:50,50,0.1,FCR,2,3/23/22 19:44,26,,20.2,29.898,24.77,1624,NM,0.127576515,43.32616328,#VALUE!,2.041224233,1906.351184,3.555678891,1207.541409,1207.541409,,0.994734353,313.15,0.019073334,0.002,0.072765498,,2.46E-05,1.92E-09,0,5.16E-10,2.43E-09,0.0011,,0.001615449,1.26E-07,0,7.01E-07,8.26E-07,0.02274,,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0.01576,,78.81297419,15.21521999,#VALUE!
