"Reading Date","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"11/03/15 16:45:09","12.937","26.528","13.711","9.150","13.010","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 16:30:09","12.875","26.527","13.801","9.150","13.010","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 16:15:09","12.875","26.532","13.741","9.139","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 16:00:09","12.875","26.526","13.741","9.160","13.020","","",""
"- null date -","","","","","","","",""
"11/03/15 16:00:00","","","","","","21.911","14.079","19.994"
"- null date -","","","","","","","",""
"11/03/15 15:45:09","12.875","26.509","13.950","9.169","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 15:30:09","12.875","26.515","13.979","9.160","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 15:15:09","12.875","26.516","13.979","9.160","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 15:00:09","12.875","26.502","13.979","9.150","13.000","","",""
"- null date -","","","","","","","",""
"11/03/15 15:00:00","","","","","","24.801","14.062","21.053"
"- null date -","","","","","","","",""
"11/03/15 14:45:09","12.875","26.518","13.979","9.139","13.010","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 14:30:09","12.875","26.511","13.979","9.099","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 14:15:09","12.875","26.501","13.979","9.110","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 14:00:09","12.875","26.502","13.979","9.150","13.000","","",""
"- null date -","","","","","","","",""
"11/03/15 14:00:00","","","","","","25.594","14.079","21.237"
"- null date -","","","","","","","",""
"11/03/15 13:45:09","12.875","26.509","13.950","9.160","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 13:30:09","12.875","26.505","13.979","9.139","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 13:15:09","12.875","26.500","13.979","9.129","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 13:00:09","12.875","26.515","13.950","9.129","12.990","","",""
"- null date -","","","","","","","",""
"11/03/15 13:00:00","","","","","","26.166","14.062","20.896"
"- null date -","","","","","","","",""
"11/03/15 12:45:09","12.875","26.518","13.979","9.129","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 12:30:09","12.875","26.521","13.979","9.139","12.990","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 12:15:09","12.875","26.527","13.979","9.120","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 12:00:09","12.875","26.532","13.950","9.099","13.000","","",""
"- null date -","","","","","","","",""
"11/03/15 12:00:00","","","","","","19.842","14.070","21.359"
"- null date -","","","","","","","",""
"11/03/15 11:45:09","12.875","26.534","13.979","9.099","13.000","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 11:30:09","12.875","26.525","13.979","9.139","12.990","","",""
"- null date -","","","","","","","",""
