"","Reservoir","Site","Depth_m","Filter","DataStream","Sample_ID","Sample_Date","start_parameter","end_parameter","flag","notes"
"71","FCR",100.1,0.1,"T","Metals",30,2020-09-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"72","FCR",100.1,0.1,"T","Metals",29,2020-09-30,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"73","FCR",100.1,0.1,"T","Metals",29,2021-09-14,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"74","FCR",100.1,0.1,"T","Metals",30,2021-09-14,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"75","FCR",100.1,0.1,"T","Metals",29,2021-09-27,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"76","FCR",100.1,0.1,"T","Metals",30,2021-09-27,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"77","FCR",100.1,0.1,"T","Metals",29,2022-09-13,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"78","FCR",100.1,0.1,"T","Metals",30,2022-09-13,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"79","FCR",100.1,0.1,"T","Metals",29,2023-09-12,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"80","FCR",100.1,0.1,"T","Metals",30,2023-09-12,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"81","FCR",100.1,0.1,"T","Metals",29,2020-10-05,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"82","FCR",100.1,0.1,"T","Metals",29,2021-10-11,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"83","FCR",100.1,0.1,"T","Metals",30,2021-10-11,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"84","FCR",100.1,0.1,"T","Metals",29,2021-10-25,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"85","FCR",100.1,0.1,"T","Metals",30,2021-10-25,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"86","FCR",100.1,0.1,"T","Metals",29,2022-10-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"87","FCR",100.1,0.1,"T","Metals",29,2022-10-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"88","FCR",100.1,0.1,"T","Metals",30,2022-10-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"89","FCR",100.1,0.1,"T","Metals",29,2023-10-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"90","FCR",100.1,0.1,"T","Metals",30,2023-10-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"91","FCR",100.1,0.1,"T","Metals",29,2023-10-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"92","FCR",100.1,0.1,"T","Metals",30,2023-10-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
