"Reservoir","DateTime","Site","Duration_days","Depth_m","TrapRep","TrapXSA_m2","TrapVol_L","CollectionVol_L","FilterRep","FilterVol_L","FilterMassPre_g","FilterMassPost_g","SedMass_g","SedFlux_gm2d","FilterID","Flag_CollectionVol_L","Flag_SedMass_g"
"FCR",2022-06-13,50,13,4,2,0.0040715,2,1815,3,139,0.108,0.126,0.018,4.44054773279592,"F_sed_4m_R2_F3_13Jun22",1,1
"FCR",2022-06-13,50,13,4,2,0.0040715,2,1815,4,140,0.108,0.126,0.018,4.40882953470452,"F_sed_4m_R2_F4_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,1,83,0.108,0.111,0.003,1.20938320204746,"F_sed_8m_R1_F1_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,2,78,0.108,0.111,0.003,1.28690776628127,"F_sed_8m_R1_F2_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,3,81,0.107,0.111,0.004,1.65232602090435,"F_sed_8m_R1_F3_13Jun22",1,1
"FCR",2022-06-13,50,13,8,1,0.0040715,2,1771,4,79,0.108,0.111,0.003,1.27061779455619,"F_sed_8m_R1_F4_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,1,81,0.107,0.109,0.002,0.832227448134772,"F_sed_8m_R2_F1_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,2,78,0.106,0.11,0.004,1.72847239227991,"F_sed_8m_R2_F2_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,3,80,0.107,0.109,0.002,0.842630291236457,"F_sed_8m_R2_F3_13Jun22",1,1
"FCR",2022-06-13,50,13,8,2,0.0040715,2,1784,4,80,0.108,0.112,0.004,1.68526058247291,"F_sed_8m_R2_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,1,144,0.107,0.116,0.00900000000000001,2.0085680008313,"B_sed_4m_R1_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,2,138,0.107,0.117,0.01,2.32877449371745,"B_sed_4m_R1_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,3,138,0.107,0.118,0.011,2.56165194308919,"B_sed_4m_R1_F3_13Jun22",1,1
"BVR",2022-06-13,50,13,4,1,0.0040715,2,1701,4,141,0.107,0.119,0.012,2.73507132028091,"B_sed_4m_R1_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,1,139,0.106,0.116,0.01,2.43570907167747,"B_sed_4m_R2_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,2,145,0.107,0.115,0.00800000000000001,1.86793688807265,"B_sed_4m_R2_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,3,139,0.107,0.113,0.00600000000000001,1.46142544300648,"B_sed_4m_R2_F3_13Jun22",1,1
"BVR",2022-06-13,50,13,4,2,0.0040715,2,1792,4,139,0.107,0.113,0.00600000000000001,1.46142544300648,"B_sed_4m_R2_F4_13Jun22",1,1
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,1,84,0.106,0.112,0.00600000000000001,2.36163198216496,"B_sed_8m_R1_F1_13Jun22",1,1
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,2,82,0.107,0.114,0.00700000000000001,2.82243822258739,"B_sed_8m_R1_F2_13Jun22",1,1
"BVR",2022-06-13,50,13,8,1,0.0040715,2,1750,3,84,0.108,0.115,0.00700000000000001,2.75523731252578,"B_sed_8m_R1_F3_13Jun22",1,1
