"Sample","Date","Fe_ppb","Mn_ppb","Filter1ID","Filter2ID","Rack","Carousel","SampleNum","Filter1Mass_g","Filter2Mass_g","AcidVol_L","Vol_acid_used_in_dilution_L","Vol_diluted_L","Duration_days","Reservoir","Depth_m","Site","TrapXSA_m2","CombinedCollectionVol_L","CombinedFilterVol_L","CombinedSedMass_g","CombinedXSA_m2","ICPTFe_mgL","ICPTMn_mgL","DilutionFactor","TFe_g","TMn_g"
"3",2022-08-08,125528.334536188,1146.803898211,"F_sed_8m_R1_F1_08Aug22","F_sed_8m_R1_F2_08Aug22",27,NA,61,0.044,0.039,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3578,262,0.083,0.008143,125.528334536188,1.146803898211,20,0.342855252649223,0.00313226286091523
"4",2022-08-08,139613.036518581,1132.90197633863,"F_sed_8m_R2_F1_08Aug22","F_sed_8m_R2_F2_08Aug22",28,NA,62,0.04,0.04,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3496,238,0.08,0.008143,139.613036518581,1.13290197633863,20,0.410157290478116,0.00332825656242003
"5",2022-08-08,8621.6982972328,721.529084181817,"B_sed_4m_R1_F1_08Aug22","B_sed_4m_R1_F2_08Aug22",29,NA,63,0.012,0.013,0.01,0.005,0.01,14,"BVR",4,50,0.0040715,3522,240,0.025,0.008143,8.6216982972328,0.721529084181817,20,0.0253046845023783,0.00211768786207363
"6",2022-08-08,8898.67575272617,534.771603326824,"B_sed_4m_R2_F1_08Aug22","B_sed_4m_R2_F2_08Aug22",30,NA,64,0.01,0.015,0.01,0.005,0.01,14,"BVR",4,50,0.0040715,3432,238,0.025,0.008143,8.89867575272617,0.534771603326824,20,0.0256640799860136,0.00154229927951064
"7",2022-08-08,27008.3988494499,332.351635353726,"B_sed_8m_R1_F1_08Aug22","B_sed_8m_R1_F2_08Aug22",31,NA,65,0.014,0.021,0.01,0.005,0.01,14,"BVR",8,50,0.0040715,3494,200,0.035,0.008143,27.0083988494499,0.332351635353726,20,0.0943673455799778,0.00116123661392592
"8",2022-08-08,20619.2298119625,244.35181052914,"B_sed_8m_R2_F1_08Aug22","B_sed_8m_R2_F2_08Aug22",32,NA,66,0.014,0.015,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,3446,160,0.029,0.008143,20.6192298119625,0.24435181052914,20,0.0888173324150287,0.00105254542385427
"1",2022-08-22,16251.0831325017,221.802537527557,"F_sed_4m_R1_F1_22Aug22","F_sed_4m_R1_F2_22Aug22",1,NA,69,0.01,0.011,0.01,5e-04,0.01,14,"FCR",4,50,0.0040715,3604,276,0.021,0.008143,16.2510831325017,0.221802537527557,20,0.0424412344996638,0.000579258221195157
"2",2022-08-22,20478.0739239681,298.797724035188,"F_sed_4m_R2_F1_22Aug22","F_sed_4m_R2_F2_22Aug22",2,NA,70,0.01,0.00900000000000001,0.01,5e-04,0.01,14,"FCR",4,50,0.0040715,3592,282,0.019,0.008143,20.4780739239681,0.298797724035188,20,0.0521682564077259,0.000761192499811628
"3",2022-08-22,63884.3282701245,350.519907709863,"F_sed_8m_R1_F1_22Aug22","F_sed_8m_R1_F2_22Aug22",3,NA,71,0.022,0.021,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3636,156,0.043,0.008143,63.8843282701245,0.350519907709863,20,0.297799253320734,0.00163396203132444
"4",2022-08-22,110520.91014743,578.582582265288,"F_sed_8m_R2_F1_22Aug22","F_sed_8m_R2_F2_22Aug22",4,NA,72,0.024,0.026,0.01,5e-04,0.01,14,"FCR",8,50,0.0040715,3682,164,0.05,0.008143,110.52091014743,0.578582582265288,20,0.496265842881509,0.00259797691207414
"5",2022-08-22,13967.453851124,741.512274138554,"B_sed_4m_R1_F1_22Aug22","B_sed_4m_R1_F2_22Aug22",5,NA,73,0.014,0.013,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3594,276,0.027,0.008143,13.967453851124,0.741512274138554,20,0.0363761080731448,0.00193115587916954
"6",2022-08-22,10254.2264670597,934.934314418463,"B_sed_4m_R2_F1_22Aug22","B_sed_4m_R2_F2_22Aug22",6,NA,74,0.005,0.011,0.01,5e-04,0.01,14,"BVR",4,50,0.0040715,3600,282,0.016,0.008143,10.2542264670597,0.934934314418463,20,0.0261810037456842,0.00238706633468544
"7",2022-08-22,26269.6802026576,308.925374854676,"B_sed_8m_R1_F1_22Aug22","B_sed_8m_R1_F2_22Aug22",7,NA,75,0.014,0.014,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,3314,164,0.028,0.008143,26.2696802026576,0.308925374854676,20,0.106167951453179,0.00124851060032731
"8",2022-08-22,25274.2145151166,309.791453352987,"B_sed_8m_R2_F1_22Aug22","B_sed_8m_R2_F2_22Aug22",8,NA,76,0.00900000000000001,0.01,0.01,5e-04,0.01,14,"BVR",8,50,0.0040715,940,166,0.019,0.008143,25.2742145151166,0.309791453352987,20,0.0286238092098911,0.00035084815199013
"1",2022-09-05,17494.2811534181,232.057629229631,"F_sed_4m_R1_F1_05Sep22","F_sed_4m_R1_F2_05Sep22",9,NA,77,0.011,0.012,0.01,5e-04,0.01,14,"FCR",4,50,0.0040715,3666,279,0.023,0.008143,17.4942811534181,0.232057629229631,20,0.0459742184289827,0.000609837468642171
