ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/25/2025 - 80,1.4,"1,820.8","1,713.5",17.6,"4,077.1",0.7,5.0,-1.6,"1,500.2","2,781.1",0.4,-0.9,0.1,53.1,25.1,0.1,0.7,0.3,3.1,-0.1,-0.7,14.8,-0.1,0.0,0.0,0.0,32.9,0.1,0.0
06/30/2025 - 1,0.4,"2,782.4","1,048.1",27.2,"6,776.9",15.5,1.9,-1.6,"1,342.6","2,247.3",1.0,-0.6,0.1,574.3,34.9,0.1,0.1,0.8,-0.5,-0.2,-0.5,15.6,-0.2,0.0,0.0,0.0,17.5,0.2,0.0
06/30/2025 - 2,0.3,"2,694.4",964.6,19.2,"6,792.4",4.7,1.8,-1.5,"1,287.5","2,074.4",0.8,-0.7,0.1,325.5,10.0,0.0,0.2,1.1,3.2,-0.2,-0.6,14.3,-0.2,0.0,0.0,0.0,15.4,0.3,0.0
06/30/2025 - 3,0.3,"2,715.4","1,014.9",22.9,"6,801.9",16.1,1.6,-1.7,"1,290.2","2,180.5",0.9,-0.6,0.1,611.9,35.7,0.1,0.1,0.8,-0.6,-0.2,-0.5,15.1,-0.2,0.0,0.0,0.0,16.3,0.2,0.0
06/30/2025 - 4,0.3,"2,781.9",993.2,19.5,"6,781.6",5.1,1.5,-1.6,"1,317.1","2,106.5",0.7,-0.7,0.1,338.8,6.2,0.1,0.2,1.0,2.0,-0.3,-0.5,14.6,-0.2,0.0,0.0,0.0,14.6,0.2,0.0
06/30/2025 - 5,0.3,"2,640.9","1,125.3",16.2,"6,262.8",24.0,2.0,-1.6,"1,243.6","2,682.3",0.8,-0.8,0.2,"2,657.6",628.9,1.1,0.2,1.1,0.0,-0.3,-0.7,19.1,-0.2,0.0,0.0,0.0,64.3,0.1,0.0
06/30/2025 - 6,0.3,"2,735.6","1,157.1",5.4,"6,301.1",1.4,1.9,-1.6,"1,281.7","2,763.1",0.7,-0.9,0.2,"1,754.9",636.8,1.1,0.2,0.3,2.5,-0.3,-0.4,19.7,0.0,0.0,0.0,0.1,48.4,0.1,0.0
06/30/2025 - 7,0.3,"2,552.8","1,113.4",13.5,"7,578.3",14.1,2.1,-1.6,"1,316.5","2,712.6",0.9,-0.8,0.2,"2,792.1","1,268.2",2.2,0.3,2.2,0.4,-0.3,-0.5,19.0,-0.1,0.0,0.0,0.0,46.9,0.1,0.0
06/30/2025 - 8,0.3,"2,505.0","1,091.3",3.1,"7,377.5",0.7,1.9,-1.6,"1,304.0","2,683.8",0.6,-1.0,0.1,76.2,"1,128.0",1.7,0.4,1.2,10.8,-0.3,-0.5,18.5,-0.1,0.0,0.0,0.0,44.9,0.1,0.0
06/30/2025 - 9,0.3,"2,595.3","1,123.2",15.3,"7,264.5",18.3,2.0,-1.7,"1,344.2","2,740.7",1.3,-0.8,0.2,"3,167.2","1,163.6",2.0,0.3,2.1,0.6,-0.3,-0.6,19.4,-0.2,0.0,0.0,0.0,48.3,0.1,0.0
