Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH,Notes 
FCR,50,4/4/20 16:25,8,7,5.85,48.8,,,,,0,0,0,1,1,1,1,
FCR,50,4/4/20 16:28,9,6.9,4.84,38.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 15:40,0.1,14.8,9.81,97.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 15:43,1.6,14.7,9.81,97.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 15:46,2.8,14.1,10.01,97.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 15:49,3.8,10.1,8.3,73.4,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 15:53,5,8,5.23,44,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 15:56,6.2,7.7,5.08,42.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 16:00,8,7.4,4.84,40.4,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 16:03,9,7.3,4.64,38.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/10/20 16:05,10,7.2,4.29,35.4,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:50,0.1,14.4,10.02,99,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:53,1.6,15.7,9.89,96.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:55,2.8,13.1,10.13,96.1,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:57,3.8,11.8,10.43,97.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:00,5,9.1,6.04,52.4,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:03,6.2,7.9,4.96,42,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:05,8,7.4,4.47,37.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:08,9,7.3,4.07,33.5,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:24,0.1,12.2,12.1,112.3,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:25,1,12.1,12.17,112.5,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:26,2,10.3,12.8,113,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:27,3,9.2,12.55,109,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:27,4,8.5,12.11,102.7,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:28,5,7.6,10.91,90.3,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:29,6,7,9.92,81,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:30,7,6.7,9.17,74.9,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:31,8,6.7,9.15,74.5,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:32,9,6.6,8.14,65.8,,,,,0,0,0,1,1,1,1,
FCR,50,3/24/20 14:33,10,6.6,6.62,57.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:00,0.1,13.9,10.09,97.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:02,1,13.8,10.12,97.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:05,1.6,13.8,10.05,96.7,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:09,3.8,13.7,9.93,96,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:12,4.1,12.4,8.88,82.8,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:15,4.4,11.6,7.29,67.1,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:17,4.7,10.5,5.08,44.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:20,5,10.2,4.25,37.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:22,5.3,9.9,3.79,33.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:24,5.6,9.5,3.22,28.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:27,5.9,8.9,2.77,23.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:29,6.2,8.6,2.49,21.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:31,6.5,8.2,2.37,19.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:32,6.8,8.1,2.4,20.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:34,7.1,8,2.47,20.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:36,7.4,7.9,2.41,20.1,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:37,7.7,7.8,2.18,17.8,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:38,8,7.7,1.63,13.4,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:40,8.3,7.7,1.37,11.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:41,8.7,7.7,1.11,9.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:43,9,7.6,1.02,8.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/27/20 11:45,9.3,7.6,0.99,8.2,,,,,0,0,0,1,1,1,1,
FCR,50,5/25/20 11:05,0.1,18.4,10.06,106.2,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,1,15.9,11.11,111,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,1.6,14.5,11.63,112,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,2,13.8,10.86,104,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,3,13,9.68,91,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,4,12.5,46.6,5.05,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,4.1,12.2,5.52,33,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,4.2,11.9,2.77,25.3,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,4.3,11.9,1.6,14.8,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,4.7,11.6,0.79,7.2,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,5,11.3,0.61,5.6,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,5.3,11.2,0.58,5.1,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,5.7,10.5,0.55,5,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,6,10.4,0.55,4.9,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,6.3,9.7,0.56,4.8,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,6.8,9.3,0.55,4.6,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,7.1,9,0.55,4.8,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,7.4,8.8,0.56,4.8,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,7.7,8.8,0.55,4.7,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,8,8.7,0.56,4.6,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,8.3,8.6,0.54,4.5,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,8.7,8.5,0.54,4.5,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,9,8.5,0.55,4.6,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,9.3,8.4,0.53,4.5,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,5/25/20 11:05,10,8.3,0.54,4.5,,,,,0,0,0,1,1,1,1,Only one time recorded for all YSI casts
FCR,50,4/20/20 10:13,0.1,12.1,11.04,104.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:15,1,12.5,11,104.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:17,1.6,12.6,10.93,103.7,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:18,3.8,11.8,8.79,81.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:20,4.1,11,7.62,70.1,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:22,4.4,10.8,7.32,66.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:24,4.7,10.1,5.8,52,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:25,5,9.4,4.62,40,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:26,5.3,9.1,4.31,37,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:28,5.6,8.6,3.88,33.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:29,5.9,8.4,3.69,31.5,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:31,6.2,8.1,3.55,30.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:32,6.5,8,3.52,29.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:33,6.8,7.9,3.53,29.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:34,7.1,7.8,3.57,30.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:35,7.4,7.8,3.54,29.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:36,7.7,7.7,3.47,29.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:37,8,7.7,3.43,28.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:38,8.3,7.6,3.4,28.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:39,8.7,7.6,3.2,26.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:40,9,7.5,2.71,22.9,,,,,0,0,0,1,1,1,1,
FCR,50,4/20/20 10:41,9.3,7.5,2.21,18.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:03,0.1,20.4,9.22,102.2,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:05,1,19.1,10.12,108.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:06,1.6,17.1,10.75,110.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:08,3.8,13.7,10.79,102.9,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:09,4.1,12.6,5.15,47.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:11,4.2,12.1,4.51,41.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:12,4.3,12,3.2,29,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:13,4.4,11.8,2.57,23.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:14,4.5,11.8,2.07,19,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:15,4.6,11.6,1.56,14.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:17,4.7,11.5,1.23,11.3,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:18,5,11.2,0.77,7.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:18,5.3,10.8,0.62,5.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:19,5.6,10.4,0.57,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:20,5.9,10,0.57,5,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:21,6.2,9.6,0.54,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:22,6.5,9.3,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:23,6.8,9.1,0.54,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:24,7.1,8.8,0.53,4.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:25,7.4,8.7,0.54,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:25,7.7,8.6,0.54,4.4,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:26,8,8.6,0.54,4.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:27,8.3,8.5,0.53,4.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:27,8.6,8.5,0.53,4.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:28,8.7,8.4,0.54,4.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:28,9,8.4,0.52,4.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/18/20 10:29,9.3,8.4,0.53,4.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:50,0.1,14.4,10.02,99,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:53,1.6,13.7,9.89,96.2,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:55,2.8,13.1,10.13,96.1,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 13:57,3.8,11.8,10.43,97.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:00,5,9.1,6.04,52.4,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:03,6.2,7.9,4.96,42,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:05,8,7.4,4.47,37.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/13/20 14:08,9,7.3,4.07,33.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:12,0.1,13.5,10.13,96.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:13,0,13.5,10.09,96.3,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:14,1.6,13.5,10.05,96.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:15,3.8,12.4,7.87,73.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:16,4.1,12.1,6.84,62.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:17,4.4,11.9,5.16,47.2,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:23,4.7,11.1,2.02,18.2,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:24,5,10.8,1.25,11.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:25,5.3,10.4,0.91,8.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:26,5.6,9.5,0.79,6.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:27,5.9,9.3,0.72,6.3,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:28,6.2,9,0.71,6.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:29,6.5,8.8,0.7,6,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:29,6.8,8.6,0.7,6,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:30,7.1,8.5,0.69,5.9,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:30,7.4,8.5,0.69,5.9,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:31,7.7,8.4,0.68,5.9,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:32,8,8.3,0.68,5.8,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:33,8.3,8.3,0.68,5.8,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:34,8.7,8.2,0.67,5.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:35,9,8.2,0.65,5.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/11/20 10:36,9.3,8.2,0.66,5.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:36,0.1,17.6,9.05,94.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:38,1,17.2,9.17,95.2,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:41,1.6,16.8,9.1,93.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:44,3.8,12.1,5.86,54.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:46,4.1,11.7,5.14,47.8,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:48,4.4,11.3,4.18,37.9,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:50,4.7,10.9,3.33,29.9,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:52,5,10.5,2.65,23.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:55,5.3,10,2,17.7,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:57,5.6,9.6,1.61,14,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 10:59,5.9,9.2,1.3,11.2,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:02,6.2,8.6,1.22,10.2,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:04,6.5,8.4,1.21,10.3,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:06,6.8,8.3,1.12,9.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:08,7.1,8.2,1,8.6,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:10,7.4,8.2,0.94,8,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:12,7.7,8.1,0.92,7.8,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:14,8,8,0.89,7.5,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:16,8.3,8,0.63,5.3,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:18,8.7,8,0.61,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:21,9,7.9,0.59,5,,,,,0,0,0,1,1,1,1,
FCR,50,5/4/20 11:22,9.3,7.9,0.59,4.9,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:24,0.1,15.1,8.81,87.1,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:25,1,14.8,8.87,87.6,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:26,2,14.6,8.87,86.9,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:27,3,14.1,8.86,86.1,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:28,4,13.5,8.44,80.7,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:30,5,13.4,8.2,78,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:31,6,13.3,8.02,76.1,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:32,7,13.1,7.8,78.9,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:33,8,12.5,6.4,59.9,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:38,8.1,12,4.97,48.7,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:40,8.2,11.4,2.78,25.4,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:41,8.3,11,1.75,15.8,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:42,8.4,10.8,1.02,8.9,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:43,8.5,10.5,0.72,6.5,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:44,8.6,10.4,0.64,5.7,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:45,8.7,10.1,0.62,5.5,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:46,8.8,9.9,0.62,5.5,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:47,8.9,9.8,0.61,5.4,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:48,9,9.6,0.6,5.2,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:48,10,8.5,0.62,5.2,,,,,0,0,0,1,1,1,1,
BVR,50,5/14/20 11:49,11,8.2,0.6,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:34,0.1,22.3,9.83,111.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:35,1.6,19.5,11.46,123,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:37,3.8,13.4,5.29,51,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:39,4.1,12.3,1.94,18.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:44,4.4,12,0.91,8.3,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:46,4.7,11.5,0.63,5.6,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:47,5,11.1,0.6,5.4,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:48,5.3,10.7,0.59,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:48,5.6,10.4,0.58,5.2,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:49,5.9,10,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:50,6.2,9.7,0.59,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:51,6.5,9.5,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:52,6.8,9.3,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:53,7.1,9.2,0.6,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:54,7.4,9,0.58,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:55,7.7,8.9,0.57,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:56,8,8.9,0.57,5,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 10:59,8.3,8.7,0.56,4.9,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 11:00,8.6,8.7,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 11:01,8.9,8.6,0.56,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 11:02,9,8.6,0.56,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 11:02,9.3,8.6,0.55,4.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 11:03,9.5,8.6,0.55,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/3/20 11:04,10,8.5,0.56,4.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 10:44,0.1,23.6,8.53,99.7,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 10:47,1.6,23.6,8.49,98.8,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 10:53,3.8,13.2,3.24,29.3,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 10:56,4.1,12.2,0.82,7.4,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 10:59,4.4,11.8,0.57,5.4,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:00,4.7,11.4,0.58,5.1,,,,,0,0,0,1,1,1,1,
FCR,50,6/12/20 11:01,5,11.1,0.56,5.2,,,,,0,0,0,1,1,1,1,
