"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_DateTime","Flag_NH4","Flag_PO4","Flag_NO3NO2","SRP_ugL","Flag_SRP"
"100","BVR",50,2022-10-24 10:53:00,0.1,1,"11/9/22",301,5.6,13,"","b50 24oct 0.1",0,0,0,0,6,0
"101","BVR",50,2022-10-24 11:00:00,3,1,"11/9/22",304,5.8,11,"","b50 24oct 3.0",0,0,0,0,6,0
"102","BVR",50,2022-10-24 11:10:00,6,1,"11/9/22",326,6.1,12,"","b50 24oct 6.0",0,0,0,0,6,0
"103","BVR",50,2022-10-24 11:21:00,7,1,"11/9/22",397,8.4,11,"","b50 24oct 7.0",0,0,0,0,8,0
"104","BVR",50,2022-11-08 10:05:00,0.1,1,"3/24/23",247,6.8,10,"","B50 8nov22 0.1m",0,0,0,0,7,0
"105","BVR",50,2022-11-08 10:25:00,3,1,"3/24/23",323,6.5,8,"","B50 8nov22 3m",0,0,0,0,6,0
"106","BVR",50,2022-11-08 10:35:00,6,1,"3/24/23",653,22.9,2,"","B50 8nov22 6m",0,0,0,3,23,0
"107","BVR",50,2022-11-08 10:40:00,7,1,"3/24/23",713,25.9,0,"","B50 8nov22 7m",0,0,0,3,26,0
"108","BVR",50,2022-11-16 10:23:00,0.1,1,"3/24/23",385,12.9,30,"","B50 16nov22 0.1m",0,0,0,0,13,0
"109","BVR",50,2022-11-16 10:35:00,3,1,"3/24/23",386,13.3,43,"","B50 16nov22 3m",0,0,0,0,13,0
"110","BVR",50,2022-11-16 10:45:00,6,1,"3/24/23",390,12.4,30,"","B50 16nov22 6m",0,0,0,0,12,0
"111","BVR",50,2022-11-16 15:15:00,8,1,"3/24/23",377,11.1,32,"8m not 7","B50 16nov22 7m",0,0,0,0,11,0
"112","BVR",50,2022-11-28 09:49:00,0.1,1,"3/24/23",384,9.9,32,"","B50 28nov22 0.1m",0,0,0,0,10,0
"113","BVR",50,2022-11-28 09:56:00,3,1,"3/24/23",393,9.8,38,"","B50 28nov22 3m",0,0,0,0,10,0
"114","BVR",50,2022-11-28 10:05:00,6,1,"3/24/23",397,10.8,34,"","B50 28nov22 6m ",0,0,0,0,11,0
"115","BVR",50,2022-11-28 10:15:00,8,1,"3/24/23",400,10.7,29,"","B50 28nov22 8m",0,0,0,0,11,0
"116","BVR",50,2022-12-16 10:50:00,0.1,1,"3/24/23",357,10.9,43,"","B50 16dec22 0.1m ",0,0,0,0,11,0
"117","BVR",50,2022-12-16 11:00:00,3,1,"3/24/23",363,9.4,43,"","B50 16dec22 3m",0,0,0,0,9,0
"118","BVR",50,2022-12-16 11:10:00,6,1,"3/24/23",365,10.9,43,"","B50 12dec22 6m",0,0,0,0,11,0
"119","BVR",50,2022-12-16 11:20:00,8,1,"3/24/23",358,8.9,42,"","B50 16dec22 8m",0,0,0,0,9,0
"120","BVR",50,2023-02-03 12:48:00,5,1,"3/24/23",11,7.3,0,"","B50 3feb23 5m",0,0,0,43,7,0
"121","BVR",50,2023-03-21 10:55:00,0.1,1,"3/24/23",54,6.5,67,"","B50 21mar23 0.1m",0,0,0,0,6,0
"122","BVR",50,2023-03-21 11:25:00,3,1,"3/24/23",58,5.8,66,"","B50 21mar23 3m",0,0,0,0,6,0
"123","BVR",50,2023-03-21 11:46:00,6,1,"3/24/23",55,5.1,66,"","B50 21mar23 6m",0,0,0,0,5,0
"124","BVR",50,2023-03-21 11:58:00,9,1,"3/24/23",58,5.8,65,"","B50 21mar23 9m",0,0,0,0,6,0
"125","CCR",50,2022-02-28 10:31:00,0.1,1,"9/8/22",7,1.3,72,"","C 28feb 0.1",0,0,3,0,1,3
"126","CCR",50,2022-02-28 10:40:00,1.5,1,"9/8/22",11,1.8,68,"","C 28feb 1.5",0,0,3,0,2,3
"127","CCR",50,2022-02-28 10:50:00,6,1,"9/8/22",7,1.3,61,"","C 28feb 6.0",0,0,3,0,1,3
"128","CCR",50,2022-02-28 11:00:00,9,1,"9/8/22",7,1.2,70,"","C 28feb 9.0",0,0,3,0,1,3
"129","CCR",50,2022-02-28 11:15:00,20,1,"9/8/22",9,2.2,73,"20m","C 28feb 21.0",0,0,3,0,2,3
"130","CCR",100,2022-02-28 12:00:00,0.1,1,"9/8/22",5,2.3,37,"Flag_DateTime","C 28feb HPB 0.1",0,0,3,0,2,3
"131","CCR",301,2022-02-28 12:00:00,0.1,1,"9/8/22",7,3,4,"Flag_DateTime","C 28feb SMB 0.1",0,0,0,3,3,0
"132","CCR",400,2022-02-28 12:00:00,0.1,1,"9/8/22",10,3.2,110,"Flag_DateTime","C 28feb TCT 0.1",0,0,0,0,3,0
"133","CCR",501,2022-02-28 12:00:00,0.1,1,"9/8/22",12,4.9,89,"Flag_DateTime","C 28feb CCT 0.1",0,0,0,0,5,0
"134","CCR",50,2022-04-20 10:04:00,0.1,1,"10/5/22",4,3.67,3,"","C 20apr 0.1",0,3,0,3,4,0
"135","CCR",50,2022-04-20 10:12:00,1.5,1,"9/21/22",7,5.6,2,"","C 20apr 1.5",0,0,0,3,6,0
"136","CCR",50,2022-04-20 10:22:00,6,1,"9/21/22",7,5.3,2,"","C 20apr 6.0",0,0,0,3,5,0
"137","CCR",50,2022-04-20 10:25:00,9,1,"9/21/22",13,5.1,9,"","C 20apr 9.0",0,0,0,0,5,0
"138","CCR",50,2022-04-20 10:30:00,21,1,"9/8/22",33,3.3,28,"","C 20apr 21.0",0,0,0,0,3,0
"139","CCR",100,2022-04-20 12:00:00,0.1,1,"9/8/22",7,2.9,17,"Flag_DateTime","C 20apr HPB",0,0,3,0,3,3
"140","CCR",NA,2022-04-20 12:00:00,0.1,1,"10/5/22",6,4.31,6,"Flag_DateTime","c 20apr Z",0,0,0,0,4,0
"141","CCR",400,2022-06-09 10:12:00,0.1,1,"10/5/22",5,4.79,1,"","tct 09jun 0.1",0,0,0,3,5,0
"142","CCR",50,2022-06-09 10:13:00,0.1,1,"10/5/22",5,4.39,3,"","c50 09jun 0.1",0,0,0,3,4,0
"143","CCR",50,2022-06-09 10:20:00,1.5,1,"9/8/22",13,2.3,2,"9-Jun","C50 09jan 1.5",0,0,3,3,2,3
"144","CCR",50,2022-06-09 10:40:00,6,1,"10/5/22",11,3.79,3,"9-Jun","c50 09jul 6.0",0,0,0,3,4,0
"145","CCR",50,2022-06-09 10:48:00,9,1,"10/5/22",6,5.98,3,"","c50 09jun 9.0",0,0,0,3,6,0
"146","CCR",50,2022-06-09 11:27:00,21,1,"10/5/22",171,15.1,40,"9-Jun","c50 09jul 21.0",0,0,0,0,15,0
"147","CCR",301,2022-06-09 11:34:00,0.1,1,"10/5/22",4,3.88,12,"","smb 09jun 0.1",0,3,0,0,4,0
"148","CCR",100,2022-06-09 12:15:00,0.1,1,"10/5/22",7,6.32,92,"","ccr 09jun hbp",0,0,0,0,6,0
"149","CCR",501,2022-06-09 12:20:00,0.1,1,"10/5/22",8,7.35,127,"","cct 09jun 0.1",0,0,0,0,7,0
"150","CCR",201,2022-06-09 12:53:00,0.1,1,"10/5/22",8,4.25,22,"","ccs 09jun 0.1",0,0,0,0,4,0
"151","CCR",50,2022-06-30 09:53:00,0.1,1,"9/21/22",8,4.1,3,"","C50 30jun 0.1",0,0,0,3,4,0
"152","CCR",50,2022-06-30 09:58:00,1.5,1,"9/21/22",15,4.9,7,"","C50 30jun 1.5",0,0,0,0,5,0
"153","CCR",50,2022-06-30 10:06:00,6,1,"9/21/22",12,2.8,14,"","C50 30jun 6.0",0,0,3,0,3,3
"154","CCR",50,2022-06-30 10:16:00,9,1,"9/21/22",16,5.2,26,"","C50 30jun 9.0",0,0,0,0,5,0
"155","CCR",50,2022-06-30 10:35:00,21,1,"9/21/22",208,37,30,"","C50 30jun 21.0",0,0,0,0,37,0
"156","CCR",201,2022-06-30 14:05:00,0.1,1,"9/21/22",11,4.5,40,"","CCS 30jun 0.1",0,0,0,0,4,0
"157","CCR",50,2022-07-14 10:26:00,0.1,1,"8/10/22",2,2.9,1,"","C 14jul22 0.1",0,3,3,3,3,3
"158","CCR",50,2022-07-14 10:30:00,1.5,1,"9/21/22",9,2.7,2,"","C 14jul 1.5",0,0,3,3,3,3
"159","CCR",50,2022-07-14 12:00:00,6,1,"8/10/22",7,3.7,2,"Flag_DateTime","C 14jul22 6.0",0,0,0,3,4,0
"160","CCR",50,2022-07-14 12:00:00,9,1,"8/10/22",8,2.2,9,"Flag_DateTime","C 14jul22 9.0",0,0,3,0,2,3
"161","CCR",50,2022-07-14 12:00:00,20,1,"9/21/22",155,2.4,49,"Flag_DateTime","C 14jul 20.0",0,0,3,0,2,3
"162","CCR",201,2022-07-14 12:00:00,0.1,1,"10/5/22",7,4.92,37,"Flag_DateTime","ccs 14jul 0.1",0,0,0,0,5,0
"163","CCR",301,2022-07-14 12:00:00,0.1,1,"10/5/22",6,4.78,46,"Flag_DateTime","c 14jul SMB",0,0,0,0,5,0
"164","CCR",50,2022-07-28 09:43:00,0.1,1,"8/10/22",1,2.6,0,"","C50 28jul22 0.1",0,3,3,43,3,3
"165","CCR",50,2022-07-28 10:00:00,1.5,1,"8/10/22",3,4,1,"","C50 28jul22 1.5",0,3,0,3,4,0
"166","CCR",50,2022-07-28 10:10:00,6,1,"8/10/22",4,2.4,0,"","C50 28jul22 6.0",0,3,3,3,2,3
"167","CCR",50,2022-07-28 10:18:00,9,1,"8/10/22",10,5.1,23,"","C50 28jul22 9.0",0,0,0,0,5,0
"168","CCR",50,2022-07-28 10:30:00,15,1,"8/10/22",5,7.5,78,"","C50 28jul22 15.0",0,0,0,0,8,0
"169","CCR",50,2022-07-28 10:43:00,21,1,"8/10/22",305,11.7,32,"","C50 28jul20.0",0,0,0,0,12,0
"170","CCR",301,2022-07-28 12:40:00,0.1,1,"8/10/22",5,5.4,47,"","SMB 28jul22 0.1",0,0,0,0,5,0
"171","CCR",100,2022-08-18 12:35:00,0.1,1,"10/5/22",16,19.2,115,"","? 18aug weir",0,0,0,0,19,0
"172","CCR",50,2022-08-19 09:30:00,0.1,1,"10/5/22",4,4.88,1,"","c50 19aug 0.1",0,3,0,3,5,0
"173","CCR",50,2022-08-19 09:42:00,1.5,1,"10/5/22",15,2.61,1,"","c50 19aug 1.5",0,0,3,3,3,3
"174","CCR",50,2022-08-19 09:56:00,6,1,"10/5/22",7,3.66,0,"","c50 19aug 6.0",0,0,0,3,4,0
"175","CCR",50,2022-08-19 10:11:00,9,1,"10/5/22",12,3.77,51,"","c50 19aug 9.0",0,0,0,0,4,0
"176","CCR",50,2022-08-19 10:38:00,20,1,"10/5/22",637,5.34,6,"","c50 19aug 20.0",0,0,0,0,5,0
"177","CCR",301,2022-08-19 12:39:00,0.1,1,"10/5/22",5,3.88,36,"","smb 19aug 0.1",0,0,0,0,4,0
"178","CCR",201,2022-08-19 13:32:00,0.1,1,"10/5/22",7,6.19,19,"","ccs 19aug 0.1",0,0,0,0,6,0
"179","CCR",301,2022-09-29 10:34:00,0.1,1,"11/9/22",7,3.1,8,"","c?? 29sep smb",0,0,0,0,3,0
