Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
CCR,100,2/28/22 12:00,0.1,1,9/8/22,5,2.3,36.6,Flag_DateTime,C 28feb HPB 0.1
CCR,301,2/28/22 12:00,0.1,1,9/8/22,6.8,3,3.6,Flag_DateTime,C 28feb SMB 0.1
CCR,400,2/28/22 12:00,0.1,1,9/8/22,10.3,3.2,110,Flag_DateTime,C 28feb TCT 0.1
CCR,50,6/9/22 10:20,1.5,1,9/8/22,13.4,2.3,2.1,9-Jun,C50 09jan 1.5
FCR,50,4/12/22 11:34,6.2,1,9/8/22,22.8,4.5,8,,F 12apr 6.2
FCR,200,5/17/22 16:34,0.1,1,9/8/22,29.1,8.2,21.4,17-May,f 12may wet
FCR,50,3/17/22 10:50,0.1,1,9/8/22,7.5,3.6,-0.7,,F 17mar 0.2
FCR,50,3/17/22 11:00,1.6,1,9/8/22,4.9,1.6,2.1,,F 17mar 1.6
FCR,50,3/17/22 11:10,3.8,1,9/8/22,12.3,5.3,2.2,,F 17mar 3.8
FCR,50,3/17/22 11:22,6.2,1,9/8/22,8.6,3.9,5.9,,F 17mar 6.1
FCR,50,3/17/22 11:30,8,1,9/8/22,7,3.2,1.4,,F 17mar 8.0
FCR,50,3/17/22 11:40,9,1,9/8/22,9.5,4.2,-0.3,,F 17mar 9.0
FCR,100,3/17/22 12:00,0.1,1,9/8/22,3.8,8.9,1.9,Flag_DateTime,F 17mar weir
FCR,200,3/17/22 12:00,0.1,1,9/8/22,19.1,4.7,29.7,Flag_DateTime,F 17mar wet
FCR,50,5/17/22 14:30,0.1,1,9/8/22,5,6.5,1.7,,F 17may 0.1
FCR,50,5/17/22 14:45,1.6,1,9/8/22,5.4,5.8,0.1,,F 17may 1.6
FCR,50,5/17/22 15:03,5,1,9/8/22,18.5,4.5,7.6,,F 17may 5.0
FCR,50,5/17/22 15:25,8,1,9/8/22,30.4,2.5,2,,F 17may 8.0
FCR,200,5/23/22 13:57,0.1,1,9/8/22,36.3,6.8,8.6,,F 23may wet
FCR,50,2/24/22 13:00,0.1,1,9/8/22,15.6,4.9,2.6,,F 24feb 0.1
FCR,50,2/24/22 12:52,1.6,1,9/8/22,13.6,4.6,4.6,,F 24feb 1.6
FCR,50,2/24/22 13:07,3.8,1,9/8/22,14.5,5.4,4.6,,F 24feb 3.8
FCR,50,2/24/22 13:14,5,1,9/8/22,9.3,8.7,2.3,,F 24feb 5.0
FCR,50,2/24/22 13:18,6.2,1,9/8/22,13.9,4.1,3,,F 24feb 6.2
FCR,50,2/24/22 13:23,8,1,9/8/22,18.5,2.5,3.4,,F 24feb 8.0
FCR,50,2/24/22 13:28,9,1,9/8/22,8.5,3.1,2.4,,F 24feb 9.0
FCR,100,1/26/22 11:25,0.1,1,9/8/22,7.7,11.8,1.2,,F 26jan weir
FCR,50,3/29/22 10:10,0.1,1,9/8/22,16.4,3.8,7,,F 29mar 0.1
FCR,50,3/29/22 10:45,6.2,1,9/8/22,16.7,3.8,7.2,,F 29mar 6.2
FCR,50,3/29/22 10:50,8,1,9/8/22,10.9,2.7,7,,F 29mar 8.0
FCR,50,3/29/22 11:00,9,1,9/8/22,26.4,3.1,4,,F 29mar 9.0
FCR,50,1/31/22 11:05,0.1,1,9/8/22,12.1,4.8,3.4,,F 31jan 0.1
FCR,50,1/31/22 10:55,1.6,1,9/8/22,11.3,4.7,4.7,,F 31jan 1.6
FCR,50,1/31/22 11:16,3.8,1,9/8/22,15.5,4.3,3.5,,F 31jan 3.8
FCR,50,1/31/22 11:23,5,1,9/8/22,17,3.9,4.6,,F 31jan 5.0
FCR,50,1/31/22 11:30,6.2,1,9/8/22,42.4,4.3,7.9,,F 31jan 6.2
FCR,50,1/31/22 11:35,8,1,9/8/22,215,3.4,9.3,,F 31jan 8.0
FCR,50,1/31/22 11:42,9,1,9/8/22,324,3.5,9.4,,F 31jan 9.0
FCR,100,6/7/22 15:27,0.1,1,9/8/22,11.2,4.9,29.2,,F100 07jun weir
FCR,200,6/7/22 12:00,0.1,1,9/8/22,38.7,7.6,31.7,Flag_DateTime,F200 07jun wet
FCR,50,6/7/22 13:42,1.6,1,9/8/22,10.1,11.2,1.6,,F50 07jun 1.6
FCR,50,6/7/22 14:02,5,1,9/8/22,45.3,3.6,3.3,,F50 07jun 5.0
FCR,50,6/7/22 14:40,9,1,9/8/22,64.4,6,7.8,,F50 07jun 9.0
