ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/19/2022 - 19,0.2,"2,195.7",782.2,34.6,"5,659.8",9.4,0.8,-1.6,"1,338.8","1,618.0",0.8,0.2,-0.3,519.4,30.2,0.1,-1.1,0.1,1.6,0.1,-0.8,11.5,-0.4,0.0,0.0,-0.4,23.1,0.7,0.0
09/19/2022 - 20,0.2,"2,185.7",743.6,12.7,"5,563.7",0.0,0.7,-1.7,"1,298.9","1,509.8",0.3,0.1,-0.4,271.9,1.0,0.0,-1.2,-0.6,1.7,0.0,-0.8,11.0,-0.4,0.0,0.0,-0.7,19.3,0.1,0.0
09/19/2022 - 21,0.2,"2,185.1",796.1,29.2,"5,713.5",10.6,0.6,-1.7,"1,339.5","1,653.8",0.7,0.2,-0.3,528.0,34.2,0.1,-1.2,-0.5,-0.3,0.1,-0.7,11.9,-0.4,0.0,0.0,-0.7,26.8,0.2,0.0
09/19/2022 - 22,0.2,"2,164.0",770.9,10.4,"5,591.7",0.2,0.6,-1.6,"1,327.0","1,604.7",0.3,0.1,-0.4,246.9,5.6,0.0,-1.2,-0.1,8.3,0.0,-0.8,11.5,-0.4,0.0,0.0,-0.7,25.0,0.1,0.0
09/19/2022 - 23,0.2,"2,114.6",832.0,16.3,"6,563.9",24.6,0.1,-1.7,"1,399.3","2,173.1",0.6,0.2,-0.3,"15,295.8","1,492.7",2.4,-1.1,-0.5,2.5,0.3,-0.9,15.7,-0.3,0.0,0.0,-0.4,77.6,0.5,0.0
09/19/2022 - 24,0.2,"2,145.5",830.4,6.4,"6,739.3",0.7,0.1,-1.7,"1,416.3","2,269.0",0.4,0.1,-0.4,"18,249.2","1,629.6",2.6,-1.1,-0.5,17.1,0.3,-0.9,16.1,-0.3,0.0,0.2,-0.6,78.8,0.1,0.0
09/19/2022 - 25,0.2,"2,077.9",825.3,7.7,"7,459.0",32.2,-0.2,-1.7,"1,437.9","2,358.6",0.5,0.2,-0.4,"31,774.5","2,017.1",3.4,-1.0,-0.8,0.2,0.5,-0.7,17.6,-0.2,0.0,0.0,-0.6,105.6,0.1,0.0
09/19/2022 - 26,0.2,"2,092.2",818.2,5.8,"7,438.9",0.8,-0.3,-1.7,"1,446.0","2,345.1",0.5,0.1,-0.4,"31,659.1","2,010.9",3.3,-1.1,-0.8,10.2,0.4,-0.7,17.7,-0.1,0.0,0.1,0.4,105.4,0.1,0.0
09/26/2022 - 1,0.4,"2,745.8","1,042.0",16.2,"4,027.7",12.5,0.1,-1.6,"1,211.1","2,381.7",-1.3,0.0,-0.4,441.9,67.9,0.1,-1.2,-0.1,-0.4,-0.1,-0.7,17.0,-0.4,0.0,0.0,-0.7,25.9,0.1,0.0
09/26/2022 - 2,0.3,"2,756.2","1,029.1",5.7,"3,966.7",-0.2,0.2,-1.6,"1,215.2","2,381.7",0.1,-0.1,-0.4,85.0,7.6,0.0,-1.2,-0.6,3.3,-0.1,-0.6,16.9,-0.4,0.0,0.0,-0.8,24.0,0.1,0.0
09/26/2022 - 3,0.3,"2,733.3","1,041.0",12.3,"4,002.3",14.5,0.3,-1.6,"1,219.1","2,385.8",0.3,0.0,-0.3,386.3,67.7,0.1,-1.2,-0.1,0.3,-0.1,-0.6,16.9,-0.4,0.0,0.0,-0.7,25.9,0.1,0.0
09/26/2022 - 4,0.3,"2,747.0","1,034.3",6.2,"3,993.1",0.2,0.4,-1.6,"1,204.4","2,357.4",0.1,-0.1,-0.4,77.8,11.4,0.0,-1.2,-0.1,3.6,-0.1,-0.7,16.6,-0.4,0.0,0.0,-0.8,24.1,0.1,0.0
09/26/2022 - 5,0.4,"2,822.4","1,098.4",10.7,"4,564.1",26.7,0.3,-1.6,"1,253.9","2,602.5",0.3,0.0,-0.4,437.1,437.9,0.4,-1.2,-0.2,0.8,-0.1,-0.8,18.4,-0.5,0.0,0.0,-0.8,33.7,0.1,0.0
09/26/2022 - 6,0.4,"2,791.9","1,066.2",6.6,"4,356.7",0.7,0.3,-1.5,"1,226.6","2,493.1",0.1,-0.1,-0.4,60.8,254.8,0.2,-1.2,-0.3,5.5,-0.1,-0.8,17.7,-0.4,0.0,0.0,-0.9,28.4,0.4,0.0
09/26/2022 - 7,0.3,"2,938.3","1,193.1",10.4,"7,233.4",25.4,0.2,-1.6,"1,332.2","3,252.5",0.6,0.1,-0.3,"7,082.5","1,152.8",2.4,-1.1,-0.1,1.6,0.0,-0.8,22.8,-0.5,0.0,0.0,-0.7,72.7,0.1,0.0
09/26/2022 - 8,0.4,"2,917.2","1,165.3",6.1,"6,497.0",0.5,0.3,-1.5,"1,303.9","3,088.8",0.3,-0.1,-0.4,"3,629.6",910.2,1.8,-1.2,-0.8,11.4,-0.1,-0.9,21.6,-0.5,0.0,0.0,-0.8,60.4,0.0,0.0
09/26/2022 - 9,0.3,"2,933.6","1,234.5",7.9,"7,994.4",31.3,0.1,-1.6,"1,309.9","3,363.6",0.7,0.0,-0.4,"6,733.4","1,281.3",2.4,-1.2,-0.5,0.6,0.0,-0.9,24.1,-0.5,0.0,0.0,-0.8,72.5,0.1,0.0
09/26/2022 - 10,0.3,"2,948.0","1,224.3",4.7,"7,699.3",-0.2,-0.1,-1.6,"1,297.5","3,327.7",0.4,-0.1,-0.4,"1,671.9","1,244.4",2.3,-1.3,-0.9,6.9,-0.1,-0.9,23.6,-0.3,0.0,0.0,-0.1,70.7,0.1,0.0
09/26/2022 - 11,0.3,"2,962.7","1,241.7",7.4,"7,960.0",32.6,-0.1,-1.6,"1,327.0","3,386.2",0.6,0.0,-0.4,"6,545.3","1,335.7",2.5,-1.2,-0.6,0.0,0.0,-0.7,24.2,-0.4,0.0,0.0,-0.3,73.1,0.1,0.0
09/26/2022 - 12,0.3,"2,964.4","1,231.9",5.7,"7,599.7",-0.3,-0.1,-1.5,"1,315.1","3,373.5",0.5,-0.2,-0.4,63.2,"1,378.4",2.5,-1.2,-0.6,53.8,-0.1,-0.8,23.8,-0.4,0.0,0.0,-0.8,73.0,0.1,0.0
09/26/2022 - 13,0.3,"2,948.4","1,241.9",7.5,"7,954.1",31.8,0.2,-1.6,"1,308.2","3,349.3",0.6,0.0,-0.4,"6,786.4","1,271.6",2.4,-1.2,-0.5,0.2,0.0,-0.8,23.9,-0.4,0.0,0.0,-0.6,71.6,0.1,0.0
09/26/2022 - 14,0.3,"2,959.2","1,236.4",4.5,"7,624.7",-0.8,-0.1,-1.6,"1,307.7","3,352.4",0.4,-0.2,-0.4,184.3,"1,259.6",2.3,-1.3,-0.9,14.6,-0.1,-0.9,23.9,-0.5,0.0,0.0,-0.9,70.0,0.0,0.0
09/26/2022 - 16,0.5,"3,539.3",903.5,10.0,"10,997.6",14.7,0.2,-1.8,"1,135.3","2,352.9",0.7,0.0,-0.4,42.0,17.9,0.0,-1.2,-0.9,6.9,-0.2,-0.9,15.8,-0.5,0.0,0.0,-0.9,21.4,0.1,0.0
09/26/2022 - 18,0.4,"3,522.5","1,424.3",16.9,"11,195.6",9.2,0.2,-1.6,"1,413.8","3,228.4",0.8,0.0,-0.3,632.6,58.2,0.3,-1.1,-0.9,10.5,-0.1,-0.8,21.7,-0.4,0.0,0.0,-0.9,26.8,0.0,0.0
10/11/2022 - 1,0.4,"2,696.0","1,051.7",15.4,"4,767.3",11.7,0.2,-1.7,"1,226.9","2,520.1",0.3,-0.1,-0.3,331.2,56.2,0.1,-1.2,-0.3,0.3,-0.1,-0.8,17.6,-0.5,0.0,0.0,-0.8,26.5,0.6,0.0
10/11/2022 - 2,0.4,"2,719.3","1,044.7",8.6,"4,740.0",2.4,0.2,-1.6,"1,234.0","2,512.5",0.2,-0.1,-0.3,56.0,11.7,0.0,-1.2,-0.5,35.5,-0.1,-0.8,17.7,-0.5,0.0,0.0,-1.0,26.8,0.4,0.0
10/11/2022 - 3,0.4,"2,738.6","1,074.0",16.8,"4,761.1",15.9,0.2,-1.7,"1,263.1","2,570.8",0.3,-0.1,-0.3,392.6,71.0,0.1,-1.2,-0.3,0.0,-0.1,-0.8,17.9,-0.5,0.0,0.0,-0.9,27.4,0.6,0.0
10/11/2022 - 4,0.4,"2,721.2","1,048.0",11.6,"4,738.7",2.6,0.1,-1.6,"1,213.6","2,514.3",-1.4,-0.1,-0.3,47.8,3.8,0.0,-1.2,-0.6,6.5,-0.1,-0.8,17.6,-0.3,0.0,0.0,0.2,27.1,0.5,0.0
10/11/2022 - 5,0.4,"2,732.1","1,059.9",14.3,"4,852.3",10.6,0.3,-1.7,"1,238.6","2,553.3",0.3,-0.1,-0.3,404.5,74.7,0.1,-1.2,-0.3,-0.4,-0.1,-0.8,17.7,-0.4,0.0,0.0,-0.2,27.5,0.5,0.0
10/11/2022 - 6,0.4,"2,762.2","1,057.3",8.2,"4,830.9",2.9,0.4,-1.6,"1,244.4","2,537.1",0.4,-0.1,-0.3,53.8,7.7,0.0,-1.2,-0.5,12.8,-0.1,-0.8,17.7,-0.5,0.0,0.0,-0.6,26.3,0.5,0.0
10/11/2022 - 7,0.4,"2,743.1","1,064.9",15.1,"4,995.4",12.6,0.3,-1.7,"1,234.8","2,548.1",0.3,-0.1,-0.3,536.7,141.3,0.2,-1.2,-0.2,-0.3,-0.1,-0.9,17.9,-0.5,0.0,0.0,-0.6,28.5,0.5,0.0
10/11/2022 - 8,0.4,"2,715.7","1,053.6",8.9,"4,884.3",2.9,0.3,-1.6,"1,224.9","2,534.1",0.5,-0.1,-0.3,69.4,37.5,0.0,-1.2,-0.5,14.2,-0.1,-0.7,17.9,-0.5,0.0,0.0,-0.7,28.4,0.5,0.0
10/11/2022 - 9,0.4,"2,763.4","1,124.1",23.1,"6,066.7",35.5,0.3,-1.7,"1,272.8","2,920.5",0.8,0.0,-0.3,"3,198.2","1,075.4",1.8,-1.2,0.1,1.9,-0.1,-0.9,20.5,-0.4,0.0,0.1,-0.1,53.6,1.0,0.0
