ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/19/2022 - 12,0.4,"2,877.6","1,008.4",14.6,"6,633.4",0.0,0.0,-0.5,"1,039.4","2,499.4",0.5,0.0,0.1,99.6,3.7,0.0,0.1,1.3,3.8,-0.1,1.4,15.4,1.7,0.0,0.0,0.2,17.1,0.2,0.0
04/19/2022 - 13,0.4,"2,877.5","1,033.1",29.7,"6,741.7",15.7,0.1,-0.5,"1,074.0","2,569.0",0.8,0.1,0.1,785.8,149.5,0.4,0.3,2.2,2.6,-0.1,1.5,15.8,1.7,0.0,0.0,0.4,20.8,0.3,0.0
04/19/2022 - 14,0.3,"2,860.3","1,015.8",18.7,"6,643.2",2.0,0.1,-0.5,"1,056.0","2,545.7",0.7,0.0,0.1,119.3,38.8,0.1,0.1,1.3,5.3,0.0,1.9,15.6,2.3,0.0,0.0,2.4,18.6,0.4,0.0
04/19/2022 - 16,0.6,"2,943.1",742.9,20.5,"9,354.4",6.0,0.0,-0.6,895.7,"2,046.5",0.8,0.1,0.1,5.4,0.6,0.0,0.1,0.2,8.5,-0.1,1.7,13.0,1.9,0.0,0.0,0.5,14.6,0.2,0.0
04/19/2022 - 18,0.4,"3,129.3","1,030.6",33.7,"10,158.4",11.2,0.9,-0.6,895.7,"2,327.8",1.1,0.2,0.2,559.3,41.3,0.4,0.2,0.3,13.5,-0.1,1.4,14.6,1.9,0.0,0.0,0.5,19.5,0.3,0.0
05/02/2022 - 1,0.4,"2,990.4","1,027.4",26.4,"7,045.9",10.0,-0.1,-0.6,982.6,"2,489.2",2.0,0.1,0.1,344.8,32.4,0.1,0.2,2.9,20.6,-0.1,1.4,15.6,1.8,0.0,0.0,0.2,14.8,0.5,0.0
05/02/2022 - 2,0.4,"2,987.5","1,014.9",22.2,"7,024.5",1.1,0.0,-0.6,932.8,"2,444.1",0.5,0.1,0.1,99.2,2.7,0.0,0.1,1.3,7.4,-0.1,1.6,15.2,1.8,0.0,0.0,0.2,13.1,0.2,0.0
05/02/2022 - 3,0.4,"2,980.0","1,036.4",26.6,"7,122.3",12.2,0.0,-0.6,958.7,"2,508.3",1.0,0.1,0.1,351.1,31.2,0.1,0.1,1.8,13.0,-0.1,1.5,15.8,1.8,0.0,0.0,0.2,24.2,0.3,0.0
05/02/2022 - 4,0.4,"2,972.2","1,023.5",14.1,"7,014.5",0.8,0.0,-0.6,930.5,"2,458.3",0.5,0.1,0.1,97.8,1.8,0.0,0.1,1.2,10.6,-0.1,1.5,15.4,1.8,0.0,0.0,0.2,15.3,0.3,0.0
05/02/2022 - 5,0.4,"2,947.6","1,033.5",29.1,"7,034.6",13.9,0.0,-0.7,941.0,"2,510.7",0.9,0.1,0.1,396.8,35.5,0.1,0.1,1.6,10.2,-0.1,1.6,15.6,1.7,0.0,0.0,0.1,15.3,0.4,0.0
