Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR_umolm2s,Salinity,Desc_rate,Flag,Reservoir,Cast_Number
2023-06-27T12:44:42Z,0.672,22.7681,5.31,2.0665,0.1704,6.8103,5.9494,41.371895,43.679,10.6967,122.512,36.787,2.4373936279330732,0.122,0,FCR,3
2023-06-27T12:44:42Z,0.703,22.6729,5.31,2.078,0.1704,6.8103,5.9494,41.142975,43.546,10.7315,121.493,32.706,2.43468042115679,0.118,0,FCR,3
2023-06-27T12:44:42Z,0.732,22.5734,4.86,2.757,0.1278,3.8916,5.4384,40.797863,43.29,10.7261,120.425,30.529,2.4248645890835516,0.116,0,FCR,3
2023-06-27T12:44:42Z,0.76,22.4656,4.86,2.7227,0.1278,3.8916,5.5135,40.29009,42.868,10.6916,119.413,28.621,2.4055566639275585,0.115,0,FCR,3
2023-06-27T12:44:42Z,0.788,22.3493,4.86,2.7379,0.1278,3.8916,5.3632,39.555566,42.229,10.6383,118.619,28.386,2.373662633452612,0.116,0,FCR,3
2023-06-27T12:44:42Z,0.816,22.2287,4.86,2.7379,0.1278,3.8916,5.4684,38.741105,41.547,10.5743,118.306,27.571,2.339294144155752,0.121,0,FCR,3
2023-06-27T12:44:42Z,0.846,22.1059,4.77,2.3069,0.1278,3.1302,5.243,38.079163,41.057,10.5066,118.873,26.704,2.316400343742844,0.127,0,FCR,3
2023-06-27T12:44:42Z,0.878,21.9738,4.77,2.3069,0.1278,3.1302,5.1979,37.470472,40.615,10.4458,120.761,24.37,2.2967637745755876,0.132,0,FCR,3
2023-06-27T12:44:42Z,0.915,21.8125,4.77,2.3107,0.1278,3.1302,5.2129,36.863624,40.17,10.4101,124.206,19.945,2.2783495841718873,0.135,0,FCR,3
2023-06-27T12:44:42Z,0.955,21.6009,4.77,2.3221,0.1278,3.1302,5.1979,36.393886,39.897,10.4274,128.961,12.145,2.272796977911289,0.132,0,FCR,3
2023-06-27T12:44:42Z,0.993,21.3528,4.77,0.8,0.1278,3.1302,3.4093,36.054823,39.778,10.5306,134.282,12.097,2.278433602286975,0.124,0,FCR,3
2023-06-27T12:44:42Z,1.026,21.1093,4.59,0.7657,0.1278,2.3688,3.3642,35.817404,39.753,10.7519,139.197,11.628,2.28961958382505,0.111,0,FCR,3
2023-06-27T12:44:42Z,1.052,20.867,4.59,0.7772,0.1278,2.3688,3.3792,35.659896,39.781,11.1144,142.811,11.331,2.30410411453226,0.094,0,FCR,3
