file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,diag_72_mean,int_p_mean,air_p_mean,vin_sf_mean,co2_mean,co2_mean,h2o_mean,h2o_mean,dew_point_mean,cell_t_mean,int_t_1_mean,int_t_2_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean
2023-02-11T080000_AIU-0547.ghg,2023-02-11,08:30,42.3541,1,18000,18000,-0.170570,1,3.77832,0,2.57612,2,-0.719988,1,0.573524E-01,2,-0.232465E-02,1,0.795486,0.119709,-0.966754E-02,0.266510E-02,0.222676E-05,0.363816E-11,0.294331E-13,0.182982E-13,18.6058,444.743,446.349,0.800000,1,150.523,3.59802,3.61101,0.800000,1,0.935785E-01,2.08644,2.09397,0.00000,0,276.745,276.312,96105.8,1.21009,1007.14,0.239034E-01,0.371644E-02,0.271243E-02,345.883,764.535,0.224152E-02,45.2410,418.652,265.563,0.246446E-01,-0.101009,0.331948E-01,0.109142,0.438638E-13,0.195539E-15,0.109142,4.28377,144.311,283.711,17.7066,-9999,0.375443,0.572102,-1186.09,-0.244501E-02,1.46667,-0.825755E-02,0,79.1935,-12.0179,27.1846,67.6934,103.237,144.791,216.923,-0.159187,1.07151,3.71927,1.05388,2.27750,1.13112,-0.659110,1.13121,0.507041E-01,1.13112,-0.332566E-02,1.20596,800000009,800000009,800000009,800000009,800000009,800110009,899999999,899999999,89999,89999,89,89,7,3,0,21,10,0,0,0,0,0,0,0,0,0,0,17500,0,0,0,18000,18000,18000,18000,0.315884,0.694274,0.134045,0.498139E-01,0.149092E-03,7.88860,0.849120E-08,0.305179E-02,-0.659110E-03,0.507041E-01,-0.332566E-05,8190.00,96492.0,96492.0,11.3895,444.453,446.056,3.59567,3.60865,-7.60404,277.260,277.278,277.256,92.9570,93.1290,92.7850,0.343995,0.00000,-1.00000,0.00000,2.08317,76.7363,1.00005,-273.150,9.00029,-273.150
2023-02-11T083000_AIU-0547.ghg,2023-02-11,09:00,42.3749,1,18000,18000,0.644349E-01,1,14.5542,0,3.88627,2,0.225518,1,0.865264E-01,2,-0.154743E-02,0,0.144962,0.662057,0.223906E-02,0.147405E-01,-0.397705E-04,0.132528E-09,0.114030E-11,0.665985E-12,18.6085,444.778,446.487,-2.10000,0,160.112,3.82697,3.84167,0.800000,1,0.935124E-01,2.08585,2.09386,0.00000,0,276.879,276.386,96137.9,1.21006,1007.26,0.239019E-01,0.560691E-02,0.288521E-02,368.015,768.539,0.238435E-02,47.8850,400.524,266.366,1.19166,0.107092,0.139755,1.20460,-0.889754E-13,0.712189E-14,1.20460,4.26273,329.081,5.13524,6.66233,-9999,0.230758,0.693369,-71.5136,-0.405517E-01,3.74502,-0.517465E-01,0,53.3609,-8.09772,18.3171,45.6121,69.5613,97.5608,146.164,0.637018E-01,1.01151,14.5686,1.01427,3.53269,1.10009,0.203735,1.10691,0.786540E-01,1.10009,-0.615721E-02,1.14794,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,8,13,0,33,22,0,0,0,0,0,0,0,0,0,0,17700,0,0,0,18000,18000,18000,18000,0.806960,0.443901,0.135876,0.959363E-02,0.475869E-04,10.2807,0.380956E-08,0.119528E-01,0.203735E-03,0.786540E-01,-0.615721E-05,8190.00,96522.3,96522.3,11.3800,445.063,446.774,3.82939,3.84412,-6.78397,277.689,277.713,277.683,92.9534,93.1270,92.7799,0.347145,0.00000,-1.00000,0.00000,2.08237,76.9146,1.00004,-273.150,9.00024,-273.150
2023-02-11T090000_AIU-0547.ghg,2023-02-11,09:30,42.3957,1,18000,18000,0.995928E-01,0,11.1105,0,-5.33171,1,0.335348,1,-0.118740,1,-0.178270E-02,0,0.543814,0.782998,-0.650547E-02,0.174378E-01,0.357407E-03,0.206297E-09,0.190120E-11,0.103913E-11,18.5863,444.677,446.507,0.300000,0,171.288,4.09807,4.11493,0.800000,0,0.936206E-01,2.09116,2.09976,-0.100000,0,276.982,276.663,96141.1,1.20877,1007.41,0.239250E-01,-0.769436E-02,0.308661E-02,394.099,783.741,0.255352E-02,50.2843,389.642,267.260,1.50925,0.555142,0.114473,1.61218,-0.674543E-14,0.110994E-13,1.61218,5.26588,313.738,20.1949,4.07173,-9999,0.287040,0.859754,-180.314,-0.160831E-01,-2.08386,-0.317866E-01,0,59.7723,-9.07068,20.5179,51.0925,77.9193,109.283,163.726,0.986349E-01,1.00971,10.7026,1.01347,-4.80120,1.11050,0.346654,1.12080,-0.106925,1.11050,-0.474553E-02,1.14848,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,5,9,0,34,14,0,0,0,0,0,0,0,0,0,0,11612,0,0,0,18000,18000,18000,18000,1.01653,0.544664,0.158315,0.117594E-01,0.142537E-03,17.2503,0.405799E-08,0.878902E-02,0.346654E-03,-0.106925,-0.474553E-05,8190.00,96533.8,96533.8,11.3876,445.181,447.015,4.10272,4.11964,-5.88361,278.127,278.155,278.121,92.9279,93.1013,92.7546,0.346697,0.00000,-1.00000,0.00000,2.08743,76.9331,1.00005,-273.150,9.00030,-273.150
2023-02-11T093000_AIU-0547.ghg,2023-02-11,10:00,42.4166,1,18000,18000,-0.103408,0,30.9832,0,3.01813,2,-0.448444,2,0.672786E-01,2,-0.346779E-02,0,1.93331,0.676992,0.129650E-01,0.150912E-01,0.515639E-03,-0.199617E-09,-0.194442E-11,-0.100734E-11,18.5348,444.879,446.816,0.800000,1,180.542,4.33345,4.35231,-6.70000,0,0.935325E-01,2.09884,2.10797,-0.200000,0,277.396,277.652,96173.4,1.20476,1007.56,0.240024E-01,0.435965E-02,0.325337E-02,416.874,840.146,0.270043E-02,49.6193,423.271,267.999,0.473065,-0.235394E-01,0.699594E-01,0.478789,-0.119363E-12,-0.107699E-13,0.478789,4.31317,334.172,357.151,8.40200,-9999,0.292972,0.946307,-68.7726,-0.421680E-01,10.2657,-0.871226E-01,0,62.9263,-9.54930,21.6005,53.7884,82.0307,115.049,172.365,-0.101130,1.02252,30.5428,1.02111,2.76079,1.09321,-0.433535,1.09469,0.615422E-01,1.09321,-0.128853E-01,1.15600,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,0,1,3,6,2,0,0,0,0,0,0,0,0,0,0,7400,0,0,0,18000,18000,18000,18000,0.902767,0.844817,0.145031,0.440572E-01,0.440116E-03,16.5686,0.146433E-07,0.251617E-01,-0.433535E-03,0.615422E-01,-0.128853E-04,8190.00,96571.3,96571.3,11.4000,445.560,447.502,4.34078,4.35972,-5.13674,279.247,279.259,279.244,92.9327,93.1095,92.7559,0.353626,0.00000,-1.00000,0.00000,2.09489,76.9678,1.00007,-273.150,9.00041,-273.150
2023-02-11T100000_AIU-0547.ghg,2023-02-11,10:30,42.4374,1,18000,18000,0.632675E-01,1,16.7125,1,5.50108,2,-1.60616,1,0.122608,2,-0.653823E-03,1,-0.317023,0.803374,-0.996900E-01,0.179056E-01,-0.341874E-03,-0.132226E-09,-0.137571E-11,-0.667750E-12,18.4879,443.326,445.380,2.80000,0,192.353,4.61246,4.63383,0.800000,1,0.933652E-01,2.09375,2.10345,-0.200000,0,277.633,277.490,96210.5,1.20580,1007.70,0.239792E-01,0.794503E-02,0.346619E-02,443.886,830.667,0.287460E-02,53.4373,386.781,268.830,1.33567,0.483737,0.102931,1.42430,-0.529556E-14,-0.715202E-14,1.42430,6.19323,313.615,19.9087,4.14427,-9999,0.229062,0.953480,-60.9562,-0.475751E-01,3.03803,-0.600454E-01,0,60.0705,-9.11593,20.6202,51.3473,78.3079,109.828,164.542,0.626165E-01,1.01040,16.7959,1.01374,4.97653,1.10541,-1.49309,1.11410,0.110917,1.10541,-0.609335E-02,1.14803,800000009,800000009,800000009,800000009,800000009,800010109,899999999,899999999,89999,89999,89,89,1,8,2,23,5,0,0,0,0,0,0,0,0,0,0,2288,0,0,0,18000,18000,18000,18000,1.14450,0.662887,0.995727E-01,0.290790E-01,0.106010E-02,26.3151,0.574517E-08,0.138227E-01,-0.149309E-02,0.110917,-0.609335E-05,8190.00,96592.4,96592.4,11.3929,445.249,447.321,4.63240,4.65398,-4.27408,279.819,279.833,279.815,92.9374,93.1153,92.7595,0.355855,0.00000,-1.00000,0.00000,2.08956,77.0021,1.00009,-273.150,9.00047,-273.150
2023-02-11T103000_AIU-0547.ghg,2023-02-11,11:00,42.4582,1,18000,18000,-0.562158E-01,2,11.7282,0,-5.02511,1,0.683053E-01,2,-0.112041,1,-0.105895E-02,0,0.748006,1.05561,-0.534987E-01,0.235361E-01,-0.673034E-04,0.122291E-09,0.137622E-11,0.618028E-12,18.4306,442.491,444.706,0.300000,0,207.411,4.97965,5.00457,2.50000,0,0.931433E-01,2.09275,2.10322,-0.100000,0,278.181,277.872,96225.2,1.20416,1007.91,0.240086E-01,-0.726024E-02,0.373755E-02,479.297,853.211,0.310388E-02,56.1756,373.914,269.853,1.43766,0.331721,0.125007,1.48072,-0.266224E-13,0.663524E-14,1.48072,5.35767,318.858,12.9929,4.84285,-9999,0.216067,1.44142,-72.9137,-0.397730E-01,-2.33391,-0.447237E-01,0,52.1188,-7.90923,17.8907,44.5503,67.9421,95.2897,142.761,-0.556499E-01,1.01017,11.3275,1.01364,-4.53985,1.10689,0.105412,1.11606,-0.101221,1.10689,-0.427195E-02,1.14813,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,0,18000,18000,18000,18000,1.65857,1.09793,0.126351,0.774487E-01,0.355488E-03,25.6020,0.142974E-07,0.933314E-02,0.105412E-03,-0.101221,-0.427195E-05,8190.00,96597.9,96597.9,11.3914,443.955,446.184,4.99588,5.02098,-3.26497,279.891,279.905,279.888,92.9118,93.0863,92.7373,0.348973,0.00000,-1.00000,0.00000,2.08823,77.0484,1.00008,-273.150,9.00046,-273.150
2023-02-11T110000_AIU-0547.ghg,2023-02-11,11:30,42.4790,1,18000,18000,0.261491E-01,2,16.0682,1,6.43488,2,0.145784,2,0.143588,2,-0.124443E-02,1,1.63582,0.715021,0.257775E-01,0.159550E-01,0.116468E-03,-0.101475E-09,-0.119813E-11,-0.512345E-12,18.3906,442.895,445.223,1.50000,0,217.141,5.22934,5.25683,0.800000,1,0.928537E-01,2.09449,2.10550,-0.200000,0,278.951,278.711,96218.7,1.20034,1008.06,0.240827E-01,0.930450E-02,0.391288E-02,503.295,904.566,0.325982E-02,55.6394,401.271,270.509,1.29913,0.276662,0.127411,1.33436,-0.358791E-13,-0.551777E-14,1.33436,4.90656,322.318,12.0221,5.47922,-9999,0.147597,0.953086,-16.9645,-0.170945,2.49705,-0.899707E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.258696E-01,1.01080,16.2109,1.01392,5.83327,1.10313,0.732188E-01,1.11106,0.130164,1.10313,-0.649666E-02,1.14793,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,6,0,1,34,0,0,0,0,0,0,0,0,0,0,0,5712,0,0,0,18000,18000,18000,18000,1.13669,0.643071,0.126408,0.102341,0.325086E-03,27.1157,0.108435E-07,0.133973E-01,0.732188E-04,0.130164,-0.649666E-05,8190.00,96599.7,96599.7,11.4200,444.009,446.349,5.24254,5.27019,-2.61734,280.538,280.556,280.534,92.9165,93.0919,92.7411,0.350787,0.00000,-1.00000,0.00000,2.08975,77.1923,1.00009,-273.150,9.00054,-273.150
2023-02-11T113000_AIU-0547.ghg,2023-02-11,12:00,42.4999,1,18000,18000,-0.285103E-01,2,1.78449,2,-2.88669,1,1.15840,1,-0.644427E-01,1,-0.176053E-02,2,0.923784,0.571873E-01,-0.414752E-01,0.127666E-02,-0.964063E-04,-0.986629E-10,-0.117111E-11,-0.498477E-12,18.3255,442.244,444.578,-1.40000,0,217.520,5.24936,5.27706,-5.60000,0,0.925862E-01,2.09304,2.10409,-0.100000,0,279.556,279.186,96182.6,1.19784,1008.08,0.241328E-01,-0.417589E-02,0.391971E-02,505.032,934.820,0.327232E-02,54.0246,429.788,270.556,2.12592,0.320293,0.211594,2.16030,-0.116485E-13,-0.538393E-14,2.16030,6.27460,325.204,8.56780,5.62095,-9999,0.154277,1.32298,-174.405,-0.166279E-01,-0.618179,-0.957899E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.282690E-01,1.00853,1.61564,1.01333,-2.56100,1.12717,1.01420,1.14218,-0.571721E-01,1.12717,-0.199835E-02,1.15106,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,5488,0,0,0,18000,18000,18000,18000,1.70548,0.795060,0.145411,0.877545E-01,0.117049E-02,43.7889,0.285391E-07,0.133799E-02,0.101420E-02,-0.571721E-01,-0.199835E-05,8190.00,96571.7,96571.7,11.4162,443.581,445.929,5.26529,5.29319,-2.56478,281.183,281.201,281.178,92.9255,93.1029,92.7481,0.354827,0.00000,-1.00000,0.00000,2.08830,77.2227,1.00011,-273.150,9.00060,-273.150
2023-02-11T120000_AIU-0547.ghg,2023-02-11,12:30,42.5207,1,18000,18000,0.349229E-01,1,8.16298,1,-7.75175,2,-0.429023,1,-0.173123,2,-0.143217E-02,0,0.851602,-0.493277E-01,-0.187239E-01,-0.110166E-02,-0.125351E-03,-0.365709E-10,-0.432947E-12,-0.184661E-12,18.2830,441.950,444.275,0.800000,1,216.445,5.23205,5.25957,0.800000,1,0.923180E-01,2.09116,2.10216,0.100000,0,280.060,279.625,96174.5,1.19586,1008.08,0.241727E-01,-0.112184E-01,0.390033E-02,503.325,963.546,0.326152E-02,52.2367,460.221,270.510,2.04542,0.466637,0.185654,2.10618,0.434583E-13,-0.200027E-14,2.10618,5.64312,322.518,12.8513,5.05704,-9999,0.170889,0.907831,-51.8129,-0.559706E-01,-1.05305,-0.396240E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.346248E-01,1.00861,7.66938,1.01331,-6.88778,1.12544,-0.307985,1.13999,-0.153828,1.12544,-0.333960E-02,1.15074,800000009,800000009,800000009,800000009,800000009,800000109,899999999,899999999,89999,89999,89,89,5,1,0,16,0,0,0,0,0,0,0,0,0,0,0,6100,0,0,0,18000,18000,18000,18000,1.00521,0.699778,0.110678,0.666446E-01,0.352173E-03,94.8039,0.127594E-07,0.636186E-02,-0.307985E-03,-0.153828,-0.333960E-05,8190.00,96549.4,96549.4,11.4100,443.204,445.542,5.24685,5.27458,-2.62192,281.531,281.562,281.524,92.9195,93.0960,92.7430,0.352997,0.00000,-1.00000,0.00000,2.08644,77.2533,1.00011,-273.150,9.00059,-273.150
2023-02-11T123000_AIU-0547.ghg,2023-02-11,13:00,42.5415,1,18000,18000,-0.438587E-01,2,7.66807,1,10.9464,1,0.437536,0,0.244596,1,-0.208144E-03,0,1.02954,-0.571035,0.275717E-01,-0.127596E-01,0.990253E-04,-0.166237E-09,-0.189060E-11,-0.839003E-12,18.2616,442.384,444.621,0.100000,0,207.687,5.03119,5.05664,0.800000,1,0.921667E-01,2.09265,2.10323,-0.200000,0,280.561,280.156,96149.9,1.19338,1007.98,0.242248E-01,0.158498E-01,0.374253E-02,483.879,999.392,0.313607E-02,48.4173,515.514,269.981,1.88809,0.503612,0.193942,1.96370,0.413299E-13,-0.910310E-14,1.96370,5.31434,320.526,14.9348,5.66797,-9999,0.191707,0.943335,-77.8542,-0.372491E-01,0.700508,-0.332520E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.434739E-01,1.00885,8.14759,1.01330,9.76536,1.12095,0.289033,1.13428,0.218205,1.12095,-0.322553E-02,1.14996,800000009,800000009,800000009,800000009,800000009,800001109,899999999,899999999,89999,89999,89,89,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,10312,0,0,0,18000,18000,18000,18000,1.30133,0.492032,0.933126E-01,0.798843E-01,0.276080E-03,107.626,0.124971E-07,0.677327E-02,0.289033E-03,0.218205,-0.322553E-05,8190.00,96534.6,96534.6,11.4100,443.390,445.638,5.04288,5.06851,-3.16020,281.936,281.966,281.929,92.9063,93.0820,92.7306,0.351413,0.00000,-1.00000,0.00000,2.08812,77.2878,1.00009,-273.150,9.00058,-273.150
2023-02-11T130000_AIU-0547.ghg,2023-02-11,13:30,42.5624,1,18000,18000,-0.120341,1,5.48863,2,9.78631,1,-0.773694,1,0.218828,1,-0.224831E-02,2,1.43574,-0.337074,-0.426994E-02,-0.753717E-02,-0.320098E-04,0.545418E-10,0.605714E-12,0.275253E-12,18.1971,442.317,444.500,3.50000,0,202.088,4.91214,4.93639,0.800000,0,0.918341E-01,2.09217,2.10250,-0.100000,0,281.286,280.899,96079.2,1.18940,1007.93,0.243070E-01,0.141801E-01,0.364162E-02,472.081,1051.53,0.306172E-02,44.8949,579.444,269.650,1.71061,0.405452,0.179929,1.76719,-0.301849E-14,0.299728E-14,1.76719,6.80750,322.818,13.3343,5.84378,-9999,0.318085,1.69321,-496.578,-0.583997E-02,0.560848,-0.143934E-01,0,63.6993,-9.66662,21.8659,54.4492,83.0385,116.463,174.482,-0.119235,1.00928,5.93696,1.01335,8.77714,1.11498,-0.772712,1.12662,0.196262,1.11498,-0.438178E-02,1.14904,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5688,0,0,0,18000,18000,18000,18000,2.05691,1.16368,0.165819,0.102554,0.464917E-03,46.7360,0.258126E-07,0.495230E-02,-0.772712E-03,0.196262,-0.438178E-05,8190.00,96461.3,96461.3,11.4100,443.683,445.881,4.92750,4.95193,-3.47212,282.907,282.933,282.900,92.8937,93.0723,92.7152,0.357055,0.00000,-1.00000,0.00000,2.08774,77.2385,1.00007,-342.635,9.00063,-273.150
2023-02-11T133000_AIU-0547.ghg,2023-02-11,14:00,42.5832,1,18000,18000,0.830333E-01,1,-1.61702,1,6.00645,1,0.402389,0,0.134342,1,-0.181921E-02,0,0.509897,-1.23935,-0.317129E-01,-0.277197E-01,-0.120152E-03,-0.123206E-09,-0.124748E-11,-0.622477E-12,18.1414,441.815,443.800,3.00000,0,183.685,4.47346,4.49356,0.600000,0,0.916560E-01,2.09035,2.09975,-0.200000,0,281.677,281.164,95984.0,1.18730,1007.69,0.243540E-01,0.870535E-02,0.331000E-02,429.496,1070.65,0.278783E-02,40.1155,641.152,268.393,1.86375,0.662806,0.175996,1.98592,-0.505205E-13,-0.679144E-14,1.98592,5.94339,316.167,19.5769,5.08433,-9999,0.264451,1.22855,967.851,0.299633E-02,-0.269214,0.511070E-02,0,57.7040,-8.75680,19.8079,49.3245,75.2230,105.501,158.060,0.824746E-01,1.00677,-1.29025,1.01243,5.29208,1.13499,0.301912,1.15074,0.118364,1.13499,-0.154063E-02,1.17174,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,4,5,2,4,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,18000,18000,18000,18000,1.60439,0.705970,0.146745,0.317601E-01,0.312124E-03,216.253,0.618395E-08,-0.107841E-02,0.301912E-03,0.118364,-0.154063E-05,8190.00,96355.8,96355.8,11.4100,443.148,445.146,4.48722,4.50758,-4.76220,283.124,283.142,283.119,92.8931,93.0708,92.7154,0.355432,0.00000,-1.00000,0.00000,2.08634,77.2708,1.00008,-329.836,9.00066,-273.150
2023-02-11T140000_AIU-0547.ghg,2023-02-11,14:30,42.6040,1,18000,18000,-0.696599E-01,1,2.80087,1,3.92504,1,-0.116476,1,0.877961E-01,1,-0.183994E-02,1,0.173369,-0.538724,0.741896E-02,-0.120503E-01,-0.258837E-04,-0.187043E-10,-0.181256E-12,-0.945080E-13,18.1300,441.932,443.833,0.800000,1,175.690,4.28258,4.30100,4.00000,0,0.916058E-01,2.08996,2.09895,0.100000,0,281.786,281.254,95928.9,1.18633,1007.59,0.243758E-01,0.568919E-02,0.316593E-02,410.934,1077.22,0.266868E-02,38.1474,666.291,267.810,1.15997,0.214690,0.148100,1.18894,0.244507E-13,-0.103168E-14,1.18894,4.21789,322.039,10.4858,7.15567,-9999,0.242320,0.866871,-429.705,-0.674881E-02,0.713591,-0.966976E-02,0,65.6639,-9.96475,22.5403,56.1285,85.5995,120.054,179.864,-0.688607E-01,1.01161,2.97368,1.01432,3.56906,1.09974,-0.139456,1.10644,0.798334E-01,1.09974,-0.281784E-02,1.14795,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,7,4,3,3,6,0,0,0,0,0,0,0,0,0,0,16500,0,0,0,18000,18000,18000,18000,1.02853,0.616013,0.891967E-01,0.182967E-01,0.244010E-04,10.6371,0.489282E-08,0.248774E-02,-0.139456E-03,0.798334E-01,-0.281784E-05,8190.00,96307.1,96307.1,11.4100,442.916,444.825,4.29204,4.31055,-5.32036,283.011,283.032,283.006,92.8771,93.0519,92.7023,0.349626,0.00000,-1.00000,0.00000,2.08612,77.1576,1.00008,-354.667,9.00068,-273.150
2023-02-11T143000_AIU-0547.ghg,2023-02-11,15:00,42.6248,1,18000,18000,-0.172550E-01,1,-3.25240,0,-2.55818,1,-0.663290E-01,0,-0.572257E-01,1,-0.135658E-02,2,0.135367,0.221792,-0.308092E-02,0.496142E-02,-0.210260E-04,-0.622772E-10,-0.614650E-12,-0.314681E-12,18.1199,441.884,443.819,3.40000,0,178.836,4.36121,4.38031,-6.60000,0,0.915584E-01,2.08964,2.09880,0.800000,0,281.903,281.324,95910.4,1.18577,1007.63,0.243866E-01,-0.370822E-02,0.322263E-02,418.397,1082.39,0.271776E-02,38.6550,663.990,268.047,1.21871,0.277521,0.135366,1.25722,0.769021E-15,-0.343695E-14,1.25722,3.80029,320.218,12.8285,6.18107,-9999,0.120631,0.396529,45.6471,0.635308E-01,1.27138,0.225654E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.171091E-01,1.00853,-3.33886,1.01529,-2.24004,1.14203,-0.393823E-01,1.15286,-0.501089E-01,1.14203,-0.987190E-04,1.21361,800000009,800000009,800000009,800000009,800000009,800000109,899999999,899999999,89999,89999,89,89,5,0,0,21,17,1,1,0,0,0,0,0,0,0,0,17900,0,0,0,18000,18000,18000,18000,0.461464,0.286538,0.450567E-01,0.109278E-01,0.171308E-04,16.5494,0.444835E-08,-0.279445E-02,-0.393823E-04,-0.501089E-01,-0.987190E-07,8190.00,96288.9,96288.9,11.4100,442.886,444.831,4.37193,4.39114,-5.08085,283.095,283.116,283.090,92.8772,93.0521,92.7022,0.349895,0.00000,-1.00000,0.00000,2.08574,77.1448,1.00012,-273.150,9.00071,-273.150
2023-02-11T150000_AIU-0547.ghg,2023-02-11,15:30,42.6457,1,18000,18000,-0.576498E-01,1,1.57485,2,-3.13967,2,-0.325886E-01,1,-0.702630E-01,2,-0.472294E-02,1,0.845707,0.939327E-01,0.349593E-01,0.210213E-02,-0.142938E-03,0.383168E-09,0.380586E-11,0.193084E-11,18.1138,442.438,444.391,-1.90000,0,179.917,4.39457,4.41397,-6.80000,0,0.912779E-01,2.08748,2.09669,0.800000,0,282.360,281.764,95907.4,1.18386,1007.66,0.244255E-01,-0.455304E-02,0.324211E-02,421.585,1115.19,0.273858E-02,37.8039,693.604,268.147,1.18496,0.477086,0.182233,1.29033,-0.495470E-13,0.211534E-13,1.29033,4.45578,309.930,21.9306,8.11905,-9999,0.220672,0.546224,-577.091,-0.502521E-02,-0.501598,-0.598240E-02,0,75.6751,-11.4840,25.9768,64.6859,98.6501,138.358,207.286,-0.570211E-01,1.01103,1.38829,1.01403,-2.84889,1.10207,-0.293692E-01,1.10962,-0.637556E-01,1.10207,-0.468049E-02,1.14791,800000009,800000009,800000009,800000009,800000009,800110009,899999999,899999999,89999,89999,89,89,2,9,5,5,40,0,0,0,0,0,0,0,0,0,0,17700,0,0,0,18000,18000,18000,18000,0.783005,0.257564,0.518801E-01,0.469711E-01,0.136625E-04,20.8093,0.142122E-07,0.116376E-02,-0.293692E-04,-0.637556E-01,-0.468049E-05,8190.00,96286.4,96286.4,11.4171,443.151,445.111,4.40193,4.42141,-4.99143,283.353,283.374,283.348,92.8726,93.0478,92.6974,0.350370,0.00000,-1.00000,0.00000,2.08355,77.1224,1.00013,-273.150,9.00081,-273.150
