,Reservoir,Site,DateTime,Depth_m,Rep,TP_ugL,TN_ugL,Flag_TP,Flag_TN,NH4_ugL,SRP_ugL,NO3NO2_ugL,Flag_NH4,Flag_SRP,Flag_NO3NO2,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Flag_DC,Flag_DIC,Flag_DOC,Flag_DN,Flag_DateTime
39,BVR,50,2020-07-17 11:53:00,0.1,1,10.5,142,0,0,5,4,3,3,0,0,3.9,2.3,6.3,0.16,0,0,0,0,0
40,BVR,50,2020-07-17 12:03:00,3,1,14.8,189,0,0,10,6,3,3,0,0,3.1,1.5,4.6,0.12,0,0,0,0,0
41,BVR,50,2020-07-17 12:13:00,6,1,25.8,252,0,0,7,5,3,3,0,0,2.7,2.8,5.5,0.14,0,0,0,0,0
42,BVR,50,2020-07-17 13:03:00,9,1,21,221,0,0,407,11,3,3,3,0,1.2,3.7,4.9,0.38,0,0,0,0,0
43,BVR,50,2020-07-17 13:20:00,11,1,51.2,1370,0,0,1300,21,3,3,3,0,3.3,3.1,6.4,1.26,0,0,0,0,0
44,BVR,50,2020-07-23 11:04:00,0.1,1,11,205,0,0,6,4,3,3,0,0,2.4,2.5,4.9,0.13,0,0,0,0,0
45,BVR,50,2020-07-23 10:50:00,3,1,12.7,204,0,0,16,6,6,3,0,0,0.4,4.3,4.7,0.14,0,0,3,0,0
46,BVR,50,2020-07-23 11:21:00,6,1,26.7,280,0,0,3,6,3,3,0,0,1.4,3,4.3,0.1,0,0,0,0,0
47,BVR,50,2020-07-23 11:55:00,9,1,22.8,1186,0,0,981,38,3,0,0,0,2.2,4.3,6.4,1.02,0,0,0,0,0
48,BVR,50,2020-07-23 12:26:00,11,1,47.2,1658,0,0,1300,46,6,3,0,0,1.5,4.7,6.2,1.04,0,0,0,0,0
49,BVR,50,2020-07-30 12:01:00,0.1,1,18,571,0,0,7,6,3,3,0,0,1.8,2.8,4.6,0.12,0,0,0,0,0
50,BVR,50,2020-07-30 12:00:00,3,1,13.6,199,0,0,9,8,3,3,0,0,2.7,2.3,5,0.13,0,0,0,0,1
51,BVR,50,2020-07-30 12:00:00,6,1,15.9,173,0,0,18,6,3,3,0,0,1.6,2.8,4.4,0.13,0,0,0,0,1
52,BVR,50,2020-07-30 12:28:00,9,1,30,1207,0,0,856,22,3,3,3,0,3,3,6,0.85,0,0,0,0,0
53,BVR,50,2020-07-30 12:30:00,11,1,39.3,1558,0,0,1820,53,7,3,0,0,2.1,5.3,7.4,1.63,0,0,0,0,0
54,BVR,50,2020-08-06 12:00:00,0.1,1,10.7,215,0,0,3,6,3,3,0,0,2.2,2.5,4.7,0.13,0,0,0,0,1
55,BVR,50,2020-08-06 12:00:00,3,1,14.4,228,0,0,12,5,3,3,0,0,2.8,2.5,5.3,0.15,0,0,0,0,1
56,BVR,50,2020-08-06 12:00:00,6,1,42,478,0,0,18,6,3,3,0,0,1.5,3.4,4.9,0.12,0,0,0,0,1
57,BVR,50,2020-08-06 12:00:00,9,1,24,1650,0,0,1590,38,7,3,0,0,1.7,5.3,7,1.31,0,0,0,0,1
58,BVR,50,2020-08-06 12:00:00,11,1,32.5,2200,0,0,1900,50,6,3,0,0,2.5,5.2,7.7,1.8,0,0,0,0,1
59,BVR,50,2020-08-12 15:34:00,0.1,1,14.5,218,0,0,20,10,3,3,3,0,0.9,4.3,5.2,0.21,0,0,0,0,0
60,BVR,50,2020-08-12 15:37:00,3,1,15.5,293,0,0,16,8,5,3,0,0,3.1,2.7,5.8,0.21,0,0,0,0,0
61,BVR,50,2020-08-12 15:41:00,6,1,20.4,274,0,0,49,5,3,3,0,0,2.5,2.6,5.1,0.16,0,0,0,0,0
62,BVR,50,2020-08-12 15:45:00,9,1,23.4,1110,0,0,699,4,6,3,0,0,0,6.4,5.8,0.74,0,0,43,0,0
63,BVR,50,2020-08-12 15:50:00,11,1,34.2,2100,0,0,2360,8,7,3,0,0,1.9,5.8,7.7,2.42,0,0,0,0,0
64,BVR,50,2020-08-20 09:18:00,0.1,1,14.6,248,0,0,3,7,3,3,0,0,2.9,2.6,5.6,0.16,0,0,0,0,0
65,BVR,50,2020-08-20 09:22:00,3,1,17.2,190,0,0,8,8,3,3,0,0,3.9,1.9,5.8,0.17,0,0,0,0,0
66,BVR,50,2020-08-20 09:42:00,6,1,20.4,183,0,0,9,4,3,3,0,0,1.5,3.3,4.8,0.1,0,0,0,0,0
67,BVR,50,2020-08-20 09:57:00,9,1,30,1348,0,0,1170,41,7,3,0,0,4.3,4.3,8.6,1.47,0,0,0,0,0
68,BVR,50,2020-08-20 10:07:00,10,1,36.8,1760,0,0,1848,75,3,3,8,0,4.4,3.2,7.6,1.57,0,0,0,0,0
69,BVR,50,2020-08-26 10:40:00,0.1,1,20.3,405,0,0,11,9,5,3,0,0,2.6,2.5,5.1,0.15,0,0,0,0,0
70,BVR,50,2020-08-26 11:00:00,3,1,19.6,237,0,0,17,10,3,3,0,0,0.5,4.9,5.4,0.19,0,0,3,0,0
71,BVR,50,2020-08-26 11:20:00,6,1,27.5,205,0,0,26,5,3,3,0,0,2.1,3.1,5.1,0.16,0,0,0,0,0
72,BVR,50,2020-08-26 11:31:00,9,1,31.8,989,0,0,616,13,3,3,3,0,2.6,4,6.5,0.71,0,0,0,0,0
73,BVR,50,2020-08-26 11:38:00,11,1,28,2220,0,0,1920,57,14,73,7,73,2.6,4.3,6.9,1.715,7,7,7,7,0
74,BVR,50,2020-09-03 01:33:00,0.1,1,21.6,349,0,0,7,8,3,3,0,0,1.7,3.2,4.9,0.14,0,0,0,0,0
75,BVR,50,2020-09-03 01:49:00,3,1,22.1,332,0,0,7,7,3,3,0,0,2.2,2.9,5.1,0.16,0,0,0,0,0
76,BVR,50,2020-09-03 13:59:00,6,1,15.8,214,0,0,7,5,3,3,0,0,1.2,3.6,4.8,0.13,0,0,0,0,0
77,BVR,50,2020-09-03 14:02:00,9,1,29.3,1420,0,0,1420,63,6,3,0,0,1.6,4.9,6.5,1.27,0,0,0,0,0
78,BVR,50,2020-09-03 14:10:00,10,1,26.4,1872,0,0,1940,65,8,3,0,0,0.8,5.9,6.7,1.65,0,0,0,0,0
79,BVR,50,2020-09-16 10:25:00,0.1,1,22.9,364,0,0,6,7,3,3,0,0,3.5,2.6,6.1,0.22,0,0,0,0,0
80,BVR,50,2020-09-16 10:43:00,3,1,27,473,0,0,10,8,3,3,0,0,3,2.8,5.9,0.19,0,0,0,0,0
81,BVR,50,2020-09-16 11:00:00,6,1,21.9,224,0,0,16,8,5,3,0,0,1.9,3.7,5.6,0.23,0,0,0,0,0
82,BVR,50,2020-09-16 11:15:00,9,1,25.2,1830,0,0,1592,58,6,3,0,0,2.2,4.6,6.9,1.31,0,0,0,0,0
83,BVR,50,2020-09-16 11:35:00,11,1,23,2300,0,0,2056,40,9,3,0,0,4.8,3.7,8.5,1.92,8,8,8,8,0
84,BVR,50,2020-10-01 10:22:00,0.1,1,17.2,393,0,0,17,6,5,3,0,0,3.4,3,6.4,0.2,0,0,0,0,0
85,BVR,50,2020-10-01 10:38:00,3,1,18.3,247,0,0,17,9,5,3,0,0,3.2,2.9,6.1,0.2,0,0,0,0,0
86,BVR,50,2020-10-01 10:50:00,6,1,24.6,272,0,0,25,3,3,3,3,0,2.4,3,5.4,0.15,0,0,0,0,0
87,BVR,50,2020-10-01 11:01:00,9,1,24.5,1080,0,0,1130,6,5,3,0,0,4.3,3.3,7.7,1.18,0,0,0,0,0
88,BVR,50,2020-10-01 11:08:00,10,1,32.2,2856,0,0,1522,18,8,73,73,7,4,5.9,9.8,2.145,7,7,7,7,0
89,BVR,50,2020-10-05 10:43:00,0.1,1,17.1,276,0,0,19,6,8,3,0,0,3.2,2.9,6.1,0.19,0,0,0,0,0
90,BVR,50,2020-10-05 10:51:00,3,1,18.6,333,0,0,14,3,7,3,3,0,4.4,2.1,6.5,0.21,0,0,0,0,0
91,BVR,50,2020-10-05 11:03:00,6,1,19,291,0,0,9,9,5,3,0,0,4.2,2.4,6.6,0.19,0,0,0,0,0
92,BVR,50,2020-10-05 11:14:00,9,1,24.6,1300,0,0,1330,5,6,3,0,0,2.9,4.5,7.4,1.19,0,0,0,0,0
93,BVR,50,2020-10-05 11:22:00,10,1,42,2963,0,0,1870,8,5,3,0,0,2,5.3,7.3,1.71,0,0,0,0,0
94,BVR,50,2020-10-14 10:15:00,0.1,1,22.2,331,0,0,9,10,3,3,0,0,3.8,2.2,6,0.15,0,0,0,0,0
95,BVR,50,2020-10-14 10:27:00,3,1,19.7,282,0,0,14,4,6,3,0,0,4.3,2.2,6.5,0.2,0,0,0,0,0
96,BVR,50,2020-10-14 10:45:00,6,1,25.7,284,0,0,56,5,3,3,0,0,3.6,2.9,6.5,0.19,0,0,0,0,0
97,BVR,50,2020-10-14 10:57:00,9,1,25.7,1810,0,0,1730,3,5,3,3,0,4.5,3.6,8.1,1.6,0,0,0,0,0
98,BVR,50,2020-10-14 11:09:00,10,1,24.2,1550,0,0,1500,4,3,3,0,0,4.2,3.5,7.7,1.35,0,0,0,0,0
99,BVR,50,2020-10-26 13:05:00,0.1,1,15.5,304,0,0,11,7,5,3,0,0,0.7,5,5.7,0.18,0,0,3,0,0
100,BVR,50,2020-10-26 13:16:00,3,1,10.9,285,0,0,15,7,3,3,0,0,2.6,3.1,5.7,0.19,0,0,0,0,0
101,BVR,50,2020-10-26 13:22:00,6,1,17.5,244,0,0,37,2,8,3,3,0,4,2.4,6.4,0.19,0,0,0,0,0
102,BVR,50,2020-10-26 13:29:00,9,1,26.8,1650,0,0,1780,7,5,3,0,0,3.2,5,8.2,1.57,0,0,0,0,0
103,BVR,50,2020-10-26 12:00:00,11,1,24.8,1640,0,0,1980,8,5,3,0,0,3,5.5,8.5,1.91,0,0,0,0,1
104,BVR,50,2020-11-10 09:55:00,0.1,1,15.6,263,0,0,26,8,5,3,0,0,1.1,3.6,4.7,0.15,0,0,0,0,0
