Reservoir, Site, Depth, DataStream, TIMESTAMP_start, TIMESTAMP_end, start_parameter, end_parameter , flag, update_value, notes
BVR,51,5.3,YSI,2021-07-07 11:37:00 EST,2021-07-07 11:37:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,6,YSI,2021-07-07 11:37:00 EST,2021-07-07 11:37:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,7,YSI,2021-07-07 11:37:00 EST,2021-07-07 11:37:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,8,YSI,2021-07-07 11:37:00 EST,2021-07-07 11:37:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,9,YSI,2021-07-07 11:37:00 EST,2021-07-07 11:37:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,10,YSI,2021-07-07 11:37:00 EST,2021-07-07 11:37:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,0.1,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,1,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,2,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,3,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,4,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,5,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,5.3,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,6,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,7,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,8,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,9,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,51,10,YSI,2021-07-08 11:45:00 EST,2021-07-08 11:45:00 EST,Site,NA,6,50,fix digitizing error
BVR,50,9.7,YSI,2020-08-06 11:42:00 EST,2020-08-06 11:42:00 EST,Temp_C,NA,6,9.7,fix digitizing error
BVR,50,9.7,YSI,2020-08-06 11:42:00 EST,2020-08-06 11:42:00 EST,DO_mgL,NA,6,0.52,fix digitizing error
BVR,50,9.7,YSI,2020-08-06 11:42:00 EST,2020-08-06 11:42:00 EST,DOsat_percent,NA,6,4.5,fix digitizing error
BVR,50,9.7,YSI,2020-08-06 11:42:00 EST,2020-08-06 11:42:00 EST,Depth_m,NA,6,11,fix digitizing error
CCR,301,0.1,YSI,2021-11-19 12:00:00 EST,2021-11-19 12:00:00 EST,DO_mgL,NA,6,80,fix digitizing error
CCR,301,0.1,YSI,2021-11-19 12:00:00 EST,2021-11-19 12:00:00 EST,SpCond_uScm,NA,6,21.6,fix digitizing error
CCR,400,0.1,YSI,2021-11-19 12:00:00 EST,2021-11-19 12:00:00 EST,DO_mgL,NA,6,80.3,fix digitizing error
CCR,400,0.1,YSI,2021-11-19 12:00:00 EST,2021-11-19 12:00:00 EST,SpCond_uScm,NA,6,297,fix digitizing error
CCR,500,0.1,YSI,2021-11-19 12:00:00 EST,2021-11-19 12:00:00 EST,DO_mgL,NA,6,88.8,fix digitizing error
CCR,500,0.1,YSI,2021-11-19 12:00:00 EST,2021-11-19 12:00:00 EST,SpCond_uScm,NA,6,367.1,fix digitizing error
CCR,101,0.1,YSI,2022-06-09 12:11:00 EST,2022-06-09 12:11:00 EST,SpCond_uScm,NA,6,34.3,fix digitizing error
CCR,301,0,YSI,2022-06-09 11:34:00 EST,2022-06-09 11:34:00 EST,Depth_m,NA,6,0.1,fix digitizing error
CCR,500,0.1,YSI,2022-06-09 12:20:00 EST,2022-06-09 12:20:00 EST,Temp_C,NA,6,90.9,fix digitizing error
FCR,100,0.1,YSI,2020-06-22 13:07:00 EST,2020-06-22 13:07:00 EST,DO_mgL,NA,6,8.44,fix digitizing error
FCR,100,0.1,YSI,2020-06-22 13:07:00 EST,2020-06-22 13:07:00 EST,DOsat_percent,NA,6,94.2,fix digitizing error
FCR,200,0.1,YSI,2020-06-22 13:29:00 EST,2020-06-22 13:29:00 EST,DO_mgL,NA,6,8.5,fix digitizing error
FCR,200,0.1,YSI,2020-06-22 13:29:00 EST,2020-06-22 13:29:00 EST,DOsat_percent,NA,6,87.7,fix digitizing error
BVR,50,0.1,YSI,2022-09-26 10:08:00 EST,2022-09-26 10:08:00 EST,SpCond_uScm,NA,6,30.3,fix digitizing error
BVR,50,0.5,YSI,2022-09-26 10:09:00 EST,2022-09-26 10:09:00 EST,SpCond_uScm,NA,6,30.4,fix digitizing error
BVR,50,1,YSI,2022-09-26 10:10:00 EST,2022-09-26 10:10:00 EST,SpCond_uScm,NA,6,30.3,fix digitizing error
BVR,50,1.5,YSI,2022-09-26 10:11:00 EST,2022-09-26 10:11:00 EST,SpCond_uScm,NA,6,30.3,fix digitizing error
BVR,50,2,YSI,2022-09-26 10:12:00 EST,2022-09-26 10:12:00 EST,SpCond_uScm,NA,6,30.4,fix digitizing error
FCR,50,1.6,YSI,2022-12-12 10:30:00 EST,2022-12-12 10:30:00 EST,pH,NA,6,6.7,fix digitizing error
FCR,50,6.2,YSI,2022-12-12 11:03:00 EST,2022-12-12 11:03:00 EST,pH,NA,6,6.68,fix digitizing error
FCR,50,8,YSI,2022-12-12 11:15:00 EST,2022-12-12 11:15:00 EST,pH,NA,6,6.55,fix digitizing error
FCR,50,9,YSI,2022-12-12 11:20:00 EST,2022-12-12 11:20:00 EST,pH,NA,6,6.54,fix digitizing error
BVR,50,0.1,YSI,2022-12-16 10:50:00 EST,2022-12-16 10:50:00 EST,pH,NA,6,7.04,fix digitizing error
BVR,50,0.1,YSI,2023-10-31 10:30:00 EST,2023-10-31 10:30:00 EST,pH,NA,2,NA,pH probe broken
BVR,50,3,YSI,2023-10-31 10:47:00 EST,2023-10-31 10:47:00 EST,pH,NA,2,NA,pH probe broken
BVR,50,6,YSI,2023-10-31 11:07:00 EST,2023-10-31 11:07:00 EST,pH,NA,2,NA,pH probe broken
BVR,50,9,YSI,2023-10-31 11:18:00 EST,2023-10-31 11:18:00 EST,pH,NA,2,NA,pH probe broken
FCR,100,0.1,YSI,2021-11-22 13:32:00 EST,2021-11-22 13:32:00 EST,SpCond_uScm,NA,6,25,fix digitizing error
FCR,200,0.1,YSI,2021-11-22 13:32:00 EST,2021-11-22 13:32:00 EST,DOsat_percent,NA,5,73.3,DO probe not calibrated
FCR,200,0.1,YSI,2021-11-22 13:32:00 EST,2021-11-22 13:32:00 EST,SpCond_uScm,NA,6,46.3,fix digitizing error
FCR,100,0.1,YSI,2021-11-22 13:32:00 EST,2021-11-22 13:32:00 EST,DO_mgL,NA,5,10.05,DO probe not calibrated
