,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR),,
05/19/2025 - 15,0.2,454.3,119.7,380.1,"2,135.4",32.8,0.6,-0.6,246.9,232.1,10.3,0.2,0.5,404.6,32.0,0.2,0.2,0.3,-1.2,0.0,-0.4,1.8,0.2,0.0,0.0,0.1,5.8,1.9,0.0,,
05/26/2025 - 15,0.1,292.2,54.7,74.4,902.5,16.7,0.3,-0.7,110.3,769.7,1.7,0.0,0.2,129.6,9.3,0.0,0.1,0.1,-2.1,-0.1,-0.4,1.0,0.3,0.0,0.0,0.2,1.8,1.7,0.2,,
06/02/2025 - 15,0.1,281.0,50.4,57.7,885.1,15.9,0.3,-0.8,101.0,"1,013.8",1.5,0.0,0.3,185.2,8.1,0.0,0.2,0.5,-2.2,-0.1,-0.4,1.1,0.2,0.0,0.0,0.1,1.5,1.7,0.1,,
06/09/2025 - 15,0.1,319.3,68.0,54.5,944.9,18.0,0.4,-0.8,118.9,"1,138.5",1.2,0.0,0.2,109.5,6.2,0.0,0.1,0.2,-2.3,-0.1,-0.4,1.4,0.2,0.0,0.0,0.1,1.7,1.7,0.0,,
06/09/2025 - 17,0.1,346.5,88.2,128.2,950.9,21.1,0.4,-0.8,96.3,907.3,2.7,0.1,0.3,410.9,6.5,0.1,0.1,0.0,-2.4,-0.1,-0.4,1.5,0.1,0.0,0.0,0.1,2.2,1.8,0.0,,
06/16/2025 - 15,0.1,286.9,51.1,72.4,932.6,16.0,0.4,-0.8,110.3,991.6,1.2,0.0,0.3,222.8,11.2,0.0,0.2,0.3,-1.8,-0.1,-0.4,1.1,0.1,0.0,0.0,0.1,1.7,1.8,0.0,,
06/16/2025 - 73,0.1,295.7,76.3,113.8,998.1,20.4,0.3,-0.8,136.9,"1,088.5",1.6,0.0,0.3,"1,427.9",120.6,0.3,0.2,0.2,-2.0,0.0,-0.4,1.9,0.1,0.0,0.0,0.1,7.8,2.0,0.0,,
06/23/2025 - 15,0.0,299.6,60.8,45.9,949.4,15.2,0.4,-0.8,112.0,"1,078.1",0.7,0.0,0.2,100.6,8.5,0.0,0.1,0.1,-1.9,-0.1,-0.4,1.3,0.1,0.0,0.0,0.0,1.6,2.0,0.0,,
06/30/2025 - 73,0.1,291.6,74.3,260.7,"1,220.9",20.2,0.6,-0.8,140.9,168.6,5.5,0.1,0.3,"1,384.5",115.3,0.3,0.1,-0.3,-2.3,0.0,-0.4,1.4,0.1,0.0,0.0,0.0,8.0,1.4,0.0,,
07/07/2025 - 15,0.0,290.7,61.4,40.8,"1,006.0",16.5,0.2,-0.8,80.3,802.1,0.7,-0.1,0.2,92.7,9.8,0.0,0.1,-0.9,-2.4,-0.1,-0.4,1.2,0.1,0.0,0.0,0.0,1.5,0.1,0.0,,
07/07/2025 - 73,0.1,272.6,69.0,103.3,"1,068.2",18.7,0.1,-0.8,95.8,980.0,1.8,0.0,0.2,"1,455.2",112.5,0.3,0.1,-0.9,-2.8,0.0,-0.4,1.7,0.1,0.0,0.0,0.0,7.2,0.2,0.0,,
07/14/2025 - 15,0.3,"1,240.1",483.6,387.9,"3,849.4",28.8,0.6,-0.7,701.6,"1,264.9",6.6,0.4,0.6,579.8,80.9,0.2,0.5,0.0,0.1,0.1,-0.3,7.4,0.4,0.0,0.0,0.2,13.8,0.6,0.2,,
07/21/2025 - 15,0.5,"1,682.9",699.6,428.0,"5,357.1",40.0,6.0,-0.6,"1,002.0","1,794.9",7.2,0.5,0.7,707.7,93.6,0.3,1.1,0.2,3.0,0.1,-0.3,10.9,0.3,0.0,0.0,0.2,18.7,0.6,0.1,,
07/28/2025 - 15,0.4,"1,866.6",751.3,444.4,"6,052.8",39.8,8.5,-0.6,"1,101.7","1,994.9",6.5,0.4,0.6,604.2,94.1,0.3,0.9,0.3,1.1,0.0,-0.4,12.0,0.3,0.0,0.0,0.2,20.0,0.8,0.0,,
08/04/2025 - 15,0.3,"1,186.3",513.9,350.9,"3,836.7",28.7,0.7,-0.4,698.7,"1,316.2",6.4,0.4,0.4,555.4,79.5,0.3,0.4,-0.3,-0.7,0.0,-0.4,7.9,0.2,0.0,0.0,0.1,13.0,0.4,0.0,,
08/11/2025 - 15,0.3,"1,217.4",536.1,250.8,"3,729.2",28.7,0.8,-0.7,702.7,"1,298.2",3.5,0.3,0.9,567.7,120.0,0.3,0.6,1.5,-0.4,0.0,-0.4,8.1,0.3,0.0,0.0,0.1,14.4,0.6,0.0,,
08/11/2025 - 16,0.2,"1,455.9",609.8,26.9,"4,168.7",21.4,15.9,-0.6,815.0,"1,603.1",0.5,0.0,0.9,174.6,6.3,0.2,2.1,-0.3,3.1,0.0,-0.4,9.4,0.3,0.0,0.0,0.2,10.1,0.3,0.0,,
04/27/2026 - 1,0.3,"2,929.3","1,063.5",17.3,"6,935.2",16.8,1.0,-0.4,"1,450.4","2,321.7",0.6,0.0,0.1,179.6,47.9,0.1,0.1,0.3,-2.4,0.0,-0.4,15.5,0.1,0.0,0.0,0.0,13.7,0.0,0.0,,
04/27/2026 - 2,0.3,"2,993.9","1,067.0",13.9,"7,033.9",1.3,1.4,-0.3,"1,500.7","2,347.8",0.4,0.0,0.1,39.8,4.2,0.0,0.2,0.9,5.0,0.0,-0.4,15.4,0.1,0.0,0.0,0.0,13.9,0.0,0.0,,
04/27/2026 - 3,0.3,"2,948.4","1,072.1",21.7,"7,017.0",19.4,1.4,-0.4,"1,475.6","2,349.7",0.7,0.0,0.1,167.9,48.4,0.1,0.2,0.4,-1.9,0.0,-0.4,15.6,0.1,0.0,0.0,0.0,13.9,0.1,0.0,,
04/27/2026 - 4,0.3,"3,038.7","1,093.6",11.9,"7,178.2",1.4,1.4,-0.3,"1,524.8","2,360.1",0.7,0.0,0.1,36.2,3.9,0.0,0.2,1.5,4.5,0.0,-0.3,15.7,0.2,0.0,0.0,0.0,13.4,0.1,0.1,,
04/27/2026 - 5,0.3,"2,869.5","1,073.7",18.2,"7,100.8",28.3,1.5,-0.4,"1,450.7","2,322.8",0.7,0.0,0.1,194.5,59.2,0.1,0.2,0.8,-2.1,0.0,-0.3,15.6,0.2,0.0,0.0,0.0,16.7,0.1,0.0,,
04/27/2026 - 6,0.3,"2,894.9","1,070.0",10.3,"7,121.7",2.4,1.6,-0.3,"1,462.6","2,328.0",0.5,-0.1,0.1,24.1,3.9,0.0,0.2,0.8,2.4,0.0,-0.4,15.3,0.1,0.0,0.0,0.0,16.1,0.0,0.0,,
04/27/2026 - 7,0.3,"2,868.9","1,093.0",20.5,"7,343.1",29.4,1.5,-0.3,"1,472.7","2,398.7",0.8,0.0,0.1,262.4,111.4,0.2,0.2,1.0,-1.9,0.0,-0.4,15.7,0.1,0.0,0.0,0.0,21.3,0.1,0.0,,
04/27/2026 - 8,0.3,"2,893.9","1,081.9",13.7,"7,310.9",0.8,1.3,-0.4,"1,475.3","2,353.7",0.5,-0.1,0.1,22.6,33.6,0.1,0.2,0.7,5.2,0.0,-0.4,15.7,0.1,0.0,0.0,0.0,19.5,0.0,0.0,,
04/27/2026 - 9,0.2,"2,862.0","1,106.1",26.8,"7,623.4",19.1,1.3,-0.4,"1,465.5","2,467.6",1.2,0.0,0.1,548.6,305.0,0.4,0.2,1.1,-1.9,0.0,-0.4,16.3,0.1,0.0,0.0,0.0,24.6,0.1,0.0,,
04/27/2026 - 10,0.2,"2,878.1","1,113.5",14.5,"7,632.3",0.5,1.3,-0.3,"1,495.1","2,486.8",0.5,-0.1,0.1,51.2,205.7,0.2,0.3,1.0,7.1,0.0,-0.4,16.3,0.1,0.0,0.0,0.0,22.8,0.0,0.0,,
04/27/2026 - 11,0.2,"2,880.4","1,138.4",27.1,"7,890.8",22.5,1.3,-0.4,"1,503.9","2,550.8",0.8,0.0,0.1,773.8,461.1,0.6,0.2,1.4,-1.9,0.0,-0.4,16.9,0.1,0.0,0.0,0.0,28.4,0.1,0.0,,
04/27/2026 - 12,0.2,"2,875.3","1,126.9",13.9,"7,716.8",1.2,1.3,-0.4,"1,502.9","2,512.7",0.5,-0.1,0.1,150.0,317.3,0.3,0.3,1.3,16.4,0.0,-0.4,16.8,0.1,0.0,0.0,0.0,26.7,0.1,0.0,,
04/27/2026 - 13,0.2,"2,824.1","1,128.3",24.6,"7,813.1",21.1,1.2,-0.5,"1,476.7","2,537.5",0.9,0.0,0.1,825.2,486.1,0.7,0.9,1.7,-1.4,0.0,-0.4,16.7,0.1,0.0,0.0,0.0,28.8,0.2,0.0,,
04/27/2026 - 14,0.3,"2,883.7","1,131.7",10.7,"7,789.9",0.0,1.3,-0.4,"1,518.0","2,569.7",0.7,-0.1,0.1,68.3,360.3,0.3,0.3,1.2,10.9,0.0,-0.4,16.9,0.2,0.0,0.0,0.0,27.0,0.0,0.1,,
04/27/2026 - 19,0.1,"2,550.1",947.2,92.9,"6,700.9",7.8,1.8,-0.6,"1,499.3","1,904.9",1.7,0.3,0.1,416.2,101.8,0.2,0.3,0.4,-1.5,0.1,-0.4,13.4,0.2,0.0,0.0,0.0,11.6,0.3,0.0,,
04/27/2026 - 20,0.1,"2,531.7",948.3,22.3,"6,656.4",0.0,2.1,-0.6,"1,496.9","1,916.6",0.5,0.1,0.1,96.9,79.8,0.1,0.3,-0.3,1.7,0.1,-0.4,13.5,0.1,0.0,0.0,0.0,10.7,0.1,0.0,,
04/27/2026 - 21,0.1,"2,589.7",974.3,99.5,"6,783.1",10.8,1.8,-0.6,"1,510.1","1,944.5",1.7,0.2,0.1,435.8,120.8,0.2,0.3,0.2,-2.2,0.1,-0.4,13.8,0.1,0.0,0.0,0.0,12.8,0.2,0.0,,
04/27/2026 - 22,0.1,"2,613.3",956.1,25.3,"6,660.6",3.1,1.8,-0.5,"1,587.6","1,974.2",0.6,0.0,0.1,97.3,92.1,0.1,0.4,2.5,8.2,0.0,-0.4,13.7,0.1,0.0,0.0,0.0,12.8,0.1,0.0,,
04/27/2026 - 75,0.1,"2,559.0","1,001.1",98.6,"6,973.6",12.3,2.0,-0.6,"1,543.6","2,106.7",-0.5,0.2,0.1,507.1,493.4,0.6,0.3,0.1,-1.9,0.1,-0.4,14.8,0.1,0.0,0.0,0.0,22.3,0.2,0.0,,
04/27/2026 - 76,0.1,"2,548.8",975.1,22.7,"6,674.2",0.5,1.9,-0.6,"1,554.9","2,020.6",0.5,0.0,0.1,89.7,301.5,0.3,0.3,0.1,3.1,0.0,-0.4,14.2,0.1,0.0,0.0,0.0,17.1,0.1,0.0,,
04/27/2026 - 77,0.1,"2,555.9","1,010.2",16.4,"6,836.0",-1.0,1.8,-0.5,"1,591.9","2,178.8",0.4,-0.1,0.2,40.1,859.5,1.2,0.3,-0.4,11.0,0.0,-0.4,15.4,0.1,0.0,0.0,0.0,31.3,0.0,0.0,,
04/27/2026 - 78,0.1,"2,497.3","1,015.9",65.9,"6,910.3",19.6,1.7,-0.7,"1,553.1","2,204.0",1.5,0.1,0.1,"1,033.3","1,089.9",1.8,0.5,0.1,-1.5,0.1,-0.4,15.8,0.1,0.0,0.0,0.0,38.4,0.3,0.0,,
05/04/2065 - 1,0.3,"2,906.8","1,042.9",20.1,"6,859.3",19.2,2.2,-0.6,"1,429.4","2,270.3",0.7,0.0,0.1,228.1,51.9,0.1,0.2,0.4,-1.8,0.0,-0.4,15.2,0.1,0.0,0.0,0.0,13.9,0.1,0.0,,
05/04/2065 - 2,0.5,"3,035.6","1,053.5",24.5,"6,946.7",5.3,8.5,-0.4,"1,610.1","2,307.5",1.7,0.0,0.2,117.2,5.5,0.1,1.1,3.4,6.0,0.0,-0.3,15.1,0.2,0.0,0.0,0.1,13.8,0.3,0.1,,
05/04/2065 - 5,0.3,"2,876.3","1,064.1",25.7,"6,920.2",20.3,2.5,-0.6,"1,442.1","2,324.2",1.0,0.0,0.1,233.4,70.6,0.1,0.3,0.7,-1.6,0.0,-0.4,15.4,0.2,0.0,0.0,0.0,16.1,0.2,0.0,,
05/04/2065 - 6,0.3,"2,930.8","1,072.8",15.7,"6,971.6",2.1,2.2,-0.5,"1,465.9","2,372.4",0.6,0.0,0.1,38.0,1.3,0.0,0.3,2.1,6.3,0.0,-0.4,15.4,0.1,0.0,0.0,0.0,15.0,0.2,0.0,,
05/04/2065 - 7,0.3,"2,848.1","1,111.7",22.8,"7,508.7",19.6,2.7,-0.5,"1,466.7","2,469.0",0.9,0.0,0.1,437.9,297.2,0.3,0.3,1.2,-1.4,0.0,-0.4,16.4,0.1,0.0,0.0,0.0,25.5,0.1,0.0,,
05/04/2065 - 8,0.3,"2,884.9","1,122.0",14.5,"7,571.3",0.2,2.9,-0.5,"1,501.1","2,491.0",0.6,-0.1,0.1,32.8,191.7,0.1,0.3,0.5,8.9,0.0,-0.4,16.5,0.1,0.0,0.0,0.0,25.3,0.1,0.0,,
05/04/2065 - 13,0.3,"2,796.8","1,117.6",23.0,"7,522.5",17.5,2.2,-0.5,"1,468.2","2,533.7",1.0,0.0,0.1,762.3,561.9,0.6,0.3,1.3,-1.3,0.0,-0.4,16.8,0.1,0.0,0.0,0.0,30.0,0.2,0.0,,
05/04/2065 - 14,0.3,"2,838.4","1,125.1",14.3,"7,746.5",1.5,2.1,-0.4,"1,507.8","2,573.0",0.6,-0.1,0.1,96.0,419.4,0.3,0.3,0.7,8.4,0.0,-0.4,17.0,0.1,0.0,0.0,0.0,28.0,0.2,0.0,,
05/04/2065 - 16,0.3,"2,840.3",950.6,18.6,"7,814.2",2.8,2.5,-0.7,"1,447.0","2,029.8",0.6,0.0,0.1,34.9,3.4,0.0,0.4,8.6,0.8,0.0,-0.4,14.0,0.1,0.0,0.0,0.0,17.4,0.1,0.0,,
05/11/2026 - 1,0.3,"2,914.8","1,058.9",17.8,"7,007.1",18.7,0.8,-0.6,"1,435.0","2,266.6",-0.7,0.0,0.1,232.5,49.9,0.1,0.2,0.5,-1.6,0.0,-0.4,15.3,0.1,0.0,0.0,0.0,12.7,0.1,0.0,,
05/11/2026 - 2,0.3,"2,954.8","1,008.1",8.6,"6,857.8",4.1,0.6,-0.5,"1,505.0","2,170.8",1.2,0.0,0.1,95.3,4.0,0.1,0.6,1.8,4.3,0.0,-0.4,14.4,0.1,0.0,0.0,0.0,10.9,0.1,0.0,,
05/11/2026 - 3,0.3,"2,899.2","1,043.9",17.3,"6,930.8",19.6,0.9,-0.7,"1,430.2","2,258.6",0.8,0.0,0.1,235.4,49.5,0.1,0.2,0.5,-1.8,0.0,-0.4,15.1,0.2,0.0,0.0,0.0,12.6,0.1,0.1,,
05/11/2026 - 4,0.3,"2,858.3",970.1,5.0,"6,767.3",2.0,0.7,-0.6,"1,418.4","2,022.6",0.6,0.0,0.1,80.7,2.6,0.0,0.2,1.8,2.7,0.0,-0.4,13.7,0.2,0.0,0.0,0.0,9.8,0.1,0.0,,
05/11/2026 - 5,0.3,"2,854.3","1,072.9",18.5,"7,190.5",17.0,0.9,-0.6,"1,435.2","2,343.6",0.9,0.0,0.1,268.0,96.9,0.1,0.2,0.8,-2.4,0.0,-0.4,16.0,0.1,0.0,0.0,0.0,18.1,0.1,0.0,,
05/11/2026 - 6,0.2,"2,890.3","1,076.2",6.4,"7,123.5",0.4,0.7,-0.6,"1,433.0","2,334.8",0.5,-0.1,0.1,48.6,11.1,0.0,0.2,0.3,-0.6,0.0,-0.4,15.6,0.1,0.0,0.0,0.0,16.3,0.1,0.0,,
05/11/2026 - 7,0.2,"2,815.9","1,107.2",15.1,"7,390.3",15.1,1.1,-0.6,"1,459.3","2,472.0",0.6,0.0,0.1,405.9,279.9,0.3,0.2,1.0,-1.8,0.0,-0.4,16.5,0.1,0.0,0.0,0.0,24.9,0.1,0.0,,
05/11/2026 - 8,0.2,"2,859.7","1,108.3",6.6,"7,444.7",-0.3,0.8,-0.6,"1,459.1","2,461.5",0.4,-0.1,0.1,46.1,156.0,0.1,0.3,0.3,1.7,0.0,-0.4,16.6,0.1,0.0,0.0,0.0,24.1,0.0,0.0,,
05/11/2026 - 9,0.2,"2,799.0","1,140.2",8.8,"7,648.9",11.7,0.9,-0.6,"1,490.0","2,592.7",0.6,-0.1,0.1,700.3,631.2,0.6,0.2,1.1,-2.4,0.0,-0.4,17.4,0.1,0.0,0.0,0.0,30.7,0.1,0.0,,
05/11/2026 - 10,0.2,"2,813.3","1,132.8",4.1,"7,566.1",-0.4,0.9,-0.6,"1,474.5","2,566.7",0.5,-0.1,0.0,85.6,487.7,0.3,0.2,0.4,0.0,0.0,-0.4,17.2,0.1,0.0,0.0,0.0,28.7,0.0,0.0,,
05/11/2026 - 11,0.2,"2,788.4","1,133.4",39.4,"7,664.2",24.9,1.0,-0.6,"1,465.0","2,537.4",-0.1,0.0,0.1,770.0,684.5,0.7,0.2,1.2,-2.4,0.0,-0.4,17.3,0.1,0.0,0.0,0.0,31.5,0.1,0.0,,
05/11/2026 - 12,0.2,"2,813.4","1,132.7",11.0,"7,579.0",0.5,0.9,-0.7,"1,476.9","2,569.3",0.5,-0.1,0.0,94.7,535.2,0.4,0.3,0.5,1.4,0.0,-0.4,17.3,0.1,0.0,0.0,0.0,29.5,0.1,0.0,,
05/11/2026 - 13,0.2,"2,814.0","1,135.2",10.3,"7,653.5",13.3,0.9,-0.6,"1,479.3","2,577.2",0.8,0.0,0.0,741.4,670.1,0.7,0.2,1.1,-2.5,0.0,-0.3,17.4,0.2,0.0,0.0,0.0,31.4,0.1,0.1,,
05/11/2026 - 14,0.2,"2,822.9","1,135.5",10.7,"7,673.6",0.5,1.1,-0.5,"1,483.6","2,563.9",0.6,-0.1,0.1,96.6,502.9,0.4,0.3,0.6,2.2,0.0,-0.4,17.3,0.1,0.0,0.0,0.0,28.5,0.0,0.0,,
05/11/2026 - 16,0.3,"2,750.0",938.9,19.7,"7,645.8",9.4,1.0,-0.7,"1,539.9","2,066.3",0.8,0.0,0.1,77.7,10.0,0.1,0.2,-0.3,9.3,0.0,-0.4,14.4,0.1,0.0,0.0,0.0,18.2,0.1,0.0,,
05/11/2026 - 19,0.1,"2,474.3",969.1,70.3,"6,518.6",11.4,1.3,-0.8,"1,416.7","1,931.5",1.6,0.3,0.1,434.7,161.4,0.2,0.3,0.5,-0.8,0.1,-0.4,13.8,0.1,0.0,0.0,0.0,8.4,0.3,0.0,,
05/11/2026 - 20,0.1,"2,483.8",956.6,14.0,"6,516.0",2.0,1.5,-0.6,"1,440.6","1,909.7",0.5,0.2,0.1,168.2,94.9,0.1,0.2,0.0,-2.0,0.1,-0.4,13.6,0.1,0.0,0.0,0.0,6.6,0.1,0.0,,
05/11/2026 - 21,0.1,"2,520.4",996.6,97.3,"6,798.7",12.8,1.5,-0.6,"1,479.7","2,040.6",2.2,0.2,0.1,594.4,322.1,0.4,0.5,0.3,-1.0,0.1,-0.4,14.6,0.1,0.0,0.0,0.0,14.6,0.2,0.0,,
05/11/2026 - 22,0.1,"2,507.7",973.4,15.2,"6,534.3",1.9,1.7,-0.5,"1,470.5","2,017.1",0.5,0.0,0.1,164.4,219.6,0.2,0.3,3.2,30.2,0.1,-0.4,14.4,0.1,0.0,0.0,0.0,12.9,0.1,0.0,,
05/11/2026 - 23,0.2,"2,501.5","1,041.9",58.3,"6,712.6",23.2,1.3,-0.5,"1,522.1","2,223.0",1.2,0.2,0.1,"1,458.6",915.8,1.4,0.3,0.1,-0.4,0.1,-0.3,16.4,0.2,0.0,0.0,0.0,38.9,0.3,0.0,,
05/11/2026 - 24,0.1,"2,558.0","1,034.5",19.1,"6,630.2",1.0,1.4,-0.5,"1,553.4","2,254.7",0.4,-0.1,0.0,298.9,933.0,1.3,0.5,0.8,35.5,0.1,-0.4,16.4,0.1,0.0,0.0,0.0,30.7,0.1,0.0,,
05/11/2026 - 75,0.1,"2,479.3","1,010.8",102.9,"6,769.4",16.0,1.3,-0.7,"1,486.7","2,131.7",1.9,0.2,0.1,"1,116.5",689.3,1.0,0.3,0.0,-1.5,0.1,-0.4,15.6,0.1,0.0,0.0,0.0,27.0,0.4,0.0,,
05/11/2026 - 76,0.1,"2,509.7","1,007.6",6.0,"6,658.7",0.7,1.3,-0.8,"1,499.5","2,123.0",0.4,0.0,0.1,254.6,585.5,0.7,0.3,0.7,19.6,0.1,-0.4,15.3,0.1,0.0,0.0,0.0,23.8,0.1,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
