"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_NH4","Flag_PO4","Flag_NO3NO2","RunDate_DOC","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Notes_DOC","SampleID_DOC","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"51","FCR","50",2019-04-15,9,"","2019-10-07",34.53191748,6.784649216,21.70518315,"","",0,0,0,"2019-09-24","2.7","2.4","5.1","0.2","","",0,0,0,0
"52","FCR","100",2019-04-15,0.1,"","2019-10-21",5.67,5.42,26.1,"","",0,0,0,"2019-10-23","2.3","2.3","4.6","0.1","","",0,0,0,0
"53","FCR","200",2019-04-15,0.1,"","2019-10-07",12.51595433,13.6349971,188.9297197,"","",0,0,0,"2019-09-24","3.4","2.8","6.2","0.3","","",0,0,0,0
"54","FCR","50",2019-04-22,0.1,"","2019-10-14",13.7,4,6.49,"","",0,0,0,"2019-11-04","5.05","1.35","6.35","0.2","","",7,7,7,7
"55","FCR","50",2019-04-22,3.8,"","2019-10-21",8.77,1.72,3.45,"","",0,3,0,"2019-09-24","2.3","2.8","5.1","0.1","","",0,0,0,0
"56","FCR","50",2019-04-22,5,"","2019-10-07",8.700258074,3.82349895,2.536162119,"","",0,0,3,"2019-11-01","4.2","1.55","5.8","0.15","","",7,7,7,7
"57","FCR","50",2019-04-22,6.2,"","2019-10-21",28.3,2.55,16,"","",0,0,0,"2019-09-25","2.3","3.2","5.5","0.2","","",0,0,0,0
"58","FCR","50",2019-04-22,8,"","2019-10-21",55.5,3.53,24.8,"","",0,0,0,"2019-09-24","2.7","2.8","5.5","0.2","","",0,0,0,0
"59","FCR","50",2019-04-22,8,"","2019-10-07",56.72019895,5.302910384,28.7365263,"","",0,0,0,"2019-09-24","2.7","2.8","5.5","0.2","","",0,0,0,0
"60","FCR","50",2019-04-22,9,"","2019-10-21",65.2,5.75,27.4,"","",0,0,0,"2019-09-25","2.2","3.2","5.3","0.2","","",0,0,0,0
"61","FCR","100",2019-04-22,0.1,"","2019-10-07",7.400518646,8.657960864,32.84778553,"","",0,0,0,"2019-09-24","2.3","2.3","4.5","0.1","","",0,0,0,0
"62","FCR","200",2019-04-22,0.1,"","2019-10-14",16.2,4.45,93.3,"","",0,0,0,"2019-10-16","2.2","3.6","5.7","0.2","","",0,0,0,0
"63","BVR","1",2019-04-29,0.1,"R1","2019-10-14",3.61,0.871,1.6,"","",3,3,3,"2019-11-05","3.8","1.3","5.1","0.1","","",0,0,0,0
"64","BVR","20",2019-04-29,0.1,"R1","2019-10-14",4.73,0.985,0,"","",0,3,3,"2019-11-05","3.3","1.7","5","0.1","","",0,0,0,0
"65","BVR","30",2019-04-29,0.1,"R1","2019-10-14",6.51,1.76,0,"","",0,3,3,"2019-10-16","2.7","2.5","5.3","0.1","","",0,0,0,0
"66","BVR","45",2019-04-29,0.1,"R1","2019-10-14",6.48,0.472,0.781,"","",0,3,3,"2020-03-20","1.6","2.2","3.8","0.1","","B 29apr19 45 s r1",0,0,0,0
"67","BVR","50",2019-04-29,0.1,"R1","2019-10-21",7.34,3.93,1.12,"","",0,0,3,"2019-10-21","2.8","2.3","5","0.1","","",0,0,0,0
"68","BVR","50",2019-04-29,3,"","2019-10-21",5.59,4.33,1.91,"","",0,0,3,"2019-10-21","3.2","2.1","5.3","0.2","","",0,0,0,0
"69","BVR","50",2019-04-29,6,"","2019-10-21",5.57,4.01,2.42,"","",0,0,3,"2019-10-21","2.5","2.5","5","0.1","","",0,0,0,0
"70","BVR","50",2019-04-29,9,"","2019-10-21",115,1.06,2.74,"","",0,3,3,"2020-03-18","1.25","2.75","4.05","0.2","","B 29apr19 s 9",7,7,7,7
"71","BVR","50",2019-04-29,10.5,"","2019-10-21",175,2.85,1.24,"","",0,0,3,"2019-10-23","2.4","3","5.4","0.3","","",0,0,0,0
"72","BVR","100",2019-04-29,0.1,"R1","2019-10-14",19.2,4.54,16.6,"","",0,0,0,"2019-10-16","1.2","3.1","4.3","0.1","","",0,0,0,0
"73","BVR","200",2019-04-29,0.1,"R1","2019-10-14",23.7,0.96,8.21,"","",0,3,0,"2020-03-17","0.5","4.3","4.8","0.1","","B 29apr19 200 S r1",0,0,0,0
"74","FCR","1",2019-04-29,0.1,"R1","2019-10-14",10.5,2.57,1.69,"","",0,0,3,"2019-11-05","3.4","2","5.4","0.1","","",0,0,0,0
"75","FCR","20",2019-04-29,0.1,"R1","2019-10-14",3.43,0.888,0,"","",3,3,3,"2019-10-16","2.1","3.1","5.2","0.1","","",0,0,0,0
"76","FCR","30",2019-04-29,0.1,"R1","2019-10-14",3.45,1.39,0,"","",3,3,3,"2019-10-16","2.2","3.2","5.4","0.1","","",0,0,0,0
