"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR_umolm2s","Desc_rate","Flag","Reservoir","Site","Flag_Temp","Flag_DO","Flag_Cond","Flag_SpecCond","Flag_Chla","Flag_Turb","Flag_pH","Flag_ORP","Flag_PAR","Flag_DescRate"
2013-10-16,0.508,17.5697,5.1377,1.5492,35.349345,NA,8.62747,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-05-14,0.196,21.5335,3.8563,0.8274,24.944245,NA,9.44031,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-05-29,0.285,22.8648,3.2215,0.5085,26.078793,NA,8.92151,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-06-04,0.093,23.5578,1.0553,0.2903,26.801861,NA,7.70516,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-06-18,0.074,26.5018,0.5634,0.5085,28.111264,NA,7.39451,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-06-25,0.126,26.6621,1.7814,0.5589,28.614118,NA,7.59363,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-07-02,0.095,27.5475,1.3212,0.6932,29.32652,NA,7.76617,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-07-09,0.281,26.6079,2.3566,1.5995,28.647188,NA,7.62507,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-07-09,0.281,26.6053,2.3447,1.5324,28.665966,NA,7.62103,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-07-16,0.169,25.7579,1.9083,1.096,28.152984,NA,7.22811,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-07-16,0.169,25.7585,2.071,1.2974,28.146869,NA,7.21453,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-07-23,0.097,25.9965,1.5433,1.2638,28.581747,NA,7.84978,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-07-30,0.156,24.2081,1.0236,1.3813,27.509008,NA,7.17048,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-08-13,0.093,21.6129,1.2537,4.1844,25.856886,NA,7.14981,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-09-04,0.101,25.8837,2.8565,0.8274,28.671506,NA,7.48408,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-09-25,0.101,19.3937,1.8448,1.0121,26.170014,NA,7.46792,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2014-10-23,0.105,13.4511,1.6743,2.6402,23.635137,NA,8.31572,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-14,0.208,21.0547,0.8173,4.3653,24.687176,NA,8.52122,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-14,0.208,21.0544,0.8213,4.3653,24.668598,NA,8.51991,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-14,0.208,21.0532,0.8133,4.2108,24.663579,NA,8.51572,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-14,0.208,21.0521,0.8332,4.2967,24.663779,NA,8.51049,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-14,0.208,21.0508,0.8252,4.2623,24.652336,NA,8.49795,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-14,0.208,21.0465,0.8332,4.331,24.797286,NA,8.48779,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-14,0.208,21.0455,0.8847,4.228,24.838729,NA,8.4824,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-21,0.103,20.1053,2.2535,4.5885,24.168802,NA,6.374,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-05-28,0.311,23.869,0.5198,1.3956,26.872355,NA,8.47477,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-11,0.096,24.7237,0.4523,1.3441,27.612912,NA,7.43713,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-18,0.1,28.4684,20.3327,1092.9897,29.632428,NA,7.50185,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-18,0.1,28.58,20.5112,1093.1442,29.963099,NA,7.47295,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-18,0.1,28.4378,1.7417,2.1337,29.84483,NA,7.51416,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-18,0.1,28.1116,1.5949,2.3912,29.631662,NA,7.44027,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-18,0.1,27.9402,1.6306,2.4599,29.543565,NA,7.4717,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-19,0.1,27.1113,0.8768,2.168,29.000122,NA,7.31937,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-06-25,0.092,27.9371,2.555,519.3573,30.383447,NA,7.36609,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-07-02,0.091,25.3714,1.0633,2.4255,29.280761,NA,7.54651,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-07-09,0.105,25.0477,1.2616,2.3569,28.891497,NA,7.47452,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-07-16,0.094,25.876,2.2376,2.7689,29.151052,NA,7.58102,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-07-23,0.098,27.0723,1.9202,2.5114,30.147332,NA,7.56199,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-07-30,0.11,27.6016,1.7695,2.477,30.921998,NA,5.82715,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-09-04,0.78,27.2332,1.3605,1.3883,32.714946,NA,6.12338,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-09-18,0.767,23.1143,0.68,3.2874,30.079688,NA,8.00621,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-09-18,0.767,23.1061,0.657,3.2255,30.099437,NA,8.00943,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-10-02,0.746,18.8554,3.7138,4.2352,26.423464,NA,7.80221,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-10-23,0.745,15.6039,1.477,2.9298,25.126605,NA,9.14047,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2015-10-23,0.745,15.5922,1.4755,2.9312,25.093008,NA,9.1499,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-12,0.355,19.178,2.0968,0.4829,28.851021,NA,6.51561,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-12,0.355,19.178,2.0968,0.4829,28.851021,NA,6.51561,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-19,0.489,16.6825,2.1148,1.3682,22.3412,NA,9.18791,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-19,0.489,16.6825,2.1148,1.3682,22.3412,NA,9.18791,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-26,0.366,20.6863,2.6801,1.6053,24.345606,NA,9.04746,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-26,0.366,20.6863,2.6801,1.6053,24.345606,NA,9.04746,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-29,0.352,23.1177,1.9913,2.1319,25.640006,NA,8.7251,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-29,0.352,23.1177,1.9913,2.1319,25.640006,NA,8.7251,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-31,0.594,24.3209,2.2409,1.8434,25.774265,NA,8.6769,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-05-31,0.594,24.3209,2.2409,1.8434,25.774265,NA,8.6769,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-02,0.269,24.2618,0.9917,2.7912,25.867256,NA,8.53096,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-02,0.269,24.2618,0.9917,2.7912,25.867256,NA,8.53096,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-07,0.179,25.2975,0.8172,0.1857,26.749625,NA,5.39383,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-07,0.179,25.2975,0.8172,0.1857,26.749625,NA,5.39383,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-08,0.107,24.0375,1.6576,1.9274,26.089353,NA,7.44431,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-08,0.107,24.0375,1.6576,1.9274,26.089353,NA,7.44431,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-16,0.102,24.3533,0.6474,1.7077,26.798511,NA,8.01684,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-16,0.102,24.3533,0.6474,1.7077,26.798511,NA,8.01684,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-23,0.378,23.5721,2.4143,1.4082,26.402181,NA,6.3593,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-23,0.378,23.571,2.4598,1.4105,26.405483,NA,6.42692,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-23,0.378,23.5721,2.4143,1.4082,26.402181,NA,6.3593,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-23,0.378,23.571,2.4598,1.4105,26.405483,NA,6.42692,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-26,0.399,25.0914,1.4518,1.3818,28.023631,NA,6.15714,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-26,0.399,25.0914,1.4518,1.3818,28.023631,NA,6.15714,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-28,0.358,24.6053,1.9081,1.3785,26.91114,NA,8.61353,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-28,0.358,24.6053,1.9081,1.3785,26.91114,NA,8.61353,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-30,0.441,25.6058,0.6361,1.1924,28.032194,NA,8.54617,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-06-30,0.441,25.6058,0.6361,1.1924,28.032194,NA,8.54617,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-07,0.255,26.0149,1.7939,1.4438,28.305434,NA,6.52896,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-07,0.255,26.0149,1.7939,1.4438,28.305434,NA,6.52896,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-14,0.343,26.9835,0.9328,0.9395,28.814968,NA,4.63036,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-14,0.343,26.9835,0.9328,0.9395,28.814968,NA,4.63036,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-21,0.628,28.0392,1.953,1.4448,29.933813,NA,6.19873,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-21,0.628,28.0385,1.9655,1.4446,29.934832,NA,6.23439,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-21,0.628,28.0392,1.953,1.4448,29.933813,NA,6.19873,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-21,0.628,28.0385,1.9655,1.4446,29.934832,NA,6.23439,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-24,0.535,29.4323,1.6143,1.3065,30.866749,NA,8.54843,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-24,0.535,29.4323,1.6143,1.3065,30.866749,NA,8.54843,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-28,0.573,30.1595,1.6081,1.6354,31.076772,NA,5.40716,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-07-28,0.573,30.1595,1.6081,1.6354,31.076772,NA,5.40716,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-08-11,0.515,26.8593,3.1488,1.7175,29.563351,NA,4.31551,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-08-11,0.515,26.8593,3.1488,1.7175,29.563351,NA,4.31551,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-08-18,0.507,27.0012,2.4539,1.6969,30.417928,NA,6.25616,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-08-18,0.507,27.0012,2.4539,1.6969,30.417928,NA,6.25616,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-08-23,0.412,26.1061,2.2813,1.944,29.541635,NA,5.61162,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-08-23,0.412,26.1061,2.2813,1.944,29.541635,NA,5.61162,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-06,0.098,24.4408,5.2938,2.5302,33.463504,NA,8.07752,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-06,0.098,24.4424,5.3056,2.5289,33.444636,NA,8.11725,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-06,0.098,24.4408,5.2938,2.5302,33.463504,NA,8.07752,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-06,0.098,24.4424,5.3056,2.5289,33.444636,NA,8.11725,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-16,0.1,23.6904,9.7589,2.8276,28.179353,NA,5.53069,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-16,0.1,23.6904,9.7589,2.8276,28.179353,NA,5.53069,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-17,0.099,23.6446,6.8814,2.6139,27.769832,NA,5.80174,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-17,0.099,23.6446,6.8814,2.6139,27.769832,NA,5.80174,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-27,0.196,22.3727,4.1265,2.7879,30.542583,NA,5.29641,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-09-27,0.196,22.3727,4.1265,2.7879,30.542583,NA,5.29641,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-10-11,0.189,16.6438,1.2391,2.7389,23.995873,NA,5.74384,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-10-11,0.189,16.6438,1.2391,2.7389,23.995873,NA,5.74384,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-11-11,0.18,13.1832,1.7426,7.6636,28.241399,NA,6.94835,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2016-11-11,0.18,13.1832,1.7426,7.6636,28.241399,NA,6.94835,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2017-03-17,0.406,6.3087,0.7966,2.2023,108.402142,NA,9.57643,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2017-04-10,0.297,13.3044,1.5131,1.9413,25.030424,NA,8.23854,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2017-05-05,0.093,17.6876,0.9942,1.281,22.290604,NA,8.85413,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2017-05-10,0.099,15.7904,1.6801,2.1188,21.367256,NA,7.11656,NA,NA,NA,NA,NA,NA,"BVR",50,0,0,0,1,0,0,5,5,5,5
2017-06-15,0.105,26.2086,NA,NA,27.255051,NA,8.3707,NA,8.437,245.4166,NA,NA,NA,"BVR",50,0,0,0,1,1,1,0,0,5,5
2017-06-29,0.096,24.3461,NA,NA,27.979692,NA,9.1216,NA,9.04,253.2929,NA,NA,NA,"BVR",50,0,0,0,1,1,1,0,0,5,5
2017-07-13,0.297,28.0738,NA,NA,29.416763,NA,5.9935,NA,9.149,232.5063,NA,NA,NA,"BVR",50,0,0,0,1,1,1,8,0,5,5
2017-08-24,0.114,26.3055,NA,NA,30.161258,NA,NA,NA,8.448,238.5434,NA,NA,NA,"BVR",50,0,1,0,1,1,1,0,0,5,5
2017-10-17,0.126,19.345,NA,NA,26.606068,NA,NA,NA,7.143,323.8243,NA,NA,NA,"BVR",50,0,1,0,1,1,1,0,0,5,5
2013-08-22,0.5,24.609,0.8768,0.7603,61.294911,NA,7.21775,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-05-08,0.362,18.7342,0.7221,0.8274,70.640505,NA,9.29521,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-05-15,0.166,21.8126,1.6981,0.7267,75.23159,NA,8.76568,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-05-27,0.549,23.8786,0.3571,0.4917,76.444926,NA,8.35621,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-05-30,0.489,23.4034,0.9998,0.7267,75.626546,NA,7.87003,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-06-04,0.141,24.3474,0.1111,0,77.373486,NA,7.97024,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-06-12,0.113,25.6315,0.7499,0.4078,78.904991,NA,7.638,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-06-19,0.551,28.0261,0.2341,0.2735,83.953411,NA,7.5279,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-06-26,0.61,27.0381,0.2698,0.4917,82.06983,NA,7.57511,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-07-03,0.592,27.8499,0.1389,0.5421,84.045779,NA,7.46775,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-07-10,0.437,26.3751,0.4682,0.7771,81.944237,NA,7.68369,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-07-17,0.596,26.3109,0.5396,0.1392,82.372399,NA,7.73626,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
2014-07-24,0.279,26.2099,0.2381,0,82.447549,NA,7.90533,NA,NA,NA,NA,NA,NA,"CCR",50,0,0,0,1,0,0,5,5,5,5
