ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/17/2024 - 11,0.3,"3,273.1","1,367.9",20.2,"10,097.5",13.7,0.3,0.6,"1,326.9","3,501.7",1.1,0.1,0.1,"2,709.4","1,510.0",3.4,0.2,1.1,0.3,0.1,0.0,23.9,0.0,0.0,0.0,0.0,69.4,0.1,0.0
09/17/2024 - 12,0.3,"3,287.7","1,368.7",15.2,"9,968.5",-1.8,0.3,0.6,"1,330.2","3,506.0",1.0,0.0,0.1,75.9,"1,488.5",3.2,0.2,0.6,9.1,0.1,0.1,23.9,0.0,0.0,0.0,0.0,69.3,0.1,0.0
09/17/2024 - 13,0.3,"3,285.8","1,351.6",20.7,"9,803.7",14.0,0.1,0.5,"1,328.7","3,419.1",1.3,0.1,0.1,"2,520.6","1,487.8",3.3,0.2,1.0,0.1,0.1,0.3,23.4,0.1,0.0,0.0,0.0,68.9,0.1,0.0
09/17/2024 - 14,0.3,"3,312.9","1,367.3",16.0,"9,685.3",-2.0,0.1,0.6,"1,344.0","3,427.9",1.0,0.0,0.1,34.9,"1,431.5",3.1,0.2,0.6,10.6,0.1,0.2,23.3,0.1,0.0,0.0,0.0,66.5,0.0,0.0
09/17/2024 - 16,0.6,"4,134.0","1,192.2",24.6,"11,993.4",22.7,-0.3,0.5,"1,652.1","3,161.3",1.3,0.3,0.1,31.1,15.6,0.0,0.1,0.3,10.3,0.1,0.3,20.8,0.1,0.0,0.0,0.0,21.7,0.1,0.0
09/17/2024 - 71,1.1,"3,858.0","6,814.2",34.6,"6,917.6",8.1,2.6,0.8,"2,651.4","22,332.2",1.4,0.2,0.2,652.0,162.3,0.8,0.4,0.9,0.1,0.1,0.3,69.2,0.2,0.0,0.0,0.0,52.8,0.1,0.0
09/17/2024 - 72,1.0,"3,864.7","6,825.7",12.7,"6,879.4",0.4,2.8,0.9,"2,643.1","22,465.1",0.8,0.1,0.1,160.4,151.2,0.7,0.4,0.4,0.3,0.1,0.5,69.2,0.2,0.0,0.0,0.0,51.4,0.0,0.0
09/23/2024 - 1,0.5,"3,510.3","1,245.8",14.4,"6,352.3",3.7,1.1,0.5,"1,311.6","2,736.4",1.1,0.1,0.2,63.5,8.9,0.0,0.1,1.2,3.9,0.1,0.3,18.2,0.1,0.0,0.0,0.0,22.8,0.1,0.0
09/23/2024 - 2,0.4,"3,482.9","1,242.0",13.0,"6,290.1",0.8,0.7,0.6,"1,279.1","2,721.1",0.7,0.1,0.1,48.7,1.6,0.0,0.1,0.8,31.7,0.1,0.3,18.2,0.0,0.0,0.0,0.0,22.2,0.0,0.0
09/23/2024 - 3,0.4,"3,520.6","1,261.2",14.9,"6,405.2",11.6,0.5,0.5,"1,304.8","2,751.8",0.7,0.2,0.1,249.1,25.2,0.1,0.1,1.1,1.2,0.2,0.3,18.6,0.0,0.0,0.0,0.0,23.1,0.1,0.0
