"","Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP","Flag_TN","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4","Flag_SRP","Flag_NO3NO2","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DC","Flag_DIC","Flag_DOC","Flag_DN"
"17","BVR","50",2021-05-14 10:24:00,3,1,12.8,146,0,0,3,6,2,1,3,3,3,2.6,2.4,4.9,0.16,0,0,0,0
"18","BVR","50",2021-05-14 10:37:00,6,1,16.1,167,0,0,3,7,0,1,3,43,3,1.8,2.3,4.1,0.13,0,0,0,0
"19","BVR","50",2021-05-14 10:52:00,9,1,14.6,161,0,0,3,12,0,4,3,3,0,1.5,2.7,4.2,0.11,0,0,0,0
"20","BVR","50",2021-05-14 11:10:00,11,1,18.9,307,0,0,3,131,0,3,3,43,3,2.2,2.9,5.1,0.25,0,0,0,0
"21","BVR","50",2021-05-31 09:53:00,0.1,1,11.7,158,0,0,3,7,9,2,73,7,73,2,2.3,4.3,0.14,0,0,0,0
"22","BVR","50",2021-05-31 10:04:00,3,1,18.2,145,0,0,3,10,6,2,3,0,3,2.1,2.4,4.5,0.14,0,0,0,0
"23","BVR","50",2021-05-31 10:12:00,6,1,12.6,115,0,0,3,8,5,5,0,0,0,2.1,2.3,4.4,0.13,0,0,0,0
"24","BVR","50",2021-05-31 10:22:00,9,1,15.7,279,0,0,3,114,4,3,3,0,3,1.5,2.7,4.2,0.17,0,0,0,0
"25","BVR","50",2021-05-31 10:32:00,11,1,20.7,495,0,0,3,416,5,5,3,0,0,2.8,3,5.8,0.46,0,0,0,0
"26","BVR","50",2021-06-15 16:05:00,0.1,1,6.4,178,0,0,3,8,5,2,7,7,73,2.4,2.3,4.7,0.16,0,0,0,0
"27","BVR","50",2021-06-15 16:21:00,3,1,7.1,147,0,0,3,11,6,3,3,0,3,2.1,2.2,4.3,0.16,0,0,0,0
"28","BVR","50",2021-06-15 16:30:00,6,1,8.1,122,0,0,3,10,5,2,3,0,3,1.7,2.4,4,0.14,0,0,0,0
"29","BVR","50",2021-06-15 16:40:00,9,1,23.3,403,0,0,3,222,7,4,3,0,0,2.5,3.2,5.7,0.39,0,0,0,0
"30","BVR","50",2021-06-15 16:52:00,11,1,24.7,638,0,0,3,548,20,2,3,3,3,2.2,3.3,5.5,0.6,0,0,0,0
"31","BVR","51",2021-06-15 18:30:00,0.1,1,8.8,141,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"32","BVR","51",2021-06-16 04:26:00,0.1,1,19.5,191,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"33","BVR","50",2021-06-28 10:38:00,0.1,1,9.7,172,0,0,3,10,6,4,0,0,0,2.9,2.4,5.3,0.19,0,0,0,0
"34","BVR","50",2021-06-28 10:41:00,3,1,11.7,172,0,0,3,7,7,1,3,0,3,2.7,2.4,5,0.18,0,0,0,0
"35","BVR","50",2021-06-28 10:53:00,6,1,17.3,178,0,0,3,7,5,5,3,0,0,1.5,2.4,3.9,0.12,0,0,0,0
"36","BVR","50",2021-06-28 11:00:00,9,1,27.2,222,0,0,3,7,5,6,3,0,0,1.5,3,4.5,0.1,0,0,0,3
"37","BVR","50",2021-06-28 11:44:00,11,1,30.8,849,0,0,0,610,10,8,3,3,0,2.2,3.6,5.8,0.63,0,0,0,0
"38","BVR","50",2021-07-07 20:23:00,0.1,1,11.8,211,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"39","BVR","51",2021-07-07 20:23:00,0.1,1,14,201,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"40","BVR","50",2021-07-12 14:20:00,0.1,1,15.3,216,0,0,3,5,5,0,3,0,3,2.8,2.3,5,0.17,0,0,0,0
"41","BVR","50",2021-07-12 14:25:00,3,1,23.1,273,0,0,3,10,4,1,0,0,3,2.7,2.2,4.9,0.18,0,0,0,0
"42","BVR","50",2021-07-12 14:32:00,6,1,20.4,274,0,0,3,7,7,2,3,0,3,2.1,2.5,4.5,0.17,0,0,0,0
"43","BVR","50",2021-07-12 14:43:00,9,1,33.9,858,0,0,0,649,16,3,3,3,3,2,3.5,5.5,0.62,0,0,0,0
"44","BVR","50",2021-07-12 14:53:00,11,1,35,910,0,0,0,1010,17,5,3,3,0,2.3,3.8,6.1,1.09,0,0,0,0
"45","BVR","50",2021-07-26 09:42:00,0.1,1,13.8,296,0,0,3,6,4,3,3,0,3,3.1,2.2,5.3,0.2,0,0,0,0
"46","BVR","50",2021-07-26 10:00:00,3,1,11.7,236,0,0,3,10,7,0,0,0,3,3.3,2.3,5.6,0.2,0,0,0,0
"47","BVR","50",2021-07-26 10:07:00,6,1,23.5,251,0,0,3,3,4,1,3,0,3,2,2.6,4.6,0.11,0,0,0,0
"48","BVR","50",2021-07-26 10:15:00,9,1,27.3,682,0,0,3,419,11,3,3,3,3,2,3.4,5.4,0.41,0,0,0,0
"49","BVR","50",2021-07-26 10:30:00,11,1,30.6,1040,0,0,3,1030,8,2,3,0,3,2.6,4.3,6.9,1.05,0,0,0,0
"50","BVR","50",2021-08-09 10:05:00,0.1,1,15.9,331,0,0,3,11,6,0,3,0,3,3.6,2.4,6,0.2,0,0,0,0
"51","BVR","50",2021-08-09 10:25:00,3,1,17.1,346,0,0,3,16,7,3,3,0,3,4.9,2.1,7,0.26,0,0,0,0
"52","BVR","50",2021-08-09 10:39:00,6,1,24.8,274,1,0,3,7,4,2,3,0,3,2.1,2.9,4.9,0.12,0,0,0,0
"53","BVR","50",2021-08-09 10:53:00,9,1,22.4,760,0,0,0,695,9,2,3,0,3,2.3,4.4,6.7,0.79,0,0,0,0
"54","BVR","50",2021-08-09 11:10:00,10,1,23.5,512,0,0,3,250,8,3,3,0,3,8.8,3,11.9,0.345,7,7,7,7
"55","BVR","50",2021-08-23 10:00:00,0.1,1,19.7,391,0,0,3,11,3,1,3,0,3,3.9,2.1,6,0.24,0,0,0,0
"56","BVR","50",2021-08-23 10:08:00,3,1,18.4,389,0,0,3,8,10,1,0,0,3,4,2.3,6.3,0.27,0,0,0,0
"57","BVR","50",2021-08-23 10:18:00,6,1,22.5,254,0,0,3,2,7,2,3,0,3,1.4,3.1,4.4,0.08,0,0,0,3
"58","BVR","50",2021-08-23 10:28:00,9,1,26.4,1210,0,0,3,1050,5,3,3,0,3,1.8,4,5.9,0.96,0,0,0,0
"59","BVR","50",2021-08-23 10:39:00,11,1,61.5,1590,0,0,3,437,9,1,3,0,3,1.5,3.6,5.1,0.45,0,0,0,0
"60","BVR","50",2021-09-06 09:45:00,0.1,1,18.1,428,0,0,3,9,5,3,0,0,3,4.3,2.3,6.7,0.32,0,0,0,0
"61","BVR","50",2021-09-06 09:59:00,3,1,16.1,387,0,0,3,6,4,4,3,0,3,5.3,2.5,7.8,0.27,0,0,0,0
"62","BVR","50",2021-09-06 10:07:00,6,1,19.7,315,0,0,3,4,4,3,3,0,3,2.3,3.1,5.3,0.15,0,0,0,0
"63","BVR","50",2021-09-06 10:23:00,9,1,NA,NA,0,0,0,1280,10,2,3,0,3,2.7,4.2,6.9,1.36,0,0,0,0
"64","BVR","50",2021-09-06 10:36:00,10,1,28.3,1464,0,0,3,2050,14,1,3,3,3,2.9,5,7.9,2.25,0,0,0,0
"65","BVR","50",2021-09-06 14:08:00,9,1,26.4,1460,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"66","BVR","50",2021-09-21 10:11:00,0.1,1,22.6,372,0,0,3,4,2,2,3,3,3,3.7,2.6,6.3,0.23,0,0,0,0
"67","BVR","50",2021-09-21 10:19:00,3,1,16.7,358,0,0,3,9,4,1,0,0,3,3.8,2.6,6.4,0.24,0,0,0,0
"68","BVR","50",2021-09-21 10:23:00,6,1,17.5,252,0,0,3,10,4,1,3,0,3,1.5,4.4,5.9,0.12,0,0,0,0
"69","BVR","50",2021-09-21 10:33:00,9,1,NA,NA,0,0,0,1170,10,2,3,0,3,2.3,3.9,6.2,1.3,0,0,0,0
"70","BVR","50",2021-09-21 10:41:00,10,1,39.2,2580,0,0,3,2500,7,2,3,0,3,3,4.7,7.7,2.68,0,0,0,0
"71","BVR","50",2021-09-21 14:08:00,9,1,31.7,1194,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"72","BVR","50",2021-10-12 11:15:00,0.1,1,20.5,333,0,0,3,5,5,1,3,0,3,3.2,2.5,5.7,0.19,0,0,0,0
"73","BVR","50",2021-10-12 11:27:00,3,1,21.5,337,0,0,3,6,4,0,3,0,3,3,2.7,5.7,0.2,0,0,0,0
"74","BVR","50",2021-10-12 11:40:00,6,1,26.1,514,0,0,3,203,4,1,3,0,3,1.5,4.2,5.7,0.26,0,0,0,0
"75","BVR","50",2021-10-12 11:53:00,9,1,37,1386,0,0,3,1540,20,0,3,3,3,2.2,4.6,6.8,1.6,0,0,0,0
"76","BVR","50",2021-10-12 12:02:00,10,1,43.6,2480,0,0,3,2160,14,3,3,3,3,2.9,5.7,8.6,2.39,0,0,0,0
"77","BVR","50",2021-10-26 10:15:00,9,1,NA,NA,0,0,0,2690,13,0,3,3,3,NA,NA,NA,NA,0,0,0,0
"78","BVR","50",2021-10-26 11:25:00,0.1,1,19.6,331,0,0,3,9,2,1,0,3,3,3.1,2.7,5.9,0.18,0,0,0,0
"79","BVR","50",2021-10-26 11:40:00,3,1,23.6,371,0,0,3,9,3,3,0,0,3,3.1,2.7,5.8,0.2,0,0,0,0
"80","BVR","50",2021-10-26 12:00:00,6,1,23.5,361,0,0,3,9,3,1,0,3,3,3,2.8,5.8,0.17,0,0,0,0
"81","BVR","50",2021-10-26 12:14:00,9,1,28,2160,0,0,3,NA,NA,NA,0,0,0,2.2,5.3,7.5,2.76,0,0,0,0
"82","BVR","50",2021-10-26 12:30:00,10,1,28,2140,0,0,3,2340,13,2,3,3,3,2.6,5.4,8,2.68,0,0,0,0
"83","BVR","50",2021-11-09 10:32:00,0.1,1,21,276,0,0,3,80,7,6,0,0,0,2.9,2.8,5.7,0.26,0,0,0,0
"84","BVR","50",2021-11-09 10:46:00,3,1,17.3,335,0,0,3,80,5,4,0,0,0,2.8,2.9,5.7,0.25,0,0,0,0
"85","BVR","50",2021-11-09 11:00:00,6,1,18.7,366,0,0,3,77,3,3,0,3,3,3.1,2.9,6,0.23,0,0,0,0
"86","BVR","50",2021-11-09 11:12:00,9,1,18.3,379,0,0,3,86,4,3,0,0,3,2.8,3,5.8,0.22,0,0,0,0
"87","BVR","50",2021-11-22 10:04:00,0.1,1,18.7,365,0,0,3,29,7,7,3,0,0,2.9,2.8,5.8,0.2,0,0,0,0
"88","BVR","50",2021-11-22 10:10:00,3,1,19.8,345,0,0,3,34,3,5,3,0,0,2.8,2.8,5.5,0.19,0,0,0,0
"89","BVR","50",2021-11-22 10:13:00,6,1,21.3,311,0,0,3,26,4,5,3,0,0,2.7,3.1,5.8,0.22,0,0,0,0
"90","BVR","50",2021-11-22 10:18:00,9,1,20.8,329,0,0,3,32,8,11,3,0,3,3.3,2.7,6,0.26,0,0,0,0
"91","BVR","50",2021-12-06 09:57:00,0.1,1,22.8,330,0,0,3,11,8,3,3,0,3,3.1,2.9,6,0.32,0,0,0,0
"92","BVR","50",2021-12-06 10:02:00,3,1,20.2,300,0,0,3,10,12,2,0,3,3,3,2.8,5.8,0.23,0,0,0,0
"93","BVR","50",2021-12-06 10:10:00,6,1,20.2,282,0,0,3,5,6,2,3,0,3,2.7,2.7,5.4,0.19,0,0,0,0
"94","BVR","50",2021-12-06 10:18:00,9,1,21,275,0,0,3,12,7,5,3,0,0,2.7,2.7,5.3,0.19,0,0,0,0
"95","BVR","50",2022-01-26 13:25:00,0.1,1,19,294,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"96","BVR","50",2022-01-26 13:32:00,3,1,21.8,330,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"97","BVR","50",2022-01-26 13:40:00,6,1,18.7,330,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"98","BVR","50",2022-01-26 13:50:00,9,1,19.4,298,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"99","BVR","50",2022-02-24 10:02:00,0.1,1,21.4,321,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"100","BVR","50",2022-02-24 10:14:00,3,1,21.2,314,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"101","BVR","50",2022-02-24 10:43:00,9,1,17.2,304,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"102","BVR","50",2022-03-22 11:30:00,3,1,18.2,274,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"103","BVR","50",2022-03-22 11:40:00,6,1,18.4,275,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"104","BVR","50",2022-04-12 14:34:00,3,1,20.8,314,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"105","CCR","50",2021-04-19 10:22:00,0.1,1,8.9,148,0,0,3,10,0,15,0,43,3,2.6,3.7,6.3,0.14,0,0,0,0
"106","CCR","50",2021-04-19 10:25:00,6,1,10.9,162,0,0,3,6,0,7,3,43,0,2.5,3.8,6.2,0.14,0,0,0,0
"107","CCR","50",2021-04-19 10:31:00,9,1,8.9,136,0,0,3,8,1,5,0,3,0,2.8,4,6.8,0.14,0,0,0,0
"108","CCR","50",2021-04-19 10:37:00,20,1,13.3,147,0,0,3,18,0,24,3,3,3,1.8,4,5.8,0.17,0,0,0,0
"109","CCR","100",2021-04-19 12:59:00,0.1,1,6.4,85.8,0,0,0,2,2,17,3,3,3,1.5,1.2,2.7,0.09,0,0,0,3
"110","CCR","300",2021-04-19 14:00:00,0.1,1,8.5,110,0,0,3,6,2,19,3,3,3,0.9,0.9,1.9,0.1,0,0,0,3
"111","CCR","400",2021-04-19 15:02:00,0.1,1,8.6,87.6,0,0,0,8,0,17,0,3,3,1.6,4.7,6.2,0.12,0,0,0,0
"112","CCR","501",2021-05-11 09:45:00,0.1,1,9.8,230,0,0,3,6,2,77,3,3,0,0.8,NA,NA,0.12,0,0,8,0
"113","CCR","500",2021-05-11 10:19:00,0.1,1,11.4,158,0,0,3,5,2,84,3,3,0,1,NA,NA,0.12,0,0,8,0
"114","CCR","300",2021-05-11 11:07:00,0.1,1,6,109,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"115","CCR","301",2021-05-11 11:07:00,0.1,1,NA,NA,0,0,0,5,0,60,3,43,0,1.5,0.9,2.4,0.13,0,0,0,0
"116","CCR","400",2021-05-11 12:04:00,0.1,1,31.9,286,0,0,3,10,1,20,0,3,3,1.6,7,8.6,0.1,0,0,0,3
"117","CCR","1",2021-06-01 12:06:00,0.1,1,8.1,128,0,0,3,15,5,15,3,0,3,3,4,7,0.23,0,0,0,0
"118","CCR","2",2021-06-01 12:35:00,0.1,1,16.3,362,0,0,3,16,5,32,3,0,0,3,4,7,0.23,0,0,0,0
"119","CCR","3",2021-06-01 12:53:00,0.1,1,9.9,136,0,0,3,11,5,11,3,0,3,2.7,4,6.7,0.17,0,0,0,0
"120","CCR","4",2021-06-01 13:10:00,0.1,1,13.4,241,0,0,3,11,6,13,3,0,3,2.8,4.2,7,0.12,0,0,0,0
"121","CCR","5",2021-06-01 13:26:00,0.1,1,10.9,234,0,0,3,NA,NA,NA,0,0,0,3,4.2,7.2,0.12,0,0,0,0
"122","CCR","50",2021-06-01 13:26:00,0.1,1,NA,NA,0,0,0,7,5,15,0,0,3,NA,NA,NA,NA,0,0,0,0
"123","CCR","5",2021-06-01 13:45:00,0.1,1,NA,NA,0,0,0,13,5,15,73,7,73,NA,NA,NA,NA,0,0,0,0
"124","CCR","50",2021-06-01 13:45:00,0.1,1,9.1,187,0,0,3,NA,NA,NA,0,0,0,2.5,3.9,6.4,0.16,0,0,0,0
"125","CCR","50",2021-06-01 13:45:00,21,1,18.5,220,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"126","CCR","1",2021-06-06 09:38:00,0.1,1,13.9,256,0,0,3,21,6,13,3,0,3,3.1,4,7,0.22,0,0,0,0
"127","CCR","2",2021-06-06 09:53:00,0.1,1,7.3,115,0,0,3,15,4,4,3,0,0,2.6,4.1,6.7,0.15,0,0,0,0
"128","CCR","3",2021-06-06 10:10:00,0.1,1,9.3,123,0,0,3,14,5,8,3,0,0,2.2,3.9,6.1,0.17,0,0,0,0
"129","CCR","5",2021-06-06 10:26:00,0.1,1,9.6,122,0,0,3,18,4,3,3,0,3,2.3,4.1,6.4,0.07,0,0,0,3
"130","CCR","50",2021-06-06 10:37:00,0.1,1,4.4,116,0,0,3,11,4,3,3,0,3,2.6,3.9,6.5,0.14,0,0,0,0
"131","CCR","4",2021-06-06 10:59:00,0.1,1,7.9,167,0,0,3,10,4,4,3,0,0,2.5,4.2,6.8,0.08,0,0,0,3
"132","CCR","1",2021-06-09 09:46:00,0.1,1,9,99.8,0,0,0,11,4,5,3,0,0,2.9,4,6.9,0.17,0,0,0,0
"133","CCR","2",2021-06-09 10:02:00,0.1,1,7.8,104,0,0,3,5,4,5,3,0,0,2.1,4.3,6.4,0.07,0,0,0,3
"134","CCR","3",2021-06-09 10:15:00,0.1,1,9.4,111,0,0,3,7,4,5,0,0,0,2.6,3.9,6.6,0.19,0,0,0,0
"135","CCR","5",2021-06-09 10:36:00,0.1,1,8.5,124,0,0,3,10,4,3,0,0,3,2.4,4.2,6.7,0.1,0,0,0,3
"136","CCR","50",2021-06-09 10:53:00,0.1,1,4.1,116,0,0,3,10,4,5,73,7,7,2.5,4,6.5,0.17,0,0,0,0
"137","CCR","4",2021-06-09 11:15:00,0.1,1,6.5,96.2,0,0,0,12,4,8,3,0,0,2.1,4,6.1,0.13,0,0,0,0
"138","CCR","100",2021-07-01 00:00:00,0.1,1,NA,NA,0,0,0,7,3,4,0,0,0,NA,NA,NA,NA,0,0,0,0
"139","CCR","50",2021-07-01 10:13:00,6,1,9.9,138,0,0,3,7,4,3,0,0,3,2,4.3,6.2,0.07,0,0,0,3
"140","CCR","50",2021-07-01 10:27:00,9,1,12,199,0,0,3,6,4,2,3,0,3,1.8,4.2,6,0.1,0,0,0,3
"141","CCR","50",2021-07-01 10:38:00,20,1,NA,NA,0,0,0,76,5,24,0,0,3,2.1,4.8,6.9,0.19,0,0,0,0
"142","CCR","100",2021-07-01 12:00:00,0.1,1,8.1,146,1,0,3,NA,NA,NA,0,0,0,2.2,4.3,6.5,0.07,0,0,0,3
"143","CCR","51",2021-07-13 12:00:00,1.5,1,3,98.7,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"144","CCR","51",2021-07-13 12:00:00,9,1,13.1,188,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"145","CCR","51",2021-07-14 10:20:00,1.5,1,NA,NA,0,0,0,8,4,2,0,0,3,2.7,4.1,6.8,0.16,0,0,0,0
"146","CCR","51",2021-07-14 10:20:00,9,1,NA,NA,0,0,0,5,3,3,3,0,3,2.4,3.8,6.2,0.13,0,0,0,0
"147","CCR","400",2021-07-14 12:14:00,0.1,1,29.7,112,0,0,3,9,10,127,0,3,3,0.3,15.1,15.3,0.13,0,0,3,0
"148","CCR","301",2021-07-14 12:56:00,0.1,1,6.1,116,0,0,3,7,4,67,0,0,0,1.1,1.6,2.7,0.12,0,0,0,0
"149","CCR","500",2021-07-14 13:51:00,0.1,1,12.7,162,0,0,3,6,7,109,3,0,3,1.3,NA,NA,0.17,0,0,8,0
"150","CCR","100",2021-07-28 11:19:00,0.1,1,6.8,422,1,0,3,14,6,351,3,0,0,1.7,3.5,5.2,0.34,0,0,0,0
"151","CCR","50",2021-07-28 12:00:00,0.1,1,6.5,194,1,0,3,4,1,0,3,3,43,2.1,4.4,6.6,0.09,0,0,0,3
"152","CCR","50",2021-07-28 12:00:00,6,1,7.1,131,1,0,3,4,2,2,3,3,3,2.6,4.1,6.7,0.11,0,0,0,0
"153","CCR","50",2021-07-28 12:00:00,9,1,13.1,258,1,0,3,3,2,2,3,3,3,2.3,3.9,6.1,0.12,0,0,0,0
"154","CCR","50",2021-07-28 12:00:00,20,1,NA,NA,0,0,0,64,5,55,3,0,0,2.2,4.5,6.7,0.2,0,0,0,0
"155","CCR","50",2021-07-28 12:00:00,21,1,18.6,227,1,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"156","CCR","51",2021-08-19 10:00:00,1.5,1,10.4,176,1,0,3,3,1,1,3,3,3,2.5,4.3,6.8,0.12,0,0,0,0
"157","CCR","51",2021-08-19 10:00:00,9,1,NA,NA,0,0,0,21,4,6,3,0,0,2.8,4.3,7.1,0.25,0,0,0,0
"158","CCR","50",2021-08-19 11:45:00,0.1,1,7.6,200,0,0,3,34,4,3,3,0,3,3.4,4,7.4,0.35,0,0,0,0
"159","CCR","301",2021-08-19 12:00:00,21,1,NA,NA,0,0,0,NA,NA,NA,0,0,0,2.6,5.6,8.2,0.44,0,0,0,0
"160","CCR","50",2021-08-19 12:00:00,6,1,10.2,221,1,0,3,11,1,2,3,3,3,2.6,4.5,7.1,0.19,0,0,0,0
"161","CCR","50",2021-08-19 12:00:00,9,1,12.1,216,1,0,3,16,2,16,3,3,3,2.4,4.2,6.6,0.14,0,0,0,0
"162","CCR","50",2021-08-19 12:00:00,21,1,28.5,343,1,0,3,125,6,81,3,0,0,NA,NA,NA,NA,0,0,0,0
"163","CCR","100",2021-08-19 12:51:00,0.1,1,12.6,500,0,0,3,6,4,121,3,0,3,2.7,2.3,5,0.21,0,0,0,0
"164","CCR","400",2021-08-19 15:34:00,0.1,1,79.7,854,0,0,0,25,25,505,3,3,0,5.5,NA,NA,0.7,0,0,8,0
"165","CCR","301",2021-08-19 16:45:00,0.1,1,7.3,81.1,0,0,0,6,4,26,3,0,3,2.3,0.6,2.8,0.11,0,0,0,0
"166","CCR","500",2021-08-19 17:24:00,0.1,1,25.7,649,0,0,3,5,11,452,3,3,0,2.8,NA,NA,0.61,0,0,8,0
"167","CCR","50",2021-09-23 13:26:00,0.1,1,8,202,0,0,3,2,1,0,3,3,43,2.6,5.5,8.2,0.15,0,0,0,0
"168","CCR","50",2021-09-23 13:36:00,6,1,10,233,0,0,3,19,2,2,3,3,3,2.6,6.3,8.9,0.14,0,0,0,0
"169","CCR","50",2021-09-23 13:45:00,9,1,10.2,228,0,0,3,24,1,33,3,3,0,2.3,5,7.3,0.16,0,0,0,0
"170","CCR","50",2021-09-23 13:55:00,20,1,34,756,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"171","CCR","100",2021-09-23 15:06:00,0.1,1,8.9,229,0,0,3,3,3,141,3,0,3,3.9,1.5,5.3,0.2,0,0,0,0
"172","CCR","400",2021-09-23 17:05:00,0.1,1,51.3,1150,0,0,3,NA,NA,NA,0,0,0,3.2,NA,NA,1.18,0,0,8,0
"173","CCR","301",2021-09-23 18:20:00,0.1,1,11,143,0,0,3,2,2,31,3,3,0,2,0.2,2.2,0.08,0,3,0,3
"174","CCR","500",2021-09-23 18:55:00,0.1,1,35.9,699,0,0,3,NA,NA,NA,0,0,0,3.1,NA,NA,0.86,0,0,8,0
"175","CCR","301",2021-11-19 12:00:00,0.1,1,7.8,58.4,1,0,3,3,5,0,3,0,3,1.7,0.9,2.6,0.04,0,0,0,3
"176","CCR","400",2021-11-19 12:00:00,0.1,1,27.7,300,1,0,3,NA,NA,NA,0,0,0,0.9,NA,NA,0.38,0,0,8,0
"177","CCR","500",2021-11-19 12:00:00,0.1,1,NA,NA,0,0,0,NA,NA,NA,0,0,0,1.2,NA,NA,0.14,0,0,8,0
"178","CCR","50",2021-11-19 12:11:00,0.1,1,13.7,629,0,0,3,14,2,47,3,3,0,2.3,6.9,9.2,0.19,0,0,0,0
"179","CCR","50",2021-11-19 12:11:00,1.5,1,12.9,224,0,0,3,20,1,49,3,3,0,2.3,7,9.3,0.19,0,0,0,0
"180","CCR","50",2021-11-19 12:11:00,6,1,13.9,216,0,0,3,19,1,50,3,3,0,2.1,7.5,9.6,0.18,0,0,0,0
"181","CCR","50",2021-11-19 12:11:00,9,1,11.4,229,0,0,3,22,2,55,3,3,0,2.2,6.8,9,0.16,0,0,0,0
"182","CCR","50",2021-11-19 12:11:00,20,1,11.5,231,0,0,3,22,2,49,3,3,0,2.2,6.8,9,0.17,0,0,0,0
"183","CCR","501",2021-11-19 12:11:00,0.1,1,3.8,101,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"184","CCR","51",2021-11-19 12:11:00,9,1,10.3,194,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
