Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOsat_percent,Cond_uScm,SpCond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_DateTime,Flag_Temp_C,Flag_DO_mgL,Flag_DOsat_percent,Flag_Cond_uScm,Flag_SpCond_uScm,Flag_PAR_umolm2s,Flag_ORP_mV,Flag_pH
CCR,50,2025-05-28 10:30:00,0.1,18.7,NA,NA,NA,NA,NA,NA,7.44,0,7,1,1,1,1,1,1,0
CCR,50,2025-05-28 10:35:00,1.5,18.4,NA,NA,NA,NA,NA,NA,7.67,0,7,1,1,1,1,1,1,0
CCR,50,2025-05-28 10:50:00,6,18.8,NA,NA,NA,NA,NA,NA,7.69,0,7,1,1,1,1,1,1,0
CCR,50,2025-05-28 10:55:00,9,14.3,NA,NA,NA,NA,NA,NA,7.5,0,7,1,1,1,1,1,1,0
CCR,50,2025-05-28 11:03:00,20,10.8,NA,NA,NA,NA,NA,NA,6.8,0,7,1,1,1,1,1,1,0
CCR,100,2025-05-28 12:08:00,0.1,13.3,10.31,96.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
CCR,101,2025-05-28 12:10:00,0.1,13.5,NA,NA,NA,NA,NA,NA,6.18,0,7,1,1,1,1,1,1,0
CCR,101,2025-06-11 01:10:00,0.1,19.4,8.85,93.5,NA,NA,NA,NA,6.33,0,0,0,0,1,1,1,1,0
CCR,50,2025-06-11 12:10:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.84,0,1,1,1,1,1,1,1,0
CCR,50,2025-06-11 12:20:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.83,0,1,1,1,1,1,1,1,0
CCR,50,2025-06-11 12:28:00,6,21.1,NA,NA,NA,NA,NA,NA,7.24,0,7,1,1,1,1,1,1,0
CCR,50,2025-06-11 12:34:00,9,19.3,NA,NA,NA,NA,NA,NA,7.34,0,7,1,1,1,1,1,1,0
CCR,50,2025-06-11 12:39:00,21,12.4,NA,NA,NA,NA,NA,NA,6.96,0,7,1,1,1,1,1,1,0
CCR,301,2025-06-11 15:00:00,0.1,NA,8.79,93.4,NA,NA,NA,NA,6.21,0,1,0,0,1,1,1,1,0
CCR,50,2025-06-25 10:00:00,0.1,30.4,NA,NA,NA,NA,NA,NA,7.67,0,7,1,1,1,1,1,1,0
CCR,50,2025-06-25 10:03:00,1.5,30,NA,NA,NA,NA,NA,NA,7.79,0,7,1,1,1,1,1,1,0
CCR,50,2025-06-25 10:12:00,6,25,NA,NA,NA,NA,NA,NA,7.88,0,7,1,1,1,1,1,1,0
CCR,50,2025-06-25 10:15:00,9,16.4,NA,NA,NA,NA,NA,NA,6.96,0,7,1,1,1,1,1,1,0
CCR,50,2025-06-25 10:22:00,21,12.2,NA,NA,NA,NA,NA,NA,6.97,0,7,1,1,1,1,1,1,0
CCR,101,2025-06-25 11:05:00,NA,22.6,8.28,83.4,NA,NA,NA,NA,6.61,0,0,0,0,1,1,1,1,0
CCR,50,2025-07-09 10:00:00,0.1,29.2,NA,NA,NA,NA,NA,NA,6.61,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-09 10:05:00,1.5,29.3,NA,NA,NA,NA,NA,NA,7.88,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-09 10:15:00,6,25.5,NA,NA,NA,NA,NA,NA,8.02,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-09 10:20:00,9,18.5,NA,NA,NA,NA,NA,NA,7.88,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-09 10:30:00,21,14.4,NA,NA,NA,NA,NA,NA,7.2,0,7,1,1,1,1,1,1,0
CCR,101,2025-07-09 10:57:00,0.1,21.3,8.54,94.1,NA,NA,NA,NA,6.66,0,0,0,0,1,1,1,1,0
CCR,301,2025-07-09 13:23:00,0.1,22.6,8.22,93.5,NA,NA,NA,NA,6.43,0,0,0,0,1,1,1,1,0
CCR,50,2025-07-23 09:43:00,0.1,28.1,NA,NA,NA,NA,NA,NA,6.05,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-23 09:45:00,1.5,28.6,NA,NA,NA,NA,NA,NA,7.25,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-23 09:55:00,6,26,NA,NA,NA,NA,NA,NA,7.25,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-23 10:03:00,9,18.7,NA,NA,NA,NA,NA,NA,7.95,0,7,1,1,1,1,1,1,0
CCR,50,2025-07-23 10:10:00,21,14,NA,NA,NA,NA,NA,NA,7.95,0,7,1,1,1,1,1,1,0
CCR,101,2025-07-23 11:05:00,0.1,20.9,8.66,94.1,NA,NA,NA,NA,6.36,0,0,0,0,1,1,1,1,0
CCR,50,2025-08-06 09:40:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.3,0,1,1,1,1,1,1,1,0
CCR,50,2025-08-06 09:40:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.56,0,1,1,1,1,1,1,1,0
CCR,50,2025-08-06 09:49:00,6,NA,NA,NA,NA,NA,NA,NA,7.52,0,1,1,1,1,1,1,1,0
CCR,50,2025-08-06 09:55:00,9,NA,NA,NA,NA,NA,NA,NA,6.94,0,1,1,1,1,1,1,1,0
CCR,50,2025-08-06 10:00:00,21,NA,NA,NA,NA,NA,NA,NA,9.7,0,1,1,1,1,1,1,1,0
CCR,100,2025-08-06 10:37:00,0.1,18.1,9.02,92.4,NA,NA,NA,NA,6.67,0,0,0,0,1,1,1,1,0
CCR,50,2025-08-20 10:53:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.75,0,1,1,1,1,1,1,1,0
CCR,50,2025-08-20 10:59:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.8,0,1,1,1,1,1,1,1,0
CCR,301,2025-08-20 11:00:00,0.1,20.8,8.92,99.3,NA,30.8,NA,NA,NA,0,0,0,0,1,0,1,1,1
CCR,50,2025-08-20 11:12:00,6,NA,NA,NA,NA,NA,NA,NA,7.5,0,1,1,1,1,1,1,1,0
CCR,50,2025-08-20 11:20:00,9,NA,NA,NA,NA,NA,NA,NA,6.7,0,1,1,1,1,1,1,1,0
CCR,50,2025-08-20 11:30:00,21,NA,NA,NA,NA,NA,NA,NA,7.13,0,1,1,1,1,1,1,1,0
CCR,101,2025-08-20 11:56:00,0.1,22.2,7.9,88.9,NA,52.5,NA,NA,6.29,0,0,0,0,1,0,1,1,0
CCR,50,2025-09-02 10:06:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.61,0,1,1,1,1,1,1,1,0
CCR,50,2025-09-02 10:07:00,1.5,NA,NA,NA,NA,NA,NA,NA,7.75,0,1,1,1,1,1,1,1,0
