Reservoir,Date,Site,Duration_days,Depth_m,CombinedXSA_m2,Filter1ID,Filter2ID,CombinedCollectionVol_L,CombinedFilterVol_L,CombinedSedMass_g,ICPTFe_mgL,ICPTMn_mgL,AcidVol_L,DilutionFactor,TFe_g,TMn_g,TFeFlux_gm2d,TMnFlux_gm2d,TOC_g,TN_g,TOCFlux_gm2d,TNFlux_gm2d,Flag_Filter2ID,Flag_CombinedCollectionVol_L,Flag_CombinedSedMass_g,Flag_TOC_g,Flag_TN_g,Flag_ICPTFe_mgL,Flag_ICPTMn_mgL,Flag_Duration_days
FCR,6/25/18,50,21,4,0.008143,F_Sed_4m_R1_F1_25Jun18,F_Sed_4m_R2_F3_25Jun18,3.4,0.169,0.00628,4.948438288,0.420631658,0.01,20,0.019910876,0.001692482,0.116435828,0.009897384,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,6/25/18,50,14,8,0.008143,F_Sed_8m_R1_F5_25Jun18,F_Sed_8m_R2_F7_25Jun18,3.4,0.159,0.00959,11.26913108,1.938902389,0.01,20,0.048195026,0.008292161,0.422755969,0.07273698,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/2/18,50,7,4,0.008143,F_sed_4m_R1_F2_02Jul18,F_sed_4m_R2_F4_02Jul18,3.4,0.3,0.00624,NA,NA,NA,NA,NA,NA,NA,NA,0.014941867,0.0221612,0.262133413,0.388786162,1,3,1,1,1,2,2,1
FCR,7/2/18,50,7,4,0.008143,F_Sed_4m_R1_F1_02Jul18,F_Sed_4m_R2_F3_02Jul18,3.4,0.303,0.004791,3.462527051,0.306967605,0.01,20,0.007770688,0.000688904,0.136325464,0.012085827,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/9/18,50,14,8,0.008143,F_sed_8m_R1_F2_09Jul18,F_sed_8m_R2_F4_09Jul18,3.4,0.2,0.01426,NA,NA,NA,NA,NA,NA,NA,NA,0.0386002,0.0269518,0.338592305,0.236415151,1,3,1,1,1,2,2,1
FCR,7/9/18,50,14,8,0.008143,F_Sed_8m_R1_F1_09Jul18,F_Sed_8m_R2_F3_09Jul18,3.4,0.198,0.00889,10.04205726,2.27685743,0.0099,20,0.034142995,0.007741315,0.299494699,0.067905083,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/16/18,50,14,4,0.008143,F_sed_4m_R2_F4_16Jul18,F_sed_4m_R1_F2_16Jul18,3.4,0.15,0.00476,NA,NA,NA,NA,NA,NA,NA,NA,0.030713333,0.044064,0.269410478,0.386519535,1,3,1,1,1,2,2,1
FCR,7/16/18,50,14,4,0.008143,F_Sed_4m_R1_F1_16Jul18,F_Sed_4m_R2_F3_16Jul18,3.4,0.153,NA,3.334888122,0.275768044,0.01,20,0.014821725,0.001225636,0.130012851,0.010751002,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/23/18,50,14,8,0.008143,F_sed_8m_R2_F4_23Jul18,F_sed_8m_R1_F2_23Jul18,3.4,0.103,0.0115,NA,NA,NA,NA,NA,NA,NA,NA,0.062989126,0.067240777,0.552526501,0.589821027,1,3,1,1,1,2,2,1
FCR,7/23/18,50,14,8,0.008143,F_Sed_8m_R1_F1_23Jul18,F_Sed_8m_R2_F3_23Jul18,3.4,0.103,0.01121,13.4784494,1.735705672,0.0099,20,0.088094098,0.011344437,0.772741692,0.099510864,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,8/2/18,50,14,8,0.008143,B_sed_8m_R2_F4_02Aug18,B_sed_8m_R1_F2_02Aug18,3.4,0.115,0.01015,NA,NA,NA,NA,NA,NA,NA,NA,0.045104696,0.039735652,0.395648284,0.348552237,1,3,1,1,1,2,2,1
BVR,8/2/18,50,14,8,0.008143,B_Sed_8m_R1_F1_02Aug18,B_Sed_8m_R2_F3_02Aug18,3.4,0.121,0.00936,11.77074999,0.085680754,0.0099,20,0.065488173,0.000476697,0.574447577,0.004181475,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,8/13/18,50,21,8,0.008143,F_sed_8m_R1_F2_13Aug18,F_sed_8m_R2_F4_13Aug18,3.4,0.104,0.00929,NA,NA,NA,NA,NA,NA,NA,NA,0.050836538,0.057996154,0.297284483,0.339152844,1,3,1,1,1,2,2,1
FCR,8/13/18,50,21,8,0.008143,F_Sed_8m_R1_F1_13Aug18,F_Sed_8m_R2_F3_13Aug18,3.4,0.132,0.00779,10.6091662,0.358193007,0.01,20,0.05465328,0.001845237,0.31960422,0.010790669,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,8/20/18,50,35,4,0.008143,F_sed_4m_R2_F4_20Aug18,F_sed_4m_R1_F2_20Aug18,3.4,0.148,0.01495,NA,NA,NA,NA,NA,NA,NA,NA,0.051036757,0.051845405,0.179073198,0.181910512,1,3,1,1,1,2,2,1
FCR,8/20/18,50,35,4,0.008143,F_Sed_4m_R1_F1_20Aug18,F_Sed_4m_R2_F3_20Aug18,3.4,0.163,0.007813,6.023252535,0.301575553,0.01,20,0.025127679,0.001258107,0.088165749,0.004414332,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,8/27/18,50,14,8,0.008143,F_sed_8m_R2_F4_27Aug18,F_sed_8m_R1_F2_27Aug18,3.4,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063053333,0.04332,0.553089712,0.379993333,1,3,1,1,1,2,2,1
FCR,8/27/18,50,14,8,0.008143,F_Sed_8m_R1_F1_27Aug18,F_Sed_8m_R2_F3_27Aug18,3.4,0.1,0.01166,19.32303238,0.259357188,0.01,20,0.13139662,0.001763629,1.152581711,0.015470157,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,9/3/18,50,14,4,0.008143,F_sed_4m_R1_F2_03Sep18,F_sed_4m_R2_F4_03Sep18,3.4,0.142,0.00532,NA,NA,NA,NA,NA,NA,NA,NA,0.037337746,0.035901127,0.327518346,0.31491664,1,3,1,1,1,2,2,1
FCR,9/3/18,50,14,4,0.008143,F_Sed_4m_R1_F1_03Sep18,F_Sed_4m_R2_F3_03Sep18,3.4,0.141,0.00497,4.27784843,0.267186674,0.0099,20,0.020424451,0.001275674,0.179158706,0.011189929,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,9/7/18,50,14,4,0.008143,B_sed_4m_R2_F4_07Sep18,B_sed_4m_R1_F2_07Sep18,3.4,0.131,0.00789,NA,NA,NA,NA,NA,NA,NA,NA,0.074223817,0.036735573,0.65107469,0.322236211,1,3,1,1,1,2,2,1
BVR,9/7/18,50,14,4,0.008143,B_Sed_4m_R1_F1_07Sep18,B_Sed_4m_R2_F3_07Sep18,3.4,0.132,0.00897,17.81162525,0.126225535,0.0099,20,0.090839289,0.00064375,0.796821887,0.005646833,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,9/7/18,50,36,8,0.008143,B_Sed_8m_R1_F1_07Sep18,B_Sed_8m_R2_F3_07Sep18,3.4,0.151,0.01367,4.439724163,1.602480575,0.0099,20,0.019793525,0.007144304,0.067520588,0.02437098,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,9/10/18,50,14,8,0.008143,F_Sed_8m_R1_F1_10Sep18,F_Sed_8m_R2_F3_10Sep18,3.4,0.078,0.0421,39.34187836,0.242632862,0.0099,20,0.339550673,0.002094108,2.978462424,0.018369048,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,9/21/18,50,14,4,0.008143,B_sed_4m_R2_F4_21Sep18,B_sed_4m_R1_F2_21Sep18,3.4,0.148,0.01206,NA,NA,NA,NA,NA,NA,NA,NA,0.054528649,0.037905405,0.478313088,0.332497723,1,3,1,1,1,2,2,1
BVR,9/21/18,50,14,4,0.008143,B_Sed_4m_R1_F1_21Sep18,B_Sed_4m_R2_F3_21Sep18,3.4,0.147,0.00915,4.136051475,1.080855772,0.0098,20,0.0187501,0.004899879,0.164471676,0.042980645,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,9/21/18,50,14,8,0.0040715,B_Sed_8m_R1_F1_21Sep18,NA,1.7,0.04,0.00386,5.378097912,0.045237235,0.0098,20,0.044799556,0.000376826,0.785943327,0.006610869,NA,NA,NA,NA,2,2,2,2,2,1,1,1
BVR,10/5/18,50,14,4,0.008143,B_sed_4m_R2_F4_05Oct18,B_sed_4m_R1_F2_05Oct18,3.4,0.2,0.0087,NA,NA,NA,NA,NA,NA,NA,NA,0.033439,0.0330616,0.293319415,0.290008947,1,3,1,1,1,2,2,1
BVR,10/5/18,50,14,8,0.008143,B_sed_8m_R2_F4_05Oct18,B_sed_8m_R1_F2_05Oct18,3.4,0.103,0.03124,NA,NA,NA,NA,NA,NA,NA,NA,0.065682718,0.059476893,0.576154089,0.52171798,1,3,1,1,1,2,2,1
BVR,10/5/18,50,14,4,0.008143,B_Sed_4m_R1_F1_05Oct18,B_Sed_4m_R2_F3_05Oct18,3.4,0.301,0.00819,4.796931004,1.263699972,0.0098,20,0.010620182,0.002797773,0.093157858,0.024541438,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,10/5/18,50,14,8,0.008143,B_Sed_8m_R1_F1_05Oct18,B_Sed_8m_R2_F3_05Oct18,3.4,0.102,0.01092,14.76354276,0.091724842,0.0098,20,0.096455146,0.000599269,0.846082929,0.005256653,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,10/8/18,50,35,4,0.008143,F_sed_4m_R2_F4_08Oct18,F_sed_4m_R1_F2_08Oct18,3.4,0.286,0.00411,NA,NA,NA,NA,NA,NA,NA,NA,0.013476364,0.013305175,0.047284657,0.046684005,1,3,1,1,1,2,2,1
FCR,10/8/18,50,35,4,0.008143,F_Sed_4m_R1_F1_08Oct18,F_Sed_4m_R2_F3_08Oct18,3.4,0.216,0.00508,3.554766627,0.407072784,0.0098,20,0.010967113,0.001255895,0.038480424,0.004406572,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,10/22/18,50,42,8,0.008143,F_sed_8m_R1_F2_22Oct18,F_sed_8m_R2_F4_22Oct18,3.4,0.12,0.02019,NA,NA,NA,NA,NA,NA,NA,NA,0.083549333,0.046404333,0.24429201,0.135682805,1,3,1,1,1,2,2,1
FCR,10/22/18,50,42,8,0.008143,F_Sed_8m_R1_F1_22Oct18,F_Sed_8m_R2_F3_22Oct18,3.4,0.12,0.02152,17.71916368,0.198825633,0.0098,20,0.098400422,0.001104145,0.287715485,0.003228438,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,10/29/18,50,7,8,0.008143,F_sed_8m_R2_F4_29Oct18,F_sed_8m_R1_F2_29Oct18,3.4,0.2,0.01148,NA,NA,NA,NA,NA,NA,NA,NA,0.027387,0.0376244,0.480465255,0.660065613,1,3,1,1,1,2,2,1
FCR,10/29/18,50,21,4,0.008143,F_sed_4m_R2_F4_29Oct18,F_sed_4m_R1_F2_29Oct18,3.4,0.241,0.0127,NA,NA,NA,NA,NA,NA,NA,NA,0.02328083,0.018992033,0.136142815,0.111062573,1,3,1,1,1,2,2,1
FCR,10/29/18,50,21,4,0.008143,F_Sed_4m_R1_F1_29Oct18,F_Sed_4m_R2_F3_29Oct18,3.4,0.251,0.01429,9.021798976,1.063369025,0.0098,20,0.023952697,0.002823224,0.140071792,0.01650979,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,10/29/18,50,7,8,0.008143,F_Sed_8m_R1_F1_29Oct18,F_Sed_8m_R2_F3_29Oct18,3.4,0.197,0.012,8.188139816,0.172537928,0.0098,20,0.027698357,0.000583651,0.485927567,0.010239314,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,4/29/19,50,21,10,0.008143,B_sed_10m_R1_F2_29Apr19,B_sed_10m_R1_F2_29Apr19,3.4,0.2,0.0168,NA,NA,NA,NA,NA,NA,NA,NA,0.0458014,0.0333268,0.267839746,0.194890148,1,3,1,1,1,2,2,1
FCR,4/29/19,50,14,4,0.008143,F_sed_4m_R1_F2_29Apr19,F_sed_4m_R2_F2_29Apr19,3.4,0.3,0.0252,NA,NA,NA,NA,NA,NA,NA,NA,0.033524,0.014957733,0.294065016,0.131205885,1,3,1,1,1,2,2,1
BVR,4/29/19,50,21,5,0.008143,B_sed_5m_R1_F2_29Apr19,B_sed_5m_R2_F2_29Apr19,3.4,0.2,0.0161,NA,NA,NA,NA,NA,NA,NA,NA,0.043282,0.0152558,0.253106671,0.08921364,1,3,1,1,1,2,2,1
FCR,4/29/19,50,14,4,0.008143,F_sed_4m_R1_F2_29Apr19,F_sed_4m_R2_F2_29Apr19,3.4,0.3,0.0252,7.828377862,0.707699705,0.01,20,0.017744323,0.001604119,0.155649227,0.014070975,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,4/29/19,50,14,8,0.008143,F_sed_8m_R1_F2_29Apr19,F_sed_8m_R2_F2_29Apr19,3.4,0.2,0.0178,6.031754821,0.550123314,0.01,20,0.020507966,0.001870419,0.179891286,0.016406899,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,4/29/19,50,21,5,0.008143,B_sed_5m_R1_F1_29Apr19,B_sed_5m_R2_F1_29Apr19,3.4,0.3,0.0255,57.17484332,4.685189608,0.01,20,0.129596312,0.010619763,0.757859871,0.062102788,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,4/29/19,50,21,10,0.0040715,B_sed_10m_R1_F1_29Apr19,NA,1.7,0.1,0.0081,7.736414509,0.753004138,0.01,20,0.026303809,0.002560214,0.307641496,0.029943499,NA,NA,NA,NA,2,2,2,2,2,1,1,1
FCR,5/13/19,50,14,4,0.008143,F_sed_4m_R1_F1_13May19,F_sed_4m_R2_F1_13May19,3.4,0.4,0.0146,NA,NA,NA,NA,NA,NA,NA,NA,0.0205666,0.0156111,0.180405607,0.136937071,1,3,1,1,1,2,2,1
FCR,5/13/19,50,14,8,0.008143,F_sed_8m_R1_F1_13May19,F_sed_8m_R2_F1_13May19,3.4,0.4,0.0185,NA,NA,NA,NA,NA,NA,NA,NA,0.024548,0.0112047,0.215329556,0.098285118,1,3,1,1,1,2,2,1
FCR,5/13/19,50,14,4,0.008143,F_sed_4m_R1_F2_13May19,F_sed_4m_R2_F2_13May19,3.4,0.4,0.0144,5.820043697,0.593873102,0.01,20,0.009894074,0.001009584,0.086788603,0.008855847,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,5/13/19,50,14,8,0.008143,F_sed_8m_R1_F2_13May19,F_sed_8m_R2_F2_13May19,3.4,0.4,0.0196,9.841276572,1.814992413,0.01,20,0.01673017,0.003085487,0.146753304,0.027065202,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,5/16/19,50,17,10,0.008143,B_sed_10m_R1_F2_16May19,B_sed_10m_R2_F2_16May19,3.4,0.4,0.0243,NA,NA,NA,NA,NA,NA,NA,NA,0.039967,0.0156145,0.288714233,0.112796267,1,3,1,1,1,2,2,1
BVR,5/16/19,50,17,5,0.008143,B_sed_5m_R1_F1_16May19,B_sed_5m_R2_F1_16May19,3.4,0.7,0.0211,NA,NA,NA,NA,NA,NA,NA,NA,0.017670286,0.006107857,0.127646883,0.044122033,1,3,1,1,1,2,2,1
BVR,5/16/19,50,17,5,0.008143,B_sed_5m_R1_F2_16May19,B_sed_5m_R2_F2_16May19,3.4,0.7,0.0234,12.83874458,1.709102087,0.01,20,0.012471923,0.001660271,0.090094873,0.011993488,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,5/16/19,50,17,10,0.008143,B_sed_10m_R1_F1_16May19,B_sed_10m_R2_F1_16May19,3.4,0.4,0.0242,17.92625918,0.249943918,0.01,20,0.030474641,0.000424905,0.22014318,0.003069433,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,5/27/19,50,14,4,0.008143,F_sed_4m_R1_F2_27May19,F_sed_4m_R2_F2_27May19,3.4,0.6,0.0179,NA,NA,NA,NA,NA,NA,NA,NA,0.0209236,0.0122706,0.183537131,0.107634954,1,3,1,1,1,2,2,1
FCR,5/27/19,50,14,8,0.008143,F_sed_8m_R1_F2_27May19,F_sed_8m_R2_F2_27May19,3.4,0.4,0.0153,NA,NA,NA,NA,NA,NA,NA,NA,0.02601425,0.01248225,0.228191172,0.1094915,1,3,1,1,1,2,2,1
FCR,5/27/19,50,14,4,0.008143,F_sed_4m_R1_F1_27May19,F_sed_4m_R2_F1_27May19,3.4,0.6,0.0186,9.68685293,0.952238461,0.01,20,0.010978433,0.001079204,0.096300357,0.009466532,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,5/27/19,50,14,8,0.008143,F_sed_8m_R1_F1_27May19,F_sed_8m_R2_F1_27May19,3.4,0.4,0.0171,13.90678011,2.507251147,0.01,20,0.023641526,0.004262327,0.20737817,0.037388177,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,5/30/19,50,14,5,0.008143,B_sed_5m_R1_F2_30May19,B_sed_5m_R2_F2_30May19,3.4,0.6,0.0176,10.66263458,0.797664852,0.01,20,0.012084319,0.00090402,0.10600094,0.007929862,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,5/30/19,50,14,10,0.008143,B_sed_10m_R1_F2_30May19,B_sed_10m_R2_F2_30May19,3.4,0.4,0.0215,16.89322683,0.159050996,0.01,20,0.028718486,0.000270387,0.251912121,0.002371771,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,6/10/19,50,14,4,0.008143,F_sed_4m_R1_F2_10Jun19,F_sed_4m_R2_F2_10Jun19,3.4,0.405,0.0134,NA,NA,NA,NA,NA,NA,NA,NA,0.020542716,0.012319753,0.180196102,0.108066114,1,3,1,1,1,2,2,1
FCR,6/10/19,50,14,4,0.008143,F_sed_4m_R1_F1_10Jun19,F_sed_4m_R2_F1_10Jun19,3.4,0.41,0.0137,7.708982072,0.713448663,0.01,20,0.012785629,0.001183281,0.112152671,0.010379473,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,6/10/19,50,14,8,0.0040715,F_sed_8m_R2_F2_10Jun19,NA,1.7,0.2,0.0115,10.44085864,0.675300695,0.01,20,0.01774946,0.001148011,0.311388567,0.020140194,NA,NA,NA,NA,2,2,2,2,2,1,1,1
BVR,6/13/19,50,14,10,0.008143,B_sed_10m_R1_F2_13Jun19,B_sed_10m_R2_F2_13Jun19,3.4,0.4,0.0292,NA,NA,NA,NA,NA,NA,NA,NA,0.0283118,0.009894,0.248344766,0.086787951,1,3,1,1,1,2,2,1
BVR,6/13/19,50,14,10,0.008143,B_sed_10m_R1_F2_13Jun19,B_sed_10m_R2_F2_13Jun19,3.4,0.4,0.0292,NA,NA,NA,NA,NA,NA,NA,NA,0.0641631,0.0105264,0.562824336,0.092335222,1,3,1,1,1,2,2,1
BVR,6/13/19,50,14,5,0.008143,B_sed_5m_R1_F2_13Jun19,B_sed_5m_R2_F2_13Jun19,3.4,0.7,0.0275,NA,NA,NA,NA,NA,NA,NA,NA,0.028570686,0.0086836,0.250615653,0.076170593,1,3,1,1,1,2,2,1
BVR,6/13/19,50,14,5,0.008143,B_sed_5m_R1_F1_13Jun19,B_sed_5m_R2_F1_13Jun19,3.4,0.7,0.0242,9.912880433,1.723103553,0.01,20,0.009629655,0.001673872,0.084469178,0.01468283,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,6/13/19,50,14,10,0.008143,B_sed_10m_R1_F1_13Jun19,B_sed_10m_R2_F1_13Jun19,3.4,0.4,0.0312,18.88014951,0.15451738,0.01,20,0.032096254,0.00026268,0.28154115,0.002304166,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,6/17/19,50,7,4,0.008143,F_sed_4m_R1_F1_17Jun19,F_sed_4m_R2_F1_17Jun19,3.4,0.6,0.0092,NA,NA,NA,NA,NA,NA,NA,NA,0.011786667,0.005204833,0.206779998,0.091311264,1,3,1,1,1,2,2,1
FCR,6/17/19,50,7,4,0.008143,F_sed_4m_R1_F2_17Jun19,F_sed_4m_R2_F2_17Jun19,3.4,0.6,0.0095,5.787535315,0.941373032,0.01,20,0.006559207,0.001066889,0.115071783,0.01871703,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,6/17/19,50,7,8,0.008143,F_sed_8m_R1_F1_17Jun19,F_sed_8m_R2_F1_17Jun19,3.4,0.5,0.0403,17.53928578,5.214349579,0.01,20,0.023853429,0.007091515,0.418473863,0.124410369,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,6/20/19,50,7,5,0.008143,B_sed_5m_R1_F1_20Jun19,B_sed_5m_R2_F1_20Jun19,3.4,0.6,0.0078,NA,NA,NA,NA,NA,NA,NA,NA,0.008750467,0.003531467,0.153514266,0.061954469,1,3,1,1,1,2,2,1
BVR,6/20/19,50,7,5,0.008143,B_sed_5m_R1_F2_20Jun19,B_sed_5m_R2_F2_20Jun19,3.4,0.6,0.0084,4.766938034,1.305761687,0.01,20,0.00540253,0.001479863,0.094779561,0.025962058,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,6/20/19,50,7,10,0.008143,B_sed_10m_R1_F1_20Jun19,B_sed_10m_R2_F1_20Jun19,3.4,0.45,0.026,18.6926203,0.157207927,0.01,20,0.028246626,0.000237559,0.495546152,0.004167622,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/8/19,50,21,4,0.008143,F_sed_4m_R1_F2_08Jul19,F_sed_4m_R2_F2_08Jul19,3.4,0.6,0.0345,NA,NA,NA,NA,NA,NA,NA,NA,0.043338667,0.013070167,0.253438049,0.076432382,1,3,1,1,1,2,2,1
FCR,7/8/19,50,21,8,0.008143,F_sed_8m_R1_F2_08Jul19,F_sed_8m_R2_F2_08Jul19,3.4,0.4,0.0328,NA,NA,NA,NA,NA,NA,NA,NA,0.0462451,0.014552,0.270434437,0.085097922,1,3,1,1,1,2,2,1
FCR,7/8/19,50,21,4,0.008143,F_sed_4m_R1_F1_08Jul19,F_sed_4m_R2_F1_08Jul19,3.4,0.6,0.03,16.93072265,2.89406054,0.01,20,0.019188152,0.003279935,0.112209449,0.019180572,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/8/19,50,21,8,0.008143,F_sed_8m_R1_F1_08Jul19,F_sed_8m_R2_F1_08Jul19,3.4,0.4,0.0373,38.69102664,3.162075316,0.01,20,0.065774745,0.005375528,0.384640885,0.031435285,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,7/11/19,50,21,10,0.008143,B_sed_10m_R1_F2_11Jul19,B_sed_10m_R2_F2_11Jul19,3.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073355,0.0173264,0.428969082,0.101322199,1,3,1,1,1,2,2,1
BVR,7/11/19,50,21,5,0.008143,B_sed_5m_R1_F2_11Jul19,B_sed_5m_R2_F2_11Jul19,3.4,0.6,0.029,NA,NA,NA,NA,NA,NA,NA,NA,0.027680533,0.008784467,0.161871624,0.051370249,1,3,1,1,1,2,2,1
BVR,7/11/19,50,21,5,0.008143,B_sed_5m_R1_F1_11Jul19,B_sed_5m_R2_F1_11Jul19,3.4,0.6,0.0289,16.03474257,2.820703251,0.01,20,0.018172708,0.003196797,0.106271283,0.018694391,NA,NA,NA,NA,1,3,1,2,2,1,1,1
BVR,7/11/19,50,21,10,0.008143,B_sed_10m_R1_F1_11Jul19,B_sed_10m_R2_F1_11Jul19,3.4,0.4,0.0444,37.54383246,0.315492753,0.01,20,0.063824515,0.000536338,0.373236231,0.003136423,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/22/19,50,14,8,0.008143,F_sed_8m_R1_F2_22Jul19,F_sed_8m_R2_F2_22Jul19,3.4,0.32,0.0463,NA,NA,NA,NA,NA,NA,NA,NA,0.094781375,0.02257175,0.831400984,0.197994333,1,3,1,1,1,2,2,1
FCR,7/22/19,50,14,4,0.008143,F_sed_4m_R1_F1_22Jul19,F_sed_4m_R2_F1_22Jul19,3.4,0.35,0.0207,8.604501003,1.466437286,0.01,20,0.016717316,0.002849078,0.146640552,0.024991475,NA,NA,NA,NA,1,3,1,2,2,1,1,1
FCR,7/22/19,50,14,8,0.008143,F_sed_8m_R1_F1_22Jul19,F_sed_8m_R2_F1_22Jul19,3.4,0.35,0.055,58.08873468,4.745980132,0.01,20,0.112858113,0.009220761,0.98996608,0.080882453,NA,NA,NA,NA,1,3,1,2,2,1,1,1
