Reservoir,Date,Site,Duration_days,Depth_m,TrapRep,TrapXSA_m2,TrapVol_L,CollectionVol_L,FilterRep,FilterVol_L,FilterMassPre_g,FilterMassPost_g,SedMass_g,SedFlux_gm2d,FilterID,Flag_CollectionVol_L,Flag_SedMass_g
FCR,7/2/18,50,7,4,1,0.0040715,2,1.7,1,0.15,0.15767,0.15946,0.00179,NA,F_Sed_4m_R1_F1_02Jul18,2,1
FCR,7/2/18,50,7,4,1,0.0040715,2,1.7,2,0.15,0.15564,0.15867,0.00303,NA,F_Sed_4m_R1_F2_02Jul18,2,1
FCR,7/2/18,50,7,4,2,0.0040715,2,1.7,3,0.153,0.15521,0.158211,0.003001,NA,F_Sed_4m_R2_F3_02Jul18,2,1
FCR,7/2/18,50,7,4,2,0.0040715,2,1.7,4,0.15,0.15709,0.1603,0.00321,NA,F_Sed_4m_R2_F4_02Jul18,2,1
FCR,7/9/18,50,14,8,1,0.0040715,2,1.7,1,0.1,0.15788,0.1632,0.00532,NA,F_Sed_8m_R1_F1_09Jul18,2,1
FCR,7/9/18,50,14,8,1,0.0040715,2,1.7,2,0.1,0.15583,0.16569,0.00986,NA,F_Sed_8m_R1_F2_09Jul18,2,1
FCR,7/9/18,50,14,8,2,0.0040715,2,1.7,3,0.098,0.16031,0.16388,0.00357,NA,F_Sed_8m_R2_F3_09Jul18,2,1
FCR,7/9/18,50,14,8,2,0.0040715,2,1.7,4,0.1,0.159,0.1634,0.0044,NA,F_Sed_8m_R2_F4_09Jul18,2,1
FCR,7/16/18,50,14,4,1,0.0040715,2,1.7,1,0.076,0.15572,0.15801,0.00229,NA,F_Sed_4m_R1_F1_16Jul18,2,1
FCR,7/16/18,50,14,4,1,0.0040715,2,1.7,2,0.075,0.15558,0.1579,0.00232,NA,F_Sed_4m_R1_F2_16Jul18,2,1
FCR,7/16/18,50,14,4,2,0.0040715,2,1.7,3,0.077,0.15495,0.13771,NA,NA,F_Sed_4m_R2_F3_16Jul18,2,3
FCR,7/16/18,50,14,4,2,0.0040715,2,1.7,4,0.075,0.15688,0.15932,0.00244,NA,F_Sed_4m_R2_F4_16Jul18,2,1
FCR,7/23/18,50,14,8,1,0.0040715,2,1.7,1,0.05,0.15574,0.1613,0.00556,NA,F_Sed_8m_R1_F1_23Jul18,2,1
FCR,7/23/18,50,14,8,1,0.0040715,2,1.7,2,0.051,0.15399,0.15884,0.00485,NA,F_Sed_8m_R1_F2_23Jul18,2,1
FCR,7/23/18,50,14,8,2,0.0040715,2,1.7,3,0.053,0.15462,0.16027,0.00565,NA,F_Sed_8m_R2_F3_23Jul18,2,1
FCR,7/23/18,50,14,8,2,0.0040715,2,1.7,4,0.052,0.15362,0.16027,0.00665,NA,F_Sed_8m_R2_F4_23Jul18,2,1
BVR,8/2/18,50,14,8,1,0.0040715,2,1.7,1,0.055,0.15822,0.1625,0.00428,NA,B_Sed_8m_R1_F1_02Aug18,2,1
BVR,8/2/18,50,14,8,1,0.0040715,2,1.7,2,0.056,0.1575,0.16222,0.00472,NA,B_Sed_8m_R1_F2_02Aug18,2,1
BVR,8/2/18,50,14,8,2,0.0040715,2,1.7,3,0.066,0.1589,0.16398,0.00508,NA,B_Sed_8m_R2_F3_02Aug18,2,1
BVR,8/2/18,50,14,8,2,0.0040715,2,1.7,4,0.059,0.15909,0.16452,0.00543,NA,B_Sed_8m_R2_F4_02Aug18,2,1
FCR,8/13/18,50,21,8,1,0.0040715,2,1.7,1,0.046,0.16076,0.16372,0.00296,NA,F_Sed_8m_R1_F1_13Aug18,2,1
FCR,8/13/18,50,21,8,1,0.0040715,2,1.7,1,0.053,0.15915,0.16352,0.00437,NA,F_Sed_8m_R1_F1_13Aug18,2,1
FCR,8/13/18,50,21,8,2,0.0040715,2,1.7,3,0.086,0.15617,0.161,0.00483,NA,F_Sed_8m_R2_F3_13Aug18,2,1
FCR,8/13/18,50,21,8,2,0.0040715,2,1.7,4,0.051,0.16111,0.16603,0.00492,NA,F_Sed_8m_R2_F4_13Aug18,2,1
FCR,8/20/18,50,35,4,1,0.0040715,2,1.7,1,0.087,0.16162,0.166603,0.004983,NA,F_Sed_4m_R1_F1_20Aug18,2,1
FCR,8/20/18,50,35,4,1,0.0040715,2,1.7,2,0.068,0.156,0.1666,0.0106,NA,F_Sed_4m_R1_F2_20Aug18,2,1
FCR,8/20/18,50,35,4,2,0.0040715,2,1.7,3,0.076,0.15752,0.16035,0.00283,NA,F_Sed_4m_R2_F3_20Aug18,2,1
FCR,8/20/18,50,35,4,2,0.0040715,2,1.7,4,0.08,0.15764,0.16199,0.00435,NA,F_Sed_4m_R2_F4_20Aug18,2,1
FCR,8/27/18,50,14,8,1,0.0040715,2,1.7,1,0.05,0.16083,0.1674,0.00657,NA,F_Sed_8m_R1_F1_27Aug18,2,1
FCR,8/27/18,50,14,8,1,0.0040715,2,1.7,1,0.05,0.15933,0.10548,NA,NA,F_Sed_8m_R1_F1_27Aug18,2,3
FCR,8/27/18,50,14,8,2,0.0040715,2,1.7,3,0.05,0.15851,0.1636,0.00509,NA,F_Sed_8m_R2_F3_27Aug18,2,1
FCR,8/27/18,50,14,8,2,0.0040715,2,1.7,4,0.052,0.1586,0.16367,0.00507,NA,F_Sed_8m_R2_F4_27Aug18,2,1
FCR,9/3/18,50,14,4,1,0.0040715,2,1.7,1,0.072,0.15585,0.15847,0.00262,NA,F_Sed_4m_R1_F1_03Sep18,2,1
FCR,9/3/18,50,14,4,1,0.0040715,2,1.7,2,0.07,0.15423,0.15702,0.00279,NA,F_Sed_4m_R1_F2_03Sep18,2,1
FCR,9/3/18,50,14,4,2,0.0040715,2,1.7,3,0.069,0.15583,0.15818,0.00235,NA,F_Sed_4m_R2_F3_03Sep18,2,1
FCR,9/3/18,50,14,4,2,0.0040715,2,1.7,4,0.072,0.15588,0.15841,0.00253,NA,F_Sed_4m_R2_F4_03Sep18,2,1
BVR,9/7/18,50,14,4,1,0.0040715,2,1.7,1,0.068,0.16233,0.16699,0.00466,NA,B_Sed_4m_R1_F1_07Sep18,2,1
BVR,9/7/18,50,14,4,1,0.0040715,2,1.7,1,0.065,0.16169,0.16562,0.00393,NA,B_Sed_4m_R1_F1_07Sep18,2,1
BVR,9/7/18,50,14,4,1,0.0040715,2,1.7,2,0.064,0.15515,0.15946,0.00431,NA,B_Sed_4m_R1_F2_07Sep18,2,1
BVR,9/7/18,50,14,4,1,0.0040715,2,1.7,3,0.066,0.15509,0.15905,0.00396,NA,B_Sed_4m_R1_F3_07Sep18,2,1
BVR,9/7/18,50,36,8,1,0.0040715,2,1.7,1,0.076,0.15778,0.1634,0.00562,NA,B_Sed_8m_R1_F1_07Sep18,2,1
BVR,9/7/18,50,36,8,1,0.0040715,2,1.7,2,0.086,0.15565,0.16035,0.0047,NA,B_Sed_8m_R1_F2_07Sep18,2,1
BVR,9/7/18,50,36,8,2,0.0040715,2,1.7,3,0.075,0.15804,0.16609,0.00805,NA,B_Sed_8m_R2_F3_07Sep18,2,1
BVR,9/7/18,50,36,8,2,0.0040715,2,1.7,4,0.075,0.15684,0.16416,0.00732,NA,B_Sed_8m_R2_F4_07Sep18,2,1
FCR,9/10/18,50,14,8,1,0.0040715,2,1.7,1,0.04,0.13756,0.17123,0.03367,NA,F_Sed_8m_R1_F1_10Sep18,2,1
FCR,9/10/18,50,14,8,1,0.0040715,2,1.7,2,0.031,0.15445,0.1654,0.01095,NA,F_Sed_8m_R1_F2_10Sep18,2,1
FCR,9/10/18,50,14,8,2,0.0040715,2,1.7,3,0.038,0.16009,0.16852,0.00843,NA,F_Sed_8m_R2_F3_10Sep18,2,1
FCR,9/10/18,50,14,8,2,0.0040715,2,1.7,4,0.029,0.16099,0.16629,0.0053,NA,F_Sed_8m_R2_F4_10Sep18,2,1
BVR,9/21/18,50,14,4,1,0.0040715,2,1.7,1,0.07,0.15985,0.16464,0.00479,NA,B_Sed_4m_R1_F1_21Sep18,2,1
BVR,9/21/18,50,14,4,1,0.0040715,2,1.7,2,0.07,0.15867,0.16457,0.0059,NA,B_Sed_4m_R1_F2_21Sep18,2,1
BVR,9/21/18,50,14,4,2,0.0040715,2,1.7,3,0.077,0.15931,0.16367,0.00436,NA,B_Sed_4m_R2_F3_21Sep18,2,1
BVR,9/21/18,50,14,4,2,0.0040715,2,1.7,4,0.078,0.15813,0.16429,0.00616,NA,B_Sed_4m_R2_F4_21Sep18,2,1
BVR,9/21/18,50,14,8,1,0.0040715,2,1.7,1,0.04,0.15899,0.16285,0.00386,NA,B_Sed_8m_R1_F1_21Sep18,2,1
BVR,9/21/18,50,14,8,1,0.0040715,2,1.7,2,0.042,0.16089,NA,NA,NA,B_Sed_8m_R1_F2_21Sep18,2,2
BVR,9/21/18,50,14,8,2,0.0040715,2,1.7,3,0.04,0.16186,NA,NA,NA,B_Sed_8m_R2_F3_21Sep18,2,2
BVR,9/21/18,50,14,8,2,0.0040715,2,1.7,4,0.04,0.16017,0.16568,0.00551,NA,B_Sed_8m_R2_F4_21Sep18,2,1
BVR,10/5/18,50,14,4,1,0.0040715,2,1.7,1,0.101,0.1582,0.16291,0.00471,NA,B_Sed_4m_R1_F1_05Oct18,2,1
BVR,10/5/18,50,14,4,1,0.0040715,2,1.7,2,0.1,0.15794,0.1632,0.00526,NA,B_Sed_4m_R1_F2_05Oct18,2,1
BVR,10/5/18,50,14,4,2,0.0040715,2,1.7,3,0.2,0.15838,0.16186,0.00348,NA,B_Sed_4m_R2_F3_05Oct18,2,1
BVR,10/5/18,50,14,4,2,0.0040715,2,1.7,4,0.1,0.1584,0.16184,0.00344,NA,B_Sed_4m_R2_F4_05Oct18,2,1
BVR,10/5/18,50,14,8,1,0.0040715,2,1.7,1,0.05,0.15613,0.16184,0.00571,NA,B_Sed_8m_R1_F1_05Oct18,2,1
BVR,10/5/18,50,14,8,1,0.0040715,2,1.7,2,0.051,0.1365,0.16246,0.02596,NA,B_Sed_8m_R1_F2_05Oct18,2,1
BVR,10/5/18,50,14,8,2,0.0040715,2,1.7,3,0.052,0.15742,0.16263,0.00521,NA,B_Sed_8m_R2_F3_05Oct18,2,1
BVR,10/5/18,50,14,8,2,0.0040715,2,1.7,4,0.052,0.15698,0.16226,0.00528,NA,B_Sed_8m_R2_F4_05Oct18,2,1
FCR,10/8/18,50,35,4,1,0.0040715,2,1.7,1,0.129,0.15666,0.15957,0.00291,NA,F_Sed_4m_R1_F1_08Oct18,2,1
FCR,10/8/18,50,35,4,1,0.0040715,2,1.7,2,0.151,0.15713,0.1593,0.00217,NA,F_Sed_4m_R1_F2_08Oct18,2,1
FCR,10/8/18,50,35,4,2,0.0040715,2,1.7,3,0.087,0.1573,0.15947,0.00217,NA,F_Sed_4m_R2_F3_08Oct18,2,1
FCR,10/8/18,50,35,4,2,0.0040715,2,1.7,4,0.135,0.15777,0.15971,0.00194,NA,F_Sed_4m_R2_F4_08Oct18,2,1
FCR,10/22/18,50,42,8,1,0.0040715,2,1.7,1,0.06,0.158,0.16849,0.01049,NA,F_Sed_8m_R1_F1_22Oct18,2,1
FCR,10/22/18,50,42,8,1,0.0040715,2,1.7,2,0.06,0.1577,0.16799,0.01029,NA,F_Sed_8m_R1_F2_22Oct18,2,1
FCR,10/22/18,50,42,8,2,0.0040715,2,1.7,3,0.06,0.15664,0.16767,0.01103,NA,F_Sed_8m_R2_F3_22Oct18,2,1
FCR,10/22/18,50,42,8,2,0.0040715,2,1.7,4,0.06,0.1564,0.1663,0.0099,NA,F_Sed_8m_R2_F4_22Oct18,2,1
FCR,10/29/18,50,7,8,1,0.0040715,2,1.7,1,0.097,0.15523,0.16098,0.00575,NA,F_Sed_8m_R1_F1_29Oct18,2,1
FCR,10/29/18,50,7,8,1,0.0040715,2,1.7,2,0.1,0.15554,0.16143,0.00589,NA,F_Sed_8m_R1_F2_29Oct18,2,1
FCR,10/29/18,50,7,8,2,0.0040715,2,1.7,3,0.1,0.15518,0.16143,0.00625,NA,F_Sed_8m_R2_F3_29Oct18,2,1
FCR,10/29/18,50,7,8,2,0.0040715,2,1.7,4,0.1,0.15368,0.15927,0.00559,NA,F_Sed_8m_R2_F4_29Oct18,2,1
FCR,10/29/18,50,21,4,1,0.0040715,2,1.7,1,0.1,0.15484,0.16116,0.00632,NA,F_Sed_4m_R1_F1_29Oct18,2,1
FCR,10/29/18,50,21,4,1,0.0040715,2,1.7,2,0.12,0.15522,0.16186,0.00664,NA,F_Sed_4m_R1_F2_29Oct18,2,1
FCR,10/29/18,50,21,4,2,0.0040715,2,1.7,3,0.151,0.15653,0.1645,0.00797,NA,F_Sed_4m_R2_F3_29Oct18,2,1
FCR,10/29/18,50,21,4,2,0.0040715,2,1.7,4,0.121,0.15406,0.16012,0.00606,NA,F_Sed_4m_R2_F4_29Oct18,2,1
FCR,4/29/19,50,14,4,1,0.0040715,2,1.7,1,0.2,0.1149,0.1262,0.0113,NA,F_sed_4m_R1_F1_29Apr19,2,1
FCR,4/29/19,50,14,4,1,0.0040715,2,1.7,2,0.2,0.1153,0.13,0.0147,NA,F_sed_4m_R1_F2_29Apr19,2,1
FCR,4/29/19,50,14,4,2,0.0040715,2,1.7,1,0.1,0.1153,0.1263,0.011,NA,F_sed_4m_R2_F1_29Apr19,2,1
FCR,4/29/19,50,14,4,2,0.0040715,2,1.7,2,0.1,0.1146,0.1251,0.0105,NA,F_sed_4m_R2_F2_29Apr19,2,1
FCR,4/29/19,50,14,8,1,0.0040715,2,1.7,1,0.1,0.1146,NA,NA,NA,F_sed_8m_R1_F1_29Apr19,2,2
FCR,4/29/19,50,14,8,1,0.0040715,2,1.7,2,0.1,0.1151,0.125,0.0099,NA,F_sed_8m_R1_F2_29Apr19,2,1
FCR,4/29/19,50,14,8,2,0.0040715,2,1.7,1,0.1,0.1157,0.1213,0.0056,NA,F_sed_8m_R2_F1_29Apr19,2,1
FCR,4/29/19,50,14,8,2,0.0040715,2,1.7,2,0.1,0.1147,0.1226,0.0079,NA,F_sed_8m_R2_F2_29Apr19,2,1
BVR,4/29/19,50,21,5,1,0.0040715,2,1.7,1,0.2,0.1153,0.1321,0.0168,NA,B_sed_5m_R1_F1_29Apr19,2,1
BVR,4/29/19,50,21,5,1,0.0040715,2,1.7,2,0.1,0.1149,0.1238,0.0089,NA,B_sed_5m_R1_F2_29Apr19,2,1
BVR,4/29/19,50,21,5,2,0.0040715,2,1.7,1,0.1,0.1145,0.1232,0.0087,NA,B_sed_5m_R2_F1_29Apr19,2,1
BVR,4/29/19,50,21,5,2,0.0040715,2,1.7,2,0.1,0.1149,0.1221,0.0072,NA,B_sed_5m_R2_F2_29Apr19,2,1
BVR,4/29/19,50,21,10,1,0.0040715,2,1.7,1,0.1,0.1165,0.1246,0.0081,NA,B_sed_10m_R1_F1_29Apr19,2,1
BVR,4/29/19,50,21,10,1,0.0040715,2,1.7,2,0.1,0.1154,0.1238,0.0084,NA,B_sed_10m_R1_F2_29Apr19,2,1
BVR,4/29/19,50,21,10,2,0.0040715,2,1.7,1,0.1,0.1149,0.123,0.0081,NA,B_sed_10m_R2_F1_29Apr19,2,1
BVR,4/29/19,50,21,10,2,0.0040715,2,1.7,2,0.1,0.1147,0.1245,0.0098,NA,B_sed_10m_R2_F2_29Apr19,2,1
FCR,5/13/19,50,14,4,1,0.0040715,2,1.7,1,0.2,0.1132,0.1209,0.0077,NA,F_sed_4m_R1_F1_13May19,2,1
FCR,5/13/19,50,14,4,1,0.0040715,2,1.7,2,0.2,0.1128,0.1203,0.0075,NA,F_sed_4m_R1_F2_13May19,2,1
FCR,5/13/19,50,14,4,2,0.0040715,2,1.7,1,0.2,0.1131,0.12,0.0069,NA,F_sed_4m_R2_F1_13May19,2,1
FCR,5/13/19,50,14,4,2,0.0040715,2,1.7,2,0.2,0.1141,0.121,0.0069,NA,F_sed_4m_R2_F2_13May19,2,1
FCR,5/13/19,50,14,8,1,0.0040715,2,1.7,1,0.2,0.1139,0.1227,0.0088,NA,F_sed_8m_R1_F1_13May19,2,1
FCR,5/13/19,50,14,8,1,0.0040715,2,1.7,2,0.2,0.1136,0.1231,0.0095,NA,F_sed_8m_R1_F2_13May19,2,1
FCR,5/13/19,50,14,8,2,0.0040715,2,1.7,1,0.2,0.1135,0.1232,0.0097,NA,F_sed_8m_R2_F1_13May19,2,1
FCR,5/13/19,50,14,8,2,0.0040715,2,1.7,2,0.2,0.1135,0.1236,0.0101,NA,F_sed_8m_R2_F2_13May19,2,1
BVR,5/16/19,50,17,5,1,0.0040715,2,1.7,1,0.4,0.1147,0.1271,0.0124,NA,B_sed_5m_R1_F1_16May19,2,1
BVR,5/16/19,50,17,5,1,0.0040715,2,1.7,2,0.4,0.1147,0.1284,0.0137,NA,B_sed_5m_R1_F2_16May19,2,1
BVR,5/16/19,50,17,5,2,0.0040715,2,1.7,1,0.3,0.1136,0.1223,0.0087,NA,B_sed_5m_R2_F1_16May19,2,1
BVR,5/16/19,50,17,5,2,0.0040715,2,1.7,2,0.3,0.1143,0.124,0.0097,NA,B_sed_5m_R2_F2_16May19,2,1
BVR,5/16/19,50,17,10,1,0.0040715,2,1.7,1,0.2,0.1156,0.1305,0.0149,NA,B_sed_10m_R1_F1_16May19,2,1
BVR,5/16/19,50,17,10,1,0.0040715,2,1.7,2,0.2,0.1144,0.1275,0.0131,NA,B_sed_10m_R1_F2_16May19,2,1
BVR,5/16/19,50,17,10,2,0.0040715,2,1.7,1,0.2,0.1148,0.1241,0.0093,NA,B_sed_10m_R2_F1_16May19,2,1
BVR,5/16/19,50,17,10,2,0.0040715,2,1.7,2,0.2,0.1141,0.1253,0.0112,NA,B_sed_10m_R2_F2_16May19,2,1
FCR,5/27/19,50,14,4,1,0.0040715,2,1.7,1,0.3,0.1138,0.123,0.0092,NA,F_sed_4m_R1_F1_27May19,2,1
FCR,5/27/19,50,14,4,1,0.0040715,2,1.7,2,0.3,0.1136,0.1219,0.0083,NA,F_sed_4m_R1_F2_27May19,2,1
FCR,5/27/19,50,14,4,2,0.0040715,2,1.7,1,0.3,0.1152,0.1246,0.0094,NA,F_sed_4m_R2_F1_27May19,2,1
FCR,5/27/19,50,14,4,2,0.0040715,2,1.7,2,0.3,0.114,0.1236,0.0096,NA,F_sed_4m_R2_F2_27May19,2,1
FCR,5/27/19,50,14,8,1,0.0040715,2,1.7,1,0.2,0.1138,0.1228,0.009,NA,F_sed_8m_R1_F1_27May19,2,1
FCR,5/27/19,50,14,8,1,0.0040715,2,1.7,2,0.2,0.1158,0.122,0.0062,NA,F_sed_8m_R1_F2_27May19,2,1
FCR,5/27/19,50,14,8,2,0.0040715,2,1.7,1,0.2,0.1145,0.1226,0.0081,NA,F_sed_8m_R2_F1_27May19,2,1
FCR,5/27/19,50,14,8,2,0.0040715,2,1.7,2,0.2,0.1129,0.122,0.0091,NA,F_sed_8m_R2_F2_27May19,2,1
BVR,5/30/19,50,14,5,1,0.0040715,2,1.7,1,0.3,0.1142,NA,NA,NA,B_sed_5m_R1_F1_30May19,2,2
BVR,5/30/19,50,14,5,1,0.0040715,2,1.7,2,0.3,0.1133,0.1231,0.0098,NA,B_sed_5m_R1_F2_30May19,2,1
BVR,5/30/19,50,14,5,2,0.0040715,2,1.7,1,0.3,0.1138,0.1204,0.0066,NA,B_sed_5m_R2_F1_30May19,2,1
BVR,5/30/19,50,14,5,2,0.0040715,2,1.7,2,0.3,0.1151,0.1229,0.0078,NA,B_sed_5m_R2_F2_30May19,2,1
BVR,5/30/19,50,14,10,1,0.0040715,2,1.7,1,0.2,0.1146,NA,NA,NA,B_sed_10m_R1_F1_30May19,2,2
BVR,5/30/19,50,14,10,1,0.0040715,2,1.7,2,0.2,0.1152,0.1254,0.0102,NA,B_sed_10m_R1_F2_30May19,2,1
BVR,5/30/19,50,14,10,2,0.0040715,2,1.7,1,0.2,0.1143,0.126,0.0117,NA,B_sed_10m_R2_F1_30May19,2,1
BVR,5/30/19,50,14,10,2,0.0040715,2,1.7,2,0.2,0.1144,0.1257,0.0113,NA,B_sed_10m_R2_F2_30May19,2,1
FCR,6/10/19,50,14,4,1,0.0040715,2,1.7,1,0.205,0.115,0.1226,0.0076,NA,F_sed_4m_R1_F1_10Jun19,2,1
FCR,6/10/19,50,14,4,1,0.0040715,2,1.7,2,0.2,0.1149,0.1221,0.0072,NA,F_sed_4m_R1_F2_10Jun19,2,1
FCR,6/10/19,50,14,4,2,0.0040715,2,1.7,1,0.205,0.1154,0.1215,0.0061,NA,F_sed_4m_R2_F1_10Jun19,2,1
FCR,6/10/19,50,14,4,2,0.0040715,2,1.7,2,0.205,0.1138,0.12,0.0062,NA,F_sed_4m_R2_F2_10Jun19,2,1
FCR,6/10/19,50,14,8,1,0.0040715,2,1.7,1,0.2,0.1142,NA,NA,NA,F_sed_8m_R1_F1_10Jun19,2,2
FCR,6/10/19,50,14,8,1,0.0040715,2,1.7,2,0.2,0.1145,NA,NA,NA,F_sed_8m_R1_F2_10Jun19,2,2
FCR,6/10/19,50,14,8,2,0.0040715,2,1.7,1,0.19,0.1142,NA,NA,NA,F_sed_8m_R2_F1_10Jun19,2,2
FCR,6/10/19,50,14,8,2,0.0040715,2,1.7,2,0.2,0.1151,0.1266,0.0115,NA,F_sed_8m_R2_F2_10Jun19,2,1
BVR,6/13/19,50,14,5,1,0.0040715,2,1.7,1,0.4,0.115,0.1292,0.0142,NA,B_sed_5m_R1_F1_13Jun19,2,1
BVR,6/13/19,50,14,5,1,0.0040715,2,1.7,2,0.4,0.1141,0.1312,0.0171,NA,B_sed_5m_R1_F2_13Jun19,2,1
BVR,6/13/19,50,14,5,2,0.0040715,2,1.7,1,0.3,0.114,0.124,0.01,NA,B_sed_5m_R2_F1_13Jun19,2,1
BVR,6/13/19,50,14,5,2,0.0040715,2,1.7,2,0.3,0.1139,0.1243,0.0104,NA,B_sed_5m_R2_F2_13Jun19,2,1
BVR,6/13/19,50,14,10,1,0.0040715,2,1.7,1,0.2,0.114,0.1295,0.0155,NA,B_sed_10m_R1_F1_13Jun19,2,1
BVR,6/13/19,50,14,10,1,0.0040715,2,1.7,2,0.2,0.1141,0.1298,0.0157,NA,B_sed_10m_R1_F2_13Jun19,2,1
BVR,6/13/19,50,14,10,2,0.0040715,2,1.7,1,0.2,0.1142,0.1299,0.0157,NA,B_sed_10m_R2_F1_13Jun19,2,1
BVR,6/13/19,50,14,10,2,0.0040715,2,1.7,2,0.2,0.1135,0.127,0.0135,NA,B_sed_10m_R2_F2_13Jun19,2,1
FCR,6/17/19,50,7,4,1,0.0040715,2,1.7,1,0.3,0.1152,0.1198,0.0046,NA,F_sed_4m_R1_F1_17Jun19,2,1
FCR,6/17/19,50,7,4,1,0.0040715,2,1.7,2,0.3,0.1139,0.1185,0.0046,NA,F_sed_4m_R1_F2_17Jun19,2,1
FCR,6/17/19,50,7,4,2,0.0040715,2,1.7,1,0.3,0.115,0.1196,0.0046,NA,F_sed_4m_R2_F1_17Jun19,2,1
FCR,6/17/19,50,7,4,2,0.0040715,2,1.7,2,0.3,0.1132,0.1181,0.0049,NA,F_sed_4m_R2_F2_17Jun19,2,1
FCR,6/17/19,50,7,8,1,0.0040715,2,1.7,1,0.3,0.1148,0.1277,0.0129,NA,F_sed_8m_R1_F1_17Jun19,2,1
FCR,6/17/19,50,7,8,1,0.0040715,2,1.7,2,0.3,0.1159,0.1277,0.0118,NA,F_sed_8m_R1_F2_17Jun19,2,1
FCR,6/17/19,50,7,8,2,0.0040715,2,1.7,1,0.2,0.1153,0.1427,0.0274,NA,F_sed_8m_R2_F1_17Jun19,2,1
FCR,6/17/19,50,7,8,2,0.0040715,2,1.7,2,0.2,0.1142,0.1225,0.0083,NA,F_sed_8m_R2_F2_17Jun19,2,1
