"","Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP_ugL","Flag_TN_ugL","NH4_ugL","SRP_ugL","NO3NO2_ugL","Flag_NH4_ugL","Flag_SRP_ugL","Flag_NO3NO2_ugL","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Flag_DC_mgL","Flag_DIC_mgL","Flag_DOC_mgL","Flag_DN_mgL"
"183","CCR",201,2022-09-29 09:45:00,0.1,1,3.9,33.9,0,0,3,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"184","CCR",301,2022-09-29 10:34:00,0.1,1,5.2,137,0,0,0,7,3,8,0,0,0,1,3,4.1,0.11,0,0,0,0
"185","CCR",50,2022-09-29 12:30:00,0.1,1,5.9,165,0,0,0,3,1,1,3,3,3,2.7,8.6,11.3,0.14,0,0,0,0
"186","CCR",50,2022-09-29 12:37:00,1.5,1,3.5,131,0,3,0,5,2,0,0,3,3,2.6,8.8,11.4,0.17,0,0,0,0
"187","CCR",50,2022-09-29 12:55:00,6,1,8.5,149,0,0,0,4,1,1,3,3,3,2.8,8.6,11.3,0.15,0,0,0,0
"188","CCR",50,2022-09-29 13:07:00,9,1,6.2,148,0,0,0,3,1,20,3,3,0,2.3,9.4,11.6,0.19,0,0,0,0
"189","CCR",50,2022-09-29 14:30:00,20,1,27.4,395,0,0,0,216,3,46,0,3,0,2.3,10.9,13.2,0.34,0,0,0,0
"190","CCR",50,2022-09-29 15:22:00,15,1,6,191,0,0,0,11,2,83,0,3,0,2,10.2,12.2,0.22,0,0,0,0
"191","CCR",201,2022-10-14 10:20:00,0.1,1,7.2,182,0,0,0,4,3,0,0,3,3,2,9.5,11.4,0.09,0,0,0,0
"192","CCR",301,2022-10-14 11:25:00,0.1,1,5.9,46.4,0,0,3,4,5,1,3,0,3,2,2.6,4.5,0.11,0,0,0,0
"193","CCR",400,2022-10-14 12:25:00,0.1,1,14.9,926,0,0,0,10,8,939,0,0,0,8.8,66.2,75.1,1.14,0,0,0,0
"194","CCR",50,2022-10-14 14:01:00,0.1,1,6.4,151,0,0,0,5,2,1,0,3,3,2.5,9.4,11.9,0.17,0,0,0,0
"195","CCR",50,2022-10-14 14:11:00,1.5,1,4,156,0,0,0,7,2,2,0,3,3,2.1,9.8,11.9,0.21,0,0,0,0
"196","CCR",50,2022-10-14 14:21:00,6,1,4.7,136,0,0,0,3,2,3,3,3,3,2.6,9.5,12.1,0.15,0,0,0,0
"197","CCR",50,2022-10-14 14:31:00,9,1,6.7,160,0,0,0,5,3,7,0,0,0,2.5,9.3,11.8,0.16,0,0,0,0
"198","CCR",50,2022-10-14 14:45:00,15,1,6.7,201,0,0,0,5,3,112,0,3,0,2.2,10,12.1,0.22,0,0,0,0
"199","CCR",201,2022-11-17 09:30:00,0.1,1,7.6,133,0,0,0,5,6,57,0,0,0,3.1,3.4,6.5,0.17,0,0,0,0
"200","CCR",501,2022-11-17 10:30:00,0.1,1,22.7,650,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"201","CCR",301,2022-11-17 11:00:00,0.1,1,-0.7,45.2,0,3,3,4,3,17,3,0,0,2.3,0.5,2.8,0.14,0,3,0,0
"202","CCR",400,2022-11-17 11:30:00,0.1,1,39.9,1250,0,0,0,31,15,1150,0,0,0,NA,NA,NA,NA,0,0,0,0
"203","CCR",50,2022-11-17 13:23:00,0.1,1,14.1,229,0,0,0,20,4,39,0,0,0,3.2,10.8,14,0.26,0,0,0,0
"204","CCR",50,2022-11-17 13:28:00,1.5,1,8.8,198,0,0,0,16,5,38,0,0,0,3.2,10.8,14,0.26,0,0,0,0
"205","CCR",50,2022-11-17 13:34:00,6,1,14,210,0,0,0,22,4,42,0,0,0,3.2,10.8,14,0.31,0,0,0,0
"206","CCR",50,2022-11-17 13:39:00,9,1,10.3,184,0,0,0,21,6,44,0,0,0,3,11.2,14.2,0.27,0,0,0,0
"207","CCR",50,2022-11-17 13:45:00,21,1,31.4,366,0,0,0,38,8,141,0,0,0,3.7,14.2,17.9,0.36,0,0,0,0
"208","FCR",100,2022-01-26 11:25:00,0.1,1,NA,NA,0,0,0,8,12,1,0,0,3,1.8,4,5.8,0.06,0,0,0,0
"209","FCR",50,2022-01-31 10:55:00,1.6,1,18.3,340,0,0,0,11,5,5,0,0,0,4,4.7,8.7,0.28,0,0,0,0
"210","FCR",50,2022-01-31 11:05:00,0.1,1,NA,NA,0,0,0,12,5,3,0,0,3,3.6,4.5,8.1,0.24,0,0,0,0
"211","FCR",50,2022-01-31 11:16:00,3.8,1,21.7,319,0,0,0,16,4,4,0,0,3,4.3,4.8,9,0.27,0,0,0,0
"212","FCR",50,2022-01-31 11:23:00,5,1,23.3,349,0,0,0,17,4,5,0,0,0,3.7,4.7,8.5,0.25,0,0,0,0
"213","FCR",50,2022-01-31 11:30:00,6.2,1,NA,NA,0,0,0,42,4,8,0,0,0,3.4,4.6,8,0.27,0,0,0,0
"214","FCR",50,2022-01-31 11:35:00,8,1,NA,NA,0,0,0,215,3,9,0,0,0,3.9,5.2,9.1,0.41,0,0,0,0
"215","FCR",50,2022-01-31 11:42:00,9,1,NA,NA,0,0,0,324,4,9,0,0,0,3.5,5.4,8.9,0.54,0,0,0,0
"216","FCR",50,2022-02-24 12:52:00,1.6,1,NA,NA,0,0,0,14,5,5,0,0,0,3.5,4.2,7.8,0.22,0,0,0,0
"217","FCR",50,2022-02-24 13:00:00,0.1,1,NA,NA,0,0,0,16,5,3,0,0,3,3.3,4,7.4,0.22,0,0,0,0
"218","FCR",50,2022-02-24 13:07:00,3.8,1,NA,NA,0,0,0,14,5,5,0,0,0,3.5,4.2,7.8,0.25,0,0,0,0
"219","FCR",50,2022-02-24 13:14:00,5,1,27.4,315,0,0,0,9,9,2,0,0,3,3.5,4.1,7.6,0.23,0,0,0,0
"220","FCR",50,2022-02-24 13:18:00,6.2,1,21.1,304,0,0,0,14,4,3,0,0,3,3.5,4,7.5,0.21,0,0,0,0
"221","FCR",50,2022-02-24 13:23:00,8,1,NA,NA,0,0,0,18,2,3,0,3,3,3.4,4.1,7.4,0.2,0,0,0,0
"222","FCR",50,2022-02-24 13:28:00,9,1,18.5,288,0,0,0,8,3,2,0,0,3,3.3,4.1,7.4,0.19,0,0,0,0
"223","FCR",50,2022-03-17 10:50:00,0.1,1,NA,NA,0,0,0,8,4,0,0,0,43,3.3,4.1,7.4,0.19,0,0,0,0
"224","FCR",50,2022-03-17 11:00:00,1.6,1,NA,NA,0,0,0,5,2,2,0,3,3,3.3,4.4,7.7,0.19,0,0,0,0
"225","FCR",50,2022-03-17 11:10:00,3.8,1,NA,NA,0,0,0,12,5,2,0,0,3,3.4,4.5,7.8,0.2,0,0,0,0
"226","FCR",50,2022-03-17 11:18:00,5,1,NA,NA,0,0,0,10,6,4,0,0,3,3.4,4.1,7.4,0.21,0,0,0,0
"227","FCR",50,2022-03-17 11:22:00,6.2,1,NA,NA,0,0,0,9,4,6,0,0,0,3.6,4.4,8,0.24,0,0,0,0
"228","FCR",50,2022-03-17 11:30:00,8,1,NA,NA,0,0,0,7,3,1,0,0,3,3.2,4.3,7.6,0.2,0,0,0,0
"229","FCR",50,2022-03-17 11:40:00,9,1,NA,NA,0,0,0,10,4,0,0,0,43,4,4.1,8,0.21,0,0,0,0
"230","FCR",100,2022-03-17 12:00:00,0.1,1,15.2,124,0,0,0,4,9,2,3,0,3,1.6,3.9,5.5,0.1,0,0,0,0
"231","FCR",200,2022-03-17 12:00:00,0.1,1,34.7,159,1,0,0,19,5,30,0,0,0,2,3.5,5.5,0.13,0,0,0,0
"232","FCR",50,2022-03-29 10:10:00,0.1,1,23.2,281,0,0,0,16,4,7,0,0,0,4.6,4.4,9,0.27,0,0,0,0
"233","FCR",50,2022-03-29 10:25:00,1.6,1,24.4,295,0,0,0,11,9,5,0,0,0,3.7,3.4,7,0.21,0,0,0,0
"234","FCR",50,2022-03-29 10:35:00,3.8,1,23.9,311,0,0,0,10,7,3,0,0,3,3.7,4,7.7,0.22,0,0,0,0
"235","FCR",50,2022-03-29 10:40:00,5,1,24.7,175,0,0,0,11,6,6,0,0,0,3.1,4,7,0.16,0,0,0,0
"236","FCR",50,2022-03-29 10:45:00,6.2,1,22,318,0,0,0,17,4,7,0,0,0,3.9,4.5,8.4,0.21,0,0,0,0
"237","FCR",50,2022-03-29 10:50:00,8,1,21.5,284,0,0,0,11,3,7,0,3,0,3.9,4.4,8.2,0.21,0,0,0,0
"238","FCR",50,2022-03-29 11:00:00,9,1,25.7,347,0,0,0,26,3,4,0,0,0,3.6,4.3,7.9,0.22,0,0,0,0
"239","FCR",50,2022-04-12 10:47:00,0.1,1,NA,NA,0,0,0,14,10,6,0,0,0,3.5,3.9,7.4,0.22,0,0,0,0
"240","FCR",50,2022-04-12 11:00:00,1.6,1,27,417,0,0,0,13,5,11,0,0,0,3,4,7,0.17,0,0,0,0
"241","FCR",50,2022-04-12 11:10:00,3.8,1,NA,NA,0,0,0,10,6,3,0,0,3,3.7,2.5,6.2,0.17,0,0,0,0
"242","FCR",50,2022-04-12 11:26:00,5,1,26.4,320,0,0,0,10,5,4,0,0,0,2.9,4,6.9,0.18,0,0,0,0
"243","FCR",50,2022-04-12 11:34:00,6.2,1,NA,NA,0,0,0,23,4,8,0,0,0,3.4,4.2,7.7,0.24,0,0,0,0
"244","FCR",50,2022-04-12 11:48:00,8,1,NA,NA,0,0,0,26,6,5,0,0,0,3.3,4.1,7.4,0.26,0,0,0,0
"245","FCR",50,2022-04-12 11:59:00,9,1,NA,NA,0,0,0,75,3,10,0,0,0,4,3.1,7,0.23,0,0,0,0
"246","FCR",50,2022-04-19 10:01:00,0.1,1,26.8,294,0,0,0,7,6,3,0,0,3,3.1,3.9,7,0.16,0,0,0,0
"247","FCR",50,2022-04-19 10:11:00,1.6,1,NA,NA,0,0,0,9,7,4,0,0,0,3.8,4,7.8,0.22,0,0,0,0
"248","FCR",50,2022-04-19 10:19:00,3.8,1,NA,NA,0,0,0,13,10,4,0,0,0,3.9,3.8,7.7,0.27,0,0,0,0
"249","FCR",50,2022-04-19 10:28:00,5,1,NA,NA,0,0,0,7,6,2,0,0,3,2.9,3.9,6.8,0.16,0,0,0,0
"250","FCR",50,2022-04-19 10:34:00,6.2,1,NA,NA,0,0,0,13,3,3,0,3,3,3.7,3,6.7,0.17,0,0,0,0
"251","FCR",50,2022-04-19 10:48:00,8,1,NA,NA,0,0,0,36,5,4,0,0,3,2.6,4.2,6.8,0.19,0,0,0,0
"252","FCR",50,2022-04-19 11:01:00,9,1,NA,NA,0,0,0,90,6,5,0,0,0,2.6,4.3,6.9,0.26,0,0,0,0
"253","FCR",100.1,2022-04-19 12:00:00,0.1,1,149,497,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"254","FCR",100,2022-04-19 12:45:00,0.1,1,NA,NA,0,0,0,5,11,2,0,0,3,2.1,3.3,5.4,0.09,0,0,0,0
"255","FCR",200,2022-04-19 13:36:00,0.1,1,NA,NA,0,0,0,17,11,25,0,0,0,2.4,3.6,6,0.15,0,0,0,0
"256","FCR",100,2022-05-02 12:00:00,0.1,1,NA,NA,0,0,0,5,14,2,0,0,3,3.2,3.1,6.2,0.1,0,0,0,0
"257","FCR",200,2022-05-02 12:00:00,0.1,1,NA,NA,0,0,0,31,10,9,0,0,0,2.4,4.3,6.6,0.1,0,0,0,0
"258","FCR",50,2022-05-02 14:20:00,0.1,1,26.2,333,0,0,0,7,8,0,0,0,43,3.6,3.9,7.5,0.2,0,0,0,0
"259","FCR",50,2022-05-02 14:35:00,1.6,1,22.6,253,0,0,0,15,9,3,0,0,3,11.9,4,15.9,0.32,0,0,0,0
"260","FCR",50,2022-05-02 14:50:00,3.8,1,28.5,384,0,0,0,21,6,12,0,0,0,5.7,3,8.7,0.32,0,0,0,0
"261","FCR",50,2022-05-02 15:00:00,5,1,32.5,438,0,0,0,6,11,0,0,0,3,3.5,3.7,7.2,0.21,0,0,0,0
"262","FCR",50,2022-05-02 15:13:00,6.2,1,22.5,317,0,0,0,5,8,0,0,0,3,2.8,3.8,6.7,0.18,0,0,0,0
"263","FCR",50,2022-05-02 15:20:00,8,1,15.4,237,0,0,0,24,4,6,0,0,0,2.2,4.5,6.7,0.17,0,0,0,0
"264","FCR",50,2022-05-02 15:28:00,9,1,25.6,400,0,0,0,93,6,4,0,0,0,3.2,4.8,8.1,0.29,0,0,0,0
"265","FCR",100,2022-05-02 16:22:00,0.1,1,31.8,173,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"266","FCR",100.1,2022-05-02 16:22:00,0.1,1,40.8,354,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"267","FCR",200,2022-05-02 16:55:00,0.1,1,83.8,275,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"268","FCR",100,2022-05-09 09:45:00,0.1,1,8.9,87.3,0,0,0,11,13,5,0,0,0,1.6,4.4,6,0.09,0,0,0,0
"269","FCR",100.1,2022-05-09 09:45:00,0.1,1,2.7,325.6,0,3,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"270","FCR",200,2022-05-09 10:45:00,0.1,1,47.2,157,0,0,0,33,9,10,0,0,0,2.1,4.2,6.2,0.11,0,0,0,0
"271","FCR",50,2022-05-09 11:50:00,0.1,1,22.9,311,0,0,0,10,5,4,0,0,0,3.8,4.4,8.2,0.21,0,0,0,0
"272","FCR",50,2022-05-09 12:06:00,1.6,1,23.1,290,0,0,0,9,6,2,0,0,3,3.1,3.9,7,0.14,0,0,0,0
"273","FCR",50,2022-05-09 12:20:00,3.8,1,28.6,338,0,0,0,14,8,4,0,0,0,3.2,4.2,7.4,0.25,0,0,0,0
"274","FCR",50,2022-05-09 12:32:00,5,1,33,384,0,0,0,7,7,4,0,0,3,3.8,4.1,7.9,0.2,0,0,0,0
"275","FCR",50,2022-05-09 12:44:00,6.2,1,21.6,301,0,0,0,15,5,4,0,0,0,2.9,4.7,7.6,0.2,0,0,0,0
"276","FCR",50,2022-05-09 12:58:00,8,1,29.1,299,0,0,0,11,6,3,0,0,3,2.5,4.5,7,0.17,0,0,0,0
"277","FCR",50,2022-05-09 13:14:00,9,1,23.2,293,0,0,0,28,4,2,0,0,3,2.5,4.3,6.9,0.19,0,0,0,0
"278","FCR",50,2022-05-17 14:30:00,0.1,1,18.2,321,0,0,0,5,6,2,0,0,3,4.1,4.5,8.6,0.24,0,0,0,0
"279","FCR",50,2022-05-17 14:45:00,1.6,1,18.3,382,0,0,0,5,6,0,0,0,3,4.4,4.2,8.7,0.2,0,0,0,0
"280","FCR",50,2022-05-17 14:54:00,3.8,1,25.6,368,0,0,0,11,5,2,0,0,3,3.9,4,8,0.22,0,0,0,0
"281","FCR",50,2022-05-17 15:03:00,5,1,42.8,530,0,0,0,18,4,8,0,0,0,4.5,4.5,9,0.29,0,0,0,0
"282","FCR",50,2022-05-17 15:15:00,6.2,1,46.7,655,0,0,0,21,6,5,0,0,0,3.6,4.6,8.2,0.2,0,0,0,0
"283","FCR",50,2022-05-17 15:25:00,8,1,23,279,0,0,0,30,2,2,0,3,3,2.8,5,7.8,0.2,0,0,0,0
"284","FCR",50,2022-05-17 15:32:00,9,1,15.8,808,0,0,0,591,7,3,0,0,3,3,5.7,8.7,0.66,0,0,0,0
"285","FCR",100,2022-05-17 16:34:00,0.1,1,15.6,140,0,0,0,2,12,1,3,0,3,1.7,5,6.8,0.12,0,0,0,0
"286","FCR",100.1,2022-05-17 16:34:00,0.1,1,126,161,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"287","FCR",200,2022-05-17 17:02:00,0.1,1,57.4,243,0,0,0,29,8,21,0,0,0,2.8,5.1,7.9,0.19,0,0,0,0
"288","FCR",50,2022-05-23 09:51:00,0.1,1,22.4,552,0,0,0,7,7,1,0,0,3,3.8,4.7,8.5,0.2,0,0,0,0
"289","FCR",50,2022-05-23 10:03:00,1.6,1,22.4,593,0,0,0,8,8,2,0,0,3,4.1,4.6,8.7,0.27,0,0,0,0
"290","FCR",50,2022-05-23 10:13:00,3.8,1,24.3,486,0,0,0,6,4,2,0,0,3,3.9,4.4,8.4,0.22,0,0,0,0
"291","FCR",50,2022-05-23 10:22:00,5,1,35.6,538,0,0,0,15,22,4,0,0,0,5,4.2,9.2,0.37,0,0,0,0
"292","FCR",50,2022-05-23 10:32:00,6.2,1,33.1,454,0,0,0,27,6,5,0,0,0,8.1,4.7,12.8,0.26,0,0,0,0
"293","FCR",50,2022-05-23 10:48:00,8,1,33,443,0,0,0,32,7,4,0,0,0,4,5.1,9,0.2,0,0,0,0
"294","FCR",50,2022-05-23 10:57:00,9,1,33.4,479,0,0,0,27,2,3,0,3,3,3.7,5.4,9.1,0.19,0,0,0,0
"295","FCR",100,2022-05-23 13:12:00,0.1,1,25.8,250,0,0,0,9,6,2,0,0,3,2.4,3.1,5.5,0.14,0,0,0,0
"296","FCR",100.1,2022-05-23 13:12:00,0.1,1,79,371,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"297","FCR",200,2022-05-23 13:57:00,0.1,1,84.8,318,0,0,0,36,7,9,0,0,0,4,5.8,9.8,0.22,0,0,0,0
"298","FCR",50,2022-05-31 09:48:00,0.1,1,21.4,542,0,0,0,6,7,3,0,0,3,3.4,3.3,6.6,0.2,0,0,0,0
"299","FCR",50,2022-05-31 09:57:00,1.6,1,28.6,572,0,0,0,15,8,2,0,0,3,4.5,3.7,8.2,0.3,0,0,0,0
"300","FCR",50,2022-05-31 10:08:00,3.8,1,27,361,0,0,0,6,6,2,0,0,3,3.6,4.4,8,0.22,0,0,0,0
"301","FCR",50,2022-05-31 10:17:00,5,1,29.8,448,0,0,0,32,4,2,0,0,3,3.2,4.1,7.3,0.18,0,0,0,0
"302","FCR",50,2022-05-31 10:20:00,6.2,1,31.5,442,0,0,0,38,4,5,0,0,0,3.5,4.9,8.4,0.19,0,0,0,0
"303","FCR",50,2022-05-31 10:44:00,8,1,39.8,504,0,0,0,36,5,8,0,0,0,12.2,5.6,17.8,0.29,0,0,0,0
"304","FCR",50,2022-05-31 11:00:00,9,1,40.3,510,0,0,0,40,6,7,0,0,0,3.5,5.8,9.3,0.22,0,0,0,0
"305","FCR",100,2022-05-31 12:05:00,0.1,1,26.1,342,0,0,0,7,8,12,0,0,0,2.9,3.1,6,0.17,0,0,0,0
"306","FCR",200,2022-05-31 12:33:00,0.1,1,46.8,261,0,0,0,30,12,50,0,0,0,2.1,4.1,6.2,0.18,0,0,0,0
"307","FCR",200,2022-06-07 12:00:00,0.1,1,NA,NA,0,0,0,39,8,32,0,0,0,3,5.3,8.2,0.18,0,0,0,0
"308","FCR",50,2022-06-07 13:25:00,0.1,1,26.1,769,0,0,0,12,17,3,0,0,3,7.7,3.2,10.9,0.44,0,0,0,0
"309","FCR",50,2022-06-07 13:42:00,1.6,1,44.7,1160,0,0,0,10,11,2,0,0,3,4.9,4.1,9,0.35,0,0,0,0
"310","FCR",50,2022-06-07 13:57:00,3.8,1,26.6,496,0,0,0,12,6,1,0,0,3,3.3,4.2,7.5,0.21,0,0,0,0
"311","FCR",50,2022-06-07 14:02:00,5,1,30.6,442,0,0,0,45,4,3,0,0,3,3.3,5,8.3,0.21,0,0,0,0
"312","FCR",50,2022-06-07 14:13:00,6.2,1,32.2,484,0,0,0,82,6,8,0,0,0,9.8,5.5,15.2,0.34,0,0,0,0
"313","FCR",50,2022-06-07 14:27:00,8,1,37.9,518,0,0,0,109,5,16,0,0,0,10.9,5.6,16.6,0.38,0,0,0,0
"314","FCR",50,2022-06-07 14:40:00,9,1,39.1,515,0,0,0,64,6,8,0,0,0,5,5.6,10.6,0.25,0,0,0,0
"315","FCR",100,2022-06-07 15:27:00,0.1,1,19.1,249,0,0,0,11,5,29,0,0,0,2.9,3.5,6.4,0.19,0,0,0,0
"316","FCR",100.1,2022-06-07 15:27:00,0.1,1,23.2,292,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"317","FCR",50,2022-06-13 09:45:00,0.1,1,23.9,889,0,0,0,19,8,4,0,0,3,5.2,3.6,8.8,0.3,0,0,0,0
"318","FCR",50,2022-06-13 09:55:00,1.6,1,18.8,356,0,0,0,16,6,3,0,0,3,2.8,4.8,7.6,0.18,0,0,0,0
"319","FCR",50,2022-06-13 10:06:00,3.8,1,25.3,405,0,0,0,18,5,1,0,0,3,2.4,4.3,6.7,0.21,0,0,0,0
"320","FCR",50,2022-06-13 10:15:00,5,1,27,482,0,0,0,89,4,5,0,0,0,6.3,4,10.3,0.29,0,0,0,0
"321","FCR",50,2022-06-13 10:32:00,6.2,1,27.5,475,0,0,0,132,8,1,0,0,3,2.8,4.8,7.6,0.33,0,0,0,0
"322","FCR",50,2022-06-13 10:41:00,8,1,31.6,443,0,0,0,121,3,6,0,0,0,7.5,6,13.5,0.34,0,0,0,0
"323","FCR",50,2022-06-13 11:01:00,9,1,26.2,537,0,0,0,115,3,4,0,3,0,3.9,6,9.9,0.33,0,0,0,0
"324","FCR",200,2022-06-13 15:02:00,0.1,1,57.7,224,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"325","FCR",100,2022-06-13 15:50:00,0.1,1,20,299,0,0,0,21,5,53,0,0,0,2.4,3.3,5.7,0.23,0,0,0,0
"326","FCR",100,2022-06-20 10:49:00,0.1,1,39,596,0,0,0,36,6,56,0,0,0,4,3.2,7.3,0.41,0,0,0,0
"327","FCR",100.1,2022-06-20 10:49:00,0.1,1,146,837,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"328","FCR",200,2022-06-20 11:15:00,0.1,1,48.3,103,0,0,0,45,8,39,0,0,0,2.1,5.2,7.3,0.16,0,0,0,0
"329","FCR",50,2022-06-20 12:49:00,0.1,1,28.2,808,0,0,0,21,9,5,0,0,0,5.3,3.3,8.6,0.44,0,0,0,0
"330","FCR",50,2022-06-20 13:07:00,1.6,1,26.1,816,0,0,0,14,8,3,0,0,3,4.7,3.8,8.5,0.34,0,0,0,0
"331","FCR",50,2022-06-20 13:20:00,3.8,1,22.9,324,0,0,0,52,5,2,0,0,3,3.5,3.7,7.2,0.24,0,0,0,0
"332","FCR",50,2022-06-20 13:31:00,5,1,30.4,373,0,0,0,139,4,3,0,0,3,3.1,4.3,7.4,0.26,0,0,0,0
"333","FCR",50,2022-06-20 13:40:00,6.2,1,22.6,384,0,0,0,154,5,9,0,0,0,4.8,5.5,10.3,0.3,0,0,0,0
"334","FCR",50,2022-06-20 13:49:00,9,1,47.9,749,0,0,0,429,4,6,0,0,0,3.4,6,9.4,0.54,0,0,0,0
"335","FCR",50,2022-06-20 14:12:00,8,1,43.4,529,0,0,0,214,4,6,0,0,0,3.1,5.9,9,0.34,0,0,0,0
"336","FCR",50,2022-06-27 09:43:00,0.1,1,41.1,1368,0,0,0,8,10,3,0,0,3,6,3.1,9.1,0.51,0,0,0,0
"337","FCR",50,2022-06-27 09:55:00,1.6,1,35.7,774,0,0,0,34,7,3,0,0,3,4,3.7,7.7,0.4,0,0,0,0
"338","FCR",50,2022-06-27 10:05:00,3.8,1,28.1,386,0,0,0,123,5,3,0,0,3,3,4.2,7.2,0.25,0,0,0,0
"339","FCR",50,2022-06-27 10:14:00,5,1,39.9,408,0,0,0,202,4,3,0,0,3,2.3,4.9,7.2,0.28,0,0,0,0
"340","FCR",50,2022-06-27 10:23:00,6.2,1,31.5,459,0,0,0,206,5,4,0,0,0,2.3,5.4,7.7,0.29,0,0,0,0
"341","FCR",50,2022-06-27 10:33:00,8,1,34.8,487,0,0,0,305,5,3,0,0,3,2.1,5.8,7.9,0.42,0,0,0,0
"342","FCR",50,2022-06-27 10:48:00,9,1,39.9,484,0,0,0,201,4,4,0,0,0,2.7,5.9,8.5,0.34,0,0,0,0
"343","FCR",200,2022-06-27 12:40:00,0.1,1,66.3,195,0,0,0,55,10,46,0,0,0,2.1,5.5,7.6,0.18,0,0,0,0
"344","FCR",100,2022-06-27 13:06:00,0.1,1,41.7,536,0,0,0,71,8,109,0,0,0,3.6,3.4,7,0.36,0,0,0,0
"345","FCR",100.1,2022-06-27 13:06:00,0.1,1,65.1,719,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"346","FCR",100,2022-07-05 10:11:00,0.1,1,26,644,0,0,0,27,12,531,0,0,0,1.9,4.9,6.7,0.59,0,0,0,0
"347","FCR",100.1,2022-07-05 10:11:00,0.1,1,102,682,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"348","FCR",50,2022-07-05 10:52:00,0.1,1,46,1422,0,0,0,8,12,5,0,0,0,7.8,3.3,11.1,0.79,0,0,0,0
"349","FCR",50,2022-07-05 11:10:00,1.6,1,34.7,660,0,0,0,141,10,8,0,0,0,4.9,1.6,6.5,0.42,0,0,0,0
"350","FCR",50,2022-07-05 11:20:00,3.8,1,36.1,521,0,0,0,162,9,3,0,0,3,4.1,4.8,8.9,0.41,0,0,0,0
"351","FCR",50,2022-07-05 11:33:00,5,1,43.4,537,0,0,0,301,4,5,0,0,0,3.1,5.5,8.5,0.42,0,0,0,0
"352","FCR",50,2022-07-05 11:48:00,6.2,1,39.5,471,0,0,0,299,4,5,0,0,0,2.6,5.6,8.2,0.42,0,0,0,0
"353","FCR",50,2022-07-05 12:05:00,8,1,37.4,486,0,0,0,286,4,4,0,0,0,4.2,1.5,5.7,0.33,0,0,0,0
"354","FCR",50,2022-07-05 12:20:00,9,1,40.3,481,0,0,0,317,5,8,0,0,0,2.3,6.4,8.7,0.43,0,0,0,0
"355","FCR",50,2022-07-11 09:55:00,0.1,1,45.3,1210,0,0,0,59,13,5,0,0,0,7.6,3.7,11.3,0.93,0,0,0,0
"356","FCR",50,2022-07-11 10:08:00,1.6,1,33.9,1120,0,0,0,42,10,1,0,0,3,7,3.9,10.9,0.64,0,0,0,0
"357","FCR",50,2022-07-11 10:25:00,3.8,1,47.7,621,0,0,0,145,8,1,0,0,3,3.6,4.8,8.3,0.39,0,0,0,0
"358","FCR",50,2022-07-11 10:48:00,5,1,60.1,463,0,0,0,344,5,4,0,0,0,2.4,5.5,8,0.42,0,0,0,0
"359","FCR",50,2022-07-11 11:04:00,6.2,1,43.9,524,0,0,0,422,5,6,0,0,0,2.8,5.8,8.6,0.69,0,0,0,0
"360","FCR",50,2022-07-11 11:18:00,8,1,45.6,517,0,0,0,404,6,3,0,0,3,1.9,6.5,8.4,0.52,0,0,0,0
"361","FCR",50,2022-07-11 11:50:00,9,1,40.7,562,0,0,0,412,6,4,0,0,0,2.8,6,8.8,0.62,0,0,0,0
"362","FCR",100,2022-07-18 10:00:00,0.1,1,34.4,377,0,0,0,18,19,248,0,0,0,1.7,5.2,6.9,0.32,0,0,0,0
"363","FCR",100.1,2022-07-18 10:00:00,0.1,1,175.2,1080,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"364","FCR",200,2022-07-18 10:00:00,0.1,1,70.8,215,0,0,0,48,10,31,0,0,0,2.4,6.2,8.7,0.22,0,0,0,0
"365","FCR",50,2022-07-18 10:46:00,0.1,1,35.7,831,0,0,0,41,13,7,0,0,0,7.1,3.8,10.8,0.62,0,0,0,0
"366","FCR",50,2022-07-18 10:50:00,1.6,1,50.9,819,0,0,0,33,6,5,0,0,0,6,3.6,9.6,0.55,0,0,0,0
"367","FCR",50,2022-07-18 11:00:00,3.8,1,43.1,591,0,0,0,122,6,3,0,0,3,3,5,8,0.34,0,0,0,0
