ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2021 - 11,0.4,"2,806.2","1,083.4",12.9,"8,261.3",11.8,-0.2,0.3,"1,143.9","2,926.2",0.6,-0.1,0.0,"7,636.8",938.4,2.0,0.0,0.3,0.6,0.1,0.2,19.6,0.0,0.0,0.0,-0.7,52.3,0.2,0.0
08/02/2021 - 12,0.3,"2,783.7","1,075.4",10.7,"7,975.3",-2.4,-0.4,0.3,"1,136.3","2,892.5",0.5,-0.2,0.0,"2,071.1",925.9,1.9,0.0,0.1,14.2,0.0,0.0,19.3,-0.1,0.0,0.0,-0.7,50.3,0.1,0.0
08/02/2021 - 13,0.4,"2,781.6","1,081.6",12.9,"8,351.0",10.8,-0.5,0.2,"1,147.9","2,953.8",0.6,-0.1,0.1,"8,177.8",914.9,2.0,0.1,0.3,1.3,0.1,0.3,19.6,0.1,0.0,0.0,-0.5,51.5,0.2,0.0
08/02/2021 - 14,0.4,"2,813.2","1,083.7",11.8,"8,081.4",-2.0,-0.5,0.3,"1,139.1","2,896.0",0.5,-0.2,0.1,"2,243.3",902.1,1.9,0.1,0.0,10.7,0.0,0.0,19.3,0.0,0.0,0.0,-0.6,49.2,0.2,0.0
08/02/2021 - 15,0.6,"3,918.3",917.0,75.6,"12,552.5",20.6,-0.3,0.1,"1,241.3","2,403.1",2.0,0.1,0.1,126.3,16.0,0.1,0.0,0.1,0.1,0.0,0.2,15.4,0.0,0.0,0.0,-0.7,18.2,0.3,0.0
08/02/2021 - 16,0.6,"3,978.5",906.9,14.3,"12,506.4",18.9,-0.4,0.2,"1,259.6","2,393.2",0.9,0.0,0.1,3.0,1.5,0.0,0.2,0.1,6.2,0.0,0.2,15.2,0.0,0.0,0.0,-0.6,19.4,0.3,0.0
08/09/2021 - 1,0.5,"3,427.1","1,170.2",17.1,"6,784.3",9.3,-0.3,0.2,"1,210.6","2,609.9",0.6,0.0,0.0,615.3,12.1,0.1,0.0,1.4,1.7,0.1,0.4,16.9,-0.1,0.0,0.0,-0.7,19.7,0.2,0.0
08/09/2021 - 2,0.5,"3,443.4","1,172.5",15.0,"6,831.7",1.5,0.0,3.7,"5,372.0","2,604.2",0.5,0.0,0.1,279.1,5.4,0.0,0.0,1.2,12.1,0.0,0.5,17.1,-0.1,0.0,0.0,-0.7,29.6,0.2,0.0
08/09/2021 - 3,0.5,"3,430.1","1,176.9",18.9,"6,850.8",16.3,0.1,0.3,"1,227.2","2,650.9",0.6,0.1,0.1,636.0,11.7,0.1,0.0,1.0,0.3,0.1,0.4,17.1,-0.1,0.0,0.0,-0.7,19.8,0.2,0.0
08/09/2021 - 4,0.5,"3,417.3","1,154.9",11.4,"6,741.3",1.1,-0.1,1.8,"3,044.0","2,558.0",0.5,-0.1,0.0,275.6,3.5,0.0,0.0,1.3,17.5,0.1,0.3,16.7,-0.1,0.0,0.0,-0.7,21.1,0.2,0.0
