ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick / Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm as SO4),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/15/2021 - 11,0.4,"2,567.2",964.4,9.6,"7,623.7",22.7,1.8,1.4,967.6,"2,334.6",0.9,0.0,0.2,"2,413.3",605.9,1.5,0.2,0.8,5.4,0.1,0.3,15.8,0.1,0.0,0.0,0.2,33.1,1.2,0.0
06/15/2021 - 12,0.4,"2,621.7",981.3,6.9,"7,544.5",10.0,1.8,1.5,"1,030.3","2,372.2",0.8,0.0,0.2,140.6,589.4,1.4,0.3,0.9,16.0,0.1,0.3,16.1,0.1,0.0,0.1,0.1,33.0,1.2,0.0
06/15/2021 - 13,0.4,"2,599.4",982.1,8.9,"7,733.4",21.5,2.3,1.4,986.6,"2,367.5",0.9,0.0,0.2,"2,534.8",641.4,1.6,0.2,0.8,4.2,0.1,0.2,15.9,0.1,0.0,0.0,0.0,32.8,1.1,0.0
06/15/2021 - 14,0.4,"2,597.6",976.8,5.4,"7,607.1",7.2,2.2,1.5,995.7,"2,400.9",0.8,0.0,0.2,236.9,638.4,1.5,0.2,0.4,10.3,0.1,0.2,16.2,0.0,0.0,0.0,0.0,32.9,1.0,0.0
06/15/2021 - 19,0.3,"2,080.0",681.4,25.2,"5,837.5",11.4,1.3,1.4,"1,165.3","1,361.3",1.0,0.1,0.2,187.9,13.7,0.1,0.1,0.6,10.7,0.1,0.2,9.3,0.0,0.0,0.1,0.0,15.0,1.7,0.0
06/15/2021 - 20,0.3,"2,078.2",667.3,13.4,"5,867.3",9.3,1.3,1.4,"1,140.2","1,327.4",0.8,0.1,0.1,104.0,1.9,0.0,0.1,0.4,7.5,0.1,0.3,9.1,0.0,0.0,0.0,0.0,15.1,1.2,0.0
06/15/2021 - 21,0.3,"2,082.3",682.1,22.4,"5,882.5",12.5,1.3,1.4,"1,160.9","1,366.8",0.9,0.1,0.1,188.8,15.9,0.1,0.1,0.5,5.2,0.1,0.1,9.3,0.0,0.0,0.0,0.0,15.2,1.2,0.0
06/15/2021 - 22,0.3,"2,077.2",673.0,12.3,"5,930.4",11.1,1.4,2.9,"2,955.8","1,347.4",0.7,0.1,0.1,104.6,7.3,0.1,0.1,0.7,10.9,0.1,0.3,9.2,0.0,0.0,0.0,0.0,15.8,1.3,0.0
06/15/2021 - 23,0.3,"1,965.0",687.2,14.4,"5,934.0",12.2,1.4,1.4,"1,121.1","1,449.4",0.8,0.0,0.1,232.6,61.3,0.1,0.1,0.3,3.1,0.1,0.1,9.9,0.0,0.0,0.0,-0.1,24.5,1.0,0.0
06/15/2021 - 24,0.3,"2,010.2",702.6,7.8,"5,984.5",8.2,1.4,1.6,"1,399.3","1,490.9",0.7,0.0,0.1,78.4,57.4,0.1,0.1,0.6,24.5,0.1,0.3,10.3,0.1,0.0,0.0,0.4,27.0,1.1,0.0
06/15/2021 - 25,0.3,"2,021.0",784.3,10.0,"6,314.2",8.2,0.9,1.7,"1,584.3","1,790.4",0.8,0.1,1.8,"9,323.7","1,043.3",1.9,0.3,0.5,40.4,0.3,0.4,12.3,0.2,0.0,0.0,0.2,63.1,1.4,0.0
06/15/2021 - 26,0.3,"1,971.6",762.2,15.1,"6,376.6",24.9,1.0,1.4,"1,267.1","1,721.1",0.9,0.1,0.2,"9,566.1","1,046.3",1.9,0.2,0.3,3.9,0.3,0.2,11.8,0.2,0.0,0.0,0.1,60.1,1.1,0.0
06/15/2021 - 27,0.3,"2,020.2",789.6,23.1,"6,466.6",27.2,1.0,1.6,"1,291.0","1,778.9",1.0,0.2,0.1,"12,482.2","1,068.8",1.9,0.3,0.5,7.0,0.3,0.3,12.3,0.2,0.0,0.0,0.1,66.1,1.3,0.0
06/15/2021 - 28,0.3,"1,966.8",749.0,8.6,"6,336.0",11.3,0.8,1.6,"1,581.3","1,724.8",0.8,0.1,0.2,"11,866.8","1,036.0",1.8,0.2,0.3,22.5,0.3,0.1,12.1,0.2,0.0,0.0,0.0,65.4,1.4,0.0
06/18/2021 - 1,0.5,"3,042.7","1,036.2",52.6,"9,109.1",45.2,1.6,1.4,"1,104.8","2,284.4",1.7,0.4,0.2,685.8,30.9,0.2,0.2,1.0,6.6,0.1,0.4,15.1,0.1,0.0,0.0,0.0,15.5,1.0,0.0
06/18/2021 - 2,0.6,"3,254.0",980.4,206.6,"9,316.6",37.2,1.9,5.3,"5,597.8","2,081.9",7.2,0.5,0.4,608.7,9.8,0.2,0.3,2.4,102.0,0.1,0.4,14.0,0.2,0.1,0.0,0.0,12.8,0.9,0.0
06/18/2021 - 3,0.6,"3,110.2","1,063.6",49.3,"9,270.9",40.9,1.9,1.5,"1,109.7","2,340.3",1.7,0.3,0.2,770.3,30.9,0.2,0.2,0.9,4.8,0.1,0.6,15.6,0.0,0.0,0.0,-0.1,17.2,1.0,0.0
06/18/2021 - 4,0.6,"3,197.7","1,047.7",73.3,"9,174.0",14.4,1.5,1.5,"1,193.4","2,224.1",2.0,0.3,0.2,530.7,7.7,0.2,0.1,0.8,4.3,0.1,0.4,15.3,0.2,0.0,0.0,-0.1,14.6,0.5,0.0
06/18/2021 - 5,0.5,"2,907.3","1,052.8",18.4,"7,856.9",11.8,1.6,1.4,922.1,"2,408.2",1.0,0.1,0.2,572.0,54.7,0.1,0.1,0.9,3.9,0.1,0.3,16.4,0.0,0.0,0.0,-0.1,25.6,0.5,0.0
06/18/2021 - 6,0.5,"2,957.7","1,055.3",9.0,"8,060.3",1.4,1.5,1.4,965.4,"2,398.0",0.8,0.1,0.2,157.6,11.9,0.0,0.1,0.5,2.9,0.1,0.4,16.2,0.3,0.0,0.0,0.1,23.5,0.4,0.0
06/18/2021 - 7,0.5,"2,868.3","1,073.0",16.6,"7,914.7",20.8,1.6,1.4,"1,033.6","2,528.5",1.0,0.1,0.2,"2,663.5",457.5,1.0,0.2,1.1,4.3,0.1,0.5,16.9,0.1,0.0,0.0,0.0,37.0,0.5,0.0
06/18/2021 - 8,0.5,"2,835.6","1,057.7",6.2,"7,828.6",1.1,1.6,1.4,"1,048.9","2,507.2",0.7,0.0,0.2,"2,024.8",535.5,1.1,0.1,0.2,3.9,0.1,0.5,17.1,0.2,0.0,0.0,-0.1,33.0,0.3,0.0
06/18/2021 - 9,0.5,"2,820.5","1,057.6",12.0,"7,840.8",17.0,1.6,1.4,"1,031.0","2,526.5",1.3,0.1,0.2,"2,460.0",585.2,1.3,0.2,0.8,2.8,0.1,0.3,17.1,0.1,0.0,0.0,-0.1,35.0,0.4,0.0
06/18/2021 - 10,0.4,"2,763.4","1,030.8",10.2,"7,788.0",-0.4,1.7,1.5,"1,027.5","2,433.4",0.7,0.0,0.2,433.9,543.8,1.2,0.1,0.2,5.2,0.1,0.4,16.6,0.6,0.0,0.0,-0.1,31.7,0.3,0.0
06/18/2021 - 11,0.4,"2,716.2","1,029.1",12.8,"7,879.0",14.2,1.7,1.5,"1,011.1","2,471.8",0.8,0.0,0.2,"2,725.3",681.4,1.6,0.2,0.7,4.1,0.1,0.4,16.7,0.1,0.0,0.0,-0.1,34.6,0.4,0.0
06/18/2021 - 12,0.4,"2,691.0","1,031.5",7.5,"7,735.1",-1.8,1.7,1.5,"1,057.0","2,498.8",0.6,0.0,0.2,45.3,691.6,1.6,0.1,0.1,3.3,0.1,0.4,16.8,0.3,0.0,0.0,-0.1,33.6,0.3,0.0
