"Reservoir","Date","Site","Duration_days","Depth_m","TrapRep","TrapXSA_m2","TrapVol_L","CollectionVol_L","FilterRep","FilterVol_L","FilterMassPre_g","FilterMassPost_g","SedMass_g","SedFlux_gm2d","FilterID","Flag_CollectionVol_L","Flag_SedMass_g","Flag_Duration_days"
"FCR",2018-07-23,50,14,8,2,0.0040715,1.8,1.7,3,0.053,0.15462,0.16027,0.006,3.3763062084644,"F_Sed_8m_R2_F3_23Jul18",2,1,1
"FCR",2018-07-23,50,14,8,2,0.0040715,1.8,1.7,4,0.052,0.15362,0.16027,0.007,4.01477436968043,"F_Sed_8m_R2_F4_23Jul18",2,1,1
"BVR",2018-08-02,50,14,8,1,0.0040715,1.8,1.7,1,0.055,0.15822,0.1625,0.004,2.16902095816501,"B_Sed_8m_R1_F1_02Aug18",2,1,1
"BVR",2018-08-02,50,14,8,1,0.0040715,1.8,1.7,2,0.056,0.1575,0.16222,0.005,2.66286055131865,"B_Sed_8m_R1_F2_02Aug18",2,1,1
"BVR",2018-08-02,50,14,8,2,0.0040715,1.8,1.7,3,0.066,0.1589,0.16398,0.005,2.25939683142188,"B_Sed_8m_R2_F3_02Aug18",2,1,1
"BVR",2018-08-02,50,14,8,2,0.0040715,1.8,1.7,4,0.059,0.15909,0.16452,0.005,2.52746086226855,"B_Sed_8m_R2_F4_02Aug18",2,1,1
"FCR",2018-08-13,50,21,8,1,0.0040715,1.8,1.7,1,0.046,0.16076,0.16372,0.003,1.29669731194647,"F_Sed_8m_R1_F1_13Aug18",2,1,1
"FCR",2018-08-13,50,21,8,1,0.0040715,1.8,1.7,2,0.053,0.15915,0.16352,0.004,1.50058053709529,"F_Sed_8m_R1_F2_13Aug18",2,1,1
"FCR",2018-08-13,50,21,8,2,0.0040715,1.8,1.7,3,0.086,0.15617,0.161,0.005,1.15597047189027,"F_Sed_8m_R2_F3_13Aug18",2,1,1
"FCR",2018-08-13,50,21,8,2,0.0040715,1.8,1.7,4,0.051,0.16111,0.16603,0.005,1.94928354083457,"F_Sed_8m_R2_F4_13Aug18",2,1,1
"FCR",2018-08-20,50,35,4,1,0.0040715,1.8,1.7,1,0.087,0.16162,0.166603,0.005,0.685610072983192,"F_Sed_4m_R1_F1_20Aug18",2,1,1
"FCR",2018-08-20,50,35,4,1,0.0040715,1.8,1.7,2,0.068,0.156,0.1666,0.011,1.92979070542622,"F_Sed_4m_R1_F2_20Aug18",2,1,1
"FCR",2018-08-20,50,35,4,2,0.0040715,1.8,1.7,3,0.076,0.15752,0.16035,0.003,0.470905865917403,"F_Sed_4m_R2_F3_20Aug18",2,1,1
"FCR",2018-08-20,50,35,4,2,0.0040715,1.8,1.7,4,0.08,0.15764,0.16199,0.004,0.596480763495377,"F_Sed_4m_R2_F4_20Aug18",2,1,1
"FCR",2018-08-27,50,14,8,1,0.0040715,1.8,1.7,1,0.05,0.16083,0.1674,0.007,4.17536534446764,"F_Sed_8m_R1_F1_27Aug18",2,1,1
"FCR",2018-08-27,50,14,8,1,0.0040715,1.8,1.7,2,0.05,0.15933,0.16548,0.006,3.57888458097226,"F_Sed_8m_R1_F2_27Aug18",2,1,1
"FCR",2018-08-27,50,14,8,2,0.0040715,1.8,1.7,3,0.05,0.15851,0.1636,0.005,2.98240381747689,"F_Sed_8m_R2_F3_27Aug18",2,1,1
"FCR",2018-08-27,50,14,8,2,0.0040715,1.8,1.7,4,0.052,0.1586,0.16367,0.005,2.86769597834316,"F_Sed_8m_R2_F4_27Aug18",2,1,1
"FCR",2018-09-03,50,14,4,1,0.0040715,1.8,1.7,1,0.072,0.15585,0.15847,0.003,1.24266825728204,"F_Sed_4m_R1_F1_03Sep18",2,1,1
"FCR",2018-09-03,50,14,4,1,0.0040715,1.8,1.7,2,0.07,0.15423,0.15702,0.003,1.27817306463295,"F_Sed_4m_R1_F2_03Sep18",2,1,1
"FCR",2018-09-03,50,14,4,2,0.0040715,1.8,1.7,3,0.069,0.15583,0.15818,0.002,0.864464874630982,"F_Sed_4m_R2_F3_03Sep18",2,1,1
"FCR",2018-09-03,50,14,4,2,0.0040715,1.8,1.7,4,0.072,0.15588,0.15841,0.003,1.24266825728204,"F_Sed_4m_R2_F4_03Sep18",2,1,1
"BVR",2018-09-07,50,14,4,1,0.0040715,1.8,1.7,1,0.068,0.16233,0.16699,0.005,2.19294398343889,"B_Sed_4m_R1_F1_07Sep18",2,1,1
"BVR",2018-09-07,50,14,4,1,0.0040715,1.8,1.7,2,0.065,0.16169,0.16562,0.004,1.83532542613962,"B_Sed_4m_R1_F2_07Sep18",2,1,1
"BVR",2018-09-07,50,14,4,2,0.0040715,1.8,1.7,3,0.064,0.15515,0.15946,0.004,1.86400238592305,"B_Sed_4m_R2_F3_07Sep18",2,1,1
"BVR",2018-09-07,50,14,4,2,0.0040715,1.8,1.7,4,0.066,0.15509,0.15905,0.004,1.80751746513751,"B_Sed_4m_R2_F4_07Sep18",2,1,1
"BVR",2018-09-07,50,36,8,1,0.0040715,1.8,1.7,1,0.076,0.15778,0.1634,0.006,0.915650294839395,"B_Sed_8m_R1_F1_07Sep18",2,1,1
"BVR",2018-09-07,50,36,8,1,0.0040715,1.8,1.7,2,0.086,0.15565,0.16035,0.005,0.674316108602655,"B_Sed_8m_R1_F2_07Sep18",2,1,1
"BVR",2018-09-07,50,36,8,2,0.0040715,1.8,1.7,3,0.075,0.15804,0.16609,0.008,1.23714528724967,"B_Sed_8m_R2_F3_07Sep18",2,1,1
"BVR",2018-09-07,50,36,8,2,0.0040715,1.8,1.7,4,0.075,0.15684,0.16416,0.007,1.08250212634346,"B_Sed_8m_R2_F4_07Sep18",2,1,1
"FCR",2018-09-10,50,14,8,1,0.0040715,1.8,1.7,1,0.04,0.13756,0.17123,0.034,25.3504324485535,"F_Sed_8m_R1_F1_10Sep18",2,1,1
"FCR",2018-09-10,50,14,8,1,0.0040715,1.8,1.7,2,0.031,0.15445,0.1654,0.011,10.5827232233051,"F_Sed_8m_R1_F2_10Sep18",2,1,1
"FCR",2018-09-10,50,14,8,2,0.0040715,1.8,1.7,3,0.038,0.16009,0.16852,0.008,6.27874487889871,"F_Sed_8m_R2_F3_10Sep18",2,1,1
"FCR",2018-09-10,50,14,8,2,0.0040715,1.8,1.7,4,0.029,0.16099,0.16629,0.005,5.14207554737394,"F_Sed_8m_R2_F4_10Sep18",2,1,1
"BVR",2018-09-21,50,14,4,1,0.0040715,1.8,1.7,1,0.07,0.15985,0.16464,0.005,2.13028844105492,"B_Sed_4m_R1_F1_21Sep18",2,1,1
"BVR",2018-09-21,50,14,4,1,0.0040715,1.8,1.7,2,0.07,0.15867,0.16457,0.006,2.5563461292659,"B_Sed_4m_R1_F2_21Sep18",2,1,1
"BVR",2018-09-21,50,14,4,2,0.0040715,1.8,1.7,3,0.077,0.15931,0.16367,0.004,1.54930068440358,"B_Sed_4m_R2_F3_21Sep18",2,1,1
"BVR",2018-09-21,50,14,4,2,0.0040715,1.8,1.7,4,0.078,0.15813,0.16429,0.006,2.29415678267453,"B_Sed_4m_R2_F4_21Sep18",2,1,1
"BVR",2018-09-21,50,14,8,1,0.0040715,1.8,1.7,1,0.04,0.15899,0.16285,0.004,2.98240381747689,"B_Sed_8m_R1_F1_21Sep18",2,1,1
"BVR",2018-09-21,50,14,8,1,0.0040715,1.8,1.7,2,0.042,0.16089,NA,NA,NA,"B_Sed_8m_R1_F2_21Sep18",2,2,1
"BVR",2018-09-21,50,14,8,2,0.0040715,1.8,1.7,3,0.04,0.16186,NA,NA,NA,"B_Sed_8m_R2_F3_21Sep18",2,2,1
"BVR",2018-09-21,50,14,8,2,0.0040715,1.8,1.7,4,0.04,0.16017,0.16568,0.006,4.47360572621533,"B_Sed_8m_R2_F4_21Sep18",2,1,1
"BVR",2018-10-05,50,14,4,1,0.0040715,1.8,1.7,1,0.101,0.1582,0.16291,0.005,1.4764375334044,"B_Sed_4m_R1_F1_05Oct18",2,1,1
"BVR",2018-10-05,50,14,4,1,0.0040715,1.8,1.7,2,0.1,0.15794,0.1632,0.005,1.49120190873844,"B_Sed_4m_R1_F2_05Oct18",2,1,1
"BVR",2018-10-05,50,14,4,2,0.0040715,1.8,1.7,3,0.2,0.15838,0.16186,0.003,0.447360572621533,"B_Sed_4m_R2_F3_05Oct18",2,1,1
"BVR",2018-10-05,50,14,4,2,0.0040715,1.8,1.7,4,0.1,0.1584,0.16184,0.003,0.894721145243066,"B_Sed_4m_R2_F4_05Oct18",2,1,1
"BVR",2018-10-05,50,14,8,1,0.0040715,1.8,1.7,1,0.05,0.15613,0.16184,0.006,3.57888458097226,"B_Sed_8m_R1_F1_05Oct18",2,1,1
"BVR",2018-10-05,50,14,8,1,0.0040715,1.8,1.7,2,0.051,0.1365,0.16246,0.026,15.2044116185096,"B_Sed_8m_R1_F2_05Oct18",2,1,1
"BVR",2018-10-05,50,14,8,2,0.0040715,1.8,1.7,3,0.052,0.15742,0.16263,0.005,2.86769597834316,"B_Sed_8m_R2_F3_05Oct18",2,1,1
"BVR",2018-10-05,50,14,8,2,0.0040715,1.8,1.7,4,0.052,0.15698,0.16226,0.005,2.86769597834316,"B_Sed_8m_R2_F4_05Oct18",2,1,1
"FCR",2018-10-08,50,35,4,1,0.0040715,1.8,1.7,1,0.129,0.15666,0.15957,0.003,0.277432913253664,"F_Sed_4m_R1_F1_08Oct18",2,1,1
"FCR",2018-10-08,50,35,4,1,0.0040715,1.8,1.7,2,0.151,0.15713,0.1593,0.002,0.158008149270299,"F_Sed_4m_R1_F2_08Oct18",2,1,1
"FCR",2018-10-08,50,35,4,2,0.0040715,1.8,1.7,3,0.087,0.1573,0.15947,0.002,0.274244029193277,"F_Sed_4m_R2_F3_08Oct18",2,1,1
"FCR",2018-10-08,50,35,4,2,0.0040715,1.8,1.7,4,0.135,0.15777,0.15971,0.002,0.176735041035667,"F_Sed_4m_R2_F4_08Oct18",2,1,1
"FCR",2018-10-22,50,42,8,1,0.0040715,1.8,1.7,1,0.06,0.158,0.16849,0.01,1.65689100970938,"F_Sed_8m_R1_F1_22Oct18",2,1,1
"FCR",2018-10-22,50,42,8,1,0.0040715,1.8,1.7,2,0.06,0.1577,0.16799,0.01,1.65689100970938,"F_Sed_8m_R1_F2_22Oct18",2,1,1
"FCR",2018-10-22,50,42,8,2,0.0040715,1.8,1.7,3,0.06,0.15664,0.16767,0.011,1.82258011068032,"F_Sed_8m_R2_F3_22Oct18",2,1,1
"FCR",2018-10-22,50,42,8,2,0.0040715,1.8,1.7,4,0.06,0.1564,0.1663,0.01,1.65689100970938,"F_Sed_8m_R2_F4_22Oct18",2,1,1
"FCR",2018-10-29,50,7,8,1,0.0040715,1.8,1.7,1,0.097,0.15523,0.16098,0.006,3.6895717329611,"F_Sed_8m_R1_F1_29Oct18",2,1,1
"FCR",2018-10-29,50,7,8,1,0.0040715,1.8,1.7,2,0.1,0.15554,0.16143,0.006,3.57888458097226,"F_Sed_8m_R1_F2_29Oct18",2,1,1
"FCR",2018-10-29,50,7,8,2,0.0040715,1.8,1.7,3,0.1,0.15518,0.16143,0.006,3.57888458097226,"F_Sed_8m_R2_F3_29Oct18",2,1,1
"FCR",2018-10-29,50,7,8,2,0.0040715,1.8,1.7,4,0.1,0.15368,0.15927,0.006,3.57888458097226,"F_Sed_8m_R2_F4_29Oct18",2,1,1
"FCR",2018-10-29,50,21,4,1,0.0040715,1.8,1.7,1,0.1,0.15484,0.16116,0.006,1.19296152699075,"F_Sed_4m_R1_F1_29Oct18",2,1,1
"FCR",2018-10-29,50,21,4,1,0.0040715,1.8,1.7,2,0.12,0.15522,0.16186,0.007,1.15982370679657,"F_Sed_4m_R1_F2_29Oct18",2,1,1
"FCR",2018-10-29,50,21,4,2,0.0040715,1.8,1.7,3,0.151,0.15653,0.1645,0.008,1.05338766180199,"F_Sed_4m_R2_F3_29Oct18",2,1,1
"FCR",2018-10-29,50,21,4,2,0.0040715,1.8,1.7,4,0.121,0.15406,0.16012,0.006,0.985918617347731,"F_Sed_4m_R2_F4_29Oct18",2,1,1
"FCR",2019-04-29,50,14,4,1,0.0040715,1.8,1.7,1,0.2,0.1149,0.1262,0.011,1.64032209961229,"F_sed_4m_R1_F1_29Apr19",2,1,1
"FCR",2019-04-29,50,14,4,1,0.0040715,1.8,1.7,2,0.2,0.1153,0.13,0.015,2.23680286310766,"F_sed_4m_R1_F2_29Apr19",2,1,1
"FCR",2019-04-29,50,14,4,2,0.0040715,1.8,1.7,1,0.1,0.1153,0.1263,0.011,3.28064419922457,"F_sed_4m_R2_F1_29Apr19",2,1,1
"FCR",2019-04-29,50,14,4,2,0.0040715,1.8,1.7,2,0.1,0.1146,0.1251,0.01,2.98240381747689,"F_sed_4m_R2_F2_29Apr19",2,1,1
"FCR",2019-04-29,50,14,8,1,0.0040715,1.8,1.7,1,0.1,0.1146,NA,NA,NA,"F_sed_8m_R1_F1_29Apr19",2,2,1
"FCR",2019-04-29,50,14,8,1,0.0040715,1.8,1.7,2,0.1,0.1151,0.125,0.01,2.98240381747689,"F_sed_8m_R1_F2_29Apr19",2,1,1
"FCR",2019-04-29,50,14,8,2,0.0040715,1.8,1.7,1,0.1,0.1157,0.1213,0.006,1.78944229048613,"F_sed_8m_R2_F1_29Apr19",2,1,1
"FCR",2019-04-29,50,14,8,2,0.0040715,1.8,1.7,2,0.1,0.1147,0.1226,0.008,2.38592305398151,"F_sed_8m_R2_F2_29Apr19",2,1,1
"BVR",2019-04-29,50,21,5,1,0.0040715,1.8,1.7,1,0.2,0.1153,0.1321,0.017,1.69002882990357,"B_sed_5m_R1_F1_29Apr19",2,1,1
"BVR",2019-04-29,50,21,5,1,0.0040715,1.8,1.7,2,0.1,0.1149,0.1238,0.009,1.78944229048613,"B_sed_5m_R1_F2_29Apr19",2,1,1
"BVR",2019-04-29,50,21,5,2,0.0040715,1.8,1.7,1,0.1,0.1145,0.1232,0.009,1.78944229048613,"B_sed_5m_R2_F1_29Apr19",2,1,1
"BVR",2019-04-29,50,21,5,2,0.0040715,1.8,1.7,2,0.1,0.1149,0.1221,0.007,1.39178844815588,"B_sed_5m_R2_F2_29Apr19",2,1,1
"BVR",2019-04-29,50,21,10,1,0.0040715,1.8,1.7,1,0.1,0.1165,0.1246,0.008,1.59061536932101,"B_sed_10m_R1_F1_29Apr19",2,1,1
"BVR",2019-04-29,50,21,10,1,0.0040715,1.8,1.7,2,0.1,0.1154,0.1238,0.008,1.59061536932101,"B_sed_10m_R1_F2_29Apr19",2,1,1
"BVR",2019-04-29,50,21,10,2,0.0040715,1.8,1.7,1,0.1,0.1149,0.123,0.008,1.59061536932101,"B_sed_10m_R2_F1_29Apr19",2,1,1
"BVR",2019-04-29,50,21,10,2,0.0040715,1.8,1.7,2,0.1,0.1147,0.1245,0.01,1.98826921165126,"B_sed_10m_R2_F2_29Apr19",2,1,1
"FCR",2019-05-13,50,14,4,1,0.0040715,1.8,1.7,1,0.2,0.1132,0.1209,0.008,1.19296152699075,"F_sed_4m_R1_F1_13May19",2,1,1
"FCR",2019-05-13,50,14,4,1,0.0040715,1.8,1.7,2,0.2,0.1128,0.1203,0.008,1.19296152699075,"F_sed_4m_R1_F2_13May19",2,1,1
"FCR",2019-05-13,50,14,4,2,0.0040715,1.8,1.7,1,0.2,0.1131,0.12,0.007,1.04384133611691,"F_sed_4m_R2_F1_13May19",2,1,1
"FCR",2019-05-13,50,14,4,2,0.0040715,1.8,1.7,2,0.2,0.1141,0.121,0.007,1.04384133611691,"F_sed_4m_R2_F2_13May19",2,1,1
"FCR",2019-05-13,50,14,8,1,0.0040715,1.8,1.7,1,0.2,0.1139,0.1227,0.009,1.3420817178646,"F_sed_8m_R1_F1_13May19",2,1,1
"FCR",2019-05-13,50,14,8,1,0.0040715,1.8,1.7,2,0.2,0.1136,0.1231,0.009,1.3420817178646,"F_sed_8m_R1_F2_13May19",2,1,1
"FCR",2019-05-13,50,14,8,2,0.0040715,1.8,1.7,1,0.2,0.1135,0.1232,0.01,1.49120190873844,"F_sed_8m_R2_F1_13May19",2,1,1
"FCR",2019-05-13,50,14,8,2,0.0040715,1.8,1.7,2,0.2,0.1135,0.1236,0.01,1.49120190873844,"F_sed_8m_R2_F2_13May19",2,1,1
"BVR",2019-05-16,50,17,5,1,0.0040715,1.8,1.7,1,0.4,0.1147,0.1271,0.012,0.736829178435466,"B_sed_5m_R1_F1_16May19",2,1,1
"BVR",2019-05-16,50,17,5,1,0.0040715,1.8,1.7,2,0.4,0.1147,0.1284,0.014,0.859634041508044,"B_sed_5m_R1_F2_16May19",2,1,1
"BVR",2019-05-16,50,17,5,2,0.0040715,1.8,1.7,1,0.3,0.1136,0.1223,0.009,0.736829178435466,"B_sed_5m_R2_F1_16May19",2,1,1
"BVR",2019-05-16,50,17,5,2,0.0040715,1.8,1.7,2,0.3,0.1143,0.124,0.01,0.818699087150518,"B_sed_5m_R2_F2_16May19",2,1,1
"BVR",2019-05-16,50,17,10,1,0.0040715,1.8,1.7,1,0.2,0.1156,0.1305,0.015,1.84207294608867,"B_sed_10m_R1_F1_16May19",2,1,1
"BVR",2019-05-16,50,17,10,1,0.0040715,1.8,1.7,2,0.2,0.1144,0.1275,0.013,1.59646321994351,"B_sed_10m_R1_F2_16May19",2,1,1
"BVR",2019-05-16,50,17,10,2,0.0040715,1.8,1.7,1,0.2,0.1148,0.1241,0.009,1.1052437676532,"B_sed_10m_R2_F1_16May19",2,1,1
"BVR",2019-05-16,50,17,10,2,0.0040715,1.8,1.7,2,0.2,0.1141,0.1253,0.011,1.35085349379835,"B_sed_10m_R2_F2_16May19",2,1,1
"FCR",2019-05-27,50,14,4,1,0.0040715,1.8,1.7,1,0.3,0.1138,0.123,0.009,0.894721145243066,"F_sed_4m_R1_F1_27May19",2,1,1
"FCR",2019-05-27,50,14,4,1,0.0040715,1.8,1.7,2,0.3,0.1136,0.1219,0.008,0.795307684660503,"F_sed_4m_R1_F2_27May19",2,1,1
"FCR",2019-05-27,50,14,4,2,0.0040715,1.8,1.7,1,0.3,0.1152,0.1246,0.009,0.894721145243066,"F_sed_4m_R2_F1_27May19",2,1,1
"FCR",2019-05-27,50,14,4,2,0.0040715,1.8,1.7,2,0.3,0.114,0.1236,0.01,0.994134605825629,"F_sed_4m_R2_F2_27May19",2,1,1
"FCR",2019-05-27,50,14,8,1,0.0040715,1.8,1.7,1,0.2,0.1138,0.1228,0.009,1.3420817178646,"F_sed_8m_R1_F1_27May19",2,1,1
"FCR",2019-05-27,50,14,8,1,0.0040715,1.8,1.7,2,0.2,0.1158,0.122,0.006,0.894721145243066,"F_sed_8m_R1_F2_27May19",2,1,1
"FCR",2019-05-27,50,14,8,2,0.0040715,1.8,1.7,1,0.2,0.1145,0.1226,0.008,1.19296152699075,"F_sed_8m_R2_F1_27May19",2,1,1
"FCR",2019-05-27,50,14,8,2,0.0040715,1.8,1.7,2,0.2,0.1129,0.122,0.009,1.3420817178646,"F_sed_8m_R2_F2_27May19",2,1,1
"BVR",2019-05-30,50,14,5,1,0.0040715,1.8,1.7,1,0.3,0.1142,NA,NA,NA,"B_sed_5m_R1_F1_30May19",2,2,1
"BVR",2019-05-30,50,14,5,1,0.0040715,1.8,1.7,2,0.3,0.1133,0.1231,0.01,0.994134605825629,"B_sed_5m_R1_F2_30May19",2,1,1
"BVR",2019-05-30,50,14,5,2,0.0040715,1.8,1.7,1,0.3,0.1138,0.1204,0.007,0.69589422407794,"B_sed_5m_R2_F1_30May19",2,1,1
"BVR",2019-05-30,50,14,5,2,0.0040715,1.8,1.7,2,0.3,0.1151,0.1229,0.008,0.795307684660503,"B_sed_5m_R2_F2_30May19",2,1,1
"BVR",2019-05-30,50,14,10,1,0.0040715,1.8,1.7,1,0.2,0.1146,NA,NA,NA,"B_sed_10m_R1_F1_30May19",2,2,1
"BVR",2019-05-30,50,14,10,1,0.0040715,1.8,1.7,2,0.2,0.1152,0.1254,0.01,1.49120190873844,"B_sed_10m_R1_F2_30May19",2,1,1
"BVR",2019-05-30,50,14,10,2,0.0040715,1.8,1.7,1,0.2,0.1143,0.126,0.012,1.78944229048613,"B_sed_10m_R2_F1_30May19",2,1,1
"BVR",2019-05-30,50,14,10,2,0.0040715,1.8,1.7,2,0.2,0.1144,0.1257,0.011,1.64032209961229,"B_sed_10m_R2_F2_30May19",2,1,1
"FCR",2019-06-10,50,14,4,1,0.0040715,1.8,1.7,1,0.205,0.115,0.1226,0.008,1.16386490438122,"F_sed_4m_R1_F1_10Jun19",2,1,1
"FCR",2019-06-10,50,14,4,1,0.0040715,1.8,1.7,2,0.2,0.1149,0.1221,0.007,1.04384133611691,"F_sed_4m_R1_F2_10Jun19",2,1,1
