Date,Reservoir,Depth_m,AvgSedFlux_gm2d,TLiFlux_gm2d,TNaFlux_gm2d,TMgFlux_gm2d,TAlFlux_gm2d,TKFlux_gm2d,TCaFlux_gm2d,TFeFlux_gm2d,TMnFlux_gm2d,TCuFlux_gm2d,TSrFlux_gm2d,TBaFlux_gm2d,TOCFlux_gm2d,TNFlux_gm2d,Flag_AvgSedFlux_gm2d,Flag_TLiFlux_gm2d,Flag_TNaFlux_gm2d,Flag_TMgFlux_gm2d,Flag_TAlFlux_gm2d,Flag_TKFlux_gm2d,Flag_TCaFlux_gm2d,Flag_TFeFlux_gm2d,Flag_TMnFlux_gm2d,Flag_TCuFlux_gm2d,Flag_TSrFlux_gm2d,Flag_TBaFlux_gm2d,Flag_TOCFlux_gm2d,Flag_TNFlux_gm2d
2020-10-26,BVR,8,2.763739187661575,2.773191280287565e-4,0.008674444774162775,0.013613291531334365,0.0686940094597899,0.005614557527530585,0.0815262141417683,0.5380308085761365,0.009436194762942175,0.00012343015332903505,2.02982435438032e-4,0.001474398628581495,0.504017398405216,0.30772988388118,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2020-11-02,FCR,4,1.4519926267302514,2.0493108319345798e-4,0.00243724054799957,0.008946709328562655,0.03934316287400415,0.004794736440891005,0.05386440374443305,0.179502360164415,0.0358283676217424,3.532647072973975e-4,1.59664993247099e-4,0.0012063901755871098,0.419521879733104,0.210523117228263,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2020-11-02,FCR,8,6.351176352404401,4.545796029077375e-4,0.006363682684868385,0.0204978325469714,0.0869392400252028,0.009256318491480994,0.13400747328630394,1.675435579187225,0.05808061427481675,0.001344104520287071,3.566296707405725e-4,0.003783248367784895,0.991769107719003,0.48396009001437,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2020-11-09,FCR,4,3.108642800647461,4.5343564629057897e-4,0.008066960006565205,0.017384663018175497,0.0844897521033312,0.009860309903890285,0.10789163481759075,0.4169040834174005,0.0924329998337944,0.0012919295910647464,3.258454237053345e-4,0.002618587954844525,0.538989455115428,0.735768942952604,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2020-11-09,FCR,8,8.419390686333719,6.80126632767897e-4,0.01255863857992739,0.03137421006134135,0.217628641223888,0.01830858971930265,0.153326517303361,1.14104547686227,0.12468285084394651,0.00201195918573027,5.430295693819425e-4,0.005169859571720015,1.29797590836082,1.06350762302068,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-06-07,FCR,4,0.45403899855413726,2.05373251953083e-4,0.0021936646203696,0.00762656421773925,0.0345289326331482,0.004110708580288825,0.048344878355791945,0.07871331567642009,0.01366739099292435,1.23608321455387e-4,1.267833686321575e-4,6.366771725475295e-4,0.146637453404001,0.165846225038169,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-06-07,FCR,8,1.0286163532416306,2.311478685659775e-4,0.003964684425918125,0.00732064630053031,0.03536374844021875,0.005233547186488845,0.044914895601551,0.255898973817698,0.009472439345145045,1.460792758266325e-4,1.3637274796514848e-4,7.634113128458986e-4,0.228531704957557,0.286503620237239,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-06-21,FCR,4,0.4085094289642531,2.09594258130247e-4,0.00263809538527446,0.00504380535148686,0.0308588568104962,0.0031905224791470652,0.028680145829139046,0.1218454399424585,0.0255299477403734,1.4128736680559298e-4,1.0714830208240431e-4,9.7680129536839e-4,0.193712461385964,0.152689584845669,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-06-21,FCR,8,4.885547733774802,2.251014805856905e-4,0.00333691948381659,0.008486870954078785,0.03901115789833265,0.00451536954772581,0.04525081564227935,1.7925328977550952,0.02061209185588515,5.51743660724409e-4,2.653659393948575e-4,0.002815411320887205,0.760536616316673,0.271006994029345,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-06-28,BVR,10,2.7291881201284944,5.467477147873565e-4,0.006701724751933925,0.037746885009446535,0.19859582214703556,0.010748468017559465,0.209443027273824,0.9239685072302539,0.007732612896746455,1.87968729877205e-4,5.674953701354296e-4,0.00262443332018911,0.546775362261055,0.257162361792105,3,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-07-09,FCR,4,0.9467207021607595,1.872963119424345e-4,0.00187521217109122,0.01189211241692301,0.0452610182764013,0.0029149423369284402,0.0706326719644573,0.1591070322848515,0.009417643230624655,1.47318763849333e-4,1.9998943395168348e-4,0.0010150597598783905,0.26295389677911,0.0852764790494802,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-07-09,FCR,8,2.400918807908555,2.2910347335835949e-4,0.0027824578008938047,0.005975086699206665,0.028731079841438148,0.00283756534006271,0.0323128774304573,0.7351643096318835,0.01414133724418045,2.08622109124659e-4,1.45635837940213e-4,8.80544226034961e-4,0.425427970934577,0.20023784412451,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-07-12,BVR,10,2.5323985220308556,3.940011826999225e-4,0.0042910809861437995,0.008880167194531479,0.0715392119320385,0.0043125811169994945,0.0516064486402815,0.603052893323974,0.00480241014905943,1.45151892973063e-4,1.78291529718741e-4,0.0013628800839328701,0.466869435560012,0.192571499029742,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-07-21,FCR,4,1.2475957444421666,3.04394902886246e-4,0.0035123007719565147,0.00857567916518481,0.02921433025250725,0.004042936405438595,0.0561271204225906,0.33131833650652354,0.0266778705808006,1.73361773397997e-4,1.9479839677721e-4,0.0016841667929388751,0.467841779867816,0.207733986265856,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-07-21,FCR,8,2.907079363762269,5.20862479999881e-4,0.00556184472579806,0.016337683357936665,0.049500353504784655,0.00459900258845418,0.10194362087016925,0.565019184545832,0.009356309976187561,2.5848626776074396e-4,2.9355573348444e-4,0.0012479562114481224,0.510909053879722,0.21042881796469,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-07-26,BVR,5,1.3383157835825248,2.3889764632443848e-4,0.00274578597799045,0.006334493768978764,0.0419803384033995,0.003184458123609915,0.03600434917440255,0.211586430639787,0.010080770809677245,1.9330236016290868e-4,1.23872747461304e-4,9.03228346295709e-4,0.371497443434253,0.261064871894995,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-07-26,BVR,10,2.7762576700301493,3.26048627644445e-4,0.00381520775705852,0.00961762619121675,0.06553585750715245,0.004605883899280335,0.05641311758413115,0.6681079325154584,0.006792667159487485,4.946667312789455e-4,2.0690112016928251e-4,0.001676578439991685,0.551902985620135,0.359103692625276,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-02,FCR,4,2.0834905434647624,2.94688058480595e-4,0.003233294144238505,0.00791567749736416,0.0324548330167991,0.00481437147978187,0.0473818968845861,0.21636289782866902,0.03781651726568025,1.6235140262553e-4,1.71781052969707e-4,0.0019468777178783749,0.506688232565121,0.3271108518564,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-02,FCR,8,5.4198958497525584,3.158724667664415e-4,0.0034994614937458503,0.01107086139826215,0.03870873028725165,0.006770769032943365,0.05723952105104555,1.61610252710077,0.01567718486609085,4.33341587437839e-4,2.398080501705835e-4,0.0015923162156011952,1.12317800417199,0.528840321183248,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-09,BVR,5,1.37579180135716,2.15132220342668e-4,0.001862446512801345,0.011071424892842699,0.06515284325780205,0.004743053521376385,0.06326385173502111,0.15839486178148,0.019620220415157298,1.3071362093738448e-4,1.667386929665935e-4,0.001147316503833225,0.312284399868828,0.237315674623792,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-09,BVR,10,3.226152863878518,3.07803302157123e-4,0.00300347794180211,0.01001546031954587,0.0622697829943221,0.006060987800670505,0.06324347255530374,0.8629601954560475,0.01782994465948515,3.41623426347569e-4,1.6766903708604952e-4,0.00140718246384793,0.551186821283837,0.578551253486781,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-16,FCR,4,1.562064560961601,1.2172083949123799e-4,0.00158244212751556,0.00502351882756741,0.020990766604460753,0.00431449476541713,0.0291116746321377,0.15872432513350299,0.008011390041026325,1.536916612366685e-4,9.711207835744456e-5,5.46968452736279e-4,0.359862720505024,0.323705784541632,1,3,3,3,3,3,3,3,3,3,3,3,1,1
2021-08-16,FCR,8,13.88946100414571,2.99950265429069e-4,0.0036159062342910496,0.0176242791702576,0.041091247989724,0.01156792487085995,0.1079299552077876,5.066597674557145,0.0332597174812538,9.170270680544255e-4,5.578425208524844e-4,0.008499710912843315,1.80114513164065,0.581276905051927,1,3,3,3,3,3,3,3,3,3,3,3,1,1
