Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
FCR,50,8/3/2020 0:00,1.6,43.37,0.5,0,4
FCR,50,5/18/2020 0:00,1.6,2.98,0.5,0,0
BVR,50,7/30/2020 0:00,1.6,2.14,0.5,0,0
BVR,50,7/20/2020 0:00,1.6,17.01,0.5,0,0
FCR,50,9/21/2021 0:00,1.6,5.04,0.5,0,0
FCR,50,9/6/2021 0:00,1.6,3.32,0.5,0,0
BVR,50,8/24/2021 0:00,1.6,13.17,0.5,0,0
FCR,50,8/9/2021 0:00,1.6,13.32,0.5,0,4
CCR,1,6/9/2021 0:00,0.1,0.84,0.5,0,0
CCR,50,6/9/2021 0:00,0.1,0.95,0.5,0,0
GWR,50,6/10/2015 12:00,0.1,2.3,0.6,0,4
GWR,50,7/20/2015 12:00,0.1,2.3,0.6,0,4
BVR,50,5/11/2018 12:00,0.1,3.2,0.6,0,0
FCR,50,5/7/2018 12:00,1.6,1.9,0.6,0,0
BVR,50,6/6/2019 12:00,0.1,1.3,0.6,0,0
BVR,50,6/13/2019 12:00,0.1,1.1,0.6,0,0
BVR,50,9/6/2021 0:00,1.6,15.04,0.6,0,0
CCR,50,6/13/2018 12:00,0.1,1.3,0.6,0,0
GWR,50,8/3/2015 12:00,9,2.9,0.7,0,4
SHR,50,6/26/2015 12:00,0.1,0.6,0.7,4,4
SHR,50,7/24/2015 12:00,8,0.6,0.7,4,4
FCR,50,7/25/2016 12:00,3.8,3.9,0.7,3,3
BVR,50,5/4/2018 12:00,0.1,2.6,0.7,0,0
FCR,50,4/23/2018 12:00,1.6,1.9,0.7,0,0
FCR,50,6/18/2018 12:00,1.6,3.7,0.7,0,0
FCR,50,5/11/2020 0:00,1.6,2.81,0.7,0,0
FCR,50,5/18/2020 0:00,1.6,2.81,0.7,0,0
FCR,50,7/13/2020 0:00,1.6,3.52,0.7,0,0
FCR,50,6/12/2020 0:00,1.6,2.29,0.7,0,0
BVR,50,8/24/2021 0:00,1.6,8.82,0.7,0,0
FCR,50,5/24/2021 0:00,1.6,14.32,0.7744256,0,0
GWR,50,5/30/2015 12:00,9,1.7,0.8,0,0
FCR,50,5/30/2016 12:00,1.6,4.2,0.8,1,1
FCR,50,5/7/2018 12:00,5,1.9,0.8,0,0
FCR,50,6/18/2018 12:00,0.1,3.7,0.8,0,0
FCR,50,5/27/2019 12:00,1.6,2.4,0.8,0,0
FCR,50,4/1/2019 12:00,1.6,1.8,0.8,0,0
FCR,50,5/25/2020 0:00,1.6,8.43,0.8,0,0
FCR,50,7/13/2020 0:00,1.6,4.01,0.8,0,0
FCR,50,6/8/2020 0:00,1.6,4.11,0.8,0,0
FCR,50,7/23/2020 0:00,1.6,3.51,0.8,0,0
CCR,50,7/24/2015 12:00,20,1.9,0.8,0,4
CCR,50,8/7/2015 12:00,20,1.9,0.8,0,4
FCR,50,3/22/2021 0:00,1.6,4.091428571,0.857563429,0,0
GWR,50,8/15/2015 12:00,5,4,0.9,0,0
GWR,50,8/15/2015 12:00,13.5,4.3,0.9,0,4
FCR,50,5/14/2018 12:00,3.8,3.1,0.9,0,0
FCR,50,5/21/2018 12:00,0.1,3.3,0.9,0,0
BVR,50,5/31/2018 12:00,6,2.4,0.9,0,0
BVR,50,5/17/2018 12:00,3,3.9,0.9,0,0
FCR,50,8/10/2020 0:00,1.6,29.33,0.9,0,0
FCR,50,6/12/2020 0:00,1.6,2.12,0.9,0,0
FCR,50,7/20/2020 0:00,1.6,17.54,0.9,0,0
BVR,50,7/26/2021 0:00,1.6,5.38,0.9,0,0
BVR,50,7/26/2021 0:00,1.6,6.19,0.9,0,0
CCR,50,7/10/2015 12:00,6,4,0.9,0,0
CCR,50,9/9/2015 12:00,6,1.2,0.9,0,0
CCR,50,10/28/2015 12:00,6,5.8,0.9,0,0
BVR,50,9/4/2015 12:00,0.1,6.9,1,0,0
BVR,50,9/4/2015 12:00,3,5.2,1,0,0
GWR,50,8/15/2015 12:00,0.1,2.3,1,0,0
BVR,50,6/16/2016 12:00,6,2.9,1,0,0
FCR,50,4/23/2018 12:00,0.1,1.9,1,0,0
BVR,50,5/17/2018 12:00,0.1,4.8,1,0,0
FCR,50,4/29/2019 12:00,1.6,1.5,1,0,0
FCR,50,8/24/2020 0:00,1.6,18.84,1,0,0
BVR,50,7/30/2020 0:00,1.6,1.68,1,0,0
FCR,50,9/21/2021 0:00,1.6,5.73,1,0,0
BVR,50,5/11/2018 12:00,3,3.5,1.1,0,0
FCR,50,6/11/2018 12:00,0.1,3.2,1.1,0,0
BVR,50,6/21/2018 12:00,3,9.3,1.1,0,0
BVR,50,6/7/2018 12:00,0.1,5.9,1.1,0,0
BVR,50,8/20/2020 0:00,1.6,3.85,1.1,0,0
FCR,50,8/24/2020 0:00,1.6,18.46,1.1,0,0
FCR,50,6/22/2020 0:00,1.6,4.58,1.1,0,0
FCR,50,6/8/2020 0:00,1.6,3.82,1.1,0,0
CCR,50,6/26/2015 12:00,0.1,0.6,1.1,4,0
CCR,50,8/26/2015 12:00,0.1,0.6,1.1,4,0
CCR,50,5/30/2018 12:00,0.1,2.8,1.1,0,0
CCR,50,6/13/2018 12:00,12,2.6,1.1,0,0
CCR,50,8/22/2018 12:00,0.1,3.1,1.1,0,0
BVR,50,10/2/2015 12:00,3,10.6,1.2,0,0
GWR,50,6/22/2015 12:00,9,1.7,1.2,0,0
BVR,50,5/17/2018 12:00,6,2.8,1.2,0,0
FCR,50,4/1/2019 12:00,5,3.2,1.2,0,0
FCR,50,5/27/2019 12:00,0.1,1.6,1.2,0,0
FCR,50,8/17/2020 0:00,1.6,30.64,1.2,0,0
BVR,50,10/1/2020 0:00,1.6,11.74,1.2,0,0
FCR,50,6/3/2020 0:00,1.6,2.54,1.2,0,0
FCR,50,10/4/2021 0:00,1.6,3.32,1.2,0,0
SNP,40,10/20/2021 0:00,0.1,4.12,1.2,0,0
FCR,50,10/31/2021 0:00,1.6,6.19,1.2,0,0
FCR,50,7/26/2021 0:00,1.6,8.59,1.2,0,0
CCR,50,7/24/2015 12:00,6,1.7,1.2,0,0
CCR,50,5/16/2018 12:00,6,3.6,1.2,0,0
CCR,50,5/30/2018 12:00,6,5.2,1.2,0,0
FCR,50,9/14/2015 12:00,9,5.1,1.3,0,4
GWR,50,6/10/2015 12:00,9,1.2,1.3,0,0
GWR,50,8/30/2015 12:00,0.1,2.9,1.3,0,0
SHR,50,6/26/2015 12:00,31,1.2,1.3,0,0
BVR,50,8/18/2016 12:00,4,9.1,1.3,3,3
FCR,50,5/20/2019 12:00,1.6,2.2,1.3,0,0
FCR,50,9/14/2021 0:00,1.6,5.73,1.3,0,0
FCR,50,8/16/2021 0:00,1.6,5.87,1.3,0,0
FCR,50,8/2/2021 0:00,1.6,3.87,1.3,0,0
CCR,50,5/22/2015 12:00,0.1,1.2,1.3,0,0
CCR,50,8/26/2015 12:00,6,1.2,1.3,0,0
SHR,50,6/26/2015 12:00,8,2.3,1.4,0,0
BVR,50,7/28/2016 12:00,4,6.7,1.4,3,3
BVR,50,5/24/2018 12:00,0.1,3.2,1.4,0,0
FCR,50,7/29/2019 12:00,1.6,19.3,1.4,0,0
BVR,50,10/1/2020 0:00,1.6,12.17,1.4,0,0
BVR,50,9/3/2020 0:00,1.6,6.99,1.4,0,0
FCR,50,6/3/2020 0:00,1.6,2.29,1.4,0,0
BVR,50,12/6/2021 0:00,1.6,16.61,1.4,0,0
CCR,50,5/22/2015 12:00,6,2.3,1.4,0,0
CCR,50,5/16/2018 12:00,6,4,1.4,0,0
CCR,50,5/30/2018 12:00,12,3.2,1.4,0,0
FCR,50,8/3/2015 12:00,9,9.6,1.5,0,4
GWR,50,5/20/2014 12:00,9,0.6,1.5,4,0
GWR,50,5/9/2015 12:00,14,0.6,1.5,4,0
GWR,50,5/30/2015 12:00,13,0.6,1.5,4,0
GWR,50,7/20/2015 12:00,14,0.6,1.5,4,0
BVR,50,5/24/2018 12:00,6,2.2,1.5,0,0
BVR,50,5/30/2019 12:00,6,2.9,1.5,0,0
BVR,50,8/20/2020 0:00,1.6,3.85,1.5,0,0
BVR,50,11/16/2020 0:00,1.6,9.85,1.5,0,0
BVR,50,12/2/2020 0:00,1.6,10.08,1.5,0,0
BVR,50,7/23/2020 0:00,1.6,2.83,1.5,0,0
FCR,50,7/7/2021 0:00,1.6,4.58,1.5,0,0
BVR,50,8/9/2021 0:00,1.6,12.89,1.5,0,0
CCR,50,6/27/2018 12:00,12,1,1.5,0,0
CCR,50,6/27/2018 12:00,0.1,3.9,1.5,0,0
FCR,50,9/21/2015 12:00,3.8,6.7,1.6,0,0
FCR,50,4/23/2018 12:00,3.8,3.7,1.6,0,0
BVR,50,5/17/2018 12:00,3,3.9,1.6,0,0
FCR,50,6/4/2018 12:00,0.1,2.2,1.6,0,0
CCR,50,6/12/2015 12:00,6,1.7,1.6,0,0
CCR,50,5/16/2018 12:00,12,3.5,1.6,0,0
CCR,50,5/30/2018 12:00,6,4.7,1.6,0,0
BVR,50,8/13/2015 12:00,0.1,2.9,1.7,0,0
FCR,50,9/28/2015 12:00,9,8.6,1.7,0,0
FCR,50,8/1/2016 12:00,2.8,8.5,1.7,3,3
BVR,50,5/4/2016 12:00,7,8.3,1.7,0,0
BVR,50,5/12/2016 12:00,7.5,8.3,1.7,0,0
BVR,50,6/28/2016 12:00,4,5.5,1.7,0,0
BVR,50,5/4/2018 12:00,3,4.5,1.7,0,0
BVR,50,6/14/2018 12:00,0.1,9,1.7,0,0
FCR,50,5/21/2018 12:00,1.6,4.4,1.7,0,0
BVR,50,5/24/2018 12:00,3,4,1.7,0,0
FCR,50,6/17/2019 12:00,1.6,6.3,1.7,0,0
FCR,50,8/12/2019 12:00,1.6,33.9,1.7,0,0
FCR,50,7/22/2019 12:00,1.6,15.5,1.7,0,0
BVR,50,9/3/2020 0:00,1.6,5.87,1.7,0,0
BVR,50,9/18/2015 12:00,3,4,1.8,0,0
GWR,50,7/20/2015 12:00,9,2.3,1.8,0,0
GWR,50,8/3/2015 12:00,13,1,1.8,4,0
FCR,50,6/13/2016 12:00,1.6,4.2,1.8,0,0
BVR,50,5/24/2018 12:00,3,4.2,1.8,0,0
FCR,50,6/11/2018 12:00,3.8,3.7,1.8,0,0
FCR,50,6/3/2019 12:00,1.6,4.8,1.8,0,0
FCR,50,7/8/2019 12:00,1.6,10.4,1.8,0,0
BVR,50,5/23/2019 12:00,6,2,1.8,0,0
FCR,50,6/22/2020 0:00,1.6,3.94,1.8,0,0
CCR,50,6/13/2018 12:00,6,5.7,1.8,0,0
GWR,50,5/9/2015 12:00,5,5.2,1.9,0,0
GWR,50,7/6/2015 12:00,0.1,3.5,1.9,0,0
FCR,50,8/1/2016 12:00,4.5,7.5,1.9,3,3
BVR,50,5/31/2018 12:00,6,2.2,1.9,0,0
FCR,50,6/24/2019 12:00,1.6,6.8,1.9,0,0
FCR,50,5/6/2019 12:00,1.6,2,1.9,0,0
FCR,50,6/24/2019 12:00,0.1,6.7,1.9,0,0
FCR,50,12/6/2021 0:00,1.6,55.7,1.9,0,0
FCR,50,10/25/2021 0:00,1.6,12.37,1.9,0,0
BVR,50,8/13/2015 12:00,3,4.6,2,0,0
GWR,50,5/30/2015 12:00,0.1,4.6,2,0,0
GWR,50,7/6/2015 12:00,14,2.9,2,0,0
GWR,50,7/26/2015 12:00,0.1,1.7,2,0,0
GWR,50,8/3/2015 12:00,0.1,1.7,2,0,0
FCR,50,4/25/2016 12:00,5,3.5,2,1,1
FCR,50,7/27/2016 12:00,4,6.5,2,3,3
BVR,50,6/23/2016 12:00,5,5.4,2,0,0
BVR,50,6/7/2018 12:00,3,6,2,0,0
CCR,50,5/8/2015 12:00,6,1.7,2,0,0
CCR,50,9/9/2015 12:00,19,2.9,2,0,0
BVR,50,8/13/2015 12:00,12,51.9,2.1,0,4
BVR,50,9/4/2015 12:00,9,28.8,2.1,0,4
BVR,50,10/25/2016 12:00,3,5.2,2.1,0,0
FCR,50,6/25/2018 12:00,0.1,10.4,2.1,0,0
FCR,50,5/21/2018 12:00,5,3.3,2.1,0,0
FCR,50,6/3/2019 12:00,0.1,4.1,2.1,0,0
BVR,50,10/12/2021 0:00,1.6,11.89,2.1,0,0
CCR,50,6/26/2015 12:00,6,2.9,2.1,0,0
GWR,50,5/9/2015 12:00,0.1,1.2,2.2,0,0
FCR,50,8/8/2016 12:00,1.6,7,2.2,0,0
FCR,50,6/25/2018 12:00,0.1,10.6,2.2,0,0
FCR,50,8/20/2018 12:00,1.6,6.9,2.2,0,0
FCR,50,4/15/2019 12:00,1.6,4.3,2.2,0,0
FCR,50,8/5/2019 12:00,1.6,28.8,2.2,0,0
CCR,50,6/27/2018 12:00,6,4,2.2,0,0
BVR,50,9/18/2015 12:00,0.1,2.3,2.3,0,0
FCR,50,5/9/2016 12:00,3.8,4.2,2.3,0,0
FCR,50,5/30/2016 12:00,6.2,4.2,2.3,1,1
BVR,50,5/11/2018 12:00,6,2.9,2.3,0,0
BVR,50,6/28/2018 12:00,0.1,23.9,2.3,0,0
BVR,50,6/7/2018 12:00,6,8.9,2.3,0,0
BVR,50,7/19/2018 12:00,0.1,12.1,2.3,0,0
FCR,50,5/13/2019 12:00,1.6,2.7,2.3,0,0
FCR,50,5/27/2019 12:00,3.8,5.4,2.3,0,0
FCR,50,8/17/2020 0:00,1.6,31.07,2.3,0,0
FCR,50,12/2/2020 0:00,1.6,10.08,2.3,0,0
FCR,50,8/17/2015 12:00,9,3.5,2.4,0,0
GWR,50,8/30/2015 12:00,12,10.1,2.4,0,0
FCR,50,5/9/2016 12:00,5,5.5,2.4,0,0
BVR,50,5/31/2018 12:00,0.1,8.6,2.4,0,0
FCR,50,8/27/2018 12:00,0.1,7.3,2.4,0,0
FCR,50,4/22/2019 12:00,5,4.3,2.4,0,0
FCR,50,5/20/2019 12:00,3.8,5.3,2.4,0,0
BVR,50,6/27/2019 12:00,6,2.3,2.4,0,0
CCR,50,5/29/2015 12:00,21,1.7,2.4,0,0
CCR,50,6/27/2018 12:00,6,4,2.4,0,0
CCR,50,6/13/2018 12:00,6,5.2,2.4,0,0
BVR,50,8/13/2015 12:00,9,26.5,2.5,0,0
FCR,50,8/24/2015 12:00,9,2.9,2.5,0,0
FCR,50,6/25/2018 12:00,3.8,9,2.5,0,0
BVR,50,6/21/2018 12:00,6,8.9,2.5,0,0
FCR,50,6/25/2018 12:00,1.6,9.9,2.5,0,0
BVR,50,6/7/2018 12:00,6,8.4,2.5,0,0
FCR,50,6/18/2018 12:00,5,5.2,2.5,0,0
FCR,50,7/1/2019 12:00,1.6,10.9,2.5,0,0
BVR,50,11/10/2020 0:00,1.6,9.85,2.5,0,0
FCR,50,10/4/2021 0:00,1.6,3.32,2.5,0,0
FCR,50,10/11/2021 0:00,1.6,12.72,2.5,0,0
CCR,50,8/26/2015 12:00,20,1,2.5,4,0
BVR,50,10/2/2015 12:00,9,13,2.6,0,0
FCR,50,8/24/2015 12:00,1.6,15.4,2.6,0,0
FCR,50,9/7/2015 12:00,1.6,15.4,2.6,0,0
GWR,50,7/6/2015 12:00,9,1.2,2.6,0,0
FCR,50,5/2/2016 12:00,6.2,4.8,2.6,0,0
FCR,50,6/2/2016 12:00,1.6,4.8,2.6,0,0
FCR,50,4/23/2018 12:00,3.8,3.7,2.6,0,0
FCR,50,5/28/2018 12:00,0.1,6.7,2.6,0,0
FCR,50,6/18/2018 12:00,3.8,5.2,2.6,0,0
FCR,50,6/4/2018 12:00,1.6,3,2.6,0,0
BVR,50,6/21/2018 12:00,6,8.4,2.6,0,0
FCR,50,6/10/2019 12:00,1.6,7.7,2.6,0,0
FCR,50,7/25/2016 12:00,6,18.7,2.7,3,3
FCR,50,5/21/2018 12:00,3.8,3.7,2.7,0,0
FCR,50,5/28/2018 12:00,1.6,8.3,2.7,0,0
FCR,50,6/11/2018 12:00,5,5.7,2.7,0,0
FCR,50,4/15/2019 12:00,5,1.7,2.7,0,0
FCR,50,10/11/2021 0:00,1.6,12.03,2.7,0,0
FCR,50,7/7/2021 0:00,1.6,4.58,2.7,0,0
CCR,50,7/25/2018 12:00,6,4.5,2.7,0,0
CCR,50,8/8/2018 12:00,6,4.5,2.7,0,0
FCR,50,6/6/2016 12:00,5,9.7,2.8,0,0
FCR,50,6/13/2016 12:00,3.8,11.4,2.8,0,0
FCR,50,5/28/2018 12:00,5,3.1,2.8,0,0
BVR,50,6/14/2018 12:00,6,4.9,2.8,0,0
FCR,50,8/17/2015 12:00,1.6,10.4,2.9,0,0
GWR,50,8/30/2015 12:00,5,2.9,2.9,0,0
FCR,50,6/2/2016 12:00,5,5.5,2.9,0,0
FCR,50,6/6/2016 12:00,3.8,11.1,2.9,0,0
BVR,50,4/20/2016 12:00,6,3.9,2.9,0,0
BVR,50,6/8/2016 12:00,6,3.5,2.9,0,0
BVR,50,8/11/2016 12:00,3.5,11.3,2.9,0,0
FCR,50,6/4/2018 12:00,5,3,2.9,0,0
FCR,50,6/25/2018 12:00,5,5.6,2.9,0,0
FCR,50,6/4/2018 12:00,3.8,3.5,2.9,0,0
BVR,50,8/20/2015 12:00,3,8.6,3,0,0
FCR,50,9/21/2015 12:00,1.6,6.7,3,0,0
FCR,50,9/28/2015 12:00,6.2,11.5,3,0,4
FCR,50,7/9/2018 12:00,1.6,7.2,3,0,0
FCR,50,8/6/2018 12:00,1.6,9.1,3,0,0
FCR,50,4/22/2019 12:00,1.6,3.6,3,0,0
FCR,50,6/10/2019 12:00,3.8,4.2,3,0,0
FCR,50,12/2/2020 0:00,1.6,8.97,3,0,0
FCR,50,12/2/2020 0:00,1.6,9.55,3,0,0
FCR,50,11/9/2020 0:00,1.6,22.53,3,0,0
FCR,50,5/31/2016 12:00,5,4.8,3.1,0,0
BVR,50,6/21/2018 12:00,3,12.1,3.1,0,0
FCR,50,4/15/2019 12:00,3.8,2.4,3.1,0,0
FCR,50,5/13/2019 12:00,5,6.3,3.1,0,0
FCR,50,10/19/2020 0:00,1.6,28.26,3.1,0,0
GWR,50,8/30/2015 12:00,9,7.2,3.2,0,0
BVR,50,9/6/2016 12:00,3,8.3,3.2,0,0
BVR,50,7/5/2018 12:00,0.1,23.2,3.2,0,0
BVR,50,11/9/2021 0:00,1.6,7.16,3.2,0,0
BVR,50,9/18/2015 12:00,12,32.7,3.3,0,0
FCR,50,5/30/2016 12:00,5,4.2,3.3,0,0
FCR,50,5/28/2018 12:00,1.6,8.5,3.3,0,0
FCR,50,7/2/2018 12:00,1.6,5.9,3.3,0,0
FCR,50,6/17/2019 12:00,3.8,5.5,3.3,0,0
FCR,50,10/18/2021 0:00,1.6,11,3.3,0,0
GWR,50,7/20/2015 12:00,5,5.8,3.4,0,0
FCR,50,5/16/2016 12:00,6.2,6.9,3.4,0,0
BVR,50,8/18/2016 12:00,6,19,3.4,3,3
BVR,50,5/31/2018 12:00,3,10.1,3.4,0,0
