Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC,Date NOTES
FCR,50,2/26/21 10:47,1.6,,6/16/21,1.63,2.66,4.28,0.14,,F 26feb21 1.6,
FCR,50,2/26/21 11:00,3.8,,6/16/21,1.49,2.7,4.18,0.11,,F 26feb21 3.8,
FCR,50,2/26/21 11:32,6.2,,6/16/21,1.47,2.87,4.34,0.12,,F 26feb21 6.2,
FCR,50,2/26/21 11:49,8,,6/16/21,1.11,3.2,4.31,0.16,,F 26feb21 8.0,
FCR,100,2/26/21 14:12,0.1,,6/16/21,2.07,2.38,4.45,0.15,,F 26feb21 weir,
BVR,50,6/15/21 16:05,0.1,,7/21/21,2.41,2.27,4.68,0.16,,B 15jun21 0.1,*start solubles 2
BVR,50,6/15/21 16:52,11,,7/21/21,2.24,3.26,5.5,0.6,,B 15jun21 11.0,
BVR,50,6/15/21 16:21,3,,7/21/21,2.09,2.21,4.3,0.16,,B 15jun21 3.0,
BVR,50,6/15/21 16:30,6,,7/21/21,1.66,2.39,4.05,0.14,,B 15jun21 6.0,
BVR,50,6/15/21 16:40,9,,7/21/21,2.48,3.17,5.65,0.39,,B 15jun21 9.0,
BVR,50,6/28/21 10:41,3,,7/21/21,2.7,2.35,5.05,0.18,,B 28jun 3.0,
BVR,50,6/28/21 10:38,0.1,,7/21/21,2.86,2.44,5.3,0.19,,B 28jun21 0.1,
BVR,50,6/28/21 11:44,11,,7/21/21,2.19,3.63,5.82,0.63,,B 28jun21 11.0,
BVR,50,6/28/21 10:53,6,,7/21/21,1.48,2.4,3.87,0.12,,B 28jun21 6.0,
BVR,50,6/28/21 11:00,9,,7/21/21,1.48,3.05,4.53,0.1,,B 28jun21 9.0,
BVR,50,5/31/21 9:53,0.1,,7/21/21,2.03,2.31,4.34,0.14,,B 31may21 0.1,
BVR,50,5/31/21 10:32,11,,7/21/21,2.8,3.02,5.82,0.46,,B 31may21 11.0,
BVR,50,5/31/21 10:04,3,,7/21/21,2.14,2.39,4.53,0.14,,B 31may21 3.0,
BVR,50,5/31/21 10:12,6,,7/21/21,2.11,2.31,4.42,0.13,,B 31may21 6.0,
BVR,50,5/31/21 10:22,9,,7/21/21,1.49,2.73,4.22,0.17,,B 31may21 9.0,
CCR,100,7/1/21 12:00,0.1,,7/21/21,2.21,4.31,6.52,0.07,,C 01jul21  HPB,
CCR,50,7/1/21 10:38,20,,7/21/21,2.08,4.8,6.88,0.19,,C 01jul21 21.0,
CCR,50,7/1/21 10:13,6,,7/21/21,1.98,4.26,6.25,0.07,,C 01jul21 6.0,
CCR,50,7/1/21 10:27,9,,7/21/21,1.78,4.18,5.96,0.1,,C 01jul21 9.0,
CCR,1,6/1/21 12:06,0.1,,7/21/21,3.05,3.99,7.04,0.23,,C IM 01jun21 site 1,
CCR,2,6/1/21 12:35,0.1,,7/21/21,3.01,3.96,6.97,0.23,,C IM 01jun21 site 2,
CCR,3,6/1/21 12:53,0.1,,7/21/21,2.74,3.97,6.7,0.17,,C IM 01jun21 site 3,
CCR,4,6/1/21 13:10,0.1,,7/21/21,2.8,4.18,6.98,0.12,,C IM 01jun21 site 4,
CCR,5,6/1/21 13:26,0.1,,7/21/21,2.98,4.18,7.16,0.12,,C IM 01jun21 site 5,
CCR,50,6/1/21 13:45,0.1,,7/21/21,2.5,3.88,6.38,0.16,,C IM 01jun21 site 6,
CCR,1,6/6/21 9:38,0.1,,7/21/21,3.09,3.96,7.05,0.22,,C IM 06jun21 site 1,
CCR,2,6/6/21 9:53,0.1,,7/21/21,2.6,4.06,6.66,0.15,,C IM 06jun21 site 2,
CCR,3,6/6/21 10:10,0.1,,7/21/21,2.21,3.85,6.07,0.17,,C IM 06jun21 site 3,
CCR,4,6/6/21 10:59,0.1,,7/21/21,2.54,4.25,6.79,0.08,,C IM 06jun21 site 4,
CCR,5,6/6/21 10:26,0.1,,7/21/21,2.3,4.14,6.44,0.07,,C IM 06jun21 site 5,
CCR,50,6/6/21 10:37,0.1,,7/21/21,2.61,3.92,6.53,0.14,,C IM 06jun21 site 6,
CCR,1,6/9/21 9:46,0.1,,7/21/21,2.92,4.02,6.94,0.17,,C IM 09jun21 site 1,
CCR,2,6/9/21 10:02,0.1,,7/21/21,2.11,4.32,6.43,0.07,,C IM 09jun21 site 2,
CCR,3,6/9/21 10:15,0.1,,7/21/21,2.65,3.94,6.59,0.19,,C IM 09jun21 site 3,
CCR,4,6/9/21 11:15,0.1,,7/21/21,2.07,3.99,6.06,0.13,,C IM 09jun21 site 4,
CCR,5,6/9/21 10:36,0.1,,7/21/21,2.44,4.21,6.65,0.1,,C IM 09jun21 site 5,
CCR,50,6/9/21 10:53,0.1,,7/21/21,2.52,4.01,6.54,0.17,,C IM 09jun21 site 6,
FCR,50,7/7/21 14:50,0.1,,7/21/21,7.01,4.05,11.06,0.82,,F 07jul21 0.1,
FCR,50,7/7/21 14:56,1.6,,7/21/21,3.35,3.75,7.1,0.19,,F 07jul21 1.6,
FCR,50,7/7/21 15:02,3.8,,7/21/21,0.97,3.94,4.9,0.25,,F 07jul21 3.8,
FCR,50,7/7/21 15:07,5,,7/21/21,1.53,4.12,5.64,0.34,,F 07jul21 5.0,
FCR,50,7/7/21 15:34,8,,7/21/21,0.71,4.05,4.76,0.35,,F 07jul21 8.0,
FCR,50,7/7/21 15:46,9,,7/21/21,0.95,4.94,5.88,0.25,,F 07jul21 9.0,
FCR,50,6/7/21 10:50,0.1,,7/21/21,5.07,3.22,8.29,0.24,,F 07jun21 0.1,
FCR,50,6/7/21 11:10,1.6,,7/21/21,4.59,3.13,7.71,0.37,,F 07jun21 1.6,
FCR,50,6/7/21 11:18,3.8,,7/21/21,1.88,3.24,5.12,0.16,,F 07jun21 3.8,
FCR,50,6/7/21 11:42,8,,7/21/21,1.62,3.64,5.25,0.32,,F 07jun21 8.0,
FCR,50,6/7/21 11:52,9,,7/21/21,2.16,4.58,6.74,0.39,,F 07jun21 9.0,
FCR,100,6/7/21 13:50,0.1,,7/21/21,0.88,3.46,4.34,0.17,,F 07jun21 weir,
FCR,200,6/7/21 14:20,0.1,,7/21/21,1.13,4.47,5.6,0.09,,F 07jun21 wet,
FCR,50,6/7/21 11:27,5,,7/21/21,1.31,3.28,4.59,0.15,,F 07jun215.0,
FCR,50,6/15/21 11:20,3.8,,7/21/21,2.35,3.65,6,0.16,,F 15jun21  3.8,
FCR,50,6/15/21 10:45,0.1,,7/21/21,6.5,2.77,9.26,0.47,,F 15jun21 0.1,
FCR,50,6/15/21 11:07,1.6,,7/21/21,7,3.04,10.04,0.54,,F 15jun21 1.6,
