Reservoir,Site,DateTime,Depth_m,CH4_umol_L,ChaoborusDensity_NumPerLiter,Flag_depth,Flag_CH4_umol_L,Flag_ChaoborusDensity_NumPerLiter
BVR,50,2016-09-16 18:00:00,3,1.091384129,0,0,7,0
BVR,50,2016-09-16 18:00:00,4,1.16165239,0.066666667,0,7,0
BVR,50,2016-09-16 18:00:00,5,0.881904764,0.066666667,0,7,0
BVR,50,2016-09-16 18:00:00,6,1.658096811,0.233333333,0,7,0
BVR,50,2016-09-16 18:00:00,7,32.10105896,0.1,0,7,0
BVR,50,2016-09-16 18:00:00,8,104.491968,0.166666667,0,7,0
BVR,50,2016-09-16 18:00:00,9,495.4373437,0.233333333,0,7,0
BVR,50,2016-09-16 18:00:00,10,417.8563071,0.133333333,0,7,0
BVR,50,2016-09-16 18:00:00,11,537.8938148,NA,0,7,1
BVR,50,2016-09-16 20:00:00,0,1.208040026,0.066666667,0,7,0
BVR,50,2016-09-16 20:00:00,1,1.415655268,0.166666667,0,7,0
BVR,50,2016-09-16 20:00:00,2,1.228436673,0.266666667,0,7,0
BVR,50,2016-09-16 20:00:00,3,1.351787966,0.2,0,7,0
BVR,50,2016-09-16 20:00:00,4,1.359286446,0.366666667,0,7,0
BVR,50,2016-09-16 20:00:00,5,2.501491387,0.7,0,7,0
BVR,50,2016-09-16 20:00:00,6,2.681403217,0.5,0,7,0
BVR,50,2016-09-16 20:00:00,7,25.40929245,0.4,0,7,0
BVR,50,2016-09-16 20:00:00,8,234.1489618,0.266666667,0,7,0
BVR,50,2016-09-16 20:00:00,9,274.7093078,0.366666667,0,7,0
BVR,50,2016-09-16 20:00:00,10,418.461202,0.266666667,0,7,0
BVR,50,2016-09-16 20:00:00,11,812.8395972,NA,0,7,1
BVR,50,2016-09-16 22:00:00,0,1.059083187,0.1,0,7,0
BVR,50,2016-09-16 22:00:00,1,1.418981094,0.133333333,0,7,0
BVR,50,2016-09-16 22:00:00,2,1.067232336,0.1,0,7,0
BVR,50,2016-09-16 22:00:00,3,1.110065808,0.133333333,0,7,0
BVR,50,2016-09-16 22:00:00,4,1.422280082,0.3,0,7,0
BVR,50,2016-09-16 22:00:00,5,2.181630087,0.2,0,7,0
BVR,50,2016-09-16 22:00:00,6,7.524040022,0.266666667,0,7,0
BVR,50,2016-09-16 22:00:00,7,21.44690174,0.1,0,7,0
BVR,50,2016-09-16 22:00:00,8,52.18855565,0.033333333,0,7,0
BVR,50,2016-09-16 22:00:00,9,271.5738654,0.1,0,7,0
BVR,50,2016-09-16 22:00:00,10,363.0749733,0.166666667,0,7,0
BVR,50,2016-09-16 22:00:00,11,1042.898951,NA,0,7,1
BVR,50,2016-09-17 00:00:00,0,1.210753006,0.066666667,0,7,0
BVR,50,2016-09-17 00:00:00,1,1.222501655,0.133333333,0,7,0
BVR,50,2016-09-17 00:00:00,2,1.15554997,0.3,0,7,0
BVR,50,2016-09-17 00:00:00,3,1.028076866,0.2,0,7,0
BVR,50,2016-09-17 00:00:00,4,1.035834965,0.333333333,0,7,0
BVR,50,2016-09-17 00:00:00,5,0.729425547,0.266666667,0,7,0
BVR,50,2016-09-17 00:00:00,6,1.293070051,0.166666667,0,7,0
BVR,50,2016-09-17 00:00:00,7,10.22171101,0.133333333,0,7,0
BVR,50,2016-09-17 00:00:00,8,264.108384,0.233333333,0,7,0
BVR,50,2016-09-17 00:00:00,9,378.0932814,0.133333333,0,7,0
BVR,50,2016-09-17 00:00:00,10,571.4059977,0.166666667,0,7,0
BVR,50,2016-09-17 00:00:00,11,1149.130704,NA,0,7,1
BVR,50,2016-09-17 06:00:00,0,1.005310966,0.066666667,0,7,0
BVR,50,2016-09-17 06:00:00,1,0.967230037,0,0,7,0
BVR,50,2016-09-17 06:00:00,2,1.032464712,0,0,7,0
BVR,50,2016-09-17 06:00:00,3,1.133934018,0,0,7,0
BVR,50,2016-09-17 06:00:00,4,1.224640286,0,0,7,0
BVR,50,2016-09-17 06:00:00,5,0.368800631,0.033333333,0,7,0
BVR,50,2016-09-17 06:00:00,6,4.66173843,0.133333333,0,7,0
BVR,50,2016-09-17 06:00:00,7,5.202872343,0.066666667,0,7,0
BVR,50,2016-09-17 06:00:00,8,105.7158555,0.066666667,0,7,0
BVR,50,2016-09-17 06:00:00,9,153.8767947,0.1,0,7,0
BVR,50,2016-09-17 06:00:00,10,447.6165997,0.066666667,0,7,0
BVR,50,2016-09-17 06:00:00,11,815.0861318,NA,0,7,1
BVR,50,2016-09-17 12:00:00,0,1.054453226,0,0,7,0
BVR,50,2016-09-17 12:00:00,1,1.08598556,0,0,7,0
BVR,50,2016-09-17 12:00:00,2,1.11263336,0,0,7,0
BVR,50,2016-09-17 12:00:00,3,1.125917959,0.033333333,0,7,0
BVR,50,2016-09-17 12:00:00,4,1.272043298,0,0,7,0
BVR,50,2016-09-17 12:00:00,5,1.548228837,0,0,7,0
BVR,50,2016-09-17 12:00:00,6,1.937896446,0.066666667,0,7,0
BVR,50,2016-09-17 12:00:00,7,13.1019528,0.033333333,0,7,0
BVR,50,2016-09-17 12:00:00,8,94.2078216,0,0,7,0
BVR,50,2016-09-17 12:00:00,9,268.8001405,0.033333333,0,7,0
BVR,50,2016-09-17 12:00:00,10,644.0998008,0.066666667,0,7,0
BVR,50,2016-09-17 12:00:00,11,842.7202313,NA,0,7,1
