"Date","Reservoir","Depth_m","Site","TLi_mgL","SLi_mgL","TNa_mgL","SNa_mgL","TMg_mgL","SMg_mgL","TAl_mgL","SAl_mgL","TSi_mgL","SSi_mgL","TP_mgL","SP_mgL","TS_mgL","SS_mgL","TCl_mgL","SCl_mgL","TK_mgL","SK_mgL","TCa_mgL","SCa_mgL","TTi_mgL","STi_mgL","TV_mgL","SV_mgL","TCr_mgL","SCr_mgL","TFe_mgL","SFe_mgL","TMn_mgL","SMn_mgL","TCo_mgL","SCo_mgL","TNi_mgL","SNi_mgL","TCu_mgL","SCu_mgL","TZn_mgL","SZn_mgL","TAs_mgL","SAs_mgL","TSe_mgL","SSe_mgL","TSr_mgL","SSr_mgL","TMo_mgL","SMo_mgL","TAg_mgL","SAg_mgL","TCd_mgL","SCd_mgL","TSn_mgL","SSn_mgL","TBa_mgL","SBa_mgL","TPb_mgL","SPb_mgL","TU_mgL","SU_mgL","Flag_DateTime","Flag_TFe","Flag_TMn","Flag_SFe","Flag_SMn","Date_22","Year"
2021-04-05,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584986266,0.203552445,0.059516545,0.004563721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-04-05,"2021"
2021-05-03,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399092303,NA,0.02113343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2022-05-03,"2021"
2021-05-14,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234521873,0.113779753,0.011433019,0.002128999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-05-14,"2021"
2021-05-31,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159762467,0.030734088,0.015719522,0.001292192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-05-31,"2021"
2021-06-15,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187944465,0.103981269,0.013743567,0.001949239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-06-15,"2021"
2021-06-28,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2414,0.1084,0.0149,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-06-28,"2021"
2021-07-26,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4723,0.1963,0.0297,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-07-26,"2021"
2021-08-09,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6246,0.2508,0.0341,6e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-08-09,"2021"
2021-08-23,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438,0.2959,0.0192,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-08-23,"2021"
2021-09-06,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4064,0.2613,0.0199,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-09-06,"2021"
2021-09-21,"BVR",0.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3319,0.1109,0.022,8e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2022-09-21,"2021"
