"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"a71","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,0.002,""
"b72","Unknown",-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,""
"a72","Unknown",-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,-0.041,-0.081,""
"b73","Unknown",-0.001,0.027,0.027,0.026,0.008,0.006,0.016,0.039,""
"a73","Unknown",-0.000,0.016,0.016,0.016,0.004,0.001,0.014,0.042,""
"b74","Unknown",-0.000,0.015,0.015,0.015,0.005,0.003,0.010,0.029,""
"a74","Unknown",0.000,0.010,0.010,0.010,0.003,0.001,0.009,0.031,""
"b75","Unknown",0.000,0.018,0.018,0.017,0.006,0.005,0.013,0.030,""
"a75","Unknown",0.000,0.012,0.011,0.011,0.003,0.002,0.013,0.032,""
"b76","Unknown",0.000,0.014,0.013,0.013,0.004,0.003,0.009,0.023,""
"a76","Unknown",0.001,0.009,0.009,0.009,0.003,0.001,0.008,0.024,""
"b78","Unknown",0.001,0.016,0.016,0.016,0.006,0.005,0.012,0.026,""
"a78","Unknown",0.001,0.011,0.011,0.010,0.004,0.003,0.011,0.028,""
"b81","Unknown",-0.000,0.012,0.012,0.012,0.004,0.003,0.008,0.022,""
"a81","Unknown",0.000,0.007,0.007,0.007,0.002,0.001,0.008,0.023,""
"b79","Unknown",0.000,0.126,0.126,0.124,0.039,0.033,0.064,0.160,""
"a79","Unknown",0.001,0.075,0.073,0.071,0.021,0.012,0.061,0.181,""
"b77","Unknown",-0.000,0.014,0.014,0.014,0.004,0.003,0.009,0.020,""
"a77","Unknown",0.000,0.008,0.008,0.008,0.002,0.001,0.009,0.022,""
"b80","Unknown",-0.000,0.018,0.018,0.018,0.006,0.004,0.012,0.027,""
"a80","Unknown",0.000,0.011,0.010,0.010,0.003,0.001,0.011,0.030,""
"b82","Unknown",0.001,0.013,0.013,0.013,0.004,0.003,0.008,0.017,""
"a82","Unknown",0.000,0.007,0.007,0.006,0.001,0.000,0.006,0.018,""
"b83","Unknown",-0.001,0.019,0.019,0.019,0.013,0.017,0.012,0.027,""
"a83","Unknown",-0.000,0.013,0.013,0.013,0.010,0.014,0.011,0.029,""
"b84","Unknown",-0.001,0.015,0.015,0.014,0.004,0.003,0.008,0.019,""
"a84","Unknown",-0.000,0.008,0.008,0.008,0.002,0.000,0.007,0.021,""
"b85","Unknown",-0.001,0.015,0.015,0.015,0.004,0.003,0.008,0.028,""
"a85","Unknown",0.000,0.009,0.009,0.009,0.002,0.001,0.007,0.031,""
"b86","Unknown",-0.001,0.024,0.024,0.023,0.007,0.005,0.014,0.036,""
"a86","Unknown",0.000,0.015,0.015,0.014,0.004,0.002,0.013,0.040,""
"b87","Unknown",-0.001,0.012,0.012,0.011,0.003,0.002,0.006,0.020,""
"a87","Unknown",-0.000,0.007,0.007,0.007,0.002,0.000,0.006,0.022,""
